# T (K)               Helmholtz Free Energy (Ry.)
# V= 188.6160000000000
    0.00      -0.8662509989114
  100.00      -0.8665321006643
  200.00      -0.8680486338517
  300.00      -0.8708207701434
  400.00      -0.8746309706345
  500.00      -0.8792886961435
  600.00      -0.8846524881786
  700.00      -0.8906179203328
  800.00      -0.8971060535329
  900.00      -0.9040555871807
 1000.00      -0.9114177374341
 1100.00      -0.9191528511418
 1200.00      -0.9272281093823
 1300.00      -0.9356159270928
 1400.00      -0.9442928088375
 1500.00      -0.9532385114694
 1600.00      -0.9624354184985
 1700.00      -0.9718680638990
 1800.00      -0.9815227636238
 1900.00      -0.9913873262198
 2000.00      -1.0014508225332
 2100.00      -1.0117034002362
 2200.00      -1.0221361328304
 2300.00      -1.0327408955065
 2400.00      -1.0435102621660
 2500.00      -1.0544374192969
 2600.00      -1.0655160934024
 2700.00      -1.0767404894234
 2800.00      -1.0881052381572
 2900.00      -1.0996053510895
 3000.00      -1.1112361813818
 3100.00      -1.1229933900025
 3200.00      -1.1348729161820
 3300.00      -1.1468709515248
 3400.00      -1.1589839172311
 3500.00      -1.1712084439750
 3600.00      -1.1835413540634
 3700.00      -1.1959796455626
 3800.00      -1.2085204781280
 3900.00      -1.2211611603159
 4000.00      -1.2338991381872
 4100.00      -1.2467319850450
 4200.00      -1.2596573921664
 4300.00      -1.2726731604130
 4400.00      -1.2857771926171
 4500.00      -1.2989674866568
 4600.00      -1.3122421291436
 4700.00      -1.3255992896566
 4800.00      -1.3390372154649
 4900.00      -1.3525542266882
 5000.00      -1.3661487118508
 5100.00      -1.3798191237899
 5200.00      -1.3935639758835
 5300.00      -1.4073818385678
 5400.00      -1.4212713361158
 5500.00      -1.4352311436546
 5600.00      -1.4492599843985
 5700.00      -1.4633566270788
 5800.00      -1.4775198835544
 5900.00      -1.4917486065854
 6000.00      -1.5060416877585
# V= 178.0210000000000
    0.00      -0.8771066881800
  100.00      -0.8773521594873
  200.00      -0.8787243470900
  300.00      -0.8812804998713
  400.00      -0.8848394668026
  500.00      -0.8892281918420
  600.00      -0.8943131289751
  700.00      -0.8999937545024
  800.00      -0.9061932358482
  900.00      -0.9128514983323
 1000.00      -0.9199205163871
 1100.00      -0.9273611296795
 1200.00      -0.9351408528841
 1300.00      -0.9432323345443
 1400.00      -0.9516122475648
 1500.00      -0.9602604731125
 1600.00      -0.9691594884602
 1700.00      -0.9782938996171
 1800.00      -0.9876500787820
 1900.00      -0.9972158790541
 2000.00      -1.0069804070238
 2100.00      -1.0169338393721
 2200.00      -1.0270672733880
 2300.00      -1.0373726039519
 2400.00      -1.0478424214034
 2500.00      -1.0584699260619
 2600.00      -1.0692488561516
 2700.00      -1.0801734266131
 2800.00      -1.0912382768262
 2900.00      -1.1024384256851
 3000.00      -1.1137692327800
 3100.00      -1.1252263646851
 3200.00      -1.1368057655416
 3300.00      -1.1485036312745
 3400.00      -1.1603163869006
 3500.00      -1.1722406664778
 3600.00      -1.1842732953244
 3700.00      -1.1964112741952
 3800.00      -1.2086517651537
 3900.00      -1.2209920789195
 4000.00      -1.2334296635028
 4100.00      -1.2459620939674
 4200.00      -1.2585870631853
 4300.00      -1.2713023734662
 4400.00      -1.2841059289600
 4500.00      -1.2969957287469
 4600.00      -1.3099698605369
 4700.00      -1.3230264949154
 4800.00      -1.3361638800749
 4900.00      -1.3493803369839
 5000.00      -1.3626742549489
 5100.00      -1.3760440875283
 5200.00      -1.3894883487668
 5300.00      -1.4030056097177
 5400.00      -1.4165944952261
 5500.00      -1.4302536809501
 5600.00      -1.4439818905978
 5700.00      -1.4577778933602
 5800.00      -1.4716405015245
 5900.00      -1.4855685682509
 6000.00      -1.4995609854997
# V= 167.8990000000000
    0.00      -0.8823671851256
  100.00      -0.8825166703844
  200.00      -0.8835637151732
  300.00      -0.8856859192982
  400.00      -0.8887600801718
  500.00      -0.8926384962286
  600.00      -0.8971990536857
  700.00      -0.9023468739111
  800.00      -0.9080081699535
  900.00      -0.9141246357294
 1000.00      -0.9206493356357
 1100.00      -0.9275438142906
 1200.00      -0.9347760607333
 1300.00      -0.9423190533968
 1400.00      -0.9501497010478
 1500.00      -0.9582480575105
 1600.00      -0.9665967290311
 1700.00      -0.9751804196657
 1800.00      -0.9839855772979
 1900.00      -0.9930001142397
 2000.00      -1.0022131839602
 2100.00      -1.0116150006461
 2200.00      -1.0211966918757
 2300.00      -1.0309501771959
 2400.00      -1.0408680671845
 2500.00      -1.0509435788773
 2600.00      -1.0611704643894
 2700.00      -1.0715429502661
 2800.00      -1.0820556856294
 2900.00      -1.0927036975868
 3000.00      -1.1034823526795
 3100.00      -1.1143873233840
 3200.00      -1.1254145588682
 3300.00      -1.1365602593489
 3400.00      -1.1478208535148
 3500.00      -1.1591929785710
