# T (K)      B_S (GPa)
# P = 600.000000 (GPa)
    1.0    2032.7853693135805
   50.0    2031.7408243892842
  100.0    2030.5222109512106
  150.0    2029.0864830311027
  200.0    2027.9447604341688
  250.0    2026.5604782191913
  300.0    2025.6440659542088
  350.0    2024.3989511070690
  400.0    2022.6314651243410
  450.0    2021.5842922521770
  500.0    2020.8882552856221
  550.0    2019.2731859417722
  600.0    2018.1805182932164
  650.0    2016.9628897462114
  700.0    2015.7745015715614
  750.0    2014.4303234327131
  800.0    2013.7212781184655
  850.0    2011.2343855910838
  900.0    2010.6382490650931
  950.0    2008.9917717497467
 1000.0    2007.7072966406306
 1050.0    2006.3888370107625
 1100.0    2005.2516757485319
 1150.0    2003.5119844722803
 1200.0    2003.3159025311159
 1250.0    2002.0367815838056
 1300.0    1999.9629880104371
 1350.0    1998.3031639660953
 1400.0    1996.0394200439528
 1450.0    1997.4581721315883
 1500.0    1992.6323904297217
 1550.0    1997.5950860912751
 1600.0    1992.2960006658518
 1650.0    1995.2353546942227
 1700.0    1991.5055893388405
 1750.0    1991.0113342532377
 1800.0    1989.7099049917854
 1850.0    1988.8210290091895
 1900.0    1987.6984705219957
 1950.0    1985.8473330368952
 2000.0    1984.1486106941688
 2050.0    1983.0213755799084
 2100.0    1982.1201386072937
 2150.0    1979.7913782955434
 2200.0    1981.6734304009092
 2250.0    1975.1974037987713
 2300.0    1989.7135045594066
 2350.0    1971.9024290282002
 2400.0    1975.1715068985395
 2450.0    1972.0387542296401
 2500.0    1970.7502749518426
 2550.0    1970.0658149700989
 2600.0    1967.5441787837854
 2650.0    1982.3348066313883
 2700.0    1960.4715328050736
 2750.0    1969.0914600667202
 2800.0    1961.8722024383217
 2850.0    1968.6212673911464
 2900.0    1964.1927612349546
 2950.0    1967.3844774833062
 3000.0    1959.7525646331837
 3050.0    1964.8162353144260
 3100.0    1961.4918697534445
 3150.0    1960.6870822048038
 3200.0    1956.4615989088866
 3250.0    1956.5931693321488
 3300.0    1947.5778999484039
 3350.0    2036.4693787797050
 3400.0    1943.5654489336741
 3450.0    1967.2785171391354
 3500.0    1947.5935238562201
 3550.0    1965.3540840209484
 3600.0    1938.1356440051593
 3650.0    1965.5195375846201
 3700.0    1945.0713378564026
 3750.0    1968.2781995351340
 3800.0    1942.4126677807244
 3850.0    1965.0680674952926
 3900.0    1945.2787499695344
 3950.0    1946.9107520094374
 4000.0    1941.8549075656504
 4050.0    1957.9169187155642
 4100.0    1927.6688087192570
 4150.0    1860.3277239723880
 4200.0    1921.9477789940865
 4250.0    1951.6844403210403
 4300.0    1941.5741304683327
 4350.0    1940.3933864472820
