# T (K)      B_T_P (GPa)
# P = 600.000000 (GPa)
    1.0    2032.7576708588952
   50.0    2031.4669252308629
  100.0    2029.6084911334713
  150.0    2027.9817907328304
  200.0    2026.3562955206644
  250.0    2024.6604992428870
  300.0    2023.3392571103248
  350.0    2021.6312136050049
  400.0    2019.4229217863519
  450.0    2018.2777576531284
  500.0    2016.9008879855360
  550.0    2015.0391483578094
  600.0    2013.4728341039024
  650.0    2011.9193567115044
  700.0    2010.3558251151867
  750.0    2008.5698600729133
  800.0    2007.0802100736148
  850.0    2004.7326793248642
  900.0    2003.5368468209167
  950.0    2001.4320632981860
 1000.0    1999.8147089617380
 1050.0    1998.1310386734312
 1100.0    1996.4666945397707
 1150.0    1994.8629188587004
 1200.0    1993.8895396420460
 1250.0    1991.6607511908769
 1300.0    1989.1872402386318
 1350.0    1987.4116297277369
 1400.0    1985.8356351793680
 1450.0    1985.2506662017847
 1500.0    1982.4064949493541
 1550.0    1982.3310358025415
 1600.0    1982.3472724744940
 1650.0    1980.0969257848733
 1700.0    1978.5670386892355
 1750.0    1977.0445638883846
 1800.0    1975.5086657844322
 1850.0    1973.9691513785365
 1900.0    1971.7416153194372
 1950.0    1970.2594884857447
 2000.0    1967.8682143057456
 2050.0    1967.0576337409066
 2100.0    1964.6488052721418
 2150.0    1963.9127236516902
 2200.0    1962.3278970545093
 2250.0    1960.7736576765897
 2300.0    1957.1128499216027
 2350.0    1955.9957123171710
 2400.0    1954.2325238073615
 2450.0    1952.4813924212967
 2500.0    1950.7020589954991
 2550.0    1949.6165679967089
 2600.0    1947.8596291301151
 2650.0    1946.0841045808525
 2700.0    1945.6347423603124
 2750.0    1943.9193162837921
 2800.0    1945.0478314795037
 2850.0    1943.5743781215624
 2900.0    1942.0857437634590
 2950.0    1940.0446843479601
 3000.0    1938.6081660256018
 3050.0    1937.5604217882253
 3100.0    1934.7230316424957
 3150.0    1933.0948670339499
 3200.0    1930.4593126815305
 3250.0    1930.0956521293999
 3300.0    1928.4634485914758
 3350.0    1927.1227462309691
 3400.0    1926.8063343547997
 3450.0    1924.4517452652660
 3500.0    1923.1902039666195
 3550.0    1922.0822693196394
 3600.0    1924.1188537081885
 3650.0    1923.7993351854252
 3700.0    1922.2440676100625
 3750.0    1921.1008670879476
 3800.0    1918.9855332856162
 3850.0    1917.3614733763022
 3900.0    1914.7854385740995
 3950.0    1913.3260406956547
 4000.0    1911.8747135579986
 4050.0    1910.3323667267919
 4100.0    1907.6649662245281
 4150.0    1906.3593597625422
 4200.0    1908.5442418116645
 4250.0    1907.2114056098196
 4300.0    1905.6414185954825
 4350.0    1904.4066174538727
 4400.0    1903.1654068293242
 4450.0    1901.6388380818585
 4500.0    1898.5985784983095
 4550.0    1897.0939918815966
 4600.0    1895.5804830763211
 4650.0    1895.1182693439325
 4700.0    1893.7305919713970
 4750.0    1890.4304089414011
 4800.0    1888.7845682006039
 4850.0    1887.1444337615926
 4900.0    1885.5029098181881
 4950.0    1884.3249505761530
 5000.0    1882.7787422521465
# P = 602.000000 (GPa)
    1.0    2037.5023229793771
   50.0    2036.2095428950799
  100.0    2034.3513710973414
  150.0    2032.7204007226787
  200.0    2031.0907209487423
  250.0    2029.3920708427786
  300.0    2028.0608978221883
  350.0    2026.3503044914278
  400.0    2024.1489776610649
  450.0    2022.9907771230903
  500.0    2021.6051770288348
  550.0    2019.7439212400745
  600.0    2018.1724461693439
  650.0    2016.6137919094488
  700.0    2015.0453038026981
  750.0    2013.2584282509638
  800.0    2011.7624289603880
