# T (K)      C_V_P (J K^-1 mol^-1)
# P = 600.000000 (GPa)
    1.0       1.0000000000000
   50.0      51.2566677992577
  100.0      42.6379909936139
  150.0      50.5541417279151
  200.0      48.4806190654905
  250.0      49.8416572888565
  300.0      49.1587554183618
  350.0      50.1627279524299
  400.0      48.4860418168281
  450.0      50.9095066579289
  500.0      48.8857731563501
  550.0      50.7649661714753
  600.0      49.0305887542663
  650.0      49.8487535725821
  700.0      50.5819790159999
  750.0      49.2349276045250
  800.0      48.6151509434240
  850.0      51.5975420196000
  900.0      49.1181836553381
  950.0      50.4021453975322
 1000.0      49.2731730890046
 1050.0      50.0304004511740
 1100.0      49.5615571267666
 1150.0      50.3503592938529
 1200.0      49.4153284696539
 1250.0      50.8535297473772
 1300.0      48.9174889215537
 1350.0      49.6300542758863
 1400.0      50.3424405245287
 1450.0      48.1820948995909
 1500.0      58.3249886305060
 1550.0      33.3581433009779
 1600.0      63.1539330475012
 1650.0      44.8023382100167
 1700.0      51.1721798704679
 1750.0      49.7352659130287
 1800.0      49.5407070221329
 1850.0      51.2465924456449
 1900.0      47.9010693279355
 1950.0      51.9121153688303
 2000.0      48.3246115420596
 2050.0      51.3153970081547
 2100.0      48.3519543666463
 2150.0      51.2694701446143
 2200.0      44.8635649257299
 2250.0      68.7236938902258
 2300.0      30.2563079801665
 2350.0      56.6298665717729
 2400.0      47.2125647832294
 2450.0      51.3406583645974
 2500.0      49.0906801152769
 2550.0      48.7213844898973
 2600.0      55.6253034563507
 2650.0      27.8000254280315
 2700.0      73.3059350292919
 2750.0      38.3777677146161
 2800.0      56.7120991798285
 2850.0      47.2566842799491
 2900.0      53.6511376590379
 2950.0      45.4092075062493
 3000.0      53.5469667500271
 3050.0      47.9517517736701
 3100.0      50.1871071965902
 3150.0      49.6469085909833
 3200.0      49.8630135458499
 3250.0      45.6410224052913
 3300.0      72.2829749233056
 3350.0      11.1022141654304
 3400.0      82.4125514909887
 3450.0      34.1257310209985
 3500.0      58.0665026623448
 3550.0      26.6628942495864
 3600.0      75.8883451186134
 3650.0      35.6276681697311
 3700.0      64.4650671608970
 3750.0      33.2143264643171
 3800.0      68.9288255577531
 3850.0      35.3004869355691
 3900.0      56.4608331436132
 3950.0      47.2322459370045
 4000.0      54.0893521310444
 4050.0      37.6689947263874
 4100.0      94.3272209334943
 4150.0     -27.2441121472326
 4200.0     100.4840248366738
 4250.0      41.7998921280821
 4300.0      48.2648198050841
 4350.0      48.8315407775935
 4400.0      55.6288755923243
 4450.0      42.2495435526681
 4500.0      54.0416034778021
 4550.0      48.8037426097421
 4600.0      49.6706756742487
 4650.0      50.6613793090390
 4700.0      50.9679321480057
 4750.0      48.5082711174349
 4800.0      49.8860413185634
 4850.0      50.9937573453879
 4900.0      45.7919655083669
 4950.0      53.2454810489054
 5000.0      60.8556155318773
# P = 602.000000 (GPa)
    1.0       1.0000000000000
   50.0      51.2548405376839
  100.0      42.6389362080478
  150.0      50.5537298040237
  200.0      48.4801898787435
  250.0      49.8432630719245
  300.0      49.1573848400966
  350.0      50.1595239725644
  400.0      48.4925299669259
  450.0      50.9073076959953
  500.0      48.8824052496882
  550.0      50.7684281344776
  600.0      49.0292881065105
  650.0      49.8498642213340
  700.0      50.5782689288869
  750.0      49.2421395466330
  800.0      48.5993475231856
  850.0      51.6187680569694
  900.0      49.0995465142194
  950.0      50.4139809257603
 1000.0      49.2685520689292
 1050.0      50.0326557863105
 1100.0      49.5580865778623
 1150.0      50.3655626659927
 1200.0      49.3930417996497
 1250.0      50.8527431250357
