# T (K)      Entropy (J K^-1 mol^-1)
# V = 60.667600 (a.u.^3)
    0.0      -3.3073770740350
   50.0      62.9933030047278
  100.0      99.2981938177876
  150.0     118.3790855245774
  200.0     132.8679362264875
  250.0     143.9094966297860
  300.0     152.9890122445713
  350.0     160.6771616728516
  400.0     167.2863062936012
  450.0     173.1380080644227
  500.0     178.4176170993650
  550.0     183.1697101295344
  600.0     187.5176909758795
  650.0     191.4781611524375
  700.0     195.2039824067697
  750.0     198.6492311717391
  800.0     201.8152349610251
  850.0     204.8492725997895
  900.0     207.7287589639575
  950.0     210.4241333373147
 1000.0     212.9780541044949
 1050.0     215.4024203573930
 1100.0     217.7205327642763
 1150.0     219.9363145510002
 1200.0     222.0630364537567
 1250.0     224.1194205092607
 1300.0     226.0724889401091
 1350.0     227.9304054800211
 1400.0     229.7395027594780
 1450.0     231.4788712960036
 1500.0     233.2810335129641
 1550.0     234.7716586917743
 1600.0     236.3124929091003
 1650.0     237.9836449285989
 1700.0     239.4093086262640
 1750.0     240.8741617931221
 1800.0     242.2712887335544
 1850.0     243.6562162743710
 1900.0     244.9771660570818
 1950.0     246.2752029800367
 2000.0     247.5408072566919
 2050.0     248.7714164504994
 2100.0     249.9736797245927
 2150.0     251.1406169477452
 2200.0     252.2495462846918
 2250.0     253.5312657415367
 2300.0     254.6220805772260
 2350.0     255.5447486480107
 2400.0     256.6440097191956
 2450.0     257.6591444372195
 2500.0     258.6715058343192
 2550.0     259.6394246816404
 2600.0     260.6565074259045
 2650.0     261.4473280153990
 2700.0     262.3912704063879
 2750.0     263.4124726688574
 2800.0     264.2657228762395
 2850.0     265.1969252872572
 2900.0     266.0730145195960
 2950.0     266.9217825635996
 3000.0     267.7476437400850
 3050.0     268.5926215546050
 3100.0     269.3911027142587
 3150.0     270.1896758410656
 3200.0     270.9704483229231
 3250.0     271.7073091554284
 3300.0     272.6110443532072
 3350.0     273.2357726787293
 3400.0     273.9285224141527
 3450.0     274.7837545753724
 3500.0     275.4438613209136
 3550.0     276.0393251157372
 3600.0     276.7511429416628
 3650.0     277.5320562351525
 3700.0     278.2109603046852
 3750.0     278.8693203612216
 3800.0     279.5448554193749
 3850.0     280.2282624760055
 3900.0     280.8197304478447
 3950.0     281.4779497782953
 4000.0     282.1152288009494
 4050.0     282.6878736829665
 4100.0     283.4967268717118
 4150.0     283.8985682759840
 4200.0     284.3333711530291
 4250.0     285.1840495674735
 4300.0     285.7087672218668
 4350.0     286.2700253837074
 4400.0     286.8664272005933
 4450.0     287.4227132050919
 4500.0     287.9602474398460
 4550.0     288.5265658141927
 4600.0     289.0640566934135
 4650.0     289.6053385497431
 4700.0     290.1525554541811
 4750.0     290.6790417612730
 4800.0     291.1920782884170
 4850.0     291.7153858833001
 4900.0     292.2113621990675
 4950.0     292.7136367068250
 5000.0     293.2878655658421
# V = 60.589210 (a.u.^3)
    0.0      -3.3235256567407
   50.0      62.9392567274580
  100.0      99.2356060119420
  150.0     118.3186929992596
  200.0     132.8059424765244
  250.0     143.8489312505012
  300.0     152.9290805931174
  350.0     160.6126339289253
  400.0     167.2241443411368
  450.0     173.0796370511984
  500.0     178.3553695386960
  550.0     183.1073118386619
  600.0     187.4566609166758
  650.0     191.4169868531843
  700.0     195.1416144657953
  750.0     198.5882812210911
  800.0     201.7509674522105
  850.0     204.7867029660676
  900.0     207.6675915015463
  950.0     210.3602528547792
 1000.0     212.9167428717855
 1050.0     215.3403016622909
 1100.0     217.6580875888887
 1150.0     219.8771432237957
 1200.0     222.0021292306371
 1250.0     224.0522678005286
 1300.0     226.0084050540506
 1350.0     227.8675205562865
 1400.0     229.6825807413131
 1450.0     231.4153758819766
 1500.0     233.2181454668741
 1550.0     234.7219872440771
 1600.0     236.2517339659119
 1650.0     237.9190938394676
 1700.0     239.3487407784150
 1750.0     240.8123022282852
 1800.0     242.2104790131610
 1850.0     243.5921944818859
 1900.0     244.9145796453924
 1950.0     246.2108659775009
 2000.0     247.4796291155679
 2050.0     248.7095182363105
 2100.0     249.9112714812582
 2150.0     251.0819229025485
 2200.0     252.1885598619164
 2250.0     253.4634018116808
 2300.0     254.5557711691702
 2350.0     255.4855516350207
 2400.0     256.5806067975857
 2450.0     257.5961884443151
 2500.0     258.6107151846575
 2550.0     259.5791604097447
 2600.0     260.5921413775001
 2650.0     261.3888030488296
 2700.0     262.3298998567512
 2750.0     263.3574098721444
 2800.0     264.2123587482188
 2850.0     265.1336526927038
 2900.0     266.0106204765941
 2950.0     266.8579895033803
 3000.0     267.6891944553284
 3050.0     268.5280901416171
 3100.0     269.3260025689695
 3150.0     270.1246116220366
 3200.0     270.9087032186902
 3250.0     271.6496494549672
 3300.0     272.5476687583568
 3350.0     273.1791430370592
 3400.0     273.8670531300114
 3450.0     274.7200579638666
 3500.0     275.3824649827810
 3550.0     275.9871599946683
 3600.0     276.7025991546137
 3650.0     277.4704432235102
 3700.0     278.1503689598958
 3750.0     278.8067281580002
 3800.0     279.4815029579768
 3850.0     280.1637399840797
 3900.0     280.7548942239831
 3950.0     281.4171074260923
 4000.0     282.0539809462860
 4050.0     282.6231689148943
 4100.0     283.4301946707648
 4150.0     283.8481362637751
 4200.0     284.2811474524262
 4250.0     285.1198795491164
 4300.0     285.6479079821768
 4350.0     286.2091384109194
 4400.0     286.8061978271128
 4450.0     287.3563485087176
 4500.0     287.8943011894550
 4550.0     288.4650944307177
 4600.0     289.0041858723662
 4650.0     289.5478851115606
 4700.0     290.0854151381963
 4750.0     290.6120865295359
 4800.0     291.1308019616785
 4850.0     291.6522900186217
 4900.0     292.1499038001258
 4950.0     292.6530229666099
 5000.0     293.2235637307505
# V = 60.510820 (a.u.^3)
    0.0      -3.3396335819247
   50.0      62.8853624807654
  100.0      99.1731385922224
  150.0     118.2583727150844
  200.0     132.7440591170446
  250.0     143.7884200821555
  300.0     152.8691709695311
  350.0     160.5483238448676
  400.0     167.1620907907731
  450.0     173.0212111837255
  500.0     178.2932354637575
  550.0     183.0450334093860
  600.0     187.3956952046875
  650.0     191.3558766686449
  700.0     195.0793670177371
  750.0     198.5273933231452
  800.0     201.6868907492531
  850.0     204.7242549981336
  900.0     207.6064927605709
  950.0     210.2965547772727
 1000.0     212.8555053969054
 1050.0     215.2782889997274
 1100.0     217.5957616214681
 1150.0     219.8179535369342
 1200.0     221.9412774876322
 1250.0     223.9854368356460
 1300.0     225.9445135223858
