# V (a.u.^3)  Helmholtz Free Energy (Ry.)
# T= 0.000000 K
  60.6676     -0.201661771
  59.8578     -0.170787472
  59.1155     -0.139430866
  58.3732     -0.108574721
  57.6308     -0.077989745
  56.9560     -0.047387329
  56.3487     -0.016829129
  55.6738      0.013490281
  55.0665      0.043686731
  54.5266      0.073767304
  53.9867      0.103614163
  53.4469      0.133417776
  52.9070      0.163107133
# T= 50.000000 K
  60.6676     -0.202894907
  59.8578     -0.172006211
  59.1155     -0.140635507
  58.3732     -0.109766057
  57.6308     -0.079168635
  56.9560     -0.048554512
  56.3487     -0.017985361
  55.6738      0.012338672
  55.0665      0.042538609
  54.5266      0.072628053
  53.9867      0.102483315
  53.4469      0.132295107
  52.9070      0.161992449
# T= 100.000000 K
  60.6676     -0.206083644
  59.8578     -0.175171854
  59.1155     -0.143778439
  58.3732     -0.112887442
  57.6308     -0.082269707
  56.9560     -0.051636305
  56.3487     -0.021048940
  55.6738      0.009284727
  55.0665      0.039493248
  54.5266      0.069597975
  53.9867      0.099467826
  53.4469      0.129293865
  52.9070      0.159005153
# T= 150.000000 K
  60.6676     -0.210246016
  59.8578     -0.179310546
  59.1155     -0.147893830
  58.3732     -0.116980713
  57.6308     -0.086342102
  56.9560     -0.055688867
  56.3487     -0.025082742
  55.6738      0.005261045
  55.0665      0.035478695
  54.5266      0.065599226
  53.9867      0.095484180
  53.4469      0.125324975
  52.9070      0.155050713
# T= 200.000000 K
  60.6676     -0.215048811
  59.8578     -0.184089511
  59.1155     -0.152649342
  58.3732     -0.121713956
  57.6308     -0.091054325
  56.9560     -0.060381113
  56.3487     -0.029756088
  55.6738      0.000597946
  55.0665      0.030824867
  54.5266      0.060961337
  53.9867      0.090861526
  53.4469      0.120717211
  52.9070      0.150457530
# T= 250.000000 K
  60.6676     -0.220329606
  59.8578     -0.189346416
  59.1155     -0.157882732
  58.3732     -0.126925018
  57.6308     -0.096244308
  56.9560     -0.065551062
  56.3487     -0.034907079
  55.6738     -0.004542747
  55.0665      0.025693502
  54.5266      0.055845967
  53.9867      0.085761445
  53.4469      0.115632071
  52.9070      0.145387025
# T= 300.000000 K
  60.6676     -0.225991943
  59.8578     -0.194984831
  59.1155     -0.163497601
  58.3732     -0.132517529
  57.6308     -0.101815711
  56.9560     -0.071102402
  56.3487     -0.040439433
  55.6738     -0.010064777
  55.0665      0.020180828
  54.5266      0.050349315
  53.9867      0.080280110
  53.4469      0.110165704
  52.9070      0.139935319
# T= 350.000000 K
  60.6676     -0.231971841
  59.8578     -0.200940790
  59.1155     -0.169429998
  58.3732     -0.138427550
  57.6308     -0.107704607
  56.9560     -0.076971218
  56.3487     -0.046289247
  55.6738     -0.015904252
  55.0665      0.014350726
  54.5266      0.044535250
  53.9867      0.074481377
  53.4469      0.104381955
  52.9070      0.134166247
# T= 400.000000 K
  60.6676     -0.238223734
  59.8578     -0.207168733
  59.1155     -0.175634367
  58.3732     -0.144609533
  57.6308     -0.113865455
  56.9560     -0.083111975
  56.3487     -0.052410991
  55.6738     -0.022015650
  55.0665      0.008248712
  54.5266      0.038449283
  53.9867      0.068410751
  53.4469      0.098326323
  52.9070      0.128125301
# T= 450.000000 K
  60.6676     -0.244713509
  59.8578     -0.213634551
  59.1155     -0.182076604
  58.3732     -0.151029376
  57.6308     -0.120264155
  56.9560     -0.089490579
  56.3487     -0.058770575
  55.6738     -0.028364880
  55.0665      0.001908872
  54.5266      0.032125497
  53.9867      0.062102313
  53.4469      0.092032885
  52.9070      0.121846555
# T= 500.000000 K
  60.6676     -0.251414664
  59.8578     -0.220311744
  59.1155     -0.188730211
  58.3732     -0.157660585
