# T (K)               Helmholtz Free Energy (Ry.)
# V=  60.6676000000000
    0.00      -0.2011645696908
   50.00      -0.2023968722446
  100.00      -0.2055838887030
  150.00      -0.2097449422083
  200.00      -0.2145464127225
  250.00      -0.2198260994963
  300.00      -0.2254878337616
  350.00      -0.2314666550623
  400.00      -0.2377182167731
  450.00      -0.2442047589333
  500.00      -0.2509045921024
  550.00      -0.2577940226266
  600.00      -0.2648575469846
  650.00      -0.2720785176807
  700.00      -0.2794457832964
  750.00      -0.2869500896169
  800.00      -0.2945799104950
  850.00      -0.3023273464196
  900.00      -0.3101880833230
  950.00      -0.3181545694035
 1000.00      -0.3262212437901
 1050.00      -0.3343824975014
 1100.00      -0.3426342118777
 1150.00      -0.3509721626103
 1200.00      -0.3593928948224
 1250.00      -0.3678931459919
 1300.00      -0.3764701620699
 1350.00      -0.3851193466593
 1400.00      -0.3938385300590
 1450.00      -0.4026253077856
 1500.00      -0.4114787194435
 1550.00      -0.4203980732061
 1600.00      -0.4293696693805
 1650.00      -0.4384074568044
 1700.00      -0.4475016269021
 1750.00      -0.4566516697744
 1800.00      -0.4658561082417
 1850.00      -0.4751133216419
 1900.00      -0.4844226381759
 1950.00      -0.4937810334998
 2000.00      -0.5031891434771
 2050.00      -0.5126439491401
 2100.00      -0.5221459197171
 2150.00      -0.5316922528359
 2200.00      -0.5412828594968
 2250.00      -0.5509166276449
 2300.00      -0.5606002861078
 2350.00      -0.5703174666901
 2400.00      -0.5800758136269
 2450.00      -0.5898734499685
 2500.00      -0.5997101864734
 2550.00      -0.6095844386028
 2600.00      -0.6194961223080
 2650.00      -0.6294443811764
 2700.00      -0.6394211461764
 2750.00      -0.6494403728324
 2800.00      -0.6594918422258
 2850.00      -0.6695792122431
 2900.00      -0.6796999520862
 2950.00      -0.6898544357318
 3000.00      -0.7000399103375
 3050.00      -0.7102578608286
 3100.00      -0.7205068919840
 3150.00      -0.7307862808596
 3200.00      -0.7410959384634
 3250.00      -0.7514344929466
 3300.00      -0.7618029786691
 3350.00      -0.7722047375976
 3400.00      -0.7826252369472
 3450.00      -0.7930809852088
 3500.00      -0.8035621140420
 3550.00      -0.8140698216323
 3600.00      -0.8245986253654
 3650.00      -0.8351599754248
 3700.00      -0.8457461140026
 3750.00      -0.8563602332599
 3800.00      -0.8669970199209
 3850.00      -0.8776624988452
 3900.00      -0.8883500955448
 3950.00      -0.8990626615708
 4000.00      -0.9097993028508
 4050.00      -0.9205598765369
 4100.00      -0.9313439759443
 4150.00      -0.9421580174757
 4200.00      -0.9529783262994
 4250.00      -0.9638303643305
 4300.00      -0.9747060757329
 4350.00      -0.9856027027896
 4400.00      -0.9965211660250
 4450.00      -1.0074622848753
 4500.00      -1.0184234101250
 4550.00      -1.0294060944440
 4600.00      -1.0404096431742
 4650.00      -1.0514337001990
 4700.00      -1.0624785234787
 4750.00      -1.0735439414236
 4800.00      -1.0846289770264
 4850.00      -1.0957337911771
 4900.00      -1.1068582268365
 4950.00      -1.1180012629976
 5000.00      -1.1291648073639
# V=  60.5892101010101
    0.00      -0.1982326387238
   50.00      -0.1994635108028
  100.00      -0.2026482120840
  150.00      -0.2068069477488
  200.00      -0.2116060857925
  250.00      -0.2168834194025
  300.00      -0.2225428814736
  350.00      -0.2285193415736
  400.00      -0.2347684356948
  450.00      -0.2412527266154
  500.00      -0.2479502655949
  550.00      -0.2548372941757
  600.00      -0.2618984848298
  650.00      -0.2691171193450
  700.00      -0.2764820461465
  750.00      -0.2839839718240
  800.00      -0.2916114686303
  850.00      -0.2993563949462
  900.00      -0.3072148697069
  950.00      -0.3151789045190
 1000.00      -0.3232432293749
 1050.00      -0.3314021176291
 1100.00      -0.3396514699384
 1150.00      -0.3479870699523
 1200.00      -0.3564055802223
 1250.00      -0.3649033547447
 1300.00      -0.3734778485261
 1350.00      -0.3821246482776
 1400.00      -0.3908414849978
 1450.00      -0.3996261125561
 1500.00      -0.4084769270386
 1550.00      -0.4173942458605
 1600.00      -0.4263637831864
 1650.00      -0.4353990920976
 1700.00      -0.4444909204706
 1750.00      -0.4536386226193
 1800.00      -0.4628407176628
 1850.00      -0.4720955864733
 1900.00      -0.4814024279673
 1950.00      -0.4907584885934
 2000.00      -0.5001640929463
 2050.00      -0.5096166930094
 2100.00      -0.5191161550224
 2150.00      -0.5286602946577
 2200.00      -0.5382485458514
 2250.00      -0.5478799638828
 2300.00      -0.5575609081161
 2350.00      -0.5672758205379
 2400.00      -0.5770317808952
 2450.00      -0.5868270314148
 2500.00      -0.5966613781289
 2550.00      -0.6065333668016
 2600.00      -0.6164426628634
 2650.00      -0.6263885307665
 2700.00      -0.6363631166268
 2750.00      -0.6463799620524
 2800.00      -0.6564295581864
 2850.00      -0.6665145875383
 2900.00      -0.6766329834839
 2950.00      -0.6867850274854
 3000.00      -0.6969681661474
 3050.00      -0.7071838534548
 3100.00      -0.7174303003275
 3150.00      -0.7277073203368
 3200.00      -0.7380144304143
 3250.00      -0.7483508369919
 3300.00      -0.7587169522945
 3350.00      -0.7691164105022
 3400.00      -0.7795347480793
 3450.00      -0.7899880071452
 3500.00      -0.8004668288020
 3550.00      -0.8109722530081
 3600.00      -0.8214992937366
 3650.00      -0.8320584956383
 3700.00      -0.8426422662370
 3750.00      -0.8532540978417
 3800.00      -0.8638884181958
 3850.00      -0.8745515305729
 3900.00      -0.8852365878857
 3950.00      -0.8959468072905
 4000.00      -0.9066811029456
 4050.00      -0.9174393162298
 4100.00      -0.9282208660349
 4150.00      -0.9390326149031
 4200.00      -0.9498511460818
 4250.00      -0.9607008531846
 4300.00      -0.9715741993381
 4350.00      -0.9824685115843
 4400.00      -0.9933846585624
 4450.00      -1.0043234177355
 4500.00      -1.0152819287075
 4550.00      -1.0262622535186
 4600.00      -1.0372634409457
 4650.00      -1.0482853073095
 4700.00      -1.0593277893938
 4750.00      -1.0703905576175
 4800.00      -1.0814732105241
 4850.00      -1.0925756426950
 4900.00      -1.1036976961437
 4950.00      -1.1148384211301
 5000.00      -1.1259996001521
# V=  60.5108202020202
    0.00      -0.1952874935396
   50.00      -0.1965169392687
  100.00      -0.1996993310165
  150.00      -0.2038557521612
  200.00      -0.2086525610148
  250.00      -0.2139275453946
