# T (K)      C-ph_V_V (J K^-1 mol^-1)
# V = 57.968300 (a.u.^3)
    5.0       3.9257980704294
   50.0      47.2503586965638
  100.0      49.2056557775895
  150.0      49.5822036857581
  200.0      49.7151048512287
  250.0      49.7768155736664
  300.0      49.8103897416513
  350.0      49.8306517291472
  400.0      49.8438097212488
  450.0      49.8528340665392
  500.0      49.8592907598411
  550.0      49.8640688591569
  600.0      49.8677034947542
  650.0      49.8705323944114
  700.0      49.8727772256223
  750.0      49.8745883608071
  800.0      49.8760707219371
  850.0      49.8772993209400
  900.0      49.8783289368069
  950.0      49.8792003277128
 1000.0      49.8799443267545
 1050.0      49.8805846069235
 1100.0      49.8811395874600
 1150.0      49.8816237733107
 1200.0      49.8820487124758
 1250.0      49.8824236909241
 1300.0      49.8827562441817
 1350.0      49.8830525388565
 1400.0      49.8833176605584
 1450.0      49.8835558335683
 1500.0      49.8837705901410
 1550.0      49.8839649022187
 1600.0      49.8841412847986
 1650.0      49.8843018777182
 1700.0      49.8844485108602
 1750.0      49.8845827565065
 1800.0      49.8847059716610
 1850.0      49.8848193324746
 1900.0      49.8849238624168
 1950.0      49.8850204554562
 2000.0      49.8851098952372
 2050.0      49.8851928710238
 2100.0      49.8852699910179
 2150.0      49.8853417935365
 2200.0      49.8854087564309
 2250.0      49.8854713050566
 2300.0      49.8855298190456
 2350.0      49.8855846380795
 2400.0      49.8856360668304
 2450.0      49.8856843792030
 2500.0      49.8857298219901
 2550.0      49.8857726180287
 2600.0      49.8858129689386
 2650.0      49.8858510575004
 2700.0      49.8858870497298
 2750.0      49.8859210966884
 2800.0      49.8859533360728
 2850.0      49.8859838936079
 2900.0      49.8860128842747
 2950.0      49.8860404133937
 3000.0      49.8860665775827
 3050.0      49.8860914656059
 3100.0      49.8861151591275
 3150.0      49.8861377333816
 3200.0      49.8861592577721
 3250.0      49.8861797964053
 3300.0      49.8861994085678
 3350.0      49.8862181491557
 3400.0      49.8862360690580
 3450.0      49.8862532155041
 3500.0      49.8862696323728
 3550.0      49.8862853604761
 3600.0      49.8863004378112
 3650.0      49.8863148997903
 3700.0      49.8863287794502
 3750.0      49.8863421076393
 3800.0      49.8863549131900
 3850.0      49.8863672230750
 3900.0      49.8863790625492
 3950.0      49.8863904552790
 4000.0      49.8864014234616
 4050.0      49.8864119879315
 4100.0      49.8864221682615
 4150.0      49.8864319828524
 4200.0      49.8864414490156
 4250.0      49.8864505830509
 4300.0      49.8864594003157
 4350.0      49.8864679152904
 4400.0      49.8864761416364
 4450.0      49.8864840922527
 4500.0      49.8864917793257
 4550.0      49.8864992143755
 4600.0      49.8865064082998
