# P (GPa)      H (Ry.)
   600.00       2.2528032280612
   602.00       2.2604781993468
   604.00       2.2681454581358
   606.00       2.2758050284282
   608.00       2.2834569340847
   610.00       2.2911011988247
   612.00       2.2987378462274
   614.00       2.3063668997366
   616.00       2.3139883826614
   618.00       2.3216023181739
   620.00       2.3292087293111
   622.00       2.3368076389789
   624.00       2.3443990699536
   626.00       2.3519830448774
   628.00       2.3595595862630
   630.00       2.3671287164970
   632.00       2.3746904578394
   634.00       2.3822448324201
   636.00       2.3897918622450
   638.00       2.3973315691986
   640.00       2.4048639750400
   642.00       2.4123891014042
   644.00       2.4199069698075
   646.00       2.4274176016475
   648.00       2.4349210181980
   650.00       2.4424172406163
   652.00       2.4499062899451
   654.00       2.4573881871078
   656.00       2.4648629529108
   658.00       2.4723306080496
   660.00       2.4797911731058
   662.00       2.4872446685440
   664.00       2.4946911147203
   666.00       2.5021305318817
   668.00       2.5095629401600
   670.00       2.5169883595800
   672.00       2.5244068100612
   674.00       2.5318183114108
   676.00       2.5392228833300
   678.00       2.5466205454184
   680.00       2.5540113171660
   682.00       2.5613952179581
   684.00       2.5687722670816
   686.00       2.5761424837165
   688.00       2.5835058869399
   690.00       2.5908624957328
   692.00       2.5982123289722
   694.00       2.6055554054341
   696.00       2.6128917438010
   698.00       2.6202213626531
   700.00       2.6275442804724
   702.00       2.6348605156499
   704.00       2.6421700864752
   706.00       2.6494730111433
   708.00       2.6567693077599
   710.00       2.6640589943306
   712.00       2.6713420887701
   714.00       2.6786186089048
   716.00       2.6858885724625
   718.00       2.6931519970844
   720.00       2.7004089003230
   722.00       2.7076592996348
   724.00       2.7149032123939
   726.00       2.7221406558839
   728.00       2.7293716472970
   730.00       2.7365962037458
   732.00       2.7438143422499
   734.00       2.7510260797445
   736.00       2.7582314330847
   738.00       2.7654304190328
   740.00       2.7726230542734
   742.00       2.7798093554072
   744.00       2.7869893389469
   746.00       2.7941630213314
   748.00       2.8013304189110
   750.00       2.8084915479569
   752.00       2.8156464246645
   754.00       2.8227950651407
   756.00       2.8299374854216
   758.00       2.8370737014600
   760.00       2.8442037291294
   762.00       2.8513275842324
   764.00       2.8584452824852
   766.00       2.8655568395352
   768.00       2.8726622709510
   770.00       2.8797615922227
   772.00       2.8868548187734
   774.00       2.8939419659418
   776.00       2.9010230490011
   778.00       2.9080980831472
   780.00       2.9151670835014
   782.00       2.9222300651195
   784.00       2.9292870429757
   786.00       2.9363380319821
   788.00       2.9433830469738
   790.00       2.9504221027167
   792.00       2.9574552139111
   794.00       2.9644823951790
   796.00       2.9715036610844
   798.00       2.9785190261123
   800.00       2.9855285046870
   802.00       2.9925321111627
   804.00       2.9995298598236
   806.00       3.0065217648948
   808.00       3.0135078405246
   810.00       3.0204881008065
   812.00       3.0274625597593
   814.00       3.0344312313427
   816.00       3.0413941294505
   818.00       3.0483512679092
   820.00       3.0553026604892
   822.00       3.0622483208869
   824.00       3.0691882627479
   826.00       3.0761224996439
   828.00       3.0830510450938
   830.00       3.0899739125490
   832.00       3.0968911154019
   834.00       3.1038026669864
   836.00       3.1107085805685
   838.00       3.1176088693641
   840.00       3.1245035465226
   842.00       3.1313926251426
   844.00       3.1382761182328
   846.00       3.1451540387847
   848.00       3.1520263997897
   850.00       3.1588932142391
   852.00       3.1657544951244
   854.00       3.1726102554371
   856.00       3.1794605081684
   858.00       3.1863052663100
   860.00       3.1931445428530
   862.00       3.1999783507891
   864.00       3.2068067031095
   866.00       3.2136296128057
   868.00       3.2204470928691
   870.00       3.2272591562912
   872.00       3.2340658160634
   874.00       3.2408670851769
   876.00       3.2476629766233
