# T (K)      Entropy-ph (J K^-1 mol^-1)
# V = 57.968300 (a.u.^3)
    5.0       1.2020379616818
   50.0      66.9650585261980
  100.0     100.5389248954096
  150.0     120.5764916116849
  200.0     134.8613287679370
  250.0     145.9623271262271
  300.0     155.0409593200154
  350.0     162.7209064077557
  400.0     169.3757802243988
  450.0     175.2470877196581
  500.0     180.4999600891977
  550.0     185.2522929809619
  600.0     189.5911969828817
  650.0     193.5828592301411
  700.0     197.2787484890610
  750.0     200.7196785123620
  800.0     203.9385595506002
  850.0     206.9623154696364
  900.0     209.8132527714005
  950.0     212.5100593998168
 1000.0     215.0685473132325
 1050.0     217.5022138593181
 1100.0     219.8226725440672
 1150.0     222.0399880386348
 1200.0     224.1629398838800
 1250.0     226.1992323608843
 1300.0     228.1556631985827
 1350.0     230.0382604413765
 1400.0     231.8523944256223
 1450.0     233.6028701066703
 1500.0     235.2940037339499
 1550.0     236.9296869538858
 1600.0     238.5134407358878
 1650.0     240.0484610005832
 1700.0     241.5376574367795
 1750.0     242.9836866919137
 1800.0     244.3889808871166
 1850.0     245.7557722255831
 1900.0     247.0861143193947
 1950.0     248.3819007462970
 2000.0     249.6448812572436
 2050.0     250.8766759827903
 2100.0     252.0787879276964
 2150.0     253.2526139954265
 2200.0     254.3994547453557
 2250.0     255.5205230535470
 2300.0     256.6169518217309
 2350.0     257.6898008572762
 2400.0     258.7400630289090
 2450.0     259.7686697877678
 2500.0     260.7764961307397
 2550.0     261.7643650723358
 2600.0     262.7330516823861
 2650.0     263.6832867391520
 2700.0     264.6157600410246
 2750.0     265.5311234143628
 2800.0     266.4299934503475
 2850.0     267.3129539996186
 2900.0     268.1805584499854
 2950.0     269.0333318094352
 3000.0     269.8717726141035
 3050.0     270.6963546785466
 3100.0     271.5075287037129
 3150.0     272.3057237562676
 3200.0     273.0913486314319
 3250.0     273.8647931101667
 3300.0     274.6264291203959
 3350.0     275.3766118109004
 3400.0     276.1156805456741
 3450.0     276.8439598256916
 3500.0     277.5617601443525
 3550.0     278.2693787822747
 3600.0     278.9671005464766
 3650.0     279.6551984586030
 3700.0     280.3339343963238
 3750.0     281.0035596916791
 3800.0     281.6643156898047
 3850.0     282.3164342711358
 3900.0     282.9601383399213
 3950.0     283.5956422816155
 4000.0     284.2231523915124
 4050.0     284.8428672767410
 4100.0     285.4549782336190
 4150.0     286.0596696021126
 4200.0     286.6571190990890
 4250.0     287.2474981318386
 4300.0     287.8309720932671
 4350.0     288.4077006400215
 4400.0     288.9778379547275
 4450.0     289.5415329934028
 4500.0     290.0989297190542
 4550.0     290.6501673223689
 4600.0     291.1953804303405
 4650.0     291.7346993036284
 4700.0     292.2682500233444
 4750.0     292.7961546679796
 4800.0     293.3185314810479
 4850.0     293.8354950300533
 4900.0     294.3471563573062
 4950.0     294.8536231230769
 5000.0     295.3549997415580
# V = 57.225900 (a.u.^3)
    5.0       1.1428394441722
   50.0      66.2402829392100
  100.0      99.7831024096969
  150.0     119.8146828207051
  200.0     134.0974065740186
  250.0     145.1974235049151
  300.0     154.2755217191254
  350.0     161.9551465411589
  400.0     168.6098110767672
  450.0     174.4809750357288
  500.0     179.7337447075970
  550.0     184.4860016001367
  600.0     188.8248477900689
  650.0     192.8164650409830
  700.0     196.5123185935161
  750.0     199.9532198086631
  800.0     203.1720772681450
  850.0     206.1958136447192
  900.0     209.0467345690202
  950.0     211.7435273366861
 1000.0     214.3020034156430
 1050.0     216.7356597770227
 1100.0     219.0561096338456
 1150.0     221.2734174265549
 1200.0     223.3963625123294
 1250.0     225.4326490245434
 1300.0     227.3890745722786
 1350.0     229.2716671018479
 1400.0     231.0857968687157
 1450.0     232.8362687610412
 1500.0     234.5273989720675
 1550.0     236.1630791009517
 1600.0     237.7468300770952
 1650.0     239.2818477870918
 1700.0     240.7710418906417
 1750.0     242.2170690101713
 1800.0     243.6223612452296
 1850.0     244.9891507803005
 1900.0     246.3194912111870
 1950.0     247.6152761014153
 2000.0     248.8782551894749
 2050.0     250.1100485949551
 2100.0     251.3121593129434
 2150.0     252.4859842383415
 2200.0     253.6328239229205
 2250.0     254.7538912359823
 2300.0     255.8503190732158
 2350.0     256.9231672365876
 2400.0     257.9734285899771
 2450.0     259.0020345801667
 2500.0     260.0098602001161
 2550.0     260.9977284607933
