# T (K)    Entropy (J K^-1 mol^-1)
# P = 600.000000 (GPa)
    0.0      -3.7583257038069
   50.0      63.3543158741904
  100.0      99.8927001012507
  150.0     118.9958033257313
  200.0     133.4772865910107
  250.0     144.6740120647298
  300.0     153.7683904934207
  350.0     161.3022198366924
  400.0     168.0814160061169
  450.0     173.7177096647415
  500.0     179.7532339527314
  550.0     184.5170267629917
  600.0     188.0970479768058
  650.0     192.3047192687082
  700.0     195.9722903390157
  750.0     199.4451984651441
  800.0     202.6460248915320
  850.0     205.6880576060242
  900.0     208.5659354490147
  950.0     211.2716764102373
 1000.0     213.8440443270338
 1050.0     216.2895356500051
 1100.0     218.6246645458865
 1150.0     220.8548818902728
 1200.0     223.0018077599527
 1250.0     225.0092843500915
 1300.0     227.1195070259681
 1350.0     228.4972002097944
 1400.0     230.3541266079656
 1450.0     232.6477328824987
 1500.0     234.1901486424958
 1550.0     235.8792630344432
 1600.0     237.4626734128402
 1650.0     239.0253397918761
 1700.0     240.4898663969568
 1750.0     241.9824330610075
 1800.0     243.4117084331537
 1850.0     244.7779716437141
 1900.0     246.1403705090092
 1950.0     247.4213510526679
 2000.0     248.7093096833905
 2050.0     249.9517560632279
 2100.0     251.1694350215759
 2150.0     252.3622525188036
 2200.0     253.5352506763895
 2250.0     254.6541188449299
 2300.0     255.7665622526014
 2350.0     256.8551363910191
 2400.0     257.9227086148148
 2450.0     258.9563773602570
 2500.0     259.9760895619227
 2550.0     260.9919057965686
 2600.0     261.9338571565100
 2650.0     262.9253193973123
 2700.0     263.8773316564721
 2750.0     264.8194353777550
 2800.0     265.7410165628856
 2850.0     266.5819060237853
 2900.0     267.5091480874423
 2950.0     268.3641871493062
 3000.0     269.1956802083100
 3050.0     270.0613306170480
 3100.0     270.8637676484594
 3150.0     271.6864568549519
 3200.0     272.4896556288695
 3250.0     273.2198442078385
 3300.0     274.0710042931016
 3350.0     274.8556112398598
 3400.0     275.5641691191292
 3450.0     276.2932332901227
 3500.0     276.9743138609866
 3550.0     277.8609345756813
 3600.0     278.1103825796153
 3650.0     278.6461578492007
 3700.0     280.3616754480503
 3750.0     280.9334669205847
 3800.0     281.1020546938835
 3850.0     281.9073059634691
 3900.0     282.5337649297678
 3950.0     283.2215564069576
 4000.0     283.8325158950783
 4050.0     284.4412751098091
 4100.0     285.0659025295366
 4150.0     285.7021385760683
 4200.0     286.2795052595518
 4250.0     287.1019241344324
 4300.0     286.8034672296383
 4350.0     287.3686324627830
 4400.0     288.8207662642342
 4450.0     289.1807586775729
 4500.0     289.8079685721664
 4550.0     290.3509393943839
 4600.0     290.9242619630692
 4650.0     291.4779210834470
 4700.0     292.0081533064180
 4750.0     292.5191890691191
 4800.0     293.2421467596638
 4850.0     293.7591289696280
 4900.0     294.0954984730996
 4950.0     294.6610979723882
 5000.0     295.1762588524668
# P = 602.000000 (GPa)
    0.0      -3.7768774006350
   50.0      63.3069141854925
  100.0      99.8374784538284
  150.0     118.9419196729824
  200.0     133.4208617336739
  250.0     144.6249215347968
  300.0     153.7178692148965
  350.0     161.2458383214779
  400.0     168.0310564961234
  450.0     173.6533900674119
  500.0     179.7339336812227
  550.0     184.4980388431867
  600.0     188.0347741044840
  650.0     192.2538887061463
  700.0     195.9190264943915
  750.0     199.3928534547638
  800.0     202.5926609984116
  850.0     205.6343619777398
  900.0     208.5125001201980
  950.0     211.2187884663143
 1000.0     213.7910618577282
 1050.0     216.2366021043174
 1100.0     218.5718209980564
 1150.0     220.8017350449672
 1200.0     222.9498615021425
 1250.0     224.9530362427323
 1300.0     227.0795792335363
 1350.0     228.3963759031847
 1400.0     230.2525777305834
 1450.0     232.6063406470989
 1500.0     234.1317234312551
 1550.0     235.8265512991093
 1600.0     237.4093573984933
 1650.0     238.9710071919212
 1700.0     240.4353359119319
 1750.0     241.9286632491213
 1800.0     243.3578470469414
 1850.0     244.7234648705709
 1900.0     246.0869255835384
 1950.0     247.3680630431829
 2000.0     248.6554301733367
 2050.0     249.8978983167792
 2100.0     251.1158047601967
 2150.0     252.3084916041121
 2200.0     253.4815676339667
 2250.0     254.6010274350152
 2300.0     255.7117153814654
 2350.0     256.8013704755140
 2400.0     257.8706381518123
 2450.0     258.9026964048916
 2500.0     259.9221971606264
 2550.0     260.9390708761627
 2600.0     261.8793369570969
 2650.0     262.8722741477541
 2700.0     263.8250879047790
 2750.0     264.7643354107871
 2800.0     265.6879158635130
 2850.0     266.5297896047603
 2900.0     267.4551399492202
 2950.0     268.3107258449416
 3000.0     269.1425712897385
 3050.0     270.0082914746449
 3100.0     270.8110829109676
 3150.0     271.6330142309402
 3200.0     272.4361531821624
 3250.0     273.1653813023080
 3300.0     274.0187413682060
 3350.0     274.8054777554876
 3400.0     275.5102218430911
 3450.0     276.2392429154323
 3500.0     276.9299302230439
 3550.0     277.7866147989464
 3600.0     278.1383535738025
 3650.0     278.7049768673396
 3700.0     280.1974247910751
 3750.0     280.7988637310518
 3800.0     281.0709399985445
 3850.0     281.8481117686055
 3900.0     282.4852796907975
 3950.0     283.1674063104080
 4000.0     283.7799696979851
 4050.0     284.3914916973378
 4100.0     285.0149765795894
 4150.0     285.6488274635777
 4200.0     286.2341444247067
 4250.0     287.0246610410276
 4300.0     286.8481922048946
 4350.0     287.4147878947321
 4400.0     288.7460222331537
 4450.0     289.1357341710282
 4500.0     289.7554771820941
 4550.0     290.3017387774787
 4600.0     290.8726836861978
 4650.0     291.4268571038912
 4700.0     291.9575764225377
 4750.0     292.4728747662293
 4800.0     293.1751877995526
 4850.0     293.6929896761296
 4900.0     294.0510310037640
 4950.0     294.6109724627742
 5000.0     295.1274812511779
# P = 604.000000 (GPa)
    0.0      -3.7953186854561
   50.0      63.2595532649556
  100.0      99.7823179166409
  150.0     118.8880750921971
  200.0     133.3646582584183
  250.0     144.5753854754994
  300.0     153.6670411202826
  350.0     161.1896798527737
  400.0     167.9803935587607
  450.0     173.5899439621978
  500.0     179.7117558823125
  550.0     184.4762039103968
  600.0     187.9732861086074
  650.0     192.2028839077278
  700.0     195.8657997039183
  750.0     199.3404720133547
  800.0     202.5393384301459
  850.0     205.5807346928287
  900.0     208.4591175579081
  950.0     211.1659105815207
 1000.0     213.7380987984924
 1050.0     216.1836852144012
 1100.0     218.5189899165441
 1150.0     220.7486224043128
 1200.0     222.8978724997076
 1250.0     224.8970260960901
 1300.0     227.0388265295878
 1350.0     228.2987010728684
 1400.0     230.1541920207040
 1450.0     232.5641603228802
 1500.0     234.0736246198747
 1550.0     235.7737927471605
 1600.0     237.3560353397269
 1650.0     238.9167371508301
 1700.0     240.3808723458451
 1750.0     241.8749210572960
 1800.0     243.3040217436222
 1850.0     244.6690311134505
 1900.0     246.0334945292250
 1950.0     247.3147754412587
 2000.0     248.6015893027865
 2050.0     249.8440780961471
 2100.0     251.0622003773836
 2150.0     252.2547659052174
 2200.0     253.4279187384452
 2250.0     254.5479359569455
 2300.0     255.6569648734745
 2350.0     256.7476438154521
 2400.0     257.8185174369196
 2450.0     258.8490514763394
 2500.0     259.8683517431101
 2550.0     260.8862321414824
 2600.0     261.8248923506736
 2650.0     262.8192359846511
 2700.0     263.7728123841817
 2750.0     264.7093500980904
 2800.0     265.6348320690435
 2850.0     266.4776341553437
 2900.0     267.4011933303789
 2950.0     268.2572989008016
 3000.0     269.0894766924043
 3050.0     269.9552695009858
 3100.0     270.7583957427377
 3150.0     271.5796075480625
 3200.0     272.3826903926115
 3250.0     273.1109934311668
 3300.0     273.9664663278062
 3350.0     274.7552417596308
 3400.0     275.4563371901468
 3450.0     276.1853131706946
 3500.0     276.8851908773062
 3550.0     277.7132351861788
 3600.0     278.1628733503360
 3650.0     278.7590698312039
 3700.0     280.0379616138505
 3750.0     280.6677459419087
 3800.0     281.0389227168748
 3850.0     281.7892070892910
 3900.0     282.4366361610032
 3950.0     283.1133373923299
 4000.0     283.7274360135866
 4050.0     284.3416072953553
 4100.0     284.9639986894468
 4150.0     285.5955589520967
 4200.0     286.1885219453670
 4250.0     286.9483776124325
 4300.0     286.8891461443717
 4350.0     287.4571443904904
 4400.0     288.6722067434062
 4450.0     289.0904744705098
 4500.0     289.7030452708385
 4550.0     290.2524720008200
 4600.0     290.8211297167301
 4650.0     291.3757996430492
 4700.0     291.9069867458276
 4750.0     292.4263957620980
 4800.0     293.1088138815463
 4850.0     293.6274017770859
 4900.0     294.0063296925215
 4950.0     294.5608202491504
 5000.0     295.0786283467637
# P = 606.000000 (GPa)
    0.0      -3.8136513862891
   50.0      63.2122338693847
  100.0      99.7272189578260
  150.0     118.8342705684407
  200.0     133.3086724369020
  250.0     144.5254171633119
  300.0     153.6159158891322
  350.0     161.1337406325793
  400.0     167.9294364410551
  450.0     173.5273520839702
  500.0     179.6867711161770
  550.0     184.4515913505786
  600.0     187.9125661691387
  650.0     192.1517101649204
  700.0     195.8126101337906
  750.0     199.2880559946822
  800.0     202.4860572185423
  850.0     205.5271751932935
  900.0     208.4057875983630
  950.0     211.1130435671439
 1000.0     213.6851556862974
 1050.0     216.1307855414357
 1100.0     218.4661719483769
 1150.0     220.6955441817436
 1200.0     222.8458426719929
 1250.0     224.8412496339309
 1300.0     226.9972678163660
 1350.0     228.2041077977015
 1400.0     230.0589016232695
 1450.0     232.5212106033778
 1500.0     234.0158464314790
 1550.0     235.7209898171088
 1600.0     237.3027088408743
 1650.0     238.8625297368976
 1700.0     240.3264756163362
 1750.0     241.8212072403425
 1800.0     243.2502330975169
 1850.0     244.6146701989028
 1900.0     245.9800784399010
 1950.0     247.2614895602196
 2000.0     248.5477875456205
 2050.0     249.7902959027918
 2100.0     251.0086226705947
 2150.0     252.2010760109426
 2200.0     253.3743045367617
 2250.0     254.4948456500707
 2300.0     255.6023099761288
 2350.0     256.6939568869807
 2400.0     257.7663487783241
 2450.0     258.7954430388267
 2500.0     259.8145535406260
 2550.0     260.8333908495707
 2600.0     261.7705230501496
 2650.0     262.7662059782303
 2700.0     263.7205068834028
 2750.0     264.6544782866408
 2800.0     265.5817659799131
 2850.0     266.4254416237885
 2900.0     267.3473081876650
 2950.0     268.2039067444015
 3000.0     269.0363972259364
 3050.0     269.9022654414144
 3100.0     270.7057073184790
 3150.0     271.5262372300108
 3200.0     272.3292675564247
 3250.0     273.0566802041447
 3300.0     273.9141804372498
 3350.0     274.7049062645193
 3400.0     275.4025150350938
 3450.0     276.1314439860179
 3500.0     276.8401032291006
 3550.0     277.6407799844916
 3600.0     278.1840042430803
 3650.0     278.8085212108404
 3700.0     279.8832019084350
 3750.0     280.5400530190362
 3800.0     281.0060196811149
 3850.0     281.7305877656098
 3900.0     282.3878381456203
 3950.0     283.0593491231972
 4000.0     283.6749155082231
 4050.0     284.2916245935862
 4100.0     284.9129706616839
 4150.0     285.5423332712982
 4200.0     286.1426430684273
 4250.0     286.8730582533469
 4300.0     286.9263931380767
 4350.0     287.4957661748832
 4400.0     288.5993045427399
 4450.0     289.0449839534385
 4500.0     289.6506722669955
 4550.0     290.2031406207677
 4600.0     290.7696001296426
 4650.0     291.3247490337007
 4700.0     291.8563848982007
 4750.0     292.3797550445106
 4800.0     293.0430162558591
 4850.0     293.5623569687393
 4900.0     293.9613984476173
 4950.0     294.5106420240717
 5000.0     295.0297016923993
# P = 608.000000 (GPa)
    0.0      -3.8318773961899
   50.0      63.1649568438162
  100.0      99.6721820593453
  150.0     118.7805070033284
  200.0     133.2529005424090
  250.0     144.4750297701423
  300.0     153.5645031907885
  350.0     161.0780169225466
  400.0     167.8781942453658
  450.0     173.4655952722428
  500.0     179.6590494525555
  550.0     184.4242700833437
  600.0     187.8525966665839
  650.0     192.1003727428857
  700.0     195.7594578762495
  750.0     199.2356072130060
  800.0     202.4328174106363
  850.0     205.4736829976778
  900.0     208.3525100947159
  950.0     211.0601881560067
 1000.0     213.6322330246750
 1050.0     216.0779036567290
 1100.0     218.4133678073386
 1150.0     220.6425006115392
 1200.0     222.7937738553564
 1250.0     224.7857025733479
 1300.0     226.9549218900961
 1350.0     228.1125286422913
 1400.0     229.9666391159936
 1450.0     232.4775100280016
 1500.0     233.9583831515552
 1550.0     235.6681449994439
 1600.0     237.2493794839611
 1650.0     238.8083849510968
 1700.0     240.2721456284545
 1750.0     241.7675225674136
 1800.0     243.1964817474504
 1850.0     244.5603819406946
 1900.0     245.9266783366541
 1950.0     247.2082066931208
 2000.0     248.4940253925960
 2050.0     249.7365523017882
 2100.0     250.9550724156499
 2150.0     252.1474224429757
 2200.0     253.3207255617931
 2250.0     254.4417577651604
 2300.0     255.5477500082736
 2350.0     256.6403101465146
 2400.0     257.7141344061971
 2450.0     258.7418715436401
 2500.0     259.7608028025012
 2550.0     260.7805483138246
 2600.0     261.7162287541594
 2650.0     262.7131851302401
 2700.0     263.6681731694739
 2750.0     264.5997188513173
 2800.0     265.5287184548176
 2850.0     266.3732139302992
 2900.0     267.2934844183332
 2950.0     268.1505497897387
 3000.0     268.9833337115789
 3050.0     269.8492800994759
 3100.0     270.6530187941438
 3150.0     271.4729036374885
 3200.0     272.2758849568403
 3250.0     273.0024412499029
 3300.0     273.8618850149513
 3350.0     274.6544742560357
 3400.0     275.3487551934003
 3450.0     276.0776352780746
 3500.0     276.7946746417654
 3550.0     277.5692336071482
 3600.0     278.2018081734205
 3650.0     278.8534149593606
 3700.0     279.7330621877854
 3750.0     280.4157247392561
 3800.0     280.9722476960272
 3850.0     281.6722496728307
 3900.0     282.3388893635791
 3950.0     283.0054409521892
 4000.0     283.6224088425881
 4050.0     284.2415463117122
 4100.0     284.8618943185470
 4150.0     285.4891506043996
 4200.0     286.0965129908418
 4250.0     286.7986874927616
 4300.0     286.9599968826668
 4350.0     287.5307170683161
 4400.0     288.5273004948423
 4450.0     288.9992670356394
 4500.0     289.5983576330315
 4550.0     290.1537461034603
 4600.0     290.7180949139880
 4650.0     291.2737055532477
 4700.0     291.8057715055995
 4750.0     292.3329556385997
 4800.0     292.9777862846294
 4850.0     293.4978471394901
 4900.0     293.9162413500642
 4950.0     294.4604386275984
 5000.0     294.9807028950642
# P = 610.000000 (GPa)
    0.0      -3.8499984599401
   50.0      63.1177229787656
  100.0      99.6172076310073
  150.0     118.7267852687527
  200.0     133.1973389043676
  250.0     144.4242364384625
  300.0     153.5128126053954
  350.0     161.0225049382070
  400.0     167.8266759839967
  450.0     173.4046545324151
  500.0     179.6286605127623
  550.0     184.3943085926821
  600.0     187.7933600821518
  650.0     192.0488767983084
  700.0     195.7063430128480
  750.0     199.1831275074584
  800.0     202.3796191279241
  850.0     205.4202576021994
  900.0     208.2992848295759
  950.0     211.0073450631926
 1000.0     213.5793313472684
 1050.0     216.0250402028676
 1100.0     218.3605781841180
 1150.0     220.5894918548245
 1200.0     222.7416678587954
 1250.0     224.7303806866749
 1300.0     226.9118075057200
 1350.0     228.0238965780776
 1400.0     229.8773374456593
 1450.0     232.4330770649933
 1500.0     233.9012291662404
 1550.0     235.6152607343447
 1600.0     237.1960487785214
 1650.0     238.7543027875419
 1700.0     240.2178823233750
 1750.0     241.7138678664639
 1800.0     243.1427682895829
 1850.0     244.5061660970313
 1900.0     245.8732952278211
 1950.0     247.1549281583478
 2000.0     248.4403033932776
 2050.0     249.6828478158880
 2100.0     250.9015503275567
 2150.0     252.0938057142715
 2200.0     253.2671823774957
 2250.0     254.3886736049467
 2300.0     255.4932842545807
 2350.0     256.5867039936976
 2400.0     257.6618765303571
 2450.0     258.6883374727630
 2500.0     259.7070998365232
 2550.0     260.7277058008822
 2600.0     261.6620091108493
 2650.0     262.6601744298877
 2700.0     263.6158130295996
 2750.0     264.5450707346059
 2800.0     265.4756903109709
 2850.0     266.3209529290055
