# T (K)     Thermal pressure (GPa)
# V=  57.9683000000000
    0.0       0.0000000000000
   50.0       0.3320231856088
  100.0       0.8211954647421
  150.0       1.3288034608278
  200.0       1.8454919512626
  250.0       2.3619836986059
  300.0       2.5681282567186
  350.0       3.1422029742815
  400.0       3.5822385336072
  450.0       4.1042963474046
  500.0       4.6021003264832
  550.0       3.2830036951847
  600.0       3.7906471357309
  650.0       4.2978024789847
  700.0       4.8063325740835
  750.0       5.2882143429155
  800.0       5.7964763691214
  850.0       6.3149051944115
  900.0       6.8456383349325
  950.0       7.3533635986547
 1000.0       7.8612035863088
 1050.0       8.3682081854681
 1100.0       8.8756300542436
 1150.0       9.3832011441572
 1200.0       9.8915565933216
 1250.0      10.3987398683292
 1300.0      10.9053939017259
 1350.0      11.4132993724187
 1400.0      13.7429377244752
 1450.0      14.2514844332718
 1500.0      14.7705947753897
 1550.0      15.2957009761168
 1600.0      15.7760768963706
 1650.0      16.2851401609195
 1700.0      16.8027200666766
 1750.0      17.3184700485501
 1800.0      17.8187049190580
 1850.0      18.3376442327730
 1900.0      18.8494342587421
 1950.0      19.3442735767416
 2000.0      19.8488621914785
 2050.0      20.3594229018064
 2100.0      20.8667848894092
 2150.0      21.3732628029111
 2200.0      21.8832427728397
 2250.0      22.3863632576860
 2300.0      22.8926035736702
 2350.0      23.4281382198267
 2400.0      23.9104054476777
 2450.0      24.4103842328766
 2500.0      24.9222537710476
 2550.0      25.4310866486443
 2600.0      25.9309650738799
 2650.0      26.4624997916322
 2700.0      26.9370257467758
 2750.0      27.4597862762997
 2800.0      27.9814968397246
 2850.0      28.4728109180642
 2900.0      28.9733510167824
 2950.0      29.4971451314382
 3000.0      29.9952273174810
 3050.0      30.5090178956031
 3100.0      31.0037935270807
 3150.0      31.5145285812016
 3200.0      32.0235332629696
 3250.0      32.5438830873808
 3300.0      33.0605856886389
 3350.0      33.5370353376788
 3400.0      34.0239508405283
 3450.0      34.5602980022538
 3500.0      35.0229195672292
 3550.0      35.5225024409473
 3600.0      36.0218932996794
 3650.0      34.7121471751275
 3700.0      35.2198852961940
 3750.0      37.5624869871018
 3800.0      38.0567401996495
 3850.0      38.5843224987021
 3900.0      39.0719486137862
 3950.0      39.5634975703701
 4000.0      40.0939543943526
 4050.0      40.5723332084993
 4100.0      41.0578804596283
 4150.0      41.5541862906532
 4200.0      42.0517126343868
 4250.0      42.5587727255014
 4300.0      43.0484104494830
 4350.0      41.7969306819892
 4400.0      42.2769846582598
 4450.0      42.7830710535811
 4500.0      43.3011729291389
 4550.0      43.7959964214583
 4600.0      44.3021567271154
 4650.0      44.8194595283164
 4700.0      45.3257072426836
 4750.0      45.8186847486257
 4800.0      46.3372065109982
 4850.0      47.1105683839178
 4900.0      47.6118059068040
 4950.0      48.0893110176513
 5000.0      48.5903089341874
# V=  57.8933181818182
    0.0       0.0000000000000
   50.0       0.3325417910236
  100.0       0.8235087578123
  150.0       1.3325672289277
  200.0       1.8504130845045
  250.0       2.3681267001099
  300.0       2.5889827467776
  350.0       3.1617853017729
  400.0       3.6064382278412
  450.0       4.1295188966653
  500.0       4.6294441864924
  550.0       3.3913529362231
  600.0       3.9006694933140
  650.0       4.4095253744922
  700.0       4.9196930477663
  750.0       5.4043625738479
  800.0       5.9142735901939
  850.0       6.4339325967197
  900.0       6.9653214005581
  950.0       7.4747197808249
 1000.0       7.9842291572512
 1050.0       8.4929412068417
 1100.0       9.0020534305573
 1150.0       9.5113057662544
 1200.0      10.0213049629961
 1250.0      10.5301875265322
 1300.0      11.0385695518969
 1350.0      11.5481417492506
 1400.0      13.8002795449735
 1450.0      14.3104279710195
 1500.0      14.8307073148087
 1550.0      15.3567277221239
 1600.0      15.8399855085287
 1650.0      16.3506699988667
 1700.0      16.8694944089980
 1750.0      17.3866270963866
 1800.0      17.8888164465566
 1850.0      18.4089689970872
 1900.0      18.9222202853530
 1950.0      19.4193154895438
 2000.0      19.9257238615121
 2050.0      20.4378445690688
 2100.0      20.9469042650820
 2150.0      21.4551161194723
 2200.0      21.9666620641312
 2250.0      22.4716429319873
 2300.0      22.9796378977995
 2350.0      23.5156186272525
 2400.0      24.0006801982207
 2450.0      24.5026547911349
 2500.0      25.0160428351619
 2550.0      25.5264852448561
 2600.0      26.0283975476320
 2650.0      26.5606146233088
