# T (K)      fittedE (Ry.)      P (GPa)
# V = 57.968300 (a.u.^3)
    0.0      -0.1089799669787     549.7653277332340
   50.0      -0.1077870508438     550.0973509188428
  100.0      -0.1057866067637     550.5865231979761
  150.0      -0.1039857854588     551.0941311940618
  200.0      -0.1020542137891     551.6108196844966
  250.0      -0.1002181855299     552.1273114318399
  300.0      -0.0982972486818     552.3334559899527
  350.0      -0.0963595818232     552.9075307075155
  400.0      -0.0945206351202     553.3475662668412
  450.0      -0.0924650150118     553.8696240806386
  500.0      -0.0911351304548     554.3674280597172
  550.0      -0.0891964777795     553.0483314284187
  600.0      -0.0866688194660     553.5559748689649
  650.0      -0.0849503035014     554.0631302122188
  700.0      -0.0830061183525     554.5716603073175
  750.0      -0.0811202898710     555.0535420761495
  800.0      -0.0792104331305     555.5618041023554
  850.0      -0.0772978224817     556.0802329276455
  900.0      -0.0753961219316     556.6109660681665
  950.0      -0.0735159802317     557.1186913318887
 1000.0      -0.0716116187315     557.6265313195428
 1050.0      -0.0697139416639     558.1335359187021
 1100.0      -0.0678144544332     558.6409577874776
 1150.0      -0.0659054159392     559.1485288773912
 1200.0      -0.0640307488089     559.6568843265557
 1250.0      -0.0620372431675     560.1640676015633
 1300.0      -0.0605230663775     560.6707216349599
 1350.0      -0.0571168850746     561.1786271056527
 1400.0      -0.0552268102620     563.5082654577092
 1450.0      -0.0549048754367     564.0168121665058
 1500.0      -0.0525600541287     564.5359225086237
 1550.0      -0.0508273921178     565.0610287093508
 1600.0      -0.0489163504258     565.5414046296046
 1650.0      -0.0469627748378     566.0504678941535
 1700.0      -0.0451072039587     566.5680477999106
 1750.0      -0.0431880089485     567.0837977817841
 1800.0      -0.0412706664249     567.5840326522920
 1850.0      -0.0393670525171     568.1029719660070
 1900.0      -0.0374780126651     568.6147619919761
 1950.0      -0.0356245187128     569.1096013099756
 2000.0      -0.0336848881125     569.6141899247125
 2050.0      -0.0317899339771     570.1247506350404
 2100.0      -0.0298940561079     570.6321126226433
 2150.0      -0.0279797640903     571.1385905361451
 2200.0      -0.0260607279223     571.6485705060737
 2250.0      -0.0242072065563     572.1516909909200
 2300.0      -0.0222424835738     572.6579313069042
 2350.0      -0.0203759419677     573.1934659530607
 2400.0      -0.0185257617317     573.6757331809117
 2450.0      -0.0165844096243     574.1757119661106
 2500.0      -0.0146807290104     574.6875815042816
 2550.0      -0.0127863108429     575.1964143818783
 2600.0      -0.0109118981257     575.6962928071139
 2650.0      -0.0090018182724     576.2278275248663
 2700.0      -0.0071153205738     576.7023534800098
 2750.0      -0.0050939476564     577.2251140095337
 2800.0      -0.0032399018338     577.7468245729586
 2850.0      -0.0014889020711     578.2381386512982
 2900.0       0.0005728159696     578.7386787500164
 2950.0       0.0024307225069     579.2624728646722
 3000.0       0.0042734861234     579.7605550507150
 3050.0       0.0062374972824     580.2743456288371
 3100.0       0.0080750588511     580.7691212603147
 3150.0       0.0100250224778     581.2798563144356
 3200.0       0.0119361359240     581.7888609962037
 3250.0       0.0137208326753     582.3092108206148
 3300.0       0.0157541914544     582.8259134218729
 3350.0       0.0176547036764     583.3023630709129
 3400.0       0.0195425136647     583.7892785737623
 3450.0       0.0214076434645     584.3256257354878
 3500.0       0.0229487383949     584.7882473004632
 3550.0       0.0260125067262     585.2878301741813
 3600.0       0.0241859216454     585.7872210329134
 3650.0       0.0250503180719     584.4774749083615
