# T (K)               Helmholtz Free Energy (Ry.)
# V=  57.9683000000000
    0.00      -0.1097653120668
   50.00      -0.1110310193868
  100.00      -0.1142901251342
  150.00      -0.1185262536923
  200.00      -0.1234036770812
  250.00      -0.1287594514469
  300.00      -0.1344969426258
  350.00      -0.1405520963831
  400.00      -0.1468793081446
  450.00      -0.1534444435111
  500.00      -0.1602209891132
  550.00      -0.1671877541250
  600.00      -0.1743274123914
  650.00      -0.1816255328062
  700.00      -0.1890699092153
  750.00      -0.1966500824172
  800.00      -0.2043569899992
  850.00      -0.2121827039329
  900.00      -0.2201202300490
  950.00      -0.2281633521590
 1000.00      -0.2363065090514
 1050.00      -0.2445446961257
 1100.00      -0.2528733857905
 1150.00      -0.2612884623517
 1200.00      -0.2697861682384
 1250.00      -0.2783630592008
 1300.00      -0.2870159666824
 1350.00      -0.2957419659877
 1400.00      -0.3045383491683
 1450.00      -0.3134026017866
 1500.00      -0.3223323828856
 1550.00      -0.3313255076324
 1600.00      -0.3403799322017
 1650.00      -0.3494937405502
 1700.00      -0.3586651327955
 1750.00      -0.3678924149621
 1800.00      -0.3771739899001
 1850.00      -0.3865083492140
 1900.00      -0.3958940660636
 1950.00      -0.4053297887232
 2000.00      -0.4148142348023
 2050.00      -0.4243461860436
 2100.00      -0.4339244836289
 2150.00      -0.4435480239328
 2200.00      -0.4532157546706
 2250.00      -0.4629266713975
 2300.00      -0.4726798143178
 2350.00      -0.4824742653732
 2400.00      -0.4923091455774
 2450.00      -0.5021836125742
 2500.00      -0.5120968583941
 2550.00      -0.5220481073908
 2600.00      -0.5320366143394
 2650.00      -0.5420616626813
 2700.00      -0.5521225629009
 2750.00      -0.5622186510234
 2800.00      -0.5723492872212
 2850.00      -0.5825138545200
 2900.00      -0.5927117575963
 2950.00      -0.6029424216567
 3000.00      -0.6132052913946
 3050.00      -0.6234998300151
 3100.00      -0.6338255183249
 3150.00      -0.6441818538803
 3200.00      -0.6545683501895
 3250.00      -0.6649845359648
 3300.00      -0.6754299544210
 3350.00      -0.6859041626158
 3400.00      -0.6964067308302
 3450.00      -0.7069372419848
 3500.00      -0.7174952910903
 3550.00      -0.7280804847294
 3600.00      -0.7386924405678
 3650.00      -0.7493307868920
 3700.00      -0.7599951621735
 3750.00      -0.7706852146550
 3800.00      -0.7814006019603
 3850.00      -0.7921409907235
 3900.00      -0.8029060562381
 3950.00      -0.8136954821237
 4000.00      -0.8245089600102
 4050.00      -0.8353461892370
 4100.00      -0.8462068765676
 4150.00      -0.8570907359182
 4200.00      -0.8679974880986
 4250.00      -0.8789268605664
 4300.00      -0.8898785871925
 4350.00      -0.9008524080369
 4400.00      -0.9118480691354
 4450.00      -0.9228653222962
 4500.00      -0.9339039249051
 4550.00      -0.9449636397392
 4600.00      -0.9560442347900
 4650.00      -0.9671454830925
 4700.00      -0.9782671625630
 4750.00      -0.9894090558431
 4800.00      -1.0005709501505
 4850.00      -1.0117526371363
 4900.00      -1.0229539127473
 4950.00      -1.0341745770948
 5000.00      -1.0454144343287
# V=  57.2259000000000
    0.00      -0.0798423561749
   50.00      -0.0810893952384
  100.00      -0.0843201135996
  150.00      -0.0885273180568
  200.00      -0.0933756799419
  250.00      -0.0987023375164
  300.00      -0.1044106841924
  350.00      -0.1104366775918
  400.00      -0.1167347190787
  450.00      -0.1232706775564
  500.00      -0.1300180416382
  550.00      -0.1369556217607
  600.00      -0.1440660926104
  650.00      -0.1513350236644
  700.00      -0.1587502091847
  750.00      -0.1663011902756
  800.00      -0.1739789047533
  850.00      -0.1817754247648
  900.00      -0.1896837562769
  950.00      -0.1976976832090
 1000.00      -0.2058116444353
 1050.00      -0.2140206354254
 1100.00      -0.2223201286447
 1150.00      -0.2307060084462
 1200.00      -0.2391745172984
 1250.00      -0.2477222109843
 1300.00      -0.2563459209755
 1350.00      -0.2650427226001
 1400.00      -0.2738099079303
 1450.00      -0.2826449625457
 1500.00      -0.2915455455049
 1550.00      -0.3005094719882
 1600.00      -0.3095346981816
 1650.00      -0.3186193080524
 1700.00      -0.3277615017270
 1750.00      -0.3369595852377
 1800.00      -0.3462119614421
 1850.00      -0.3555171219507
 1900.00      -0.3648736399289
 1950.00      -0.3742801636564
 2000.00      -0.3837354107470
 2050.00      -0.3932381629475
 2100.00      -0.4027872614436
 2150.00      -0.4123816026133
 2200.00      -0.4220201341748
 2250.00      -0.4317018516862
 2300.00      -0.4414257953543
 2350.00      -0.4511910471232
 2400.00      -0.4609967280087
 2450.00      -0.4708419956567
 2500.00      -0.4807260420993
 2550.00      -0.4906480916919
 2600.00      -0.5006073992114
 2650.00      -0.5106032481003
 2700.00      -0.5206349488445
 2750.00      -0.5307018374704
 2800.00      -0.5408032741515
 2850.00      -0.5509386419146
 2900.00      -0.5611073454371
 2950.00      -0.5713088099267
 3000.00      -0.5815424800775
 3050.00      -0.5918078190954
 3100.00      -0.6021043077879
 3150.00      -0.6124314437119
 3200.00      -0.6227887403763
 3250.00      -0.6331757264942
 3300.00      -0.6435919452808
 3350.00      -0.6540369537944
 3400.00      -0.6645103223165
 3450.00      -0.6750116337681
 3500.00      -0.6855404831605
 3550.00      -0.6960964770767
 3600.00      -0.7066792331829
 3650.00      -0.7172883797660
 3700.00      -0.7279235552976
 3750.00      -0.7385844080212
 3800.00      -0.7492705955606
 3850.00      -0.7599817845503
 3900.00      -0.7707176502840
 3950.00      -0.7814778763817
 4000.00      -0.7922621544735
 4050.00      -0.8030701838991
 4100.00      -0.8139016714223
 4150.00      -0.8247563309593
 4200.00      -0.8356338833203
 4250.00      -0.8465340559631
 4300.00      -0.8574565827587
 4350.00      -0.8684012037674
 4400.00      -0.8793676650251
 4450.00      -0.8903557183402
 4500.00      -0.9013651210986
 4550.00      -0.9123956360778
 4600.00      -0.9234470312691
 4650.00      -0.9345190797078
 4700.00      -0.9456115593104
 4750.00      -0.9567242527186
 4800.00      -0.9678569471502
 4850.00      -0.9790094342564
 4900.00      -0.9901815099841
 4950.00      -1.0013729744448
 5000.00      -1.0125836317884
# V=  56.4836000000000
    0.00      -0.0501744750444
   50.00      -0.0514035948708
  100.00      -0.0546069486136
  150.00      -0.0587862566026
  200.00      -0.0636065857655
  250.00      -0.0689051557823
  300.00      -0.0745853874140
  350.00      -0.0805832500420
  400.00      -0.0868531509206
  450.00      -0.0933609622288
  500.00      -0.1000801745469
  550.00      -0.1069895995636
  600.00      -0.1140719128005
  650.00      -0.1213126843129
  700.00      -0.1286997087761
  750.00      -0.1362225275974
  800.00      -0.1438720788201
  850.00      -0.1516404347652
  900.00      -0.1595206015348
  950.00      -0.1675063631547
 1000.00      -0.1755921585849
 1050.00      -0.1837729833638
 1100.00      -0.1920443100136
 1150.00      -0.2004020229340
 1200.00      -0.2088423646324
 1250.00      -0.2173618909245
 1300.00      -0.2259574333097
 1350.00      -0.2346260671396
