# T (K)      B_S (GPa)
# P = 600.000000 (GPa)
    1.0    1580.4476473371942
   50.0    1580.3807440719274
  100.0    1579.1918798008162
  150.0    1578.7067836765871
  200.0    1579.3598116567612
  250.0    1579.6029787674927
  300.0    1577.5250765756132
  350.0    1576.6977830061314
  400.0    1576.6633125526016
  450.0    1576.5495505712190
  500.0    1577.0361837113383
  550.0    1576.7617921019148
  600.0    1577.6681488028566
  650.0    1572.3103484533317
  700.0    1618.4923185393636
  750.0    1602.2240695244916
  800.0    1622.5006949763135
  850.0    1558.1068948768568
  900.0    1572.0629509710052
  950.0    1575.8887555376898
 1000.0    1572.2151649153477
 1050.0    1572.1663578657569
 1100.0    1571.8473250477491
 1150.0    1571.2844790117699
 1200.0    1571.5218482006710
 1250.0    1570.7637103573572
 1300.0    1572.7257654075045
 1350.0    1567.9195617709902
 1400.0    1572.1475994554869
 1450.0    1569.1470186566971
 1500.0    1539.9587488017578
 1550.0    1557.9157817535092
 1600.0    1545.3350893815923
 1650.0    1556.8986232864133
 1700.0    1546.2503370008535
 1750.0    1559.5499285224391
 1800.0    1569.0707598694596
 1850.0    1562.9652042605619
 1900.0    1563.2391647704808
 1950.0    1563.6779353561940
 2000.0    1562.6689399759966
 2050.0    1561.8443546243170
 2100.0    1562.7335757289129
 2150.0    1561.8041136208894
 2200.0    1560.8761118220905
 2250.0    1561.0174115009654
 2300.0    1559.2200448160406
 2350.0    1560.3861785688243
 2400.0    1559.5727712859589
 2450.0    1558.4859163501185
 2500.0    1554.9538088529603
 2550.0   27511.1881739364835
 2600.0    1552.9963751527550
 2650.0    1558.9300679169057
 2700.0    1557.4530469078670
 2750.0    1556.0026304627415
 2800.0    1565.9016906523443
 2850.0    1555.8682948403357
 2900.0    1557.5681327063030
 2950.0    1558.9068367010104
 3000.0    1556.1532869776131
 3050.0    1557.0184902674202
 3100.0    1556.0584076547095
 3150.0    1555.7396813351352
 3200.0    1555.1701242953056
 3250.0    1554.7991107466501
 3300.0    1554.4474527399907
 3350.0    1554.0223930448674
 3400.0    1553.7293869012058
 3450.0    1552.6555364328742
 3500.0    1552.4933348199711
 3550.0    1555.1637626259585
 3600.0    1550.4330192778218
 3650.0    1554.9737704782326
 3700.0    1551.4598436853009
 3750.0    1554.7347866827567
 3800.0    1551.3467649272134
 3850.0    1551.4322647025072
 3900.0    1551.0050200802868
 3950.0    1551.2960924213567
 4000.0    1549.0534727243419
 4050.0    1555.3636370759659
 4100.0    1549.3651375225049
 4150.0    1547.9225206414144
 4200.0    1550.0182514949211
 4250.0    1550.4119476047615
 4300.0    1547.7015936296725
 4350.0    1547.7006758599791
 4400.0    1546.5014949804495
 4450.0    1550.5795031732064
 4500.0    1545.9657990394142
 4550.0    1545.5176450840434
 4600.0    1544.4790377522343
 4650.0    1547.1909895887613
 4700.0    1543.1133340475737
 4750.0    1602.1276328326412
 4800.0    1538.5759753748566
 4850.0    1543.0535824275976
 4900.0    1542.9416857119761
 4950.0    1536.0278930081040
 5000.0    1530.4381645007502
# P = 602.000000 (GPa)
    1.0    1582.8466606247209
   50.0    1582.7761164686069
  100.0    1581.6054226687049
  150.0    1581.1290194192832
  200.0    1581.7702609193791
  250.0    1581.9943600446716
  300.0    1579.9432797681131
  350.0    1579.1451885814740
  400.0    1579.1024681798372
  450.0    1578.9989683080080
  500.0    1579.4630466046690
  550.0    1579.2167524257059
  600.0    1579.9609830402910
  650.0    1575.3266106068211
  700.0    1620.0300720718649
  750.0    1602.4013811125942
  800.0    1623.6781516840924
  850.0    1561.7601827168789
  900.0    1574.5729879106393
  950.0    1578.1980014119349
 1000.0    1574.6959762735648
 1050.0    1574.6345050164557
 1100.0    1574.3363051822967
 1150.0    1573.7666078050011
 1200.0    1574.0017213161718
 1250.0    1573.1868053463872
 1300.0    1575.1438249953133
 1350.0    1570.4565488985102
 1400.0    1574.6976758333342
 1450.0    1571.4916737057742
 1500.0    1542.8682991477481
 1550.0    1560.5078173077063
