# T (K)      B_T_P (GPa)
# P = 600.000000 (GPa)
    1.0    1580.4376771951313
   50.0    1580.2760299960078
  100.0    1578.8001927437883
  150.0    1578.3429578890768
  200.0    1578.8851128918634
  250.0    1578.8007835308217
  300.0    1576.5567944555419
  350.0    1575.6921818473363
  400.0    1575.6822198643813
  450.0    1575.2712461754459
  500.0    1575.8316370703399
  550.0    1575.4142066002335
  600.0    1574.9529372860318
  650.0    1574.6160852427608
  700.0    1617.9668563800469
  750.0    1617.5830040875412
  800.0    1616.8010578688902
  850.0    1572.4498673632784
  900.0    1571.7733547138228
  950.0    1570.8793587467039
 1000.0    1569.5744355412205
 1050.0    1569.2034496547274
 1100.0    1568.4712937197896
 1150.0    1568.6200090721456
 1200.0    1567.8593900471471
 1250.0    1567.1803840328464
 1300.0    1564.1980083159954
 1350.0    1565.8500602513368
 1400.0    1565.1689662134058
 1450.0    1565.2032977502402
 1500.0    1555.4506976423904
 1550.0    1555.0986530256739
 1600.0    1549.0696383382740
 1650.0    1555.3517121786365
 1700.0    1549.6525007262774
 1750.0    1559.3114897073808
 1800.0    1558.9777728495155
 1850.0    1558.4069401976558
 1900.0    1558.2291662118585
 1950.0    1557.4698794042167
 2000.0    1557.1220587438484
 2050.0    1556.7578157978778
 2100.0    1556.0860938473775
 2150.0    1555.6341213952314
 2200.0    1554.6322704542413
 2250.0    1553.9682787704239
 2300.0    1553.4004488969667
 2350.0    1553.2438428168455
 2400.0    1551.5831937067010
 2450.0    1550.9248339406327
 2500.0    1550.9928175967232
 2550.0    1550.6320083065514
 2600.0    1549.2146526673200
 2650.0    1550.1621609550555
 2700.0    1550.4865920681957
 2750.0    1550.7151229964934
 2800.0    1549.9474485336791
 2850.0    1549.9938630100953
 2900.0    1549.4576075708574
 2950.0    1548.8420597531335
 3000.0    1548.4782843253186
 3050.0    1547.9921169052222
 3100.0    1547.1843173551372
 3150.0    1546.6141074275279
 3200.0    1546.0776135945225
 3250.0    1545.5540918997613
 3300.0    1545.0170245696665
 3350.0    1544.4850175165811
 3400.0    1543.9517172101198
 3450.0    1543.4644626673394
 3500.0    1543.4716804147251
 3550.0    1542.9763181757501
 3600.0    1543.2550509523755
 3650.0    1542.8089953453998
 3700.0    1542.3465380415932
 3750.0    1541.4980357275922
 3800.0    1541.0742091198263
 3850.0    1540.6923481245615
 3900.0    1540.2581134907844
 3950.0    1539.8934652591167
 4000.0    1539.4970194515897
 4050.0    1538.4420145116110
 4100.0    1538.0714866813880
 4150.0    1537.8606844523574
 4200.0    1537.4738268713086
 4250.0    1536.3241986373409
 4300.0    1535.8393891633518
 4350.0    1535.3817280172441
 4400.0    1534.9262956543996
 4450.0    1534.5344416685316
 4500.0    1533.3649405600233
 4550.0    1532.8393877753563
 4600.0    1532.9537797902613
 4650.0    1532.4803511557784
 4700.0    1531.9955284645757
 4750.0    1528.8525662739039
 4800.0    1528.3209056473165
 4850.0    1527.6931071189065
 4900.0    1527.0592916693745
 4950.0    1526.4175846873040
 5000.0    1527.3539543430193
# P = 602.000000 (GPa)
    1.0    1582.8362533530105
   50.0    1582.6728698967893
  100.0    1581.2181242806821
  150.0    1580.7637109163747
  200.0    1581.2908434245269
  250.0    1581.2027451924805
  300.0    1578.9933826463923
  350.0    1578.1387796861911
  400.0    1578.1236507795093
  450.0    1577.7145917709834
  500.0    1578.2598441495952
  550.0    1577.8444642102504
  600.0    1577.3861247363313
  650.0    1577.0498844738081
  700.0    1619.6554567263029
  750.0    1619.2749837743725
  800.0    1618.5029234052397
  850.0    1574.9004232694222
  900.0    1574.2304448299178
  950.0    1573.3466185117795
 1000.0    1572.0588762138191
 1050.0    1571.6890699543637
 1100.0    1570.9642183120568
 1150.0    1571.1051115850712
 1200.0    1570.3522449983948
 1250.0    1569.6795623026312
 1300.0    1566.7425298579381
 1350.0    1568.3613612204697
 1400.0    1567.6864730192781
 1450.0    1567.7150677264715
 1500.0    1558.1217450329352
 1550.0    1557.7700004655260
 1600.0    1551.8372157835324
 1650.0    1558.0076498770065
 1700.0    1552.3986814150335
 1750.0    1561.8903913053111
 1800.0    1561.5569556864589
 1850.0    1560.9902231700555
 1900.0    1560.8101705910908
 1950.0    1560.0581589231965
 2000.0    1559.7107677171964
 2050.0    1559.3472689902821
 2100.0    1558.6813645454533
 2150.0    1558.2315027594964
 2200.0    1557.2407913039226
 2250.0    1556.5823416511744
 2300.0    1556.0185303782034
 2350.0    1555.8591529540854
 2400.0    1554.2202114338606
 2450.0    1553.5671944486728
 2500.0    1553.6287942165959
 2550.0    1553.2685261559732
 2600.0    1551.8687909657153
 2650.0    1552.7958641272969
 2700.0    1553.1099849150351
 2750.0    1553.3297036051792
 2800.0    1552.5690992954683
 2850.0    1552.6096584937354
 2900.0    1552.0768498041373
 2950.0    1551.4659268804476
 3000.0    1551.1027774145455
 3050.0    1550.6191431941083
 3100.0    1549.8189180951401
 3150.0    1549.2525504221587
 3200.0    1548.7193155700604
 3250.0    1548.1989237350474
 3300.0    1547.6650466338931
 3350.0    1547.1362494962027
 3400.0    1546.6061888784984
 3450.0    1546.1213980433440
 3500.0    1546.1234952674613
 3550.0    1545.6307300717924
 3600.0    1545.9001893738482
 3650.0    1545.4560099996309
 3700.0    1544.9956769819355
 3750.0    1544.1551383199235
 3800.0    1543.7327213906942
 3850.0    1543.3516903501536
 3900.0    1542.9191078777635
 3950.0    1542.5550178459750
 4000.0    1542.1596515620204
 4050.0    1541.1155563507104
 4100.0    1540.7456426218625
 4150.0    1540.5331064509310
 4200.0    1540.1471034582580
 4250.0    1539.0097487630362
 4300.0    1538.5272012598407
 4350.0    1538.0714396934923
 4400.0    1537.6177703573462
 4450.0    1537.2268537572340
 4500.0    1536.0696882202933
 4550.0    1535.5469968444083
 4600.0    1535.6548226287844
 4650.0    1535.1834691261583
 4700.0    1534.7008843321858
 4750.0    1531.5987969712930
 4800.0    1531.0699741968906
 4850.0    1530.4463790678356
 4900.0    1529.8168163017513
 4950.0    1529.1795138486848
 5000.0    1530.0974696320936
# P = 604.000000 (GPa)
    1.0    1585.2234252808819
   50.0    1585.0583507409081
  100.0    1583.6248048404468
  150.0    1583.1731983929778
  200.0    1583.6852251937369
  250.0    1583.5933723124892
  300.0    1581.4188521441990
  350.0    1580.5742427596304
  400.0    1580.5539254722798
  450.0    1580.1467994176658
  500.0    1580.6768165491367
  550.0    1580.2635974182972
  600.0    1579.8080398165632
  650.0    1579.4724830670116
  700.0    1621.3283348557038
  750.0    1620.9511803230350
  800.0    1620.1890629036818
  850.0    1577.3399187099556
  900.0    1576.6764625820681
