# T (K)      C_P (J K^-1 mol^-1)
# P = 600.000000 (GPa)
    1.0       1.0000063084690
   50.0      29.5342574185942
  100.0      19.3758476600191
  150.0      25.8193565707204
  200.0      24.6422690340213
  250.0      24.6470241536468
  300.0      25.9180712872263
  350.0      22.5418069742985
  400.0      27.6301598340932
  450.0      21.5531910086589
  500.0      28.2547162241768
  550.0      20.8071980332559
  600.0      36.6430128307529
  650.0     -22.1873419625535
  700.0      78.5199876739881
  750.0      -3.3462950828164
  800.0      87.1908337957688
  850.0     -39.1105809641864
  900.0      45.0748172306718
  950.0      19.1906007108692
 1000.0      25.4514154975910
 1050.0      25.4790736548682
 1100.0      21.8237274274229
 1150.0      29.4225114541145
 1200.0      22.1771614831802
 1250.0      32.5422320061384
 1300.0      10.7275320390762
 1350.0      37.8575527690513
 1400.0      10.9593863975269
 1450.0      55.7779270478602
 1500.0     -12.6354107944332
 1550.0      63.1199621517502
 1600.0     -21.2191695608076
 1650.0      71.1320558176291
 1700.0     -25.4198920937497
 1750.0      59.8985131569202
 1800.0      17.2597340496907
 1850.0      24.9873896358699
 1900.0      27.0769594029238
 1950.0      22.5524642227293
 2000.0      24.3968731589883
 2050.0      28.8062053109849
 2100.0      22.1687035791765
 2150.0      25.7482011286712
 2200.0      26.5900682738176
 2250.0      23.1316685992661
 2300.0      25.9280200369099
 2350.0      25.2364722003961
 2400.0      25.2358369395770
 2450.0      21.3176936838177
 2500.0      38.1546334214135
 2550.0       0.1443044639154
 2600.0      47.2983561425103
 2650.0      15.3876765993068
 2700.0      23.7897886961940
 2750.0      35.4052885241027
 2800.0      12.2624942445519
 2850.0      31.9371827565047
 2900.0      26.2763204676063
 2950.0      20.6507874533056
 3000.0      27.0218371833527
 3050.0      25.0202100288311
 3100.0      25.9595364957558
 3150.0      24.5474743749832
 3200.0      25.1713098518742
 3250.0      25.0996014805862
 3300.0      25.0795272833235
 3350.0      25.0307061387719
 3400.0      25.2774977881041
 3450.0      24.6432451570778
 3500.0      26.4546436917305
 3550.0      19.1515909590824
 3600.0      31.9763376905949
 3650.0      21.4758715524611
 3700.0      29.9588472923735
 3750.0      21.0447419980212
 3800.0      25.4526026766225
 3850.0      25.2148937938586
 3900.0      25.5327894391092
 3950.0      23.5256286072887
 4000.0      31.8474944471797
 4050.0      18.2877964675886
 4100.0      24.3772082339501
 4150.0      27.5479807140111
 4200.0      26.0430771139203
 4250.0      23.7281296470141
 4300.0      25.1189092270730
 4350.0      25.4926183597704
 4400.0      25.9687791037786
 4450.0      21.5812995796768
 4500.0      29.1989950013922
 4550.0      22.7492158069952
 4600.0      27.0159329724555
 4650.0      20.8616552093923
 4700.0      42.6916655275383
 4750.0       6.8582150184570
 4800.0      30.9908538711104
 4850.0      23.9428788638048
 4900.0      23.4895740145871
 4950.0      34.0884809979226
 5000.0      44.7873374993060
# P = 602.000000 (GPa)
    1.0       1.0000065750779
   50.0      29.5331427494135
  100.0      19.3772998010576
  150.0      25.8207631689165
  200.0      24.6420707778700
  250.0      24.6379768284635
  300.0      25.9257454065572
  350.0      22.5440371274731
  400.0      27.6254502708182
  450.0      21.5636199387415
  500.0      28.2376769949603
  550.0      20.8428844951008
  600.0      36.5033630772546
  650.0     -21.6446464834028
  700.0      77.9038306763452
  750.0      -3.0256787446982
  800.0      86.4709257569236
  850.0     -38.4311375100946
  900.0      44.8734353747476
  950.0      19.2365888457903
 1000.0      25.4531482531412
 1050.0      25.4683282272355
 1100.0      21.8440834745309
 1150.0      29.3984708803927
 1200.0      22.2014540950574
 1250.0      32.4698976200033
 1300.0      10.8434229015440
 1350.0      37.7638846376604
 1400.0      11.0639517663718
 1450.0      55.4907403484457
 1500.0     -12.3203747758939
 1550.0      62.8194171217662
 1600.0     -20.7767807369344
 1650.0      70.6411235172006
 1700.0     -24.8749136020002
 1750.0      59.5223152825500
 1800.0      17.3522711904211
 1850.0      24.9751898231616
 1900.0      27.0628111879054
 1950.0      22.5651882458760
