# T (K)      C-ph_V_V (J K^-1 mol^-1)
# V = 42.244600 (a.u.^3)
    5.0       6.6009075431419
   50.0      24.2870381630528
  100.0      24.7760859500294
  150.0      24.8687384797193
  200.0      24.9013245846774
  250.0      24.9164351256809
  300.0      24.9246507174177
  350.0      24.9296069792153
  400.0      24.9328247985381
  450.0      24.9350313866183
  500.0      24.9366099765826
  550.0      24.9377780783846
  600.0      24.9386665860820
  650.0      24.9393580961376
  700.0      24.9399068144451
  750.0      24.9403495093022
  800.0      24.9407118338529
  850.0      24.9410121272496
  900.0      24.9412637813936
  950.0      24.9414767601020
 1000.0      24.9416586006384
 1050.0      24.9418150897887
 1100.0      24.9419507299675
 1150.0      24.9420690667027
 1200.0      24.9421729226871
 1250.0      24.9422645676665
 1300.0      24.9423458435048
 1350.0      24.9424182574508
 1400.0      24.9424830525210
 1450.0      24.9425412611974
 1500.0      24.9425937468120
 1550.0      24.9426412357430
 1600.0      24.9426843426813
 1650.0      24.9427235906217
 1700.0      24.9427594268008
 1750.0      24.9427922354935
 1800.0      24.9428223483580
 1850.0      24.9428500528500
 1900.0      24.9428755991082
 1950.0      24.9428992056196
 2000.0      24.9429210639081
 2050.0      24.9429413424294
 2100.0      24.9429601898281
 2150.0      24.9429777376679
 2200.0      24.9429941027348
 2250.0      24.9430093889846
 2300.0      24.9430236891982
 2350.0      24.9430370863925
 2400.0      24.9430496550280
 2450.0      24.9430614620460
 2500.0      24.9430725677614
 2550.0      24.9430830266343
 2600.0      24.9430928879395
 2650.0      24.9431021963474
 2700.0      24.9431109924312
 2750.0      24.9431193131093
 2800.0      24.9431271920339
 2850.0      24.9431346599311
 2900.0      24.9431417449014
 2950.0      24.9431484726845
 3000.0      24.9431548668928
 3050.0      24.9431609492197
 3100.0      24.9431667396231
 3150.0      24.9431722564897
 3200.0      24.9431775167811
 3250.0      24.9431825361642
 3300.0      24.9431873291282
 3350.0      24.9431919090893
 3400.0      24.9431962884842
 3450.0      24.9432004788551
 3500.0      24.9432044909259
 3550.0      24.9432083346704
 3600.0      24.9432120193749
 3650.0      24.9432155536937
 3700.0      24.9432189457005
 3750.0      24.9432222029345
 3800.0      24.9432253324419
 3850.0      24.9432283408148
 3900.0      24.9432312342250
 3950.0      24.9432340184563
 4000.0      24.9432366989336
 4050.0      24.9432392807485
 4100.0      24.9432417686844
 4150.0      24.9432441672382
 4200.0      24.9432464806406
 4250.0      24.9432487128752
 4300.0      24.9432508676952
 4350.0      24.9432529486393
 4400.0      24.9432549590462
 4450.0      24.9432569020684
 4500.0      24.9432587806838
 4550.0      24.9432605977081
 4600.0      24.9432623558046
 4650.0      24.9432640574938
 4700.0      24.9432657051634
 4750.0      24.9432673010760
