# T (K)      C_V_P (J K^-1 mol^-1)
# P = 600.000000 (GPa)
    1.0       1.0000000000000
   50.0      29.5323005151801
  100.0      19.3710418673574
  150.0      25.8134062905072
  200.0      24.6348624540967
  250.0      24.6345072581737
  300.0      25.9021628206118
  350.0      22.5274300483847
  400.0      27.6129667228108
  450.0      21.5357151616110
  500.0      28.2331351571907
  550.0      20.7894150818039
  600.0      36.5799491690286
  650.0     -22.2198789045593
  700.0      78.4944952562607
  750.0      -3.3783726980409
  800.0      86.8845435653434
  850.0     -39.4706088855965
  900.0      45.0665138110441
  950.0      19.1295980967695
 1000.0      25.4086667046665
 1050.0      25.4310557360495
 1100.0      21.7768541806935
 1150.0      29.3726188990967
 1200.0      22.1254772345717
 1250.0      32.4679945916647
 1300.0      10.6693643728290
 1350.0      37.8075844767383
 1400.0      10.9107385871984
 1450.0      55.6377409630625
 1500.0     -12.7625227302302
 1550.0      63.0058243653819
 1600.0     -21.2704490716978
 1650.0      71.0613800744449
 1700.0     -25.4758226456895
 1750.0      59.8893553029524
 1800.0      17.1487114774864
 1850.0      24.9145158956916
 1900.0      26.9901809171759
 1950.0      22.4629272684857
 2000.0      24.3102735252548
 2050.0      28.7123906608100
 2100.0      22.0744034005226
 2150.0      25.6464814575530
 2200.0      26.4837022611632
 2250.0      23.0272122357215
 2300.0      25.8312469097954
 2350.0      25.1209576180919
 2400.0      25.1065555871974
 2450.0      21.2142696893931
 2500.0      38.0574407147835
 2550.0       0.0081335316844
 2600.0      47.1831792755130
 2650.0      15.3011315261451
 2700.0      23.6833774699124
 2750.0      35.2849765633445
 2800.0      12.1375574089101
 2850.0      31.8165987690456
 2900.0      26.1394951479657
 2950.0      20.5174596850117
 3000.0      26.8885645335516
 3050.0      24.8751624531391
 3100.0      25.8114911075717
 3150.0      24.4034851238626
 3200.0      25.0241424130163
 3250.0      24.9503562905591
 3300.0      24.9273763179279
 3350.0      24.8770872171579
 3400.0      25.1184256703513
 3450.0      24.4973674148831
 3500.0      26.3009137867784
 3550.0      19.0015045459623
 3600.0      31.8282983130449
 3650.0      21.3078628354157
 3700.0      29.7828684339971
 3750.0      20.8655705977737
 3800.0      25.2840631293401
 3850.0      25.0403416319440
 3900.0      25.3558728595244
 3950.0      23.3527061245488
 4000.0      31.6510202144320
 4050.0      18.0888338700445
 4100.0      24.1995175969220
 4150.0      27.3689127919495
 4200.0      25.8323083584509
 4250.0      23.5125250559569
 4300.0      24.9263878531538
 4350.0      25.2897094634657
 4400.0      25.7744089105676
 4450.0      21.3579809569309
 4500.0      28.9609998245380
