# P (GPa)      H (Ry.)
   600.00       2.3373720856876
   602.00       2.3429384030540
   604.00       2.3484976915088
   606.00       2.3540499704915
   608.00       2.3595952593095
   610.00       2.3651335771389
   612.00       2.3706649430250
   614.00       2.3761893758808
   616.00       2.3817068944910
   618.00       2.3872175175134
   620.00       2.3927212634796
   622.00       2.3982181507924
   624.00       2.4037081977301
   626.00       2.4091914224481
   628.00       2.4146678429794
   630.00       2.4201374772323
   632.00       2.4256003429938
   634.00       2.4310564579321
   636.00       2.4365058395965
   638.00       2.4419485054150
   640.00       2.4473844726980
   642.00       2.4528137586410
   644.00       2.4582363803235
   646.00       2.4636523547068
   648.00       2.4690616986390
   650.00       2.4744644288567
   652.00       2.4798605619821
   654.00       2.4852501145236
   656.00       2.4906331028803
   658.00       2.4960095433424
   660.00       2.5013794520874
   662.00       2.5067428451837
   664.00       2.5120997385943
   666.00       2.5174501481742
   668.00       2.5227940896685
   670.00       2.5281315787188
   672.00       2.5334626308630
   674.00       2.5387872615314
   676.00       2.5441054860501
   678.00       2.5494173196451
   680.00       2.5547227774387
   682.00       2.5600218744485
   684.00       2.5653146255940
   686.00       2.5706010456950
   688.00       2.5758811494673
   690.00       2.5811549515295
   692.00       2.5864224664042
   694.00       2.5916837085117
   696.00       2.5969386921756
   698.00       2.6021874316258
   700.00       2.6074299409933
   702.00       2.6126662343119
   704.00       2.6178963255243
   706.00       2.6231202284771
   708.00       2.6283379569199
   710.00       2.6335495245130
   712.00       2.6387549448236
   714.00       2.6439542313224
   716.00       2.6491473973923
   718.00       2.6543344563254
   720.00       2.6595154213186
   722.00       2.6646903054821
   724.00       2.6698591218376
   726.00       2.6750218833125
   728.00       2.6801786027493
   730.00       2.6853292929034
   732.00       2.6904739664371
   734.00       2.6956126359298
   736.00       2.7007453138745
   738.00       2.7058720126728
   740.00       2.7109927446452
   742.00       2.7161075220262
   744.00       2.7212163569609
   746.00       2.7263192615149
   748.00       2.7314162476679
   750.00       2.7365073273124
   752.00       2.7415925122630
   754.00       2.7466718142481
   756.00       2.7517452449116
   758.00       2.7568128158207
   760.00       2.7618745384555
   762.00       2.7669304242154
   764.00       2.7719804844233
   766.00       2.7770247303145
   768.00       2.7820631730477
   770.00       2.7870958237036
   772.00       2.7921226932770
   774.00       2.7971437926889
   776.00       2.8021591327802
   778.00       2.8071687243089
   780.00       2.8121725779614
   782.00       2.8171707043409
   784.00       2.8221631139729
   786.00       2.8271498173106
   788.00       2.8321308247228
   790.00       2.8371061465061
   792.00       2.8420757928812
   794.00       2.8470397739870
   796.00       2.8519980998933
   798.00       2.8569507805896
   800.00       2.8618978259893
   802.00       2.8668392459364
   804.00       2.8717750501916
   806.00       2.8767052484470
   808.00       2.8816298503194
   810.00       2.8865488653464
   812.00       2.8914623029996
   814.00       2.8963701726695
   816.00       2.9012724836756
   818.00       2.9061692452674
   820.00       2.9110604666134
   822.00       2.9159461568175
   824.00       2.9208263249057
   826.00       2.9257009798302
   828.00       2.9305701304764
   830.00       2.9354337856545
   832.00       2.9402919541011
   834.00       2.9451446444628
   836.00       2.9499918653770
   838.00       2.9548336254809
   840.00       2.9596699334119
   842.00       2.9645007978074
   844.00       2.9693262273046
   846.00       2.9741462305409
   848.00       2.9789608161536
   850.00       2.9837699927801
   852.00       2.9885737690577
   854.00       2.9933721536237
   856.00       2.9981651551155
   858.00       3.0029527821703
   860.00       3.0077350434256
   862.00       3.0125119475187
   864.00       3.0172835030869
   866.00       3.0220497187673
   868.00       3.0268106031974
   870.00       3.0315661650150
   872.00       3.0363164128566
   874.00       3.0410613553604
   876.00       3.0458010011628
