# T (K)      Entropy-ph (J K^-1 mol^-1)
# V = 42.244600 (a.u.^3)
    5.0       3.2259159682081
   50.0      44.5757751320486
  100.0      61.6166978105916
  150.0      71.6838091630619
  200.0      78.8432316759944
  250.0      84.4016122460022
  300.0      88.9452097641912
  350.0      92.7877631958042
  400.0      96.1168727156765
  450.0      99.0536715508070
  500.0     101.6809253929392
  550.0     104.0576956061207
  600.0     106.2276057910612
  650.0     108.2237926033846
  700.0     110.0720186928379
  750.0     111.7927101009851
  800.0     113.4023353183182
  850.0     114.9143658275315
  900.0     116.3399618493397
  950.0     117.6884725382820
 1000.0     118.9678077915104
 1050.0     120.1847192889280
 1100.0     121.3450161207701
 1150.0     122.4537324617728
 1200.0     123.5152595454396
 1250.0     124.5334506878269
 1300.0     125.5117057065101
 1350.0     126.4530394029560
 1400.0     127.3601375874071
 1450.0     128.2354032703447
 1500.0     129.0809950215582
 1550.0     129.8988590383473
 1600.0     130.6907561216455
 1650.0     131.4582845005264
 1700.0     132.2028992489601
 1750.0     132.9259288876811
 1800.0     133.6285896470884
 1850.0     134.3119977757930
 1900.0     134.9771802076008
 1950.0     135.6250838428332
 2000.0     136.2565836545300
 2050.0     136.8724897936584
 2100.0     137.4735538381032
 2150.0     138.0604743063263
 2200.0     138.6339015371592
 2250.0     139.1944420211978
 2300.0     139.7426622561464
 2350.0     140.2790921875314
 2400.0     140.8042282871831
 2450.0     141.3185363142945
 2500.0     141.8224537975540
 2550.0     142.3163922714750
 2600.0     142.8007392955905
 2650.0     143.2758602813095
 2700.0     143.7421001480199
 2750.0     144.1997848272413
 2800.0     144.6492226312485
 2850.0     145.0907055005632
 2900.0     145.5245101429636
 2950.0     145.9508990751247
 3000.0     146.3701215767230
 3050.0     146.7824145656791
 3100.0     147.1880034022348
 3150.0     147.5871026287013
 3200.0     147.9799166509520
 3250.0     148.3666403670840
 3300.0     148.7474597480824
 3350.0     149.1225523748276
 3400.0     149.4920879353167
 3450.0     149.8562286855900
 3500.0     150.2151298774988
 3550.0     150.5689401561224
 3600.0     150.9178019294051
 3650.0     151.2618517122905
 3700.0     151.6012204474466
 3750.0     151.9360338044619
 3800.0     152.2664124592330
 3850.0     152.5924723550802
 3900.0     152.9143249470243
 3950.0     153.2320774304983
 4000.0     153.5458329556810
 4050.0     153.8556908285050
 4100.0     154.1617466993452
 4150.0     154.4640927402650
 4200.0     154.7628178116447
 4250.0     155.0580076189592
 4300.0     155.3497448603785
 4350.0     155.6381093658407
 4400.0     155.9231782281742
 4450.0     156.2050259268158
 4500.0     156.4837244446134
 4550.0     156.7593433781752
 4600.0     157.0319500421928
 4650.0     157.3016095681181
 4700.0     157.5683849975711
