# T (K)    Entropy (J K^-1 mol^-1)
# P = 600.000000 (GPa)
    0.0       3.0566607551463
   50.0      42.1698913689499
  100.0      61.7401719136011
  150.0      70.9728960023706
  200.0      78.3840086063518
  250.0      83.8005779473677
  300.0      88.3956388933889
  350.0      92.2800621218953
  400.0      95.5988999515192
  450.0      98.5628598398051
  500.0     101.1344256584037
  550.0     103.5984029109809
  600.0     105.5096793385942
  650.0     108.3224648382012
  700.0     110.1258230129585
  750.0     111.2552624092249
  800.0     112.3448495147262
  850.0     113.7734049849791
  900.0     115.9853830356705
  950.0     117.1426404634767
 1000.0     118.4622290343668
 1050.0     119.6776471464082
 1100.0     120.8088664433994
 1150.0     121.9376733854385
 1200.0     123.0387603253596
 1250.0     124.0315198181359
 1300.0     124.9973440843965
 1350.0     125.9709442867747
 1400.0     126.8818539919434
 1450.0     127.6443647027840
 1500.0     128.4562036111059
 1550.0     129.3394482686565
 1600.0     130.3001168406385
 1650.0     130.9729186375246
 1700.0     131.7464625746210
 1750.0     132.5622436139616
 1800.0     133.1233833779947
 1850.0     133.8519012804041
 1900.0     134.5004411825435
 1950.0     135.1448263931514
 2000.0     135.7580470193898
 2050.0     136.3968388968417
 2100.0     137.0172105185326
 2150.0     137.5667190682232
 2200.0     138.1610732103256
 2250.0     138.7328951040886
 2300.0     139.2991925768301
 2350.0     139.8064327913032
 2400.0     140.3108271929793
 2450.0     140.8615081058757
 2500.0     141.4781685666873
 2550.0     141.7801923184172
 2600.0     142.2882410715125
 2650.0     142.9583935398213
 2700.0     143.2823474259712
 2750.0     143.7968501967727
 2800.0     144.2234851477757
 2850.0     144.6282426134279
 2900.0     145.1057921111426
 2950.0     145.5191316001258
 3000.0     145.9241764837448
 3050.0     146.3376250634997
 3100.0     146.7510625940087
 3150.0     147.1660503792639
 3200.0     147.5563070100406
 3250.0     147.9465579008897
 3300.0     148.3288840770162
 3350.0     148.7070854020824
 3400.0     149.0754592092790
 3450.0     149.4622191606481
