# T (K)      Entropy (J K^-1 mol^-1)
# V = 42.244600 (a.u.^3)
    0.0       3.1760238479792
   50.0      42.6773398494786
  100.0      62.2898761354097
  150.0      71.4208361670938
  200.0      78.7978512557953
  250.0      84.3615756540213
  300.0      88.9886482802334
  350.0      92.7375747206817
  400.0      96.0753886149377
  450.0      98.9912752818478
  500.0     101.6053696973769
  550.0     103.9452871627324
  600.0     106.5038573074109
  650.0     106.8326682285192
  700.0     108.8106930858796
  750.0     111.7540422193264
  800.0     114.6001101392712
  850.0     116.1865698806658
  900.0     115.9445282519484
  950.0     117.7937238424501
 1000.0     118.9045002590555
 1050.0     120.1494459737688
 1100.0     121.2453198401512
 1150.0     122.3798807520819
 1200.0     123.4796040981129
 1250.0     124.6084686488797
 1300.0     125.4462631356899
 1350.0     126.3413600469760
 1400.0     127.2341991553358
 1450.0     128.4485107395371
 1500.0     129.1863954001717
 1550.0     129.9783398479948
 1600.0     130.6216979393833
 1650.0     131.3768697407784
 1700.0     132.0695033196538
 1750.0     132.5004933187378
 1800.0     133.6744084298468
 1850.0     134.2267191741861
 1900.0     134.9252369165653
 1950.0     135.5685219134630
 2000.0     136.1574733030963
 2050.0     136.8141457620665
 2100.0     137.4263824328878
 2150.0     137.9892986408001
 2200.0     138.5895870942936
 2250.0     139.1445685481055
 2300.0     139.6772396505446
 2350.0     140.2314100074524
 2400.0     140.7640829046152
 2450.0     141.2320053204679
 2500.0     141.8267535787961
 2550.0     142.2185751882874
 2600.0     142.6650307891033
 2650.0     143.2534422598372
 2700.0     143.6226721321627
 2750.0     144.1667793092476
 2800.0     144.5965655966436
 2850.0     144.9817851899217
 2900.0     145.4904208616497
 2950.0     145.8879536472817
 3000.0     146.2851776007305
 3050.0     146.7154891917436
 3100.0     147.1277016962242
 3150.0     147.5280578050188
 3200.0     147.9173953544480
 3250.0     148.3047527676661
 3300.0     148.6856242266849
 3350.0     149.0599241978776
 3400.0     149.4308512327270
 3450.0     149.7900585507756
 3500.0     150.1565128252888
 3550.0     150.4770148704597
 3600.0     150.8310513638046
 3650.0     151.2013333163602
 3700.0     151.5494227466279
 3750.0     151.8899197217419
 3800.0     152.1931562810605
 3850.0     152.5226987418738
 3900.0     152.8478439309709
 3950.0     153.1572229795244
 4000.0     153.5059478552245
 4050.0     153.8154433364888
 4100.0     154.0712262014136
 4150.0     154.3836034360545
 4200.0     154.7060354167275
 4250.0     154.9983919714928
 4300.0     155.2784577763437
 4350.0     155.5696947498955
 4400.0     155.8602306020275
 4450.0     156.1295596581561
 4500.0     156.4117265243258
 4550.0     156.6908204443142
 4600.0     156.9618830903968
 4650.0     157.2181733161563
 4700.0     157.5646794634783
 4750.0     157.8249329689414
 4800.0     158.0096417132536
 4850.0     158.2950263344234
 4900.0     158.5358163660604
 4950.0     158.8229059198502
 5000.0     159.2042811094763
# V = 42.177798 (a.u.^3)
    0.0       3.1731763763098
   50.0      42.6485196826007
  100.0      62.2590527951589
  150.0      71.3981002293772
  200.0      78.7777589067845
  250.0      84.3292885674423
  300.0      88.9534264893119
  350.0      92.7133225216527
  400.0      96.0494091883755
  450.0      98.9690922177804
  500.0     101.5795640879490
  550.0     103.9295680012989
  600.0     106.4340744191334
  650.0     106.9698614526824
  700.0     108.9333725350216
  750.0     111.7259092430141
  800.0     114.4237555727675
  850.0     115.9965777882326
  900.0     115.9601356662553
  950.0     117.7510078045474
 1000.0     118.8791967993080
 1050.0     120.1214686573957
 1100.0     121.2202550264245
 1150.0     122.3540839059760
 1200.0     123.4536876480981
 1250.0     124.5705472005781
 1300.0     125.4193309986811
 1350.0     126.3209601779652
 1400.0     127.2153248371369
 1450.0     128.3898454343073
 1500.0     129.1341185649376
 1550.0     129.9334092347745
 1600.0     130.6045795949121
 1650.0     131.3522146377645
 1700.0     132.0520476392157
 1750.0     132.5169829411116
 1800.0     133.6363447392647
 1850.0     134.2040970556852
 1900.0     134.8979832766740
 1950.0     135.5411674902683
 2000.0     136.1321491340441
 2050.0     136.7869588792210
 2100.0     137.3997041856919
 2150.0     137.9612466971865
 2200.0     138.5607504109829
 2250.0     139.1170347914159
 2300.0     139.6525904022920
 2350.0     140.2022440459644
 2400.0     140.7321073381955
 2450.0     141.2074457825315
 2500.0     141.8038923703668
 2550.0     142.1873604461190
 2600.0     142.6393815886335
 2650.0     143.2350019008302
 2700.0     143.6000181628484
 2750.0     144.1410091802404
 2800.0     144.5703380712082
 2850.0     144.9572671265537
 2900.0     145.4626449281903
 2950.0     145.8614985584015
 3000.0     146.2592900758123
 3050.0     146.6877370354267
 3100.0     147.0998313904288
 3150.0     147.5013707655139
 3200.0     147.8905819689879
 3250.0     148.2779951882582
 3300.0     148.6587834455927
 3350.0     149.0332437878851
 3400.0     149.4036838294744
 3450.0     149.7654173818430
 3500.0     150.1309439598707
 3550.0     150.4524745308198
 3600.0     150.8071688071750
 3650.0     151.1746294933725
 3700.0     151.5219174972659
 3750.0     151.8622945630607
 3800.0     152.1674614641191
 3850.0     152.4964741157834
 3900.0     152.8216131665338
 3950.0     153.1318558812432
 4000.0     153.4777609268146
 4050.0     153.7872686512588
 4100.0     154.0461870811901
 4150.0     154.3586172722617
 4200.0     154.6774998912243
 4250.0     154.9696223009313
 4300.0     155.2526620096248
 4350.0     155.5429747217937
 4400.0     155.8347190434551
 4450.0     156.1012253856872
 4500.0     156.3821698787418
 4550.0     156.6669409918583
 4600.0     156.9366269249799
 4650.0     157.1934856692810
 4700.0     157.5298708925072
 4750.0     157.7899155331180
 4800.0     157.9848865418037
 4850.0     158.2673324862774
