# V (a.u.^3)  Helmholtz Free Energy (Ry.)
# T= 0.000000 K
  42.2446      0.616383245
  41.5023      0.644811620
  40.8275      0.671829275
  40.2201      0.698552478
  39.6128      0.724904353
  39.0054      0.750940026
  38.4656      0.776704042
  37.9257      0.802282698
  37.4533      0.827440910
  36.9809      0.852293216
  36.5085      0.876914050
  36.0361      0.901290176
  35.6312      0.925440796
# T= 50.000000 K
  42.2446      0.615443644
  41.5023      0.643878773
  40.8275      0.670902423
  40.2201      0.697636440
  39.6128      0.723996992
  39.0054      0.750035168
  38.4656      0.775802462
  37.9257      0.801386075
  37.4533      0.826548592
  36.9809      0.851407386
  36.5085      0.876031739
  36.0361      0.900399840
  35.6312      0.924576769
# T= 100.000000 K
  42.2446      0.613385159
  41.5023      0.641829832
  40.8275      0.668861903
  40.2201      0.695610691
  39.6128      0.721983286
  39.0054      0.748025390
  38.4656      0.773797661
  37.9257      0.799388472
  37.4533      0.824557155
  36.9809      0.849425125
  36.5085      0.874054727
  36.0361      0.898412933
  35.6312      0.922624961
# T= 150.000000 K
  42.2446      0.610833802
  41.5023      0.639288122
  40.8275      0.666328703
  40.2201      0.693092382
  39.6128      0.719477135
  39.0054      0.745523248
  38.4656      0.771300584
  37.9257      0.796898690
  37.4533      0.822073616
  36.9809      0.846950864
  36.5085      0.871585801
  36.0361      0.895934134
  35.6312      0.920181465
# T= 200.000000 K
  42.2446      0.607960689
  41.5023      0.636424684
  40.8275      0.663473798
  40.2201      0.690252399
  39.6128      0.716649338
  39.0054      0.742699480
  38.4656      0.768481902
  37.9257      0.794087329
  37.4533      0.819268517
  36.9809      0.844155070
  36.5085      0.868795362
  36.0361      0.893133831
  35.6312      0.917416515
# T= 250.000000 K
  42.2446      0.604847957
  41.5023      0.633321637
  40.8275      0.660379293
  40.2201      0.687172827
  39.6128      0.713581964
  39.0054      0.739636144
  38.4656      0.765423661
  37.9257      0.791036419
  37.4533      0.816223877
  36.9809      0.841119746
  36.5085      0.865765401
  36.0361      0.890094007
  35.6312      0.914412066
# T= 300.000000 K
  42.2446      0.601544144
  41.5023      0.630027515
  40.8275      0.657093716
  40.2201      0.683902190
  39.6128      0.710323531
  39.0054      0.736381752
  38.4656      0.762174369
