#T (K)    alpha (10^(-5) K^(-1))
#P= 600.000000 GPa
    0.0       0.0000000000000
   50.0       0.1874983714157
  100.0       0.1750246187804
  150.0       0.1343426627270
  200.0       0.1242298468352
  250.0       0.1324754945927
  300.0       0.0726839629004
  350.0       0.0849990077832
  400.0       0.0755493333388
  450.0       0.0894799766518
  500.0       0.0969692624219
  550.0       0.0359800684605
  600.0       0.0480953094023
  650.0       0.0343998520135
  700.0       0.0249059736588
  750.0       0.0163582876075
  800.0       0.0119173705254
  850.0      -0.0278993924041
  900.0       0.0074109254554
  950.0      -0.1922651110923
 1000.0      -0.1677641137680
 1050.0       0.0600236402321
 1100.0       0.0178296826129
 1150.0       0.0179244337095
 1200.0      -0.0304050639600
 1250.0      -0.0528922274208
 1300.0      -0.0536160814966
 1350.0      -0.0557076821467
 1400.0      -0.0577178449130
 1450.0      -0.0593328564876
 1500.0      -0.0608476766502
 1550.0      -0.0621520589810
 1600.0      -0.0635060310655
 1650.0      -0.0648995575271
 1700.0      -0.0661872468255
 1750.0      -0.0671769509322
 1800.0      -0.0682236014067
 1850.0      -0.0693902052592
 1900.0      -0.0702848685876
 1950.0      -0.0711622537367
 2000.0      -0.0719136681599
 2050.0      -0.0725902977389
 2100.0      -0.0734186308126
 2150.0      -0.0743516326309
 2200.0      -0.0750293446417
 2250.0      -0.0752714331471
 2300.0      -0.0761111722061
 2350.0      -0.0766845025475
 2400.0      -0.0770272934334
 2450.0      -0.0775586100740
 2500.0      -0.0781895509217
 2550.0      -0.0785806172895
 2600.0      -0.0787350126987
 2650.0      -0.0791612336608
 2700.0      -0.0796583235371
 2750.0      -0.0798154111893
 2800.0      -0.0801196742799
 2850.0      -0.0804395197340
 2900.0      -0.0808042237624
 2950.0      -0.0807588857304
 3000.0      -0.0809604083174
 3050.0      -0.0814990551691
 3100.0      -0.0814519000800
 3150.0      -0.0815665279068
 3200.0      -0.0818872596613
 3250.0      -0.0818833968472
 3300.0      -0.0818939056675
