# T (K)      B_S (GPa)
# P = 600.000000 (GPa)
    1.0    1625.3030128534665
   50.0    1627.4566836455406
  100.0    1630.6917749740314
  150.0    1633.8755873837201
  200.0    1638.0305814550752
  250.0    1640.5263013434978
  300.0    1643.4941434234086
  350.0    1649.7772414051628
  400.0    1652.2494128663905
  450.0    1657.2851035918382
  500.0    1657.4730599494510
  550.0    1662.0776282115487
  600.0    1666.6490095506970
  650.0    1671.2689433082667
  700.0    1676.2286287557208
  750.0    1681.6234431360142
  800.0    1687.1347523997592
  850.0    1693.5865129457104
  900.0    1701.5511647247070
  950.0    1667.7636730893930
 1000.0    1734.8418427041904
 1050.0    1739.5199889250498
 1100.0    1742.9772246499142
 1150.0    1746.3488084761495
 1200.0    1751.8638340988782
 1250.0    1759.9675153554745
 1300.0    1768.4202085179227
 1350.0    1776.8544100491845
 1400.0    1785.3597827726107
 1450.0    1793.8654406275903
 1500.0    1802.4092613848450
 1550.0    1810.9464900052094
 1600.0    1819.5114928960354
 1650.0    1828.0827848079066
 1700.0    1836.6927485209740
 1750.0    1845.2989874451382
 1800.0    1853.9251903577685
 1850.0    1862.5624124810784
 1900.0    1871.2263229502566
 1950.0    1879.8860165207809
 2000.0    1888.5671646135895
 2050.0    1897.2369499515526
 2100.0    1905.9319638246745
 2150.0    1914.6404696023048
 2200.0    1923.3786868375912
 2250.0    1932.0937778130574
 2300.0    1940.8294281231417
 2350.0    1949.5806929310208
 2400.0    1958.3308314855301
 2450.0    1967.0876635617785
 2500.0    1975.8654804317753
 2550.0    1984.6521124172207
 2600.0    1993.4310406636139
 2650.0    2002.2148228785309
 2700.0    2011.0177425630770
 2750.0    2019.8169802407547
 2800.0    2028.6222464028076
 2850.0    2037.4362165337479
 2900.0    2046.2649094565384
 2950.0    2055.0769252184123
 3000.0    2063.8983340645946
 3050.0    2072.7405410442720
 3100.0    2081.5777981157926
 3150.0    2090.4175898831131
 3200.0    2099.2711361181805
 3250.0    2108.1191387314607
 3300.0    2116.9666625213777
 3350.0    2125.8227821727028
 3400.0    2134.6829591201786
 3450.0    2143.5363381235511
 3500.0    2152.4014537084267
 3550.0    2161.2815216140739
 3600.0    2170.1469188173942
 3650.0    2179.0226940985490
 3700.0    2187.8970452743042
 3750.0    2196.7753568812932
 3800.0    2205.6553489140178
 3850.0    2214.5407404619823
 3900.0    2223.4244216199963
 3950.0    2232.3142054914265
 4000.0    2241.2025374476816
 4050.0    2250.0950434994993
 4100.0    2258.9850333983431
 4150.0    2267.8729018508689
 4200.0    2276.7762210108631
 4250.0    2285.6642033818557
 4300.0    2294.5632133032354
 4350.0    2303.4622601734072
 4400.0    2312.3600617441007
 4450.0    2321.2562147002345
 4500.0    2330.1656664552984
 4550.0    2339.0642133116035
 4600.0    2347.9672265187955
 4650.0    2356.8678271089598
 4700.0    2365.7899643532069
 4750.0    2374.6698000724664
 4800.0    2383.5923376608944
 4850.0    2392.4906398827989
 4900.0    2401.3954877205338
 4950.0    2410.3020287207123
 5000.0    2419.2164950336232
# P = 602.000000 (GPa)
    1.0    1628.1359947048095
   50.0    1630.2896305350425
  100.0    1633.5239086556276
  150.0    1636.7033204306836
  200.0    1640.8391073779360
  250.0    1643.3437665066460
  300.0    1646.3209593851618
  350.0    1652.5454123684603
  400.0    1655.0323906560545
  450.0    1660.0314219509683
  500.0    1660.2773956992492
  550.0    1664.8563277796557
  600.0    1669.4070019895510
  650.0    1674.0022762188203
  700.0    1678.9309526439574
  750.0    1684.2873232632041
  800.0    1689.7595125912912
  850.0    1696.1298021006703
  900.0    1704.0402022943938
  950.0    1664.7411849082771
 1000.0    1736.7460185518501
 1050.0    1741.5489295175628
 1100.0    1745.0028307714965
 1150.0    1748.3785852537692
 1200.0    1753.8218315605411
 1250.0    1761.8221573328144
 1300.0    1770.1920040693326
 1350.0    1778.5410920185873
 1400.0    1786.9621989261475
 1450.0    1795.3838111432522
 1500.0    1803.8443763175567
 1550.0    1812.2988652608317
 1600.0    1820.7817233681403
 1650.0    1829.2703851384065
 1700.0    1837.7989054146842
 1750.0    1846.3239576711248
 1800.0    1854.8699948351330
 1850.0    1863.4258864035498
 1900.0    1872.0109318154025
 1950.0    1880.5903530732062
 2000.0    1889.1940705204636
 2050.0    1897.7848525254003
 2100.0    1906.4027587798655
 2150.0    1915.0317386018066
 2200.0    1923.6944134521682
 2250.0    1932.3330902443340
 2300.0    1940.9921790018170
 2350.0    1949.6677428933385
 2400.0    1958.3436559327563
 2450.0    1967.0249314553994
 2500.0    1975.7282387236842
 2550.0    1984.4410334797474
 2600.0    1993.1482083141595
 2650.0    2001.8576779298485
 2700.0    2010.5884913239479
 2750.0    2019.3164320217738
 2800.0    2028.0497113178938
 2850.0    2036.7927198233144
 2900.0    2045.5495543327422
 2950.0    2054.2949761508371
 3000.0    2063.0435923505715
 3050.0    2071.8166337918569
 3100.0    2080.5865227985046
 3150.0    2089.3569403825272
 3200.0    2098.1416668771317
 3250.0    2106.9240538246063
 3300.0    2115.7036143225964
 3350.0    2124.4928041467138
 3400.0    2133.2867135508677
 3450.0    2142.0756142352957
 3500.0    2150.8735102671531
 3550.0    2159.6876936469416
 3600.0    2168.4912482067562
 3650.0    2177.3006091902116
 3700.0    2186.1116667532701
 3750.0    2194.9272293698323
 3800.0    2203.7433894658170
 3850.0    2212.5656842424278
 3900.0    2221.3879125871294
 3950.0    2230.2151416629181
 4000.0    2239.0422678083187
 4050.0    2247.8732578498430
 4100.0    2256.7028806461763
 4150.0    2265.5308701257291
 4200.0    2274.3722697233552
 4250.0    2283.2026345887884
 4300.0    2292.0412743240649
 4350.0    2300.8812027093804
 4400.0    2309.7208768966302
 4450.0    2318.5590648328202
 4500.0    2327.4088790937353
 4550.0    2336.2512552517360
 4600.0    2345.0972640463319
 4650.0    2353.9407803355371
 4700.0    2362.8035099121457
 4750.0    2371.6326236598438
 4800.0    2380.4948037781865
 4850.0    2389.3389719008369
 4900.0    2398.1890637620600
 4950.0    2407.0402953886055
 5000.0    2415.8989450635254
# P = 604.000000 (GPa)
    1.0    1630.9599363551260
   50.0    1633.1135988041879
  100.0    1636.3472141550214
  150.0    1639.5222716069738
  200.0    1643.6387814492580
  250.0    1646.1523478030895
  300.0    1649.1401258355606
  350.0    1655.3050869468716
  400.0    1657.8069765211669
  450.0    1662.7687144695647
  500.0    1663.0729485145287
  550.0    1667.6281621888270
  600.0    1672.1571689245204
  650.0    1676.7284371725575
  700.0    1681.6264964304423
  750.0    1686.9448305339708
  800.0    1692.3779698902370
  850.0    1698.6729142839201
  900.0    1706.5216981859680
  950.0    1646.8945760532529
 1000.0    1738.6577592718195
 1050.0    1743.5650815784536
 1100.0    1747.0176221933245
 1150.0    1750.3978120464440
 1200.0    1755.7763747731656
 1250.0    1763.6764820305559
 1300.0    1771.9631602634677
 1350.0    1780.2274297848730
 1400.0    1788.5642697759779
 1450.0    1796.9019551791991
 1500.0    1805.2792386460269
 1550.0    1813.6510389407715
 1600.0    1822.0517410947321
 1650.0    1830.4578798070138
 1700.0    1838.9049172868590
