# T (K)      B_T_P (GPa)
# P = 600.000000 (GPa)
    1.0    1625.2818223058364
   50.0    1627.3995107650073
  100.0    1630.5441279521308
  150.0    1633.7734300674429
  200.0    1637.9113955804532
  250.0    1640.3534635670892
  300.0    1643.4250915749681
  350.0    1649.6874134470152
  400.0    1652.1532653001645
  450.0    1657.1590369470955
  500.0    1657.2439909624679
  550.0    1662.0502217743133
  600.0    1666.5939928341427
  650.0    1671.2372605855944
  700.0    1676.2109159993890
  750.0    1681.6151502825812
  800.0    1687.1300625661818
  850.0    1693.5547515106082
  900.0    1701.5495515011455
  950.0    1709.7712330447407
 1000.0    1734.2807983005450
 1050.0    1739.3006072838980
 1100.0    1742.9626053543029
 1150.0    1746.3311895999759
 1200.0    1751.8084812332497
 1250.0    1759.8107810901292
 1300.0    1768.2516727206641
 1350.0    1776.6615697630320
 1400.0    1785.1451269049348
 1450.0    1793.6268232802913
 1500.0    1802.1483344522151
 1550.0    1810.6616050033856
 1600.0    1819.2026140595146
 1650.0    1827.7452480406944
 1700.0    1836.3298467501179
 1750.0    1844.9087349425240
 1800.0    1853.5090566465728
 1850.0    1862.1131691603891
 1900.0    1870.7524433148985
 1950.0    1879.3785263756868
 2000.0    1888.0357218249528
 2050.0    1896.6717343688254
 2100.0    1905.3385737988608
 2150.0    1914.0058306249466
 2200.0    1922.7196518946450
 2250.0    1931.4032592235419
 2300.0    1940.1027841287703
 2350.0    1948.8206748219852
 2400.0    1957.5420198764277
 2450.0    1966.2603087955026
 2500.0    1975.0021859900457
 2550.0    1983.7551677559031
 2600.0    1992.5070617111076
 2650.0    2001.2482151721492
 2700.0    2010.0168976135080
 2750.0    2018.7841799128091
 2800.0    2027.5512912360552
 2850.0    2036.3295758687045
 2900.0    2045.1157008661821
 2950.0    2053.9102892937294
 3000.0    2062.6785031527443
 3050.0    2071.4836523095669
 3100.0    2080.2932398654507
 3150.0    2089.0909147531434
 3200.0    2097.9026593006256
 3250.0    2106.7246304453042
 3300.0    2115.5306276950246
 3350.0    2124.3474219353952
 3400.0    2133.1699594464494
 3450.0    2141.9939777491645
 3500.0    2150.8113242070872
 3550.0    2159.6489593349020
 3600.0    2168.4933322222255
 3650.0    2177.3189014319933
 3700.0    2186.1581294612756
 3750.0    2195.0033403786388
 3800.0    2203.8408155342308
 3850.0    2212.6857325903179
 3900.0    2221.5369153311399
 3950.0    2230.3850978323435
 4000.0    2239.2373863440630
 4050.0    2248.0901432005726
 4100.0    2256.9445140072180
 4150.0    2265.7979949933961
 4200.0    2274.6519069319424
 4250.0    2283.5146759392928
 4300.0    2292.3695621252214
 4350.0    2301.2296670844503
 4400.0    2310.0925229028467
 4450.0    2318.9528422907028
 4500.0    2327.8135874270233
 4550.0    2336.6841031020408
 4600.0    2345.5510230618825
 4650.0    2354.4123930458109
 4700.0    2363.2789391181350
 4750.0    2372.1567043397945
 4800.0    2381.0128952590117
 4850.0    2389.8830674222058
 4900.0    2398.7539275362296
 4950.0    2407.6207684740434
 5000.0    2416.4898155405854
# P = 602.000000 (GPa)
    1.0    1628.1142896938525
   50.0    1630.2296116440625
  100.0    1633.3680058067664
  150.0    1636.5919300545102
  200.0    1640.7094410928182
  250.0    1643.1630687473444
  300.0    1646.2356394367189
  350.0    1652.4417839974071
  400.0    1654.9209530678231
  450.0    1659.8947064734693
  500.0    1660.0365717016948
  550.0    1664.8153533525972
  600.0    1669.3368377178792
  650.0    1673.9565186959499
  700.0    1678.9011568447968
  750.0    1684.2692958899527
  800.0    1689.7466626479197
  850.0    1696.1183390647595
  900.0    1704.0335966441330
  950.0    1712.1726371444438
 1000.0    1736.3241109122760
 1050.0    1741.3186020162505
 1100.0    1744.9782219088302
 1150.0    1748.3495895766655
 1200.0    1753.7946668468676
 1250.0    1761.7231870403618
 1300.0    1770.0838911566698
 1350.0    1778.4147978988567
 1400.0    1786.8190008388838
 1450.0    1795.2221510642846
 1500.0    1803.6651745458182
 1550.0    1812.1008486176397
 1600.0    1820.5645666526143
 1650.0    1829.0305607578107
 1700.0    1837.5385386391570
 1750.0    1846.0416320160452
 1800.0    1854.5665195644674
 1850.0    1863.0957172971189
 1900.0    1871.6602395776536
 1950.0    1880.2123839719359
 2000.0    1888.7958809323400
 2050.0    1897.3590544155702
 2100.0    1905.9532385593559
 2150.0    1914.5484436254114
 2200.0    1923.1900686168156
 2250.0    1931.8025529966174
 2300.0    1940.4313055402245
 2350.0    1949.0787034024072
 2400.0    1957.7300450952005
 2450.0    1966.3789457244927
 2500.0    1975.0516902205795
 2550.0    1983.7357823898410
 2600.0    1992.4194924840922
 2650.0    2001.0929961535608
 2700.0    2009.7942441650628
 2750.0    2018.4945940480159
 2800.0    2027.1952317209220
 2850.0    2035.9073921662271
 2900.0    2044.6277949392972
 2950.0    2053.3570642389450
 3000.0    2062.0607335113950
 3050.0    2070.8013317378350
 3100.0    2079.5467325135337
 3150.0    2088.2808449345821
 3200.0    2097.0293020191707
 3250.0    2105.7882893317778
 3300.0    2114.5319048736555
 3350.0    2123.2866620554910
 3400.0    2132.0475206628071
 3450.0    2140.8102163136373
 3500.0    2149.5667599082863
 3550.0    2158.3437532401681
 3600.0    2167.1277604131146
 3650.0    2175.8936566908219
 3700.0    2184.6734331809330
 3750.0    2193.4594134452568
 3800.0    2202.2382513402981
 3850.0    2211.0247547720555
 3900.0    2219.8178220449354
 3950.0    2228.6083215195813
 4000.0    2237.4032370210352
 4050.0    2246.1989273147342
 4100.0    2254.9966488006917
 4150.0    2263.7938340163792
 4200.0    2272.5917439063846
 4250.0    2281.3987457281887
 4300.0    2290.1983748460279
 4350.0    2299.0034454257166
 4400.0    2307.8115882722359
 4450.0    2316.6175268716624
 4500.0    2325.4242259439648
 4550.0    2334.2408984747458
 4600.0    2343.0543714306682
 4650.0    2351.8626007043322
 4700.0    2360.6762999148159
 4750.0    2369.5014238752024
 4800.0    2378.3054920384384
 4850.0    2387.1236678046762
 4900.0    2395.9428782302548
 4950.0    2404.7583513207965
 5000.0    2413.5763057235290
# P = 604.000000 (GPa)
    1.0    1630.9377097273812
   50.0    1633.0506756338725
  100.0    1636.1828506781374
  150.0    1639.4013043814671
  200.0    1643.4982308666783
  250.0    1645.9635383322948
  300.0    1649.0370020235737
  350.0    1655.1867435568768
  400.0    1657.6792200568668
  450.0    1662.6208506003072
  500.0    1662.8199104426212
  550.0    1667.5710400058138
  600.0    1672.0701165238434
  650.0    1676.6661469930064
  700.0    1681.5816218261953
  750.0    1686.9134589548180
  800.0    1692.3530483822076
  850.0    1698.6715583286891
  900.0    1706.5067780472452
  950.0    1714.5627564862634
 1000.0    1738.3541914809825
 1050.0    1743.3231802906357
 1100.0    1746.9804669235416
 1150.0    1750.3546811540746
 1200.0    1755.7673273741154
 1250.0    1763.6216470940158
 1300.0    1771.9016833381918
 1350.0    1780.1531673248369
 1400.0    1788.4775933167202
 1450.0    1796.8017473931184
 1500.0    1805.1658480978961
 1550.0    1813.5234863595049
 1600.0    1821.9095054603204
 1650.0    1830.2983741527812
 1700.0    1838.7293325539613
 1750.0    1847.1561753812844
 1800.0    1855.6051460564593
 1850.0    1864.0590673566649
 1900.0    1872.5484028994545
 1950.0    1881.0261752450745
 2000.0    1889.5355326003039
 2050.0    1898.0254342252335
 2100.0    1906.5465570283156
 2150.0    1915.0692638857533
 2200.0    1923.6383129850824
 2250.0    1932.1792445995623
 2300.0    1940.7368169403187
 2350.0    1949.3132769509543
 2400.0    1957.8941530000598
 2450.0    1966.4733064164393
 2500.0    1975.0764826876245
 2550.0    1983.6913089666648
 2600.0    1992.3063792455982
 2650.0    2000.9118694782426
 2700.0    2009.5452576314246
 2750.0    2018.1782949812487
 2800.0    2026.8120534390744
 2850.0    2035.4576552263004
 2900.0    2044.1119719923215
 2950.0    2052.7755247660375
 3000.0    2061.4142674831969
 3050.0    2070.0899354068429
 3100.0    2078.7707610699667
 3150.0    2087.4409259665626
 3200.0    2096.1257161276653
 3250.0    2104.8213471527260
 3300.0    2113.5022495160747
 3350.0    2122.1945943223673
 3400.0    2130.8933629111989
 3450.0    2139.5943638206995
 3500.0    2148.2897527349587
 3550.0    2157.0057345581499
 3600.0    2165.7290391502206
 3650.0    2174.4349017198060
 3700.0    2183.1548324308369
 3750.0    2191.8812784493925
 3800.0    2200.6011218821627
 3850.0    2209.3288764915264
 3900.0    2218.0634978640683
 3950.0    2226.7959803794656
 4000.0    2235.5331745891422
 4050.0    2244.2714801414395
 4100.0    2253.0122125330854
 4150.0    2261.7527597801986
 4200.0    2270.4943557196957
 4250.0    2279.2452824220472
 4300.0    2287.9893086289094
 4350.0    2296.7390445469068
 4400.0    2305.4921167281523
 4450.0    2314.2433828181784
 4500.0    2322.9957369041426
 4550.0    2331.7582736777181
 4600.0    2340.5179335697580
 4650.0    2349.2727514713015
 4700.0    2358.0332853567602
 4750.0    2366.8054731355469
 4800.0    2375.5571416877092
 4850.0    2384.3230907123384
 4900.0    2393.0902981558374
 4950.0    2401.8541232948587
 5000.0    2410.6206911824420
# P = 606.000000 (GPa)
    1.0    1633.7521634433419
   50.0    1635.8626740532154
  100.0    1638.9885609160867
  150.0    1642.2015996241271
  200.0    1646.2777732705968
  250.0    1648.7548107574601
  300.0    1651.8291800099157
  350.0    1657.9222336600053
  400.0    1660.4280994042565
  450.0    1665.3374127818286
  500.0    1665.5939484947946
  550.0    1670.3172606152568
  600.0    1674.7938543307691
  650.0    1679.3660808372588
  700.0    1684.2522851358376
  750.0    1689.5476019326761
  800.0    1694.9492343551212
  850.0    1701.2143013831655
  900.0    1708.9690447052963
  950.0    1716.9415490762074
 1000.0    1740.3709318545743
 1050.0    1745.3143114934660
 1100.0    1748.9693407855098
 1150.0    1752.3463613957804
 1200.0    1757.7264072698847
 1250.0    1765.5061508026811
 1300.0    1773.7050257686647
 1350.0    1781.8767038144119
 1400.0    1790.1208703244058
 1450.0    1798.3655749753277
 1500.0    1806.6503143145012
 1550.0    1814.9294831800053
 1600.0    1823.2373083809750
 1650.0    1831.5486451082256
 1700.0    1839.9021462717828
 1750.0    1848.2523067849936
