# T (K)      C_P (J K^-1 mol^-1)
# P = 600.000000 (GPa)
    1.0       1.0000130380758
   50.0      28.8636411446482
  100.0      19.5564883183017
  150.0      25.0788164935470
  200.0      24.6344528486091
  250.0      24.2211574800985
  300.0      21.9820012494048
  350.0      27.1675078824053
  400.0      22.9863628888023
  450.0      27.8354705462036
  500.0      19.9942247507303
  550.0      25.4530475514506
  600.0      24.8517314140174
  650.0      24.0501475692920
  700.0      24.4296230015163
  750.0      24.2732811319266
  800.0      24.4587964489437
  850.0      21.1913054164659
  900.0      31.4643732307590
  950.0      -0.8454708233315
 1000.0      53.5241225671418
 1050.0      18.5015708032154
 1100.0      25.7696857785892
 1150.0      22.6803515902603
 1200.0      21.8122320728918
 1250.0      24.5059035857364
 1300.0      24.5883645640647
 1350.0      24.3203415021198
 1400.0      24.5549659804108
 1450.0      24.4062106606281
 1500.0      24.5139395322153
 1550.0      24.4349554918853
 1600.0      24.5176853073998
 1650.0      24.3907838139111
 1700.0      24.5385734787331
 1750.0      24.4238284156397
 1800.0      24.5256354431959
 1850.0      24.3788319699520
 1900.0      24.5779816281579
 1950.0      24.3686339804469
 2000.0      24.5981503902985
 2050.0      24.3757749138749
 2100.0      24.5529162095591
 2150.0      24.3242315930476
 2200.0      24.6295768651362
 2250.0      24.4147355026235
 2300.0      24.4670711337195
 2350.0      24.4806270712835
 2400.0      24.5221192483975
 2450.0      24.4127059770953
 2500.0      24.4795475654310
 2550.0      24.4884204012916
 2600.0      24.5478793380074
 2650.0      24.3882731873219
 2700.0      24.5135570053407
 2750.0      24.5022446432851
 2800.0      24.4531542018278
 2850.0      24.4899889869951
 2900.0      24.4235519245574
 2950.0      24.6559149309791
 3000.0      24.3060046317902
 3050.0      24.5100210089270
 3100.0      24.5538114756014
 3150.0      24.4305925721550
 3200.0      24.4542878403552
 3250.0      24.5750855965555
 3300.0      24.4402616747531
 3350.0      24.4753281310160
 3400.0      24.4856026420847
 3450.0      24.5469289011854
 3500.0      24.4068770954059
