# T (K)      C-ph_V_V (J K^-1 mol^-1)
# V = 41.164900 (a.u.^3)
    5.0       6.4541582755868
   50.0      23.5897150601550
  100.0      24.0940517603488
  150.0      24.1896616156006
  200.0      24.2232922695076
  250.0      24.2388879596359
  300.0      24.2473675334532
  350.0      24.2524831194050
  400.0      24.2558044071690
  450.0      24.2580819605978
  500.0      24.2597113254977
  550.0      24.2609170024402
  600.0      24.2618340933452
  650.0      24.2625478503874
  700.0      24.2631142225736
  750.0      24.2635711606955
  800.0      24.2639451429901
  850.0      24.2642550985003
  900.0      24.2645148499111
  950.0      24.2647346815653
 1000.0      24.2649223732018
 1050.0      24.2650838977751
 1100.0      24.2652239025526
 1150.0      24.2653460471325
 1200.0      24.2654532450241
 1250.0      24.2655478390009
 1300.0      24.2656317301883
 1350.0      24.2657064743313
 1400.0      24.2657733544418
 1450.0      24.2658334362223
 1500.0      24.2658876107842
 1550.0      24.2659366278780
 1600.0      24.2659811219737
 1650.0      24.2660216328947
 1700.0      24.2660586222682
 1750.0      24.2660924867346
 1800.0      24.2661235686239
 1850.0      24.2661521646413
 1900.0      24.2661785329749
 1950.0      24.2662028991423
 2000.0      24.2662254608299
 2050.0      24.2662463919147
 2100.0      24.2662658458238
 2150.0      24.2662839583550
 2200.0      24.2663008500521
 2250.0      24.2663166282160
 2300.0      24.2663313886134
 2350.0      24.2663452169325
 2400.0      24.2663581900301
 2450.0      24.2663703770016
 2500.0      24.2663818401022
 2550.0      24.2663926355453
 2600.0      24.2664028141908
 2650.0      24.2664124221468
 2700.0      24.2664215012920
 2750.0      24.2664300897331
 2800.0      24.2664382222049
 2850.0      24.2664459304225
 2900.0      24.2664532433904
 2950.0      24.2664601876768
 3000.0      24.2664667876540
 3050.0      24.2664730657133
 3100.0      24.2664790424549
 3150.0      24.2664847368571
 3200.0      24.2664901664276
 3250.0      24.2664953473372
 3300.0      24.2665002945415
 3350.0      24.2665050218884
 3400.0      24.2665095422149
 3450.0      24.2665138674345
 3500.0      24.2665180086161
 3550.0      24.2665219760547
 3600.0      24.2665257793352
 3650.0      24.2665294273905
 3700.0      24.2665329285544
 3750.0      24.2665362906083
 3800.0      24.2665395208253
 3850.0      24.2665426260096
 3900.0      24.2665456125318
