# T (K)      C_V_P (J K^-1 mol^-1)
# P = 600.000000 (GPa)
    1.0       1.0000000000000
   50.0      28.8626271591311
  100.0      19.5547176236166
  150.0      25.0772484521317
  200.0      24.6326604041689
  250.0      24.2186056581634
  300.0      21.9810776697104
  350.0      27.1660286513311
  400.0      22.9850252682040
  450.0      27.8333531529023
  500.0      19.9914614739568
  550.0      25.4526278494233
  600.0      24.8509110489284
  650.0      24.0496916437758
  700.0      24.4293648529845
  750.0      24.2731614292883
  800.0      24.4587284593035
  850.0      21.1909079958047
  900.0      31.4643433997029
  950.0      -0.8667665062119
 1000.0      53.5068129722916
 1050.0      18.4992374555145
 1100.0      25.7694696342536
 1150.0      22.6801227686731
 1200.0      21.8115428814561
 1250.0      24.5037212075040
 1300.0      24.5860212185154
 1350.0      24.3177020390394
 1400.0      24.5520137085051
 1450.0      24.4029641823173
 1500.0      24.5103907560379
 1550.0      24.4311115614443
 1600.0      24.5135232044719
 1650.0      24.3862803054339
 1700.0      24.5337250402684
 1750.0      24.4186631496164
 1800.0      24.5201303970649
 1850.0      24.3729518838109
 1900.0      24.5717573650482
 1950.0      24.3620554743642
 2000.0      24.5912284709283
 2050.0      24.3685130018493
 2100.0      24.5452719411068
 2150.0      24.3161689276499
 2200.0      24.6211376784616
 2250.0      24.4060098243380
 2300.0      24.4579106943519
 2350.0      24.4710836243453
 2400.0      24.5122417894758
 2450.0      24.4024380215679
 2500.0      24.4688519702306
 2550.0      24.4773530924138
 2600.0      24.5365011045124
 2650.0      24.3764992794780
 2700.0      24.5013570783060
 2750.0      24.4897158218371
 2800.0      24.4402448334709
 2850.0      24.4766871631247
 2900.0      24.4098353448765
 2950.0      24.6419181429458
 3000.0      24.2916389940531
 3050.0      24.4951583820408
 3100.0      24.5386591228347
 3150.0      24.4150877946729
 3200.0      24.4383465331921
 3250.0      24.5588293234314
 3300.0      24.4236827330289
 3350.0      24.4583418016652
 3400.0      24.4682479765358
 3450.0      24.5292664012423
 3500.0      24.3888460281818
 3550.0      24.4372647469362
 3600.0      24.5942994134531
 3650.0      24.3637106319514
 3700.0      24.4940718108495
 3750.0      24.5170420792703
 3800.0      24.4282821452603
 3850.0      24.4488676041885
 3900.0      24.5035051308018
 3950.0      24.4467487332285
 4000.0      24.4826644466307
 4050.0      24.4562832336656
 4100.0      24.4836950600143
 4150.0      24.4913954300387
 4200.0      24.3992975306718
