# T (K)      C_V_V (J K^-1 mol^-1)
# V = 41.164900 (a.u.^3)
    0.0      -0.0000000000000
   50.0      28.8566333666158
  100.0      19.5545377499780
  150.0      24.9866969326368
  200.0      24.7705021641477
  250.0      24.2175749063454
  300.0      21.4377627700237
  350.0      28.0069943366081
  400.0      22.0352230968468
  450.0      29.2142450300160
  500.0      18.6269048746678
  550.0      25.9055278645443
  600.0      24.6893219991764
  650.0      24.0283143092593
  700.0      24.3086271449963
  750.0      24.2706955380061
  800.0      24.4177636331993
  850.0      20.1696150254086
  900.0      33.7025561466623
  950.0      -9.5794816927135
 1000.0      63.5855063443871
 1050.0      16.1338563723610
 1100.0      26.7343573241256
 1150.0      21.7205889091386
 1200.0      20.9156106212670
 1250.0      24.5144345221134
 1300.0      24.5940795368173
 1350.0      24.2593912751222
 1400.0      24.5599925251825
 1450.0      24.3594773204669
 1500.0      24.5169477364384
 1550.0      24.3941279220514
 1600.0      24.5146282510997
 1650.0      24.3396225326256
 1700.0      24.5385411190608
 1750.0      24.3843203001954
 1800.0      24.5183658493523
 1850.0      24.3252672638848
 1900.0      24.5864285711371
 1950.0      24.3093932492784
 2000.0      24.6137115487116
 2050.0      24.3155786946949
 2100.0      24.5547530322705
 2150.0      24.2467926052603
 2200.0      24.6523010371105
 2250.0      24.3691345324128
 2300.0      24.4333369637259
 2350.0      24.4542750954992
 2400.0      24.5067063143593
 2450.0      24.3641694567805
 2500.0      24.4497382438660
 2550.0      24.4599163001835
 2600.0      24.5417154701272
 2650.0      24.3252311609897
 2700.0      24.4961850492615
 2750.0      24.4754356420584
 2800.0      24.4121997287342
 2850.0      24.4606445720364
 2900.0      24.3719151598156
 2950.0      24.6773039542093
 3000.0      24.2171411002458
 3050.0      24.4839558493026
 3100.0      24.5409898989546
 3150.0      24.3798400221792
 3200.0      24.4066074163248
 3250.0      24.5719900512697
 3300.0      24.3860475630163
 3350.0      24.4398309672674
 3400.0      24.4457779700015
 3450.0      24.5304672042333
 3500.0      24.3415667847854
 3550.0      24.4085245375129
 3600.0      24.6144245983101
 3650.0      24.3182370120329
 3700.0      24.4703979572696
 3750.0      24.5162834794554
 3800.0      24.3970568077315
 3850.0      24.4220633007951
 3900.0      24.4955076107329
 3950.0      24.4185831587358
 4000.0      24.4675576558221
 4050.0      24.4338963771565
 4100.0      24.4670983928046
 4150.0      24.4779216538695
 4200.0      24.3577214484125
 4250.0      24.5481535704106
 4300.0      24.4028964966238
 4350.0      24.4384916135657
 4400.0      24.4717774129132
 4450.0      24.4676861446961
 4500.0      24.3649568101724
 4550.0      24.5087139519853
 4600.0      24.4742186693403
 4650.0      24.4413680785703
 4700.0      24.3082016988020
 4750.0      24.7001953528184
 4800.0      24.2710484729545
 4850.0      24.4869519493679
 4900.0      24.4804659365329
 4950.0      24.4377735766764
 5000.0      24.3891722666648
# V = 41.098098 (a.u.^3)
    0.0      -0.0000000000000
   50.0      28.8597093848961
  100.0      19.5544280159349
  150.0      25.0326905794411
  200.0      24.7000784292955
  250.0      24.2180107731968
  300.0      21.7154741863251
  350.0      27.5765646111922
  400.0      22.5216440217681
  450.0      28.5060698422340
  500.0      19.3277880179529
  550.0      25.6726317740380
  600.0      24.7722311332586
  650.0      24.0392333172672
  700.0      24.3706420359910
  750.0      24.2718651363798
  800.0      24.4387385378317
  850.0      20.6956213720641
  900.0      32.5499061863991
  950.0      -5.0955870093139
 1000.0      58.4184849869992
 1050.0      17.3463882955281
 1100.0      26.2395482876018
 1150.0      22.2126546599074
 1200.0      21.3751228315825
 1250.0      24.5088213340907
 1300.0      24.5898152347112
 1350.0      24.2891271618409
 1400.0      24.5557746324632
 1450.0      24.3815787035146
 1500.0      24.5134743134068
 1550.0      24.4128665351876
 1600.0      24.5139385386727
 1650.0      24.3632564120418
 1700.0      24.5359627079569
 1750.0      24.4016512062575
 1800.0      24.5191339953844
 1850.0      24.3493304675166
 1900.0      24.5788647728834
 1950.0      24.3359293005109
 2000.0      24.6022113165153
 2050.0      24.3421988879261
 2100.0      24.5498365624594
 2150.0      24.2816538119591
 2200.0      24.6364660229263
 2250.0      24.3875685567381
 2300.0      24.4455528368183
 2350.0      24.4625949331396
 2400.0      24.5093450620642
 2450.0      24.3832226674813
 2500.0      24.4591685263134
 2550.0      24.4685134687447
 2600.0      24.5389688619268
 2650.0      24.3506906910378
 2700.0      24.4986200662097
 2750.0      24.4824210881005
 2800.0      24.4260140051455
 2850.0      24.4684794853972
 2900.0      24.3906008147374
 2950.0      24.6596307706962
 3000.0      24.2538958449620
 3050.0      24.4893599539941
 3100.0      24.5397107654900
 3150.0      24.3970935110899
 3200.0      24.4221309504911
 3250.0      24.5653605121024
 3300.0      24.4044408471406
 3350.0      24.4487715175142
 3400.0      24.4566837113321
 3450.0      24.5297352953074
 3500.0      24.3645952998575
 3550.0      24.4224422581321
 3600.0      24.6044490651499
 3650.0      24.3403021586005
 3700.0      24.4818016099457
 3750.0      24.5165128398931
 3800.0      24.4121146352501
 3850.0      24.4349483238312
 3900.0      24.4992582793837
 3950.0      24.4320945030423
 4000.0      24.4747425104767
 4050.0      24.4445804383028
 4100.0      24.4749879631090
 4150.0      24.4842912949036
 4200.0      24.3776256587353
 4250.0      24.5456143935331
 4300.0      24.4186625805216
 4350.0      24.4486987861720
 4400.0      24.4785328618874
 4450.0      24.4749411087097
 4500.0      24.3845579748748
 4550.0      24.5122947479006
 4600.0      24.4794179516713
 4650.0      24.4518957416754
 4700.0      24.3352574552804
 4750.0      24.6785014814350
 4800.0      24.3026732246263
 4850.0      24.4918903725212
 4900.0      24.4863307380987
 4950.0      24.4485667226775
 5000.0      24.4049921106269
# V = 41.031296 (a.u.^3)
    0.0      -0.0000000000000
   50.0      28.8625753994413
  100.0      19.5547113497577
  150.0      25.0768694608827
  200.0      24.6329960672194
  250.0      24.2186047955880
  300.0      21.9815927659896
  350.0      27.1645457464228
  400.0      22.9881099618383
  450.0      27.8278158452222
  500.0      19.9993125748090
  550.0      25.4497125514396
  600.0      24.8520684653017
  650.0      24.0498586940163
  700.0      24.4303512527499
  750.0      24.2731856175436
  800.0      24.4590859027097
  850.0      21.1996748557360
  900.0      31.4460500802771
  950.0      -0.7999089523893
 1000.0      53.4688588736544
 1050.0      18.5083798485512
 1100.0      25.7654240158353
 1150.0      22.6845114340581
 1200.0      21.8155509983330
 1250.0      24.5036820656100
 1300.0      24.5859981357356
 1350.0      24.3178375821270
 1400.0      24.5520025498285
 1450.0      24.4029941512116
 1500.0      24.5103917572493
 1550.0      24.4310730605231
 1600.0      24.5135243357807
 1650.0      24.3861480724124
 1700.0      24.5337410274337
 1750.0      24.4185012288812
 1800.0      24.5201176529369
 1850.0      24.3726366455844
 1900.0      24.5718636424085
 1950.0      24.3616044258269
 2000.0      24.5914365002384
 2050.0      24.3679539401427
 2100.0      24.5453746161026
 2150.0      24.3152975531848
 2200.0      24.6215507903395
 2250.0      24.4054674752310
 2300.0      24.4575202128553
 2350.0      24.4707969568699
 2400.0      24.5121345624052
 2450.0      24.4017147662149
 2500.0      24.4684644921276
 2550.0      24.4769810417105
 2600.0      24.5366025334443
 2650.0      24.3753159246086
 2700.0      24.5012197790297
 2750.0      24.4893467031148
 2800.0      24.4395005932767
 2850.0      24.4762378046436
 2900.0      24.4087523334288
 2950.0      24.6429374463033
 3000.0      24.2893659286529
 3050.0      24.4947901296364
 3100.0      24.5387184181099
 3150.0      24.4138886116354
 3200.0      24.4372330973638
 3250.0      24.5592772787695
 3300.0      24.4222852661231
 3350.0      24.4576204172500
 3400.0      24.4673576408022
