# P (GPa)      H (Ry.)
   600.00       2.3490745508747
   602.00       2.3544730161479
   604.00       2.3598648539297
   606.00       2.3652500838097
   608.00       2.3706287252462
   610.00       2.3760007975729
   612.00       2.3813663199994
   614.00       2.3867253116077
   616.00       2.3920777913550
   618.00       2.3974237780786
   620.00       2.4027632904944
   622.00       2.4080963471937
   624.00       2.4134229666499
   626.00       2.4187431672205
   628.00       2.4240569671416
   630.00       2.4293643845316
   632.00       2.4346654373968
   634.00       2.4399601436275
   636.00       2.4452485209965
   638.00       2.4505305871668
   640.00       2.4558063596906
   642.00       2.4610758560041
   644.00       2.4663390934352
   646.00       2.4715960892053
   648.00       2.4768468604226
   650.00       2.4820914240879
   652.00       2.4873297970991
   654.00       2.4925619962443
   656.00       2.4977880382049
   658.00       2.5030079395630
   660.00       2.5082217167933
   662.00       2.5134293862660
   664.00       2.5186309642540
   666.00       2.5238264669264
   668.00       2.5290159103486
   670.00       2.5341993104921
   672.00       2.5393766832264
   674.00       2.5445480443199
   676.00       2.5497134094490
   678.00       2.5548727941902
   680.00       2.5600262140216
   682.00       2.5651736843314
   684.00       2.5703152204093
   686.00       2.5754508374493
   688.00       2.5805805505583
   690.00       2.5857043747446
   692.00       2.5908223249253
   694.00       2.5959344159314
   696.00       2.6010406624960
   698.00       2.6061410792657
   700.00       2.6112356808008
   702.00       2.6163244815656
   704.00       2.6214074959423
   706.00       2.6264847382249
   708.00       2.6315562226158
   710.00       2.6366219632381
   712.00       2.6416819741245
   714.00       2.6467362692220
   716.00       2.6517848623991
   718.00       2.6568277674326
   720.00       2.6618649980206
   722.00       2.6668965677800
   724.00       2.6719224902388
   726.00       2.6769427788513
   728.00       2.6819574469858
   730.00       2.6869665079293
   732.00       2.6919699748951
   734.00       2.6969678610083
   736.00       2.7019601793216
   738.00       2.7069469428083
   740.00       2.7119281643587
   742.00       2.7169038567945
   744.00       2.7218740328520
   746.00       2.7268387051953
   748.00       2.7317978864145
   750.00       2.7367515890173
   752.00       2.7416998254456
   754.00       2.7466426080590
   756.00       2.7515799491464
   758.00       2.7565118609259
   760.00       2.7614383555348
   762.00       2.7663594450476
   764.00       2.7712751414582
   766.00       2.7761854566928
   768.00       2.7810904026079
   770.00       2.7859899909827
   772.00       2.7908842335354
   774.00       2.7957731419045
   776.00       2.8006567276657
   778.00       2.8055350023238
   780.00       2.8104079773112
   782.00       2.8152756640000
   784.00       2.8201380736841
   786.00       2.8249952175995
   788.00       2.8298471069082
   790.00       2.8346937527079
   792.00       2.8395351660327
   794.00       2.8443713578431
   796.00       2.8492023390447
   798.00       2.8540281204664
   800.00       2.8588487128816
   802.00       2.8636641269937
   804.00       2.8684743734427
   806.00       2.8732794628087
   808.00       2.8780794056005
   810.00       2.8828742122742
   812.00       2.8876638932116
   814.00       2.8924484587427
   816.00       2.8972279191275
   818.00       2.9020022845681
   820.00       2.9067715652056
   822.00       2.9115357711152
   824.00       2.9162949123200
   826.00       2.9210489987711
   828.00       2.9257980403718
   830.00       2.9305420469538
   832.00       2.9352810282988
   834.00       2.9400149941232
   836.00       2.9447439540862
   838.00       2.9494679177887
   840.00       2.9541868947726
   842.00       2.9589008945300
   844.00       2.9636099264664
   846.00       2.9683139999524
   848.00       2.9730131243589
   850.00       2.9777073090566
   852.00       2.9823965634162
   854.00       2.9870808968085
   856.00       2.9917603186040
   858.00       2.9964348381737
   860.00       3.0011044648882
   862.00       3.0057692081183
   864.00       3.0104290772346
   866.00       3.0150840816079
   868.00       3.0197342306090
   870.00       3.0243795336085
   872.00       3.0290199999772
   874.00       3.0336556390859
   876.00       3.0382864603052
