# T (K)      Entropy-ph (J K^-1 mol^-1)
# V = 41.164900 (a.u.^3)
    5.0       4.0903190720886
   50.0      43.8277625959335
  100.0      60.3917614521495
  150.0      70.1830101171255
  200.0      77.1472388515337
  250.0      82.5543790050798
  300.0      86.9744705885125
  350.0      90.7126332653781
  400.0      93.9513327080003
  450.0      96.8083943692008
  500.0      99.3643272393391
  550.0     101.6765839678280
  600.0     103.7876008180740
  650.0     105.7296130391229
  700.0     107.5276827640217
  750.0     109.2016808104883
  800.0     110.7676281383375
  850.0     112.2386302216554
  900.0     113.6255441209658
  950.0     114.9374650642824
 1000.0     116.1820881394781
 1050.0     117.3659816900959
 1100.0     118.4947970793989
 1150.0     119.5734318060300
 1200.0     120.6061578910402
 1250.0     121.5967240474642
 1300.0     122.5484378054052
 1350.0     123.4642321337885
 1400.0     124.3467199432777
 1450.0     125.1982390230301
 1500.0     126.0208893578980
 1550.0     126.8165643257115
 1600.0     127.5869769408195
 1650.0     128.3336820588053
 1700.0     129.0580952660162
 1750.0     129.7615090306638
 1800.0     130.4451065784828
 1850.0     131.1099738671133
 1900.0     131.7571099634974
 1950.0     132.3874360732412
 2000.0     133.0018034267658
 2050.0     133.6010001916496
 2100.0     134.1857575519869
 2150.0     134.7567550723969
 2200.0     135.3146254453571
 2250.0     135.8599587050412
 2300.0     136.3933059780180
 2350.0     136.9151828305847
 2400.0     137.4260722636947
 2450.0     137.9264273990862
 2500.0     138.4166738940442
 2550.0     138.8972121170458
 2600.0     139.3684191121488
 2650.0     139.8306503762791
 2700.0     140.2842414703840
 2750.0     140.7295094827696
 2800.0     141.1667543605797
 2850.0     141.5962601234391
 2900.0     142.0182959715542
 2950.0     142.4331172990822
 3000.0     142.8409666223508
 3050.0     143.2420744313446
 3100.0     143.6366599719704
 3150.0     144.0249319657248
 3200.0     144.4070892727006
 3250.0     144.7833215031844
 3300.0     145.1538095825696
 3350.0     145.5187262737883
 3400.0     145.8782366610430
 3450.0     146.2324985982263
 3500.0     146.5816631250788
 3550.0     146.9258748538281
 3600.0     147.2652723287911
 3650.0     147.5999883611727
 3700.0     147.9301503410896
 3750.0     148.2558805286455
 3800.0     148.5772963257395
 3850.0     148.8945105300973
 3900.0     149.2076315729187
 3950.0     149.5167637413890
 4000.0     149.8220073871855
 4050.0     150.1234591220436
 4100.0     150.4212120013213
 4150.0     150.7153556964318
 4200.0     151.0059766569587
 4250.0     151.2931582631776
 4300.0     151.5769809696432
 4350.0     151.8575224405049
 4400.0     152.1348576770573
 4450.0     152.4090591381085
 4500.0     152.6801968536129
 4550.0     152.9483385320246
 4600.0     153.2135496617922
 4650.0     153.4758936073577
 4700.0     153.7354317000264
 4750.0     153.9922233240326
