# T (K)    Entropy (J K^-1 mol^-1)
# P = 600.000000 (GPa)
    0.0       3.6967491720471
   50.0      42.1045534678692
  100.0      61.4517923505784
  150.0      70.6274746800840
  200.0      77.8872678350938
  250.0      83.3059255574873
  300.0      87.8174560244761
  350.0      91.5126596799739
  400.0      94.8964667012847
  450.0      97.7898220299180
  500.0     100.2916479652853
  550.0     102.7173966382168
  600.0     104.8370828427000
  650.0     106.8443349263530
  700.0     108.6737837684672
  750.0     110.3832688515955
  800.0     111.9670458227328
  850.0     113.5326793113722
  900.0     114.8522586688909
  950.0     116.6436294983546
 1000.0     117.8400420646223
 1050.0     118.5287827820277
 1100.0     119.7482468771090
 1150.0     120.8225244734435
 1200.0     121.9937985624957
 1250.0     123.0432877264195
 1300.0     124.0060653291056
 1350.0     124.9362081488733
 1400.0     125.8319854685664
 1450.0     126.6963475209720
 1500.0     127.5308462833559
 1550.0     128.3377905257561
 1600.0     129.1197301679619
 1650.0     129.8776671460573
 1700.0     130.6130440170610
 1750.0     131.3265202322209
 1800.0     132.0202608283861
 1850.0     132.6953645472844
 1900.0     133.3519837520402
 1950.0     133.9917116687866
 2000.0     134.6150016306934
 2050.0     135.2229398339252
 2100.0     135.8166158172057
 2150.0     136.3967122526738
 2200.0     136.9630541035181
 2250.0     137.5155951238721
 2300.0     138.0576257330850
 2350.0     138.5875047936154
 2400.0     139.1056932656784
 2450.0     139.6137174467045
 2500.0     140.1118123744641
 2550.0     140.5996418609969
 2600.0     141.0773755597842
 2650.0     141.5468079000273
 2700.0     142.0077047050348
 2750.0     142.4593141735558
 2800.0     142.9033450216881
 2850.0     143.3395287917579
 2900.0     143.7683276198376
 2950.0     144.1888097974723
 3000.0     144.6028921356670
 3050.0     145.0110758702704
 3100.0     145.4111882636266
 3150.0     145.8053201695485
 3200.0     146.1939219124232
 3250.0     146.5755907957927
 3300.0     146.9515430085161
 3350.0     147.3224174388579
 3400.0     147.6875232613218
 3450.0     148.0470115531364
 3500.0     148.4017277569531
 3550.0     148.7519253721814
 3600.0     149.0961434852431
 3650.0     149.4356986947648
 3700.0     149.7715755999253
 3750.0     150.1023730785585
 3800.0     150.4286064471679
 3850.0     150.7510624245825
 3900.0     151.0690325724205
 3950.0     151.3829947441157
 4000.0     151.6931282015084
 4050.0     151.9992779494321
 4100.0     152.3017296406255
 4150.0     152.6004139065219
 4200.0     152.8958534287465
 4250.0     153.1875336341670
 4300.0     153.4757114586656
 4350.0     153.7609262852581
 4400.0     154.0426106193237
 4450.0     154.3210481161592
 4500.0     154.5967327020908
 4550.0     154.8693062651074
 4600.0     155.1384887870882
 4650.0     155.4049230519184
 4700.0     155.6691360500719
 4750.0     155.9296926860043
 4800.0     156.1876329586749
 4850.0     156.4436267245388
 4900.0     156.6963220466162
 4950.0     156.9466036720426
 5000.0     157.1945952474711
# P = 602.000000 (GPa)
    0.0       3.6861255315800
   50.0      42.0911135198031
  100.0      61.4392268283754
  150.0      70.6177494893453
  200.0      77.8782800223255
  250.0      83.2964367940435
  300.0      87.8120186531783
  350.0      91.5064169713668
  400.0      94.8909075239318
  450.0      97.7833545170816
  500.0     100.2846869351230
  550.0     102.7145636805042
  600.0     104.8334544650893
  650.0     106.8416513880428
  700.0     108.6717566010401
  750.0     110.3818344896083
  800.0     111.9659243640478
  850.0     113.5342615551671
  900.0     114.8514651040463
  950.0     116.6563566477703
 1000.0     117.8511232817068
 1050.0     118.5244726992525
 1100.0     119.7467959287350
 1150.0     120.8210740161066
 1200.0     121.9956307212970
 1250.0     123.0466505461844
 1300.0     124.0094861433781
 1350.0     124.9397789670151
 1400.0     125.8357004081391
 1450.0     126.7001797876837
 1500.0     127.5347884748662
 1550.0     128.3418282433135
 1600.0     129.1238665230684
 1650.0     129.8819045202243
 1700.0     130.6173750077325
 1750.0     131.3309243946054
 1800.0     132.0247418077516
 1850.0     132.6999303140564
 1900.0     133.3566156535182
 1950.0     133.9964083583966
 2000.0     134.6197543577783
 2050.0     135.2277433704111
 2100.0     135.8214803125806
 2150.0     136.4016446224487
 2200.0     136.9680369247851
 2250.0     137.5205986591124
 2300.0     138.0626904439237
 2350.0     138.5926124516849
 2400.0     139.1108280777901
 2450.0     139.6188921194526
 2500.0     140.1170335633970
 2550.0     140.6048931404854
 2600.0     141.0826407760326
 2650.0     141.5521054214778
 2700.0     142.0130392347722
 2750.0     142.4646625557901
 2800.0     142.9087170820326
 2850.0     143.3449255787517
 2900.0     143.7737520891380
 2950.0     144.1942339725899
 3000.0     144.6083327257492
 3050.0     145.0165557468721
 3100.0     145.4166674932767
 3150.0     145.8108097018972
 3200.0     146.1994356633381
 3250.0     146.5811066766075
 3300.0     146.9570618993609
 3350.0     147.3279528650503
 3400.0     147.6930679973691
 3450.0     148.0525552987002
 3500.0     148.4072796970937
 3550.0     148.7574960370064
 3600.0     149.1017079959126
