# T (K)      Entropy (J K^-1 mol^-1)
# V = 41.164900 (a.u.^3)
    0.0       3.9546058816039
   50.0      42.3509214940331
  100.0      61.6678726148355
  150.0      70.7209565411028
  200.0      77.9817188003940
  250.0      83.4997890615470
  300.0      87.7080267830169
  350.0      91.4950066093242
  400.0      94.8727076483491
  450.0      97.8729227046807
  500.0     100.4272815611928
  550.0     102.5361507987691
  600.0     104.7423965425777
  650.0     106.6952842275149
  700.0     108.4876154176649
  750.0     110.1648038574435
  800.0     111.7368821555812
  850.0     113.0931612404542
  900.0     114.6225673269748
  950.0     115.3066578186674
 1000.0     116.6442038537846
 1050.0     118.6179809498315
 1100.0     119.6097194173624
 1150.0     120.6895051628723
 1200.0     121.5974337662314
 1250.0     122.5234643446167
 1300.0     123.4867161030747
 1350.0     124.4089271576667
 1400.0     125.2967464393356
 1450.0     126.1553087227121
 1500.0     126.9839155066033
 1550.0     127.7859849783727
 1600.0     128.5624797209583
 1650.0     129.3143029469669
 1700.0     130.0439460053619
 1750.0     130.7531543370315
 1800.0     131.4420346289102
 1850.0     132.1112873158194
 1900.0     132.7635127828036
 1950.0     133.3986773097088
 2000.0     134.0180075918790
 2050.0     134.6222104337341
 2100.0     135.2110603697098
 2150.0     135.7853183070876
 2200.0     136.3473975404986
 2250.0     136.8983054864825
 2300.0     137.4346533975594
 2350.0     137.9603850098832
 2400.0     138.4758150633759
 2450.0     138.9797072281992
 2500.0     139.4728185846867
 2550.0     139.9571190681075
 2600.0     140.4329002024563
 2650.0     140.8983615486625
 2700.0     141.3546613897359
 2750.0     141.8039818783521
 2800.0     142.2444519077411
 2850.0     142.6769850343970
 2900.0     143.1016548089414
 2950.0     143.5208872203636
 3000.0     143.9318264240595
 3050.0     144.3343240959275
 3100.0     144.7329234674892
 3150.0     145.1243254701785
 3200.0     145.5084928844454
 3250.0     145.8881848129721
 3300.0     146.2619429056271
 3350.0     146.6290724884586
 3400.0     146.9912076541483
 3450.0     147.3487130303011
 3500.0     147.7003383732044
 3550.0     148.0460977252513
 3600.0     148.3889222472760
 3650.0     148.7264190186367
 3700.0     149.0583228125807
 3750.0     149.3871052291820
 3800.0     149.7110540717275
