# V (a.u.^3)  Helmholtz Free Energy (Ry.)
# T= 0.000000 K
  41.1649      0.672940760
  40.4226      0.700890725
  39.7477      0.728277909
  39.0729      0.755171107
  38.4656      0.781676045
  37.9257      0.807831404
  37.3858      0.833647546
  36.8460      0.859109125
  36.3061      0.884226776
  35.8337      0.909030105
  35.4288      0.933524229
  34.9564      0.957726611
  34.5515      0.981655640
# T= 50.000000 K
  41.1649      0.672010643
  40.4226      0.699941381
  39.7477      0.727340589
  39.0729      0.754236366
  38.4656      0.780761715
  37.9257      0.806931341
  37.3858      0.832753264
  36.8460      0.858221086
  36.3061      0.883344916
  35.8337      0.908166404
  35.4288      0.932673275
  34.9564      0.956888357
  34.5515      0.980824513
# T= 100.000000 K
  41.1649      0.669990804
  40.4226      0.697879279
  39.7477      0.725294670
  39.0729      0.752200683
  38.4656      0.778753779
  37.9257      0.804942578
  37.3858      0.830767181
  36.8460      0.856239077
  36.3061      0.881369990
  35.8337      0.906215425
  35.4288      0.930739727
  34.9564      0.954972271
  34.5515      0.978918258
# T= 150.000000 K
  41.1649      0.667491712
  40.4226      0.695327424
  39.7477      0.722759082
  39.0729      0.749678952
  38.4656      0.776260280
  37.9257      0.802468323
  37.3858      0.828292559
  36.8460      0.853765939
  36.3061      0.878903270
  35.8337      0.903772762
  35.4288      0.928314639
  34.9564      0.952564799
  34.5515      0.976520706
# T= 200.000000 K
  41.1649      0.664679658
  40.4226      0.692455720
  39.7477      0.719903654
  39.0729      0.746839718
  38.4656      0.773449534
  37.9257      0.799676812
  37.3858      0.825498649
  36.8460      0.850971780
  36.3061      0.876115068
  35.8337      0.901008644
  35.4288      0.925568135
  34.9564      0.949835949
  34.5515      0.973801800
# T= 250.000000 K
  41.1649      0.661634510
  40.4226      0.689345788
  39.7477      0.716809996
  39.0729      0.743763988
  38.4656      0.770402467
  37.9257      0.796648961
  37.3858      0.822466877
  36.8460      0.847938458
  36.3061      0.873087355
  35.8337      0.898005028
  35.4288      0.922582146
  34.9564      0.946867630
  34.5515      0.970843433
# T= 300.000000 K
  41.1649      0.658403477
  40.4226      0.686045874
  39.7477      0.713526352
  39.0729      0.740499653
  38.4656      0.767166931
  37.9257      0.793432620
  37.3858      0.819245399
  36.8460      0.844714389
  36.3061      0.869868616
  35.8337      0.894810390
  35.4288      0.919405143
  34.9564      0.943708306
  34.5515      0.967694065
# T= 350.000000 K
  41.1649      0.655017806
  40.4226      0.682587913
  39.7477      0.710084653
  39.0729      0.737078411
  38.4656      0.763774600
  37.9257      0.790059467
  37.3858      0.815866095
  36.8460      0.841331627
  36.3061      0.866490950
  35.8337      0.891456829
  35.4288      0.916069221
  34.9564      0.940390066
  34.5515      0.964385784
# T= 400.000000 K
  41.1649      0.651499723
  40.4226      0.678994621
  39.7477      0.706507618
  39.0729      0.733522816
  38.4656      0.760248009
  37.9257      0.786552037
  37.3858      0.812351644
  36.8460      0.837812976
  36.3061      0.862977194
  35.8337      0.887967181
  35.4288      0.912597214
  34.9564      0.936935745
  34.5515      0.960941424
# T= 450.000000 K
  41.1649      0.647865858
  40.4226      0.675282992
  39.7477      0.702812242
  39.0729      0.729849737
  38.4656      0.756604017
  37.9257      0.782927191
  37.3858      0.808719018
  36.8460      0.834175499
  36.3061      0.859344437
  35.8337      0.884358532
  35.4288      0.909006209
  34.9564      0.933362427
  34.5515      0.957378068
# T= 500.000000 K
  41.1649      0.644129121
  40.4226      0.671466224
  39.7477      0.699011720
  39.0729      0.726072276
  38.4656      0.752855715
  37.9257      0.779198021
  37.3858      0.804981392
  36.8460      0.830432446
  36.3061      0.855605946
  35.8337      0.880644151
  35.4288      0.905309472
  34.9564      0.929683379
  34.5515      0.953708983
# T= 550.000000 K
  41.1649      0.640299830
  40.4226      0.667554861
  39.7477      0.695116599
  39.0729      0.722200902
  38.4656      0.749013563
  37.9257      0.775374989
  37.3858      0.801149296
  36.8460      0.826594402
  36.3061      0.851772326
  35.8337      0.876834640
  35.4288      0.901517607
  34.9564      0.925909204
  34.5515      0.949944770
# T= 600.000000 K
  41.1649      0.636386419
  40.4226      0.663557522
  39.7477      0.691135498
  39.0729      0.718244171
  38.4656      0.745086115
  37.9257      0.771466649
  37.3858      0.797231340
  36.8460      0.822670024
  36.3061      0.847852243
  35.8337      0.872938668
  35.4288      0.897639281
  34.9564      0.922048568
  34.5515      0.946094099
# T= 650.000000 K
  41.1649      0.632395913
  40.4226      0.659481388
  39.7477      0.687075597
  39.0729      0.714209212
  38.4656      0.741080491
  37.9257      0.767480123
  37.3858      0.793234690
  36.8460      0.818666521
  36.3061      0.843852918
  35.8337      0.868963453
  35.4288      0.893681714
  34.9564      0.918108692
  34.5515      0.942164186
# T= 700.000000 K
  41.1649      0.628334252
  40.4226      0.655332528
  39.7477      0.682942967
  39.0729      0.710102052
  38.4656      0.737002715
  37.9257      0.763421436
  37.3858      0.789165412
  36.8460      0.814589989
  36.3061      0.839780455
  35.8337      0.864915102
  35.4288      0.889651010
  34.9564      0.914095679
  34.5515      0.938161137
# T= 750.000000 K
  41.1649      0.624206525
  40.4226      0.651116147
  39.7477      0.678742811
  39.0729      0.705927855
  38.4656      0.732857949
  37.9257      0.759295749
  37.3858      0.785028700
  36.8460      0.810445651
  36.3061      0.835640087
  35.8337      0.860798845
  35.4288      0.885552400
  34.9564      0.910014761
  34.5515      0.934090184
# T= 800.000000 K
  41.1649      0.620017143
  40.4226      0.646836750
  39.7477      0.674479637
  39.0729      0.701691097
  38.4656      0.728650665
  37.9257      0.755107534
  37.3858      0.780829055
  36.8460      0.806238034
  36.3061      0.831436345
  35.8337      0.856619215
  35.4288      0.881390418
  34.9564      0.905870471
  34.5515      0.929955858
# T= 850.000000 K
  41.1649      0.615769963
  40.4226      0.642498281
  39.7477      0.670157387
  39.0729      0.697395692
  38.4656      0.724384772
  37.9257      0.750860704
  37.3858      0.776570415
  36.8460      0.801971097
  36.3061      0.827173195
  35.8337      0.852380177
  35.4288      0.877169028
  34.9564      0.901666774
  34.5515      0.925762125
# T= 900.000000 K
  41.1649      0.611468390
  40.4226      0.638104218
  39.7477      0.665779540
  39.0729      0.693045092
  38.4656      0.720063724
  37.9257      0.746558710
  37.3858      0.772256253
  36.8460      0.797648333
  36.3061      0.822854135
  35.8337      0.848085229
  35.4288      0.872891729
  34.9564      0.897407166
  34.5515      0.921512483
# T= 950.000000 K
  41.1649      0.607115446
  40.4226      0.633657652
  39.7477      0.661349187
  39.0729      0.688642368
  38.4656      0.715690586
  37.9257      0.742204620
  37.3858      0.767889657
  36.8460      0.793272845
  36.3061      0.818482274
  35.8337      0.843737480
  35.4288      0.868561628
  34.9564      0.893094758
  34.5515      0.917210039
# T= 1000.000000 K
  41.1649      0.602713839
  40.4226      0.629161349
  39.7477      0.656869095
  39.0729      0.684190264
  38.4656      0.711268102
  37.9257      0.737801176
  37.3858      0.763473389
  36.8460      0.788847411
  36.3061      0.814060392
  35.8337      0.839339711
  35.4288      0.864181507
  34.9564      0.888732329
  34.5515      0.912857576
# T= 1050.000000 K
  41.1649      0.598266002
  40.4226      0.624617797
  39.7477      0.652341750
  39.0729      0.679691251
  38.4656      0.706798742
  37.9257      0.733350850
  37.3858      0.759009933
  36.8460      0.784374529
  36.3061      0.809590993
  35.8337      0.834894423
  35.4288      0.859753868
  34.9564      0.884322384
  34.5515      0.908457595
# T= 1100.000000 K
  41.1649      0.593774140
  40.4226      0.620029248
  39.7477      0.647769406
  39.0729      0.675147565
  38.4656      0.702284738
  37.9257      0.728855873
  37.3858      0.754501538
  36.8460      0.779856461
  36.3061      0.805076340
  35.8337      0.830403883
  35.4288      0.855280976
  34.9564      0.879867185
  34.5515      0.904012361
# T= 1150.000000 K
  41.1649      0.589240253
  40.4226      0.615397748
  39.7477      0.643154109
  39.0729      0.670561237
  38.4656      0.697728122
  37.9257      0.724318278
  37.3858      0.749950248
  36.8460      0.775295262
  36.3061      0.800518492
  35.8337      0.825870147
  35.4288      0.850764889
  34.9564      0.875368791
  34.5515      0.899523932
# T= 1200.000000 K
  41.1649      0.584666171
  40.4226      0.610725165
  39.7477      0.638497727
  39.0729      0.665934122
  38.4656      0.693130746
  37.9257      0.719739919
  37.3858      0.745357929
  36.8460      0.770692808
  36.3061      0.795919327
  35.8337      0.821295095
  35.4288      0.846207486
  34.9564      0.870829081
  34.5515      0.894994187
# T= 1250.000000 K
  41.1649      0.580053568
  40.4226      0.606013213
  39.7477      0.633801973
  39.0729      0.661267920
  38.4656      0.688494310
  37.9257      0.715122494
  37.3858      0.740726291
  36.8460      0.766050818
  36.3061      0.791280568
  35.8337      0.816680449
  35.4288      0.841610489
  34.9564      0.866249777
  34.5515      0.890424848
# T= 1300.000000 K
  41.1649      0.575403988
  40.4226      0.601263466
  39.7477      0.629068423
  39.0729      0.656564196
  38.4656      0.683820378
  37.9257      0.710467566
  37.3858      0.736056908
  36.8460      0.761370875
  36.3061      0.786603800
  35.8337      0.812027794
  35.4288      0.836975483
  34.9564      0.861632464
  34.5515      0.885817500
# T= 1350.000000 K
  41.1649      0.570718851
  40.4226      0.596477380
  39.7477      0.624298531
  39.0729      0.651824394
  38.4656      0.679110391
  37.9257      0.705776580
  37.3858      0.731351232
  36.8460      0.756654439
  36.3061      0.781890485
  35.8337      0.807338591
  35.4288      0.832303929
  34.9564      0.856978603
  34.5515      0.881173605
# T= 1400.000000 K
  41.1649      0.565999476
  40.4226      0.591656299
  39.7477      0.619493642
  39.0729      0.647049849
  38.4656      0.674365686
  37.9257      0.701050870
  37.3858      0.726610608
  36.8460      0.751902862
  36.3061      0.777141977
  35.8337      0.802614196
  35.4288      0.827597183
  34.9564      0.852289550
  34.5515      0.876494518
# T= 1450.000000 K
  41.1649      0.561247085
  40.4226      0.586801476
  39.7477      0.614655009
  39.0729      0.642241804
  38.4656      0.669587504
  37.9257      0.696291678
  37.3858      0.721836284
  36.8460      0.747117400
  36.3061      0.772359533
  35.8337      0.797855865
  35.4288      0.822856501
  34.9564      0.847566562
  34.5515      0.871781494
# T= 1500.000000 K
  41.1649      0.556462819
  40.4226      0.581914073
  39.7477      0.609783794
  39.0729      0.637401414
  38.4656      0.664776998
  37.9257      0.691500158
  37.3858      0.717029422
  36.8460      0.742299221
  36.3061      0.767544324
  35.8337      0.793064768
  35.4288      0.818083054
  34.9564      0.842810808
  34.5515      0.867035706
# T= 1550.000000 K
  41.1649      0.551647739
  40.4226      0.576995177
  39.7477      0.604881085
  39.0729      0.632529757
