# T (K)     Thermal pressure (GPa)
# V=  41.1649000000000
    0.0       0.0000000000000
   50.0       0.0590628019676
  100.0       0.0914358312083
  150.0       0.0983557854141
  200.0       0.0432395553006
  250.0       0.0669914840450
  300.0       0.0494680138441
  350.0      -0.1446568748814
  400.0      -0.1402937316029
  450.0      -0.2828451132501
  500.0      -0.1627575087799
  550.0      -0.3003608665946
  600.0      -0.4269004979627
  650.0      -0.5637521604691
  700.0      -0.7215175654262
  750.0      -0.9058165523032
  800.0      -1.0986944378627
  850.0      -1.3432950475559
  900.0      -1.6750106613164
  950.0      -2.0220665200266
 1000.0      -3.2566856095422
 1050.0      -3.4350136277342
 1100.0      -3.5420472672446
 1150.0      -3.6335993494241
 1200.0      -3.8425157370316
 1250.0      -4.1909765617336
 1300.0      -4.5652204081192
 1350.0      -4.9397379375130
 1400.0      -5.3200593676920
 1450.0      -5.7021425521065
 1500.0      -6.0881623622046
 1550.0      -6.4754374966080
 1600.0      -6.8659348472771
 1650.0      -7.2581619823480
 1700.0      -7.6543088068482
 1750.0      -8.0517213591196
 1800.0      -8.4518544339981
 1850.0      -8.8537161092103
 1900.0      -9.2590098910167
 1950.0      -9.6650394607914
 2000.0     -10.0742335214792
 2050.0     -10.4836580997752
 2100.0     -10.8961877206092
 2150.0     -11.3101085232512
 2200.0     -11.7279545355290
 2250.0     -12.1454634763352
 2300.0     -12.5651545154868
 2350.0     -12.9871766046443
 2400.0     -13.4106457676987
 2450.0     -13.8352146685343
 2500.0     -14.2623310874058
 2550.0     -14.6912994211599
 2600.0     -15.1214043907014
 2650.0     -15.5521135533530
 2700.0     -15.9855360280463
 2750.0     -16.4200632381043
 2800.0     -16.8557139857086
 2850.0     -17.2931325181288
 2900.0     -17.7321298254618
 2950.0     -18.1727175932330
 3000.0     -18.6129117196674
 3050.0     -19.0562857298980
 3100.0     -19.5009935722196
 3150.0     -19.9460847340723
 3200.0     -20.3930398964665
 3250.0     -20.8416099478447
 3300.0     -21.2903251128704
 3350.0     -21.7406616261750
 3400.0     -22.1923705762676
 3450.0     -22.6451559910826
 3500.0     -23.0985643358616
 3550.0     -23.5541018633991
 3600.0     -24.0110159025514
 3650.0     -24.4678353428435
 3700.0     -24.9263891813191
 3750.0     -25.3862449637121
 3800.0     -25.8466069841345
 3850.0     -26.3083303723516
 3900.0     -26.7713473180187
 3950.0     -27.2351089566614
 4000.0     -27.7000307123832
 4050.0     -28.1658850073306
 4100.0     -28.6327449556562
 4150.0     -29.1004400270821
 4200.0     -29.5690367172292
 4250.0     -30.0390406639272
 4300.0     -30.5094619374031
 4350.0     -30.9810432462983
 4400.0     -31.4536536490332
 4450.0     -31.9269745170150
 4500.0     -32.4011696354171
 4550.0     -32.8767698545499
 4600.0     -33.3529754855661
 4650.0     -33.8297099213131
 4700.0     -34.3075710711748
 4750.0     -34.7869007245210
 4800.0     -35.2657962944867
 4850.0     -35.7463091154478
 4900.0     -36.2276578863153
 4950.0     -36.7095662721774
 5000.0     -37.1923979390791
# V=  41.0980979797980
    0.0       0.0000000000000
   50.0       0.0627513776720
  100.0       0.1005747123546
  150.0       0.1129842993892
  200.0       0.0653076333124
  250.0       0.0926078706262
  300.0       0.0799962652735
  350.0      -0.1020954883545
  400.0      -0.0942649205942
  450.0      -0.2276948228105
  500.0      -0.1095450965537
  550.0      -0.2385280643131
  600.0      -0.3570604568220
  650.0      -0.4857087661586
  700.0      -0.6345528726562
  750.0      -0.8089870875932
  800.0      -0.9917702470576
  850.0      -1.2242546735796
  900.0      -1.5403489936633
  950.0      -1.8712856050596
 1000.0      -3.0531788036063
 1050.0      -3.2225874096815
 1100.0      -3.3237703083131
 1150.0      -3.4101401498607
 1200.0      -3.6091383436502
 1250.0      -3.9420018336774
 1300.0      -4.2996616656777
 1350.0      -4.6576651795148
 1400.0      -5.0213056405613
 1450.0      -5.3867108690919
 1500.0      -5.7559604395025
 1550.0      -6.1264813395503
 1600.0      -6.5001583603763
 1650.0      -6.8755579958686
 1700.0      -7.2547777447617
 1750.0      -7.6352713139175
 1800.0      -8.0184314366816
 1850.0      -8.4033056651550
 1900.0      -8.7915263227013
 1950.0      -9.1805063025865
 2000.0      -9.5725730005380
 2050.0      -9.9649115114868
 2100.0     -10.3602772839604
 2150.0     -10.7570255333015
 2200.0     -11.1575845010771
 2250.0     -11.5578674952854
 2300.0     -11.9602874503536
 2350.0     -12.3649879733048
 2400.0     -12.7711183644208
 2450.0     -13.1783465171497
 2500.0     -13.5880585013925
 2550.0     -13.9995877236603
 2600.0     -14.4122457668670
 2650.0     -14.8255235389714
 2700.0     -15.2414406188731
 2750.0     -15.6584559585126
 2800.0     -16.0765848854451
 2850.0     -16.4964452830554
 2900.0     -16.9178556949772
 2950.0     -17.3408263940203
 3000.0     -17.7634538603558
 3050.0     -18.1891646681225
 3100.0     -18.6161883050653
 3150.0     -19.0436115118505
 3200.0     -19.4728551944737
 3250.0     -19.9036781746329
 3300.0     -20.3346728364736
 3350.0     -20.7672519771681
 3400.0     -21.2011793425033
 3450.0     -21.6361679960767
 3500.0     -22.0717836789387
 3550.0     -22.5094692635867
 3600.0     -22.9485039588849
 3650.0     -23.3874767437630
 3700.0     -23.8281401122291
 3750.0     -24.2700795629360
 3800.0     -24.7125319069506
 3850.0     -25.1563161028048
 3900.0     -25.6013674718096
 3950.0     -26.0471584259659
 4000.0     -26.4940881594808
 4050.0     -26.9419374442214
 4100.0     -27.3907769690421
 4150.0     -27.8404413278213
 4200.0     -28.2909943663175
 4250.0     -28.7429220260030
 4300.0     -29.1952737289897
 4350.0     -29.6487608877790
 4400.0     -30.1032589016791
 4450.0     -30.5584613788265
 4500.0     -31.0145253980793
 4550.0     -31.4719587959586
 4600.0     -31.9299942331692
 4650.0     -32.3885597408383
 4700.0     -32.8482279382927
 4750.0     -33.3093256548160
 4800.0     -33.7700290073129
 4850.0     -34.2323041773028
 4900.0     -34.6954017661609
 4950.0     -35.1590565549233
 5000.0     -35.6236175067779
# V=  41.0312959595960
    0.0       0.0000000000000
   50.0       0.0664505609916
  100.0       0.1097354783424
  150.0       0.1276476657907
  200.0       0.0874050762085
  250.0       0.1182890788014
  300.0       0.1106112966320
  350.0      -0.0594973548924
  400.0      -0.0481612683274
  450.0      -0.1724891261584
  500.0      -0.0561827649975
  550.0      -0.1765587512498
  600.0      -0.2870906663356
  650.0      -0.4075442947792
  700.0      -0.5474825610281
  750.0      -0.7120769919412
  800.0      -0.8847925608808
  850.0      -1.1052085997453
  900.0      -1.4057649763675
  950.0      -1.7206705575927
 1000.0      -2.8503012113604
 1050.0      -3.0108043201583
 1100.0      -3.1061190925277
 1150.0      -3.1872822281505
 1200.0      -3.3763859013144
 1250.0      -3.6937341003240
 1300.0      -4.0349017852773
 1350.0      -4.3764821873098
 1400.0      -4.7235342896664
 1450.0      -5.0723539686064
 1500.0      -5.4249264977236
 1550.0      -5.7787860678343
 1600.0      -6.1357363818422
 1650.0      -6.4944018713035
 1700.0      -6.8567888453913
 1750.0      -7.2204574545901
 1800.0      -7.5867392118512
 1850.0      -7.9547206536911
 1900.0      -8.3259635656894
 1950.0      -8.6979889914257
 2000.0      -9.0730240646562
 2050.0      -9.4483718216419
 2100.0      -9.8266694429408
 2150.0     -10.2063412281339
 2200.0     -10.5897101429011
 2250.0     -10.9728634266522
 2300.0     -11.3581090523177
 2350.0     -11.7455851638762
 2400.0     -12.1344739950299
 2450.0     -12.5244585136361
 2500.0     -12.9168638264301
 2550.0     -13.3110517902170
 2600.0     -13.7063609438294
 2650.0     -14.1023050559027
 2700.0     -14.5008151778861
 2750.0     -14.9004173126285
 2800.0     -15.3011227169411
 2850.0     -15.7035238739104
 2900.0     -16.1074464356604
 2950.0     -16.5128992908667
 3000.0     -16.9180587258777
 3050.0     -17.3262060092840
 3100.0     -17.7356450046276
 3150.0     -18.1454999099507
 3200.0     -18.5571319460603
 3250.0     -18.9703083864492
 3300.0     -19.3836823579472
 3350.0     -19.7986041593555
 3400.0     -20.2148504060544
 3450.0     -20.6321428380011
 3500.0     -21.0500662148265
 3550.0     -21.4700007718353
 3600.0     -21.8912573692519
 3650.0     -22.3124842833108
 3700.0     -22.7353583583290
 3750.0     -23.1594830009660
 3800.0     -23.5841269308776
 3850.0     -24.0100735804749
 3900.0     -24.4372609699274
 3950.0     -24.8651829346992
 4000.0     -25.2942227494085
 4050.0     -25.7241690456834
 4100.0     -26.1550902136536
 4150.0     -26.5868260979261
 4200.0     -27.0194377637413
 4250.0     -27.4533917461066
 4300.0     -27.8877762882298
 4350.0     -28.3232718902733
 4400.0     -28.7597603332634
 4450.0     -29.1969473559084
 4500.0     -29.6349829612395
 4550.0     -30.0743529559902
 4600.0     -30.5143212194283
 4650.0     -30.9548212089786
 4700.0     -31.3963997986565
 4750.0     -31.8393692680010
 4800.0     -32.2819837272451
 4850.0     -32.7261249318246
 4900.0     -33.1710751140600
 4950.0     -33.6165801852258
 5000.0     -34.0629744464827
# V=  40.9644939393939
    0.0       0.0000000000000
   50.0       0.0701603029308
  100.0       0.1189177290383
  150.0       0.1423455906436
  200.0       0.1095309857305
  250.0       0.1440343817976
  300.0       0.1413126669565
  350.0      -0.0168647609710
  400.0      -0.0019845223233
  450.0      -0.1172305955794
  500.0      -0.0026716083532
  550.0      -0.1144546585938
  600.0      -0.2169935844654
  650.0      -0.3292616697539
  700.0      -0.4603104930532
  750.0      -0.6150912792622
  800.0      -0.7777674303275
  850.0      -0.9861642815978
  900.0      -1.2712686454254
  950.0      -1.5702340022394
 1000.0      -2.6480761385274
 1050.0      -2.7996888897853
 1100.0      -2.8891180443513
 1150.0      -2.9650498454365
 1200.0      -3.1442840512187
 1250.0      -3.4462011913527
 1300.0      -3.7709709810649
 1350.0      -4.0962219106498
 1400.0      -4.4267808125472
 1450.0      -4.7591098061515
 1500.0      -5.0951011708123
 1550.0      -5.4323949448516
 1600.0      -5.7727143962145
 1650.0      -6.1147417961339
 1700.0      -6.4603929909936
 1750.0      -6.8073335868166
 1800.0      -7.1568340966418
 1850.0      -7.5080199760728
 1900.0      -7.8623832160105
 1950.0      -8.2175518426119
 2000.0      -8.5756536749159
 2050.0      -8.9341085227782
 2100.0      -9.2954367931624
 2150.0      -9.6581305633299
 2200.0     -10.0244092338484
 2250.0     -10.3905317911368
 2300.0     -10.7587024592784
 2350.0     -11.1290539641205
 2400.0     -11.5008009950752
 2450.0     -11.8736419455464
 2500.0     -12.2488409346062
 2550.0     -12.6257884571706
 2600.0     -13.0038494527042
 2650.0     -13.3825604157804
 2700.0     -13.7637648503163
 2750.0     -14.1460547362419
 2800.0     -14.5294381088868
 2850.0     -14.9144814263414
 2900.0     -15.3010180249224
 2950.0     -15.6890550335352
 3000.0     -16.0768478424310
 3050.0     -16.4675339661896
 3100.0     -16.8594910357841
 3150.0     -17.2518797797934
 3200.0     -17.6460029913973
 3250.0     -18.0416356772770
 3300.0     -18.4374916089545
 3350.0     -18.8348592483048
 3400.0     -19.2335276189236
 3450.0     -19.6332270228038
 3500.0     -20.0335614218917
 3550.0     -20.4358486756106
 3600.0     -20.8394311771385
 3650.0     -21.2430157487438
 3700.0     -21.6482046343820
 3750.0     -22.0546186628425
 3800.0     -22.4615583031334
 3850.0     -22.8697716820274
 3900.0     -23.2791996982033
 3950.0     -23.6893573656093
 4000.0     -24.1006119780295
 4050.0     -24.5127601738411
 4100.0     -24.9258678362162
 4150.0     -25.3397803013870
 4200.0     -25.7545558744907
 4250.0     -26.1706414921696
 4300.0     -26.5871641574817
 4350.0     -27.0047738175546
 4400.0     -27.4233582717459
 4450.0     -27.8426354648708
 4500.0     -28.2627484752048
 4550.0     -28.6841611552290
 4600.0     -29.1061684353717
 4650.0     -29.5287088339271
 4700.0     -29.9523039389361
 4750.0     -30.3772518925751
 4800.0     -30.8018836878321
 4850.0     -31.2279975012796
 4900.0     -31.6549070308223
 4950.0     -32.0823688729270
 5000.0     -32.5107032526365
# V=  40.8976919191919
    0.0       0.0000000000000
   50.0       0.0738804973315
  100.0       0.1281214644425
  150.0       0.1570777554740
  200.0       0.1316846269397
  250.0       0.1698431834980
  300.0       0.1720997801301
  350.0       0.0258003989012
  400.0       0.0442637577150
  450.0      -0.0619218441888
  500.0       0.0509877282660
  550.0      -0.0522176726879
  600.0      -0.1467714323595
  650.0      -0.2508637900075
  700.0      -0.3730406210685
  750.0      -0.5180347919859
  800.0      -0.6707009798868
  850.0      -0.8671294033297
  900.0      -1.1368698245174
  950.0      -1.4199883104681
 1000.0      -2.4465273236274
 1050.0      -2.5892653388759
 1100.0      -2.6727917597327
 1150.0      -2.7434676221657
 1200.0      -2.9128582059105
 1250.0      -3.1994308874464
 1300.0      -3.5078999571463
 1350.0      -3.8169175197684
 1400.0      -4.1310809517224
 1450.0      -4.4470169415110
 1500.0      -4.7665255745062
 1550.0      -5.0873516667912
 1600.0      -5.4111391864252
 1650.0      -5.7366271745726
 1700.0      -6.0656420845730
 1750.0      -6.3959540388993
 1800.0      -6.7287732039565
 1850.0      -7.0632636359625
 1900.0      -7.4008479802681
 1950.0      -7.7392600043780
 2000.0      -8.0805298376454
 2050.0      -8.4221922751693
 2100.0      -8.7666525426863
 2150.0      -9.1124696703738
 2200.0      -9.4617605348501
 2250.0      -9.8109541261056
 2300.0     -10.1621520421995
 2350.0     -10.5154813907809
 2400.0     -10.8701894966233
 2450.0     -11.2259892436723
 2500.0     -11.5840852454626
