#T (K)      V (a.u.^3)
# P= 600.000000 GPa
    0.0      39.7315696049523
   50.0      39.7349980388596
  100.0      39.7386835006325
  150.0      39.7417664145037
  200.0      39.7442249549318
  250.0      39.7468254430029
  300.0      39.7490396979554
  350.0      39.7501922226970
  400.0      39.7522742451449
  450.0      39.7533503705357
  500.0      39.7557887222748
  550.0      39.7567516934605
  600.0      39.7577035641338
  650.0      39.7584928223160
  700.0      39.7590990880015
  750.0      39.7594893289375
  800.0      39.7597766979534
  850.0      39.7597287377461
  900.0      39.7591652638043
  950.0      39.7584662661848
 1000.0      39.7530067405594
 1050.0      39.7531438412996
 1100.0      39.7536041038618
 1150.0      39.7541328205159
 1200.0      39.7539958293004
 1250.0      39.7530953287520
 1300.0      39.7520373975841
 1350.0      39.7509549192140
 1400.0      39.7498235047721
 1450.0      39.7486632638993
 1500.0      39.7474657677679
 1550.0      39.7462461178085
 1600.0      39.7449951291059
 1650.0      39.7437218097128
 1700.0      39.7424164811286
 1750.0      39.7410933430539
 1800.0      39.7397464191854
 1850.0      39.7383813606546
 1900.0      39.7369907665936
 1950.0      39.7355885664593
 2000.0      39.7341639274608
 2050.0      39.7327316326639
 2100.0      39.7312787126542
 2150.0      39.7298139240502
 2200.0      39.7283264272381
 2250.0      39.7268360184513
 2300.0      39.7253321746681
 2350.0      39.7238142412499
 2400.0      39.7222875003963
 2450.0      39.7207532931614
 2500.0      39.7192061549208
 2550.0      39.7176492545979
 2600.0      39.7160866844100
 2650.0      39.7145204089006
 2700.0      39.7129423652900
 2750.0      39.7113591931442
 2800.0      39.7097718129156
 2850.0      39.7081775562894
 2900.0      39.7065774095693
 2950.0      39.7049718108432
 3000.0      39.7033692466897
 3050.0      39.7017551793832
 3100.0      39.7001374675633
 3150.0      39.6985204572944
 3200.0      39.6968980336076
 3250.0      39.6952719347994
 3300.0      39.6936475548002
 3350.0      39.6920199479549
 3400.0      39.6903893888484
 3450.0      39.6887580728102
 3500.0      39.6871275615492
 3550.0      39.6854926628704
 3600.0      39.6838559742302
 3650.0      39.6822231416442
 3700.0      39.6805877817971
 3750.0      39.6789514741353
 3800.0      39.6773172686941
 3850.0      39.6756823030383
 3900.0      39.6740468586049
 3950.0      39.6724131970471
 4000.0      39.6707796276206
 4050.0      39.6691473015307
 4100.0      39.6675158097902
 4150.0      39.6658862414166
 4200.0      39.6642583785058
 4250.0      39.6626302078552
 4300.0      39.6610054595392
 4350.0      39.6593818558583
 4400.0      39.6577595529769
 4450.0      39.6561398451356
 4500.0      39.6545222370057
 4550.0      39.6529052368543
 4600.0      39.6512917187198
 4650.0      39.6496813230024
 4700.0      39.6480724670960
 4750.0      39.6464642832781
 4800.0      39.6448625620414
 4850.0      39.6432611545802
 4900.0      39.6416625233217
 4950.0      39.6400675577716
 5000.0      39.6384750529058
# P= 602.000000 GPa
    0.0      39.6827502846576
   50.0      39.6862379095389
  100.0      39.6900126623960
  150.0      39.6931877900316
  200.0      39.6957655776233
  250.0      39.6984351074102
  300.0      39.7007369967488
  350.0      39.7020704033431
  400.0      39.7042218213053
  450.0      39.7054411297486
  500.0      39.7078798161117
  550.0      39.7089795777160
  600.0      39.7100600506093
  650.0      39.7109802127935
  700.0      39.7117261287108
  750.0      39.7122674318039
  800.0      39.7127080852215
  850.0      39.7128377656997
  900.0      39.7124938900309
  950.0      39.7120187216819
 1000.0      39.7072163522955
 1050.0      39.7074849662634
 1100.0      39.7080404904978
 1150.0      39.7086564261674
 1200.0      39.7086612014282
 1250.0      39.7079666947445
 1300.0      39.7071241290570
 1350.0      39.7062542469478
 1400.0      39.7053353206008
 1450.0      39.7043855652821
 1500.0      39.7033975978111
 1550.0      39.7023853528614
 1600.0      39.7013405403850
 1650.0      39.7002715522806
 1700.0      39.6991696863965
 1750.0      39.6980480225242
 1800.0      39.6969012432152
 1850.0      39.6957346020899
 1900.0      39.6945414361317
 1950.0      39.6933345829983
 2000.0      39.6921042339689
 2050.0      39.6908640143649
 2100.0      39.6896021345103
 2150.0      39.6883266924683
 2200.0      39.6870278647941
 2250.0      39.6857238024695
 2300.0      39.6844049979811
 2350.0      39.6830708607824
 2400.0      39.6817263721578
 2450.0      39.6803727587162
 2500.0      39.6790051223014
 2550.0      39.6776263855473
 2600.0      39.6762404112643
 2650.0      39.6748489899766
 2700.0      39.6734448409381
 2750.0      39.6720340415827
 2800.0      39.6706175552033
 2850.0      39.6691929511940
 2900.0      39.6677611647011
 2950.0      39.6663226598602
 3000.0      39.6648852834629
 3050.0      39.6634357040765
 3100.0      39.6619811821465
 3150.0      39.6605257795288
 3200.0      39.6590638741573
 3250.0      39.6575971450157
 3300.0      39.6561305314197
 3350.0      39.6546595833373
 3400.0      39.6531844994769
 3450.0      39.6517074116949
 3500.0      39.6502297574249
 3550.0      39.6487468225463
 3600.0      39.6472609810339
 3650.0      39.6457774612357
 3700.0      39.6442904445554
 3750.0      39.6428013904344
 3800.0      39.6413131363197
 3850.0      39.6398230852069
 3900.0      39.6383315071340
 3950.0      39.6368405276818
 4000.0      39.6353485853089
 4050.0      39.6338567825200
 4100.0      39.6323647426712
 4150.0      39.6308735268505
 4200.0      39.6293829505768
