# T (K)       gamma
# P = 600.000000 (GPa)
    1.0       8.6663981370422
   50.0       0.3747385641981
  100.0       0.5173601744136
  150.0       0.3102933265787
  200.0       0.2928723944442
  250.0       0.3181454175130
  300.0       0.1926928243976
  350.0       0.1830323967204
  400.0       0.1925738595931
  450.0       0.1889285662904
  500.0       0.2850859049350
  550.0       0.0833266197741
  600.0       0.1143960113945
  650.0       0.0847841079609
  700.0       0.0606116238238
  750.0       0.0401955777508
  800.0       0.0291567047006
  850.0      -0.0790837409111
  900.0       0.0142146117198
  950.0      13.4513341592003
 1000.0      -0.1928318429830
 1050.0       0.2001308329769
 1100.0       0.0427663396520
 1150.0       0.0489449972651
 1200.0      -0.0866016800535
 1250.0      -0.1347088439148
 1300.0      -0.1367444344124
 1350.0      -0.1443258757429
 1400.0      -0.1488096493198
 1450.0      -0.1546345959078
 1500.0      -0.1586328456098
 1550.0      -0.1633221447863
 1600.0      -0.1670983367923
 1650.0      -0.1724565695639
 1700.0      -0.1756366547532
 1750.0      -0.1799336844975
 1800.0      -0.1828230882430
 1850.0      -0.1879341295143
 1900.0      -0.1896864402289
 1950.0      -0.1945938217517
 2000.0      -0.1957063304977
 2050.0      -0.2002578345945
 2100.0      -0.2019958776309
 2150.0      -0.2074218559174
 2200.0      -0.2076532071390
 2250.0      -0.2111007186345
 2300.0      -0.2139541441655
 2350.0      -0.2164096362760
 2400.0      -0.2179748164554
 2450.0      -0.2214392789949
 2500.0      -0.2236158774548
 2550.0      -0.2256430501047
 2600.0      -0.2265275142337
 2650.0      -0.2302453500150
 2700.0      -0.2315112859283
 2750.0      -0.2330810818533
 2800.0      -0.2354519190978
 2850.0      -0.2370523291930
 2900.0      -0.2397998572643
 2950.0      -0.2384193727248
 3000.0      -0.2434860855018
 3050.0      -0.2440972632024
 3100.0      -0.2445492478267
 3150.0      -0.2471637170655
 3200.0      -0.2489349042113
 3250.0      -0.2487334048270
 3300.0      -0.2511771517676
 3350.0      -0.2525017629661
 3400.0      -0.2537586687577
 3450.0      -0.2540238781784
 3500.0      -0.2568095195547
 3550.0      -0.2581130596283
 3600.0      -0.2571293257503
 3650.0      -0.2604281384561
 3700.0      -0.2606133487643
 3750.0      -0.2611944773533
 3800.0      -0.2630359169301
 3850.0      -0.2641040291209
 3900.0      -0.2643934732542
 3950.0      -0.2658968088281
 4000.0      -0.2664855668786
 4050.0      -0.2676392283579
 4100.0      -0.2681989918675
 4150.0      -0.2687675026540
 4200.0      -0.2708291531289
 4250.0      -0.2700238409027
 4300.0      -0.2717794705352
 4350.0      -0.2724609689076
 4400.0      -0.2728693014302
 4450.0      -0.2734788214981
 4500.0      -0.2752428802995
 4550.0      -0.2747268636220
 4600.0      -0.2754624494077
 4650.0      -0.2763096838058
 4700.0      -0.2784854294940
 4750.0      -0.2754907612691
 4800.0      -0.2794443104727
 4850.0      -0.2785926177677
 4900.0      -0.2789882391403
 4950.0      -0.2798325832123
 5000.0      -0.2809907626313
# P = 602.000000 (GPa)
    1.0       8.7655782734234
   50.0       0.3837153882942
  100.0       0.5313016522255
  150.0       0.3237942798706
  200.0       0.3053203560221
  250.0       0.3251005914924
  300.0       0.2139717124068
  350.0       0.1965743034874
  400.0       0.2070505585567
  450.0       0.1967931657700
  500.0       0.2917948096177
  550.0       0.1018553327514
  600.0       0.1290961070671
  650.0       0.1018282269545
  700.0       0.0785588528177
  750.0       0.0592288883045
  800.0       0.0482326109072
  850.0      -0.0474440419980
  900.0       0.0287808543299
  950.0      17.4769721431127
 1000.0      -0.1676362166438
 1050.0       0.2045227195108
 1100.0       0.0554878761879
 1150.0       0.0627106444129
 1200.0      -0.0605933147605
 1250.0      -0.1069849769813
 1300.0      -0.1094608922244
 1350.0      -0.1167282522261
 1400.0      -0.1214750838026
 1450.0      -0.1272045955099
 1500.0      -0.1313909894136
 1550.0      -0.1360852559920
 1600.0      -0.1400316482061
 1650.0      -0.1452832393136
 1700.0      -0.1486887535775
 1750.0      -0.1529572664130
 1800.0      -0.1560419579126
 1850.0      -0.1610226917204
 1900.0      -0.1630936117603
 1950.0      -0.1678411237354
 2000.0      -0.1693157141774
 2050.0      -0.1737166701374
 2100.0      -0.1757200801397
 2150.0      -0.1809057758859
 2200.0      -0.1815641461594
 2250.0      -0.1849377859237
 2300.0      -0.1878720391129
 2350.0      -0.1904187323738
 2400.0      -0.1921510764545
 2450.0      -0.1955643824937
 2500.0      -0.1978553981574
 2550.0      -0.1999805285030
 2600.0      -0.2010722657879
 2650.0      -0.2046805344271
 2700.0      -0.2061337672164
 2750.0      -0.2078132673954
 2800.0      -0.2102066367388
 2850.0      -0.2119218395876
 2900.0      -0.2146529385737
 2950.0      -0.2136739073529
 3000.0      -0.2184448308300
 3050.0      -0.2192803528043
 3100.0      -0.2199145251564
 3150.0      -0.2224906125823
 3200.0      -0.2243242954833
 3250.0      -0.2243697668977
 3300.0      -0.2267742260298
 3350.0      -0.2281948530120
 3400.0      -0.2295420071985
 3450.0      -0.2299812840585
 3500.0      -0.2326905064209
 3550.0      -0.2340763461203
 3600.0      -0.2333821590198
 3650.0      -0.2365427972041
 3700.0      -0.2369016866866
 3750.0      -0.2376116297205
 3800.0      -0.2394511027610
 3850.0      -0.2405976468683
 3900.0      -0.2410302261680
 3950.0      -0.2425591692806
 4000.0      -0.2432607175195
 4050.0      -0.2444702068578
 4100.0      -0.2451375014710
 4150.0      -0.2458030336099
 4200.0      -0.2478337989384
 4250.0      -0.2472555878472
 4300.0      -0.2489931212885
 4350.0      -0.2497617709580
 4400.0      -0.2502776253572
 4450.0      -0.2509712657798
 4500.0      -0.2527187662784
 4550.0      -0.2523780483655
 4600.0      -0.2531808446031
 4650.0      -0.2540881890823
 4700.0      -0.2562046683504
 4750.0      -0.2535945721441
 4800.0      -0.2573301443096
 4850.0      -0.2566753148084
 4900.0      -0.2571548865758
 4950.0      -0.2580455203905
 5000.0      -0.2592266108177
# P = 604.000000 (GPa)
    1.0       8.8648387379527
   50.0       0.3926475492209
  100.0       0.5451935775312
  150.0       0.3371999733914
  200.0       0.3177128647041
  250.0       0.3321151973240
  300.0       0.2349989897319
  350.0       0.2100502526673
  400.0       0.2214052820639
  450.0       0.2047074045767
  500.0       0.2985808108241
  550.0       0.1202261343074
  600.0       0.1436937752247
  650.0       0.1187355902912
  700.0       0.0963437249975
  750.0       0.0780866920580
  800.0       0.0671287040938
  850.0      -0.0162949595595
  900.0       0.0432800265205
  950.0      29.2851162371107
 1000.0      -0.1425487221905
 1050.0       0.2090517821377
 1100.0       0.0681827392698
 1150.0       0.0763883977097
 1200.0      -0.0349263257833
 1250.0      -0.0795894520071
 1300.0      -0.0824960423832
 1350.0      -0.0894558088577
 1400.0      -0.0944557209417
 1450.0      -0.1000917291375
 1500.0      -0.1044585066061
 1550.0      -0.1091578710167
 1600.0      -0.1132675376687
 1650.0      -0.1184150193574
 1700.0      -0.1220375768902
 1750.0      -0.1262778179038
 1800.0      -0.1295515564501
 1850.0      -0.1344043698102
 1900.0      -0.1367842667515
 1950.0      -0.1413754879324
 2000.0      -0.1432013947967
 2050.0      -0.1474558573557
 2100.0      -0.1497160344345
 2150.0      -0.1546671964658
 2200.0      -0.1557401438385
 2250.0      -0.1590420152822
 2300.0      -0.1620540997002
 2350.0      -0.1646888150966
 2400.0      -0.1665839262054
 2450.0      -0.1699462009360
 2500.0      -0.1723482107839
 2550.0      -0.1745684150225
 2600.0      -0.1758619034491
 2650.0      -0.1793632483022
 2700.0      -0.1809976735972
 2750.0      -0.1827847296769
 2800.0      -0.1851994767881
 2850.0      -0.1870260558723
 2900.0      -0.1897404170331
