# T (K)      B_S (GPa)
# P = 600.000000 (GPa)
    1.0    1900.6276329899017
   50.0    1900.0007897423413
  100.0    1900.1866610483476
  150.0    1899.8812156681693
  200.0    1899.6044280918741
  250.0    1899.4605930096243
  300.0    1899.4299727770788
  350.0    1898.3763189006154
  400.0    1898.1707865144538
  450.0    1898.3856266864057
  500.0    1896.8868579880045
  550.0    1896.3757387549579
  600.0    1896.5652416057217
  650.0    1896.5682718445707
  700.0    1896.5678285403894
  750.0    1897.1266304031371
  800.0    1896.5153218988630
  850.0    1897.1261959441083
  900.0    1896.8558467644471
  950.0    1896.6942564654414
 1000.0    1896.7794130943196
 1050.0    1896.5103837789493
 1100.0    1896.4954214806744
 1150.0    1896.3264348929006
 1200.0    1896.3456986436440
 1250.0    1895.7117075901569
 1300.0    1896.8983624866546
 1350.0    1894.9098149847416
 1400.0    1898.3290984224718
 1450.0    1899.5439840675799
 1500.0    1888.8904895060784
 1550.0    1896.7957513448309
 1600.0    1895.9234151279238
 1650.0    1895.7812125590565
 1700.0    1894.8100751371001
 1750.0    1896.3841543039230
 1800.0    1895.8312622899248
 1850.0    1895.8591891498352
 1900.0    1895.9829452876238
 1950.0    1894.7119419934065
 2000.0    1896.7586351496859
 2050.0    1893.8094933577524
 2100.0    1898.8447640597190
 2150.0    1900.5488756232260
 2200.0    1896.0282648803222
 2250.0    1904.9750897921638
 2300.0    1893.6439958261842
 2350.0    1896.2969969203937
 2400.0    1901.6553897082276
 2450.0    1897.3659359438911
 2500.0    1898.3502971415148
 2550.0    1898.6193188570990
 2600.0    1916.8602258081714
 2650.0    1889.2216251511791
 2700.0    1895.0419824376456
 2750.0    1869.4715458502526
 2800.0    1927.8163754961613
 2850.0    1757.4039222637871
 2900.0    2009.9673050857168
 2950.0    1959.3216651990131
 3000.0    1825.7005478520348
 3050.0    1873.7114257067158
 3100.0    1932.6051731740647
 3150.0    1896.3707714172549
 3200.0    1900.9352159006958
 3250.0    1896.5230856747505
 3300.0    1900.6359018075602
 3350.0    1898.7434133703414
 3400.0    1898.9172941566690
 3450.0    1907.0391707256485
 3500.0    1889.8661945666568
 3550.0    1984.7825609988452
 3600.0    1884.6315308339347
 3650.0    1905.4774775803432
 3700.0    1905.6095341255518
 3750.0    1891.6763375537155
 3800.0    1897.7532513511112
 3850.0    1905.4261475583151
 3900.0    1905.7126370037695
 3950.0    1894.7049933514409
 4000.0    1896.2716979466602
 4050.0    1894.1648770917407
 4100.0    1919.9079022394162
 4150.0    1889.0217938866956
 4200.0    1899.6408499430836
 4250.0    1894.2090971090797
 4300.0    1905.4317025677949
 4350.0    1909.0489301377786
 4400.0    1889.5899492028573
 4450.0    1905.4454261761159
 4500.0    1903.4555719723978
 4550.0    1904.2473314713866
 4600.0    1888.9887015787453
 4650.0    1901.3511542520703
 4700.0    1900.0922649885479
 4750.0    1892.2479700131410
 4800.0    1918.6886639729289
 4850.0    1889.2515688209307
 4900.0    1896.7551712161194
 4950.0    1905.7510275750844
 5000.0    1912.6561418900876
# P = 602.000000 (GPa)
    1.0    1904.5971985109625
   50.0    1903.9748522087209
  100.0    1904.1590664042851
  150.0    1903.8471047356456
  200.0    1903.5718743427474
  250.0    1903.4276800945352
  300.0    1903.3834442060263
  350.0    1902.3431460095228
  400.0    1902.1527988504206
  450.0    1902.3326115652205
  500.0    1900.8568288356964
  550.0    1900.3755424531730
  600.0    1900.5489540465999
  650.0    1900.5495418372464
  700.0    1900.5402942320509
  750.0    1901.1002239730285
  800.0    1900.4759230254022
  850.0    1901.0732979476195
  900.0    1900.8017901739349
  950.0    1900.6342053060846
 1000.0    1900.7187615223422
 1050.0    1900.4468179988473
 1100.0    1900.4263256053230
 1150.0    1900.2576761778455
 1200.0    1900.2714277100663
 1250.0    1899.6428007851966
 1300.0    1900.8532377514398
 1350.0    1898.7518695813885
 1400.0    1902.1415224459572
 1450.0    1903.5083842640852
 1500.0    1892.8907403427977
 1550.0    1900.8163881334440
 1600.0    1899.7564946121358
 1650.0    1899.7223955622808
 1700.0    1898.7274949254133
 1750.0    1900.2574963544539
 1800.0    1899.7139035074026
 1850.0    1899.7358257058918
 1900.0    1899.8689638199453
 1950.0    1898.5530990522202
 2000.0    1900.7545613322468
 2050.0    1897.7951099134668
 2100.0    1902.6087947303110
 2150.0    1904.3527300835508
 2200.0    1899.7463210292160
 2250.0    1908.7934419580131
 2300.0    1897.6024045308288
 2350.0    1900.1095050771546
 2400.0    1905.4306760133077
 2450.0    1901.1730004429794
 2500.0    1902.1066695532843
 2550.0    1902.2178145408941
 2600.0    1920.5772417384237
 2650.0    1893.3265467496733
 2700.0    1898.2258385632599
 2750.0    1873.6610653252164
 2800.0    1930.4055463121958
 2850.0    1761.5936737794541
 2900.0    2011.0176089264060
 2950.0    1960.5386733910457
 3000.0    1831.3782511049187
 3050.0    1877.7479587101864
 3100.0    1935.1241092512873
 3150.0    1900.2458729475334
 3200.0    1904.5940862639843
 3250.0    1900.2857679210067
 3300.0    1904.4221894152702
 3350.0    1902.4947547091774
 3400.0    1902.5489422245103
 3450.0    1910.7142041622517
 3500.0    1893.5385052794663
 3550.0    1987.2124554336619
 3600.0    1888.4503395945553
 3650.0    1909.0508693006957
 3700.0    1909.4702163699831
 3750.0    1895.4783683373535
 3800.0    1901.3747390850717
 3850.0    1908.9512237760721
 3900.0    1909.2197811357091
 3950.0    1898.5754857812492
 4000.0    1900.0688446026661
 4050.0    1897.8314382580752
 4100.0    1923.4352802303931
 4150.0    1892.9558618731244
 4200.0    1903.2387686481231
 4250.0    1897.8561852165758
 4300.0    1909.1776567955544
 4350.0    1912.6061684538593
 4400.0    1893.2998329977672
 4450.0    1909.0558622801798
 4500.0    1906.8913303613858
 4550.0    1908.0625557544211
 4600.0    1892.8110094826895
 4650.0    1904.8860197145475
 4700.0    1903.9418882414104
 4750.0    1896.0040223381973
 4800.0    1921.7029914415618
 4850.0    1893.2673104472835
 4900.0    1900.4899475898844
 4950.0    1909.1395936329509
 5000.0    1915.7158624148140
# P = 604.000000 (GPa)
    1.0    1908.5618652702567
   50.0    1907.9443947178747
  100.0    1908.1267208312652
  150.0    1907.8083339579503
  200.0    1907.5346893549483
  250.0    1907.3898152655195
  300.0    1907.3318847799483
  350.0    1906.3053554526582
  400.0    1906.1303032423405
  450.0    1906.2753802632719
  500.0    1904.8227246208232
  550.0    1904.3702594958188
  600.0    1904.5279226467976
  650.0    1904.5260278635028
  700.0    1904.5079178157732
  750.0    1905.0685828983649
  800.0    1904.4314038574546
  850.0    1905.0156456974810
  900.0    1904.7425391305433
  950.0    1904.5695814648993
 1000.0    1904.6529799946316
 1050.0    1904.3782996689890
 1100.0    1904.3523870645399
 1150.0    1904.1838378724083
 1200.0    1904.1921852633022
 1250.0    1903.5685899440859
 1300.0    1904.8022352894184
 1350.0    1902.5903177109633
 1400.0    1905.9517375987350
 1450.0    1907.4678708475908
 1500.0    1896.8845302195323
 1550.0    1904.8306869303126
 1600.0    1903.5856990879322
 1650.0    1903.6577724485949
 1700.0    1902.6394464018656
 1750.0    1904.1257398659561
 1800.0    1903.5910056341511
 1850.0    1903.6072177483541
 1900.0    1903.7492301511372
 1950.0    1902.3894693546845
 2000.0    1904.7418141027174
 2050.0    1901.7738811582053
 2100.0    1906.3681614143391
 2150.0    1908.1510271836487
 2200.0    1903.4608709808674
 2250.0    1912.6051557102107
 2300.0    1901.5535761622725
 2350.0    1903.9155777613000
 2400.0    1909.2002610459376
 2450.0    1904.9739277612130
 2500.0    1905.8579663873227
 2550.0    1905.8149736385189
 2600.0    1924.2875996030978
 2650.0    1897.4235799849441
 2700.0    1901.4192641934451
 2750.0    1877.7754985437093
 2800.0    1933.0391634107955
 2850.0    1765.6570025411199
 2900.0    2012.7932108606678
 2950.0    1961.8086609394188
 3000.0    1836.9912376058514
 3050.0    1881.7874518676706
 3100.0    1937.6720555162510
 3150.0    1904.1140419957658
 3200.0    1908.2480462355022
 3250.0    1904.0419076860305
 3300.0    1908.2016692497054
 3350.0    1906.2393725021727
 3400.0    1906.1764148403215
 3450.0    1914.3828494866859
 3500.0    1897.2059452689034
 3550.0    1989.6665825244638
 3600.0    1892.2624672996526
 3650.0    1912.6202925569405
 3700.0    1913.3219886174577
 3750.0    1899.2732974739229
 3800.0    1904.9911978155046
 3850.0    1912.4735612558020
 3900.0    1912.7233772245972
 3950.0    1902.4382973136178
 4000.0    1903.8581249483341
 4050.0    1901.4927758904182
 4100.0    1926.9568364940044
 4150.0    1896.8823520374892
 4200.0    1906.8318143998338
 4250.0    1901.4970642184833
 4300.0    1912.9172911711573
 4350.0    1916.1582725526503
 4400.0    1897.0029208988813
 4450.0    1912.6615651184482
 4500.0    1910.3245278830964
 4550.0    1911.8684267876745
 4600.0    1896.6262325050036
 4650.0    1908.4164788024136
 4700.0    1907.7802839990511
 4750.0    1899.7548502709781
 4800.0    1924.7234029626529
 4850.0    1897.2738142433664
 4900.0    1904.2173043928444
 4950.0    1912.5259884093064
 5000.0    1918.7798185627507
# P = 606.000000 (GPa)
    1.0    1912.5218262510778
   50.0    1911.9093686107396
  100.0    1912.0894277160314
  150.0    1911.7647601298722
  200.0    1911.4929042919805
  250.0    1911.3470908602983
  300.0    1911.2755982052124
  350.0    1910.2631004247478
  400.0    1910.1027867823950
  450.0    1910.2136121752542
  500.0    1908.7845520006611
  550.0    1908.3599030810365
  600.0    1908.5017192395883
  650.0    1908.4975273460748
  700.0    1908.4702866914752
  750.0    1909.0316454521831
  800.0    1908.3816961409213
  850.0    1908.9527583504735
  900.0    1908.6785329547629
  950.0    1908.5000233885746
 1000.0    1908.5821772155948
 1050.0    1908.3046827834376
 1100.0    1908.2738189883530
 1150.0    1908.1053055694247
 1200.0    1908.1076675491108
 1250.0    1907.4893607612637
 1300.0    1908.7453572356342
 1350.0    1906.4253840366280
 1400.0    1909.7593069229983
 1450.0    1911.4223170521666
 1500.0    1900.8722345336255
 1550.0    1908.8390269970380
 1600.0    1907.4110587203224
 1650.0    1907.5873895243064
 1700.0    1906.5455033686017
 1750.0    1907.9888839761077
 1800.0    1907.4625981407671
 1850.0    1907.4730188719457
 1900.0    1907.6238482076897
 1950.0    1906.2211006843972
 2000.0    1908.7208725521584
 2050.0    1905.7458757367745
 2100.0    1910.1228789572090
 2150.0    1911.9440159439157
 2200.0    1907.1719344023390
 2250.0    1916.4106331215776
 2300.0    1905.4974267648922
 2350.0    1907.7160509386072
 2400.0    1912.9642890429284
 2450.0    1908.7685495695825
 2500.0    1909.6040646108213
 2550.0    1909.4103414817564
 2600.0    1927.9909457597182
 2650.0    1901.5129280470678
 2700.0    1904.6222528528374
 2750.0    1881.8157624362932
 2800.0    1935.7158079978017
 2850.0    1769.5882731834783
 2900.0    2015.0526482077566
 2950.0    1963.1302570448961
 3000.0    1842.5401331833427
 3050.0    1885.8301191969249
 3100.0    1940.2484838642170
 3150.0    1907.9752915620020
 3200.0    1911.8968588610355
 3250.0    1907.7914022387436
 3300.0    1911.9743043110827
 3350.0    1909.9776214735950
 3400.0    1909.7994609193586
 3450.0    1918.0452903999360
 3500.0    1900.8686417035456
 3550.0    1992.1444641321546
 3600.0    1896.0678808389014
 3650.0    1916.1855169922057
 3700.0    1917.1646638305472
 3750.0    1903.0612842860728
 3800.0    1908.6025382868811
 3850.0    1915.9933677529605
 3900.0    1916.2237566219617
 3950.0    1906.2933573894641
 4000.0    1907.6395699326779
 4050.0    1905.1493986813732
 4100.0    1930.4731648549923
 4150.0    1900.8013315646738
 4200.0    1910.4197354081896
 4250.0    1905.1315344718860
 4300.0    1916.6502898068582
 4350.0    1919.7056465246396
 4400.0    1900.6990202369768
 4450.0    1916.2621939461119
 4500.0    1913.7551030973950
 4550.0    1915.6650808758332
 4600.0    1900.4341932853761
 4650.0    1911.9422771936663
 4700.0    1911.6074476573190
 4750.0    1903.5010347657851
 4800.0    1927.7493200858391
 4850.0    1901.2708066067230
 4900.0    1907.9376931039167
 4950.0    1915.9100338723533
 5000.0    1921.8480067873029
# P = 608.000000 (GPa)
    1.0    1916.4771325059628
   50.0    1915.8695186641078
  100.0    1916.0472009020789
  150.0    1915.7164179157983
  200.0    1915.4463843460287
  250.0    1915.2997025129209
  300.0    1915.2149036100022
  350.0    1914.2162651507876
  400.0    1914.0699804691706
  450.0    1914.1472550180245
  500.0    1912.7418379607470
  550.0    1912.3446321944764
  600.0    1912.4707042119205
  650.0    1912.4639762189515
  700.0    1912.4276920138375
  750.0    1912.9897504165087
  800.0    1912.3271082338933
  850.0    1912.8849406802215
  900.0    1912.6095054517575
  950.0    1912.4253047085922
 1000.0    1912.5064965345639
 1050.0    1912.2258625917902
 1100.0    1912.1899741139484
 1150.0    1912.0214695015638
 1200.0    1912.0180535328498
 1250.0    1911.4049472944589
 1300.0    1912.6825228643122
 1350.0    1910.2569325816189
 1400.0    1913.5647274747953
 1450.0    1915.3715428126268
 1500.0    1904.8538901143202
 1550.0    1912.8412490183196
 1600.0    1911.2323703268855
 1650.0    1911.5108516428295
 1700.0    1910.4455698620147
 1750.0    1911.8468444385799
 1800.0    1911.3289979295712
 1850.0    1911.3333193802441
 1900.0    1911.4930929332911
 1950.0    1910.0480030409453
 2000.0    1912.6913971839249
 2050.0    1909.7110441681232
 2100.0    1913.8726573354877
 2150.0    1915.7319354197123
 2200.0    1910.8793961940619
 2250.0    1920.2098867597695
 2300.0    1909.4338821544673
 2350.0    1911.5109160030931
 2400.0    1916.7227338392320
 2450.0    1912.5569058069023
 2500.0    1913.3449082307088
 2550.0    1913.0038691697073
 2600.0    1931.6878605597435
 2650.0    1905.5943386153026
 2700.0    1907.8344739672380
 2750.0    1885.7827411856774
 2800.0    1938.4341512588569
 2850.0    1773.3810196353595
 2900.0    2017.6428261433607
 2950.0    1964.5022490282388
 3000.0    1848.0257817105485
 3050.0    1889.8752217460628
 3100.0    1942.8518752950820
 3150.0    1911.8294988355869
 3200.0    1915.5404579118488
 3250.0    1911.5347985838791
 3300.0    1915.7397001441009
 3350.0    1913.7093569030858
 3400.0    1913.4178816192311
 3450.0    1921.7015231547400
 3500.0    1904.5265943588038
 3550.0    1994.6439048838381
 3600.0    1899.8662156420212
 3650.0    1919.7466041392759
 3700.0    1920.9984407866339
 3750.0    1906.8424486087995
 3800.0    1912.2087412659334
 3850.0    1919.5106443577288
 3900.0    1919.7205469528394
 3950.0    1910.1405943092807
 4000.0    1911.4133119950870
 4050.0    1908.8009355990430
 4100.0    1933.9834498303328
 4150.0    1904.7121905376480
 4200.0    1914.0025682123123
 4250.0    1908.7595244097979
 4300.0    1920.3767057525174
 4350.0    1923.2479162644095
 4400.0    1904.3878095678583
 4450.0    1919.8584910207603
 4500.0    1917.1827327718188
 4550.0    1919.4524662785025
 4600.0    1904.2344578378911
 4650.0    1915.4636177286623
 4700.0    1915.4238588547337
 4750.0    1907.2420937964141
 4800.0    1930.7802109717109
 4850.0    1905.2590189921909
 4900.0    1911.6511515489965
 4950.0    1919.2915433299320
 5000.0    1924.9205477527933
# P = 610.000000 (GPa)
    1.0    1920.4279761470520
   50.0    1919.8247829825768
  100.0    1920.0002357303069
  150.0    1919.6633533574259
  200.0    1919.3947658596746
  250.0    1919.2473531444116
  300.0    1919.1496273681323
  350.0    1918.1647826514611
  400.0    1918.0321481993333
  450.0    1918.0766322952977
  500.0    1916.6949228202848
  550.0    1916.3245406509784
  600.0    1916.4350416064124
  650.0    1916.4254585908968
  700.0    1916.3805851759296
  750.0    1916.9429855181611
  800.0    1916.2673039151757
  850.0    1916.8123231097848
  900.0    1916.5353621976647
  950.0    1916.3456940335054
 1000.0    1916.4257589408001
 1050.0    1916.1422335463769
 1100.0    1916.1009421085705
 1150.0    1915.9323492732426
 1200.0    1915.9235835750330
 1250.0    1915.3149954906191
 1300.0    1916.6137312087869
 1350.0    1914.0845968863466
 1400.0    1917.3677697265919
 1450.0    1919.3155363235646
 1500.0    1908.8291556086060
 1550.0    1916.8368174226853
 1600.0    1915.0497159484380
 1650.0    1915.4280969931235
 1700.0    1914.3401079705243
 1750.0    1915.6996191605836
 1800.0    1915.1901715077458
 1850.0    1915.1887286515630
 1900.0    1915.3566492880348
 1950.0    1913.8701004014245
 2000.0    1916.6534255173224
 2050.0    1913.6691835824777
 2100.0    1917.6172947077050
 2150.0    1919.5144790075753
 2200.0    1914.5834117535287
 2250.0    1924.0029351251444
 2300.0    1913.3628651071942
 2350.0    1915.2993302797361
 2400.0    1920.4754487081673
 2450.0    1916.3393688915760
 2500.0    1917.0806595492379
 2550.0    1916.5958431836068
 2600.0    1935.3786688023006
 2650.0    1909.6671829302088
 2700.0    1911.0556060018066
 2750.0    1889.6772572485036
 2800.0    1941.1926368071165
 2850.0    1777.0284354119708
 2900.0    2020.4632023574036
 2950.0    1965.9235067348502
 3000.0    1853.4487674636380
 3050.0    1893.9223918841369
 3100.0    1945.4809801251945
 3150.0    1915.6765894718662
 3200.0    1919.1793525214400
 3250.0    1915.2714599182605
 3300.0    1919.4978183927753
 3350.0    1917.4346872729946
 3400.0    1917.0316376569590
 3450.0    1925.3510831658805
 3500.0    1908.1796445582340
 3550.0    1997.1640727373058
 3600.0    1903.6578133176229
 3650.0    1923.3036521850654
 3700.0    1924.8233341979062
 3750.0    1910.6165215775138
 3800.0    1915.8098085541289
 3850.0    1923.0249620858292
 3900.0    1923.2136649709335
 3950.0    1913.9800630830159
 4000.0    1915.1790743884626
 4050.0    1912.4468091987173
 4100.0    1937.4876481827325
 4150.0    1908.6148897322560
 4200.0    1917.5803185125351
 4250.0    1912.3812401009950
 4300.0    1924.0969505828766
 4350.0    1926.7848920813258
 4400.0    1908.0699402843159
 4450.0    1923.4502297587651
 4500.0    1920.6073914081192
 4550.0    1923.2304104420919
 4600.0    1908.0272973373173
 4650.0    1918.9804836792696
 4700.0    1919.2292392931708
 4750.0    1910.9777279293830
 4800.0    1933.8162532223000
 4850.0    1909.2383430275995
 4900.0    1915.3572845706258
 4950.0    1922.6706936085081
 5000.0    1927.9968459433023
# P = 612.000000 (GPa)
    1.0    1924.3742205056819
   50.0    1923.7753463559268
  100.0    1923.9487507510796
  150.0    1923.6054771534280
  200.0    1923.3385943382868
  250.0    1923.1900267259223
  300.0    1923.0797191981692
  350.0    1922.1087838458527
  400.0    1921.9895360267888
  450.0    1922.0020140587608
  500.0    1920.6439810550485
  550.0    1920.2993974127091
  600.0    1920.3945760939525
  650.0    1920.3820601455889
  700.0    1920.3283171038299
  750.0    1920.8910092080112
  800.0    1920.2023127259745
  850.0    1920.7348498494368
  900.0    1920.4564047549445
  950.0    1920.2613784906364
 1000.0    1920.3399068337380
 1050.0    1920.0536230237985
 1100.0    1920.0069144000811
 1150.0    1919.8383591832778
 1200.0    1919.8241496515423
 1250.0    1919.2198292097617
 1300.0    1920.5391973783821
 1350.0    1917.9086163017864
 1400.0    1921.1680317965004
 1450.0    1923.2544561252889
 1500.0    1912.7979735195574
 1550.0    1920.8260847390231
 1600.0    1918.8631468195758
 1650.0    1919.3392933364489
 1700.0    1918.2292490237171
 1750.0    1919.5472829089128
 1800.0    1919.0455906305606
 1850.0    1919.0387918164254
 1900.0    1919.2145902648867
