# T (K)      B_T_P (GPa)
# P = 600.000000 (GPa)
    1.0    1900.4718259215379
   50.0    1899.6366469545205
  100.0    1898.9805217232633
  150.0    1898.4249932076225
  200.0    1897.5071405899307
  250.0    1896.9643130173470
  300.0    1896.3202432386834
  350.0    1894.7136979834929
  400.0    1894.1970594002905
  450.0    1893.7160039959879
  500.0    1891.4319179730323
  550.0    1890.9680717591489
  600.0    1890.5133797701628
  650.0    1890.0625520679157
  700.0    1889.6306677938423
  750.0    1889.1728424320581
  800.0    1888.9617209827622
  850.0    1888.3783754115000
  900.0    1887.7969392281364
  950.0    1887.1769803502066
 1000.0    1886.5434882484528
 1050.0    1885.9616984973154
 1100.0    1885.3386545560465
 1150.0    1884.7134367365161
 1200.0    1884.1455389585760
 1250.0    1883.5306983737032
 1300.0    1883.4116554865755
 1350.0    1882.8391140167075
 1400.0    1879.9239347264593
 1450.0    1879.2133565233141
 1500.0    1878.7357462648401
 1550.0    1880.5505108827490
 1600.0    1879.4486653509655
 1650.0    1878.8302457394625
 1700.0    1878.9239539283703
 1750.0    1878.3460341299296
 1800.0    1877.7675420487897
 1850.0    1877.1859868952436
 1900.0    1876.6717187249164
 1950.0    1876.1014359352025
 2000.0    1875.5622115655292
 2050.0    1877.8667049725966
 2100.0    1877.4141139581316
 2150.0    1876.7498580886768
 2200.0    1875.4726893255029
 2250.0    1873.9787031011429
 2300.0    1874.9625966974081
 2350.0    1875.2312837902348
 2400.0    1874.6088514543817
 2450.0    1874.1347241707099
 2500.0    1873.6817308937379
 2550.0    1871.9510055920766
 2600.0    1870.0016057676896
 2650.0    1872.3037434215985
 2700.0    1870.9959419593467
 2750.0    1871.0962058406035
 2800.0    1926.5098933515442
 2850.0    1926.3647351264185
 2900.0    1926.0563079820540
 2950.0    1925.8107621531119
 3000.0    1869.5555113790238
 3050.0    1869.2881921534713
 3100.0    1868.1178339502201
 3150.0    1867.7035161850838
 3200.0    1866.9649540216158
 3250.0    1866.4501805150451
 3300.0    1866.2579542819858
 3350.0    1866.0783364105255
 3400.0    1865.3104356218857
 3450.0    1864.1338940595854
 3500.0    1863.9324599582490
 3550.0    1862.0391882682068
 3600.0    1862.6850992608902
 3650.0    1861.7783433124878
