# T (K)      C_P (J K^-1 mol^-1)
# P = 600.000000 (GPa)
    1.0       1.0000819833613
   50.0     131.5860683827088
  100.0     105.5098790225652
  150.0     127.5577770499236
  200.0     120.7906708662071
  250.0     124.3185736105033
  300.0     125.2749047857783
  350.0     123.7194173334331
  400.0     122.8992039864856
  450.0     128.2399915269511
  500.0     121.3471865555342
  550.0     125.3333959295094
  600.0     124.7543487213842
  650.0     124.8505006831989
  700.0     126.4816865095206
  750.0     117.8994276394412
  800.0     132.9853623892485
  850.0     122.9421466616509
  900.0     125.6471568959149
  950.0     126.4757036416032
 1000.0     123.5724109151567
 1050.0     126.0152167768642
 1100.0     125.2073863898542
 1150.0     125.2451932138512
 1200.0     125.0531619334333
 1250.0     128.2658708417413
 1300.0     116.7510091554620
 1350.0     155.0340181803330
 1400.0     104.0444462615755
 1450.0      93.2692319630501
 1500.0     168.9327562553775
 1550.0     109.8515697572728
 1600.0     131.2197160329387
 1650.0     118.4216341933886
 1700.0     132.3471171486359
 1750.0     124.0285054799902
 1800.0     126.3556884044127
 1850.0     125.8847923483125
 1900.0     123.5455592755117
 1950.0     137.4795111599371
 2000.0     103.5131818847016
 2050.0     140.8418647302260
 2100.0     128.3437981322666
 2150.0     116.8961342005927
 2200.0     149.6320765540022
 2250.0      89.8585294290841
 2300.0     137.7798361400424
 2350.0     139.6281559778572
 2400.0     114.0196525397296
 2450.0     131.6914226761029
 2500.0     132.8389441210115
 2550.0     142.0382294767538
 2600.0      68.0911224320609
 2650.0     140.3694260105501
 2700.0     287.5426161223095
 2750.0    -541.4713485637748
 2800.0     823.0251992619787
 2850.0     -43.8689604221169
 2900.0       9.6972033006268
 2950.0     771.4191556654633
 3000.0    -529.5538149707165
 3050.0     316.7180368603388
 3100.0      78.7398502173149
 3150.0     130.8884784756813
 3200.0     124.9885284583638
 3250.0     134.2140803097107
 3300.0     117.7642804103384
 3350.0     129.0903871650372
 3400.0     138.5875514143032
 3450.0     101.8985106164073
 3500.0     183.9753256718562
 3550.0      39.2423604451447
 3600.0     193.8959595423544
 3650.0     112.9259453077156
 3700.0      97.8506857010742
 3750.0     152.6679643581905
 3800.0     138.5780766990881
 3850.0     123.8144010078820
 3900.0     111.0134248293138
 3950.0     127.2590686859978
 4000.0     125.7427167799279
 4050.0     152.0330594127685
 4100.0      80.6562271577853
 4150.0     146.9347882355061
 4200.0     136.1238831563718
 4250.0     143.5384793433835
 4300.0     112.6250212918372
 4350.0     109.8134342912700
 4400.0     157.7431257142806
 4450.0     120.9121011530247
 4500.0     127.3930587749506
 4550.0     102.0387512947400
 4600.0     152.0629178601172
 4650.0     131.2411988850533
 4700.0     104.0402799129334
 4750.0     161.2009110863369
 4800.0     101.8108430711630
 4850.0     130.8318103313796
 4900.0     136.1829976611657
 4950.0     136.2570061815112
 5000.0     136.2335707792028
# P = 602.000000 (GPa)
    1.0       1.0000811752222
   50.0     131.5816643573815
  100.0     105.5121608794120
  150.0     127.5537727293826
  200.0     120.7938754194514
  250.0     124.3192315610139
  300.0     125.2601345316079
  350.0     123.7349842824138
  400.0     122.9035589795922
  450.0     128.1985523420006
  500.0     121.3908736325155
  550.0     125.3200436885339
  600.0     124.7574608487532
  650.0     124.8502359436502
  700.0     126.4784424095416
  750.0     117.9073631350538
  800.0     132.9734991143048
  850.0     122.9446883578112
  900.0     125.6440860345823
  950.0     126.4745504642416
 1000.0     123.5730064052062
 1050.0     126.0123417592598
 1100.0     125.2053470371626
 1150.0     125.2482138836827
 1200.0     125.0435983795271
 1250.0     128.2864550589069
 1300.0     116.7591758194195
 1350.0     154.8905311554398
 1400.0     104.1880072613137
 1450.0      93.1821363338208
 1500.0     169.1362850356115
 1550.0     109.6361827280534
 1600.0     131.2885891666503
 1650.0     118.4513064078023
 1700.0     132.3008704391095
 1750.0     124.0389550420310
 1800.0     126.3497887457416
 1850.0     125.8849396892895
 1900.0     123.5553970165180
 1950.0     137.4138115052884
 2000.0     103.7745258011293
 2050.0     140.5932494801240
 2100.0     128.4035902048442
 2150.0     116.8452544471806
 2200.0     149.5739091154832
 2250.0      90.0579394271282
 2300.0     137.6971000027144
 2350.0     139.5858635010513
 2400.0     114.0308242317486
 2450.0     131.7092710172769
 2500.0     132.7539403944579
 2550.0     141.9400992321539
 2600.0      68.4358104174631
 2650.0     140.3867813498830
 2700.0     285.9571637746878
 2750.0    -535.1295506706871
 2800.0     816.5008881188205
 2850.0     -42.7458832712266
 2900.0      11.0833401006253
 2950.0     763.8682026150192
 3000.0    -523.0986624408312
 3050.0     314.6941763374372
 3100.0      79.3577215544587
 3150.0     130.6755268075102
 3200.0     125.0549484741112
 3250.0     134.2255594937255
 3300.0     117.7704148679366
 3350.0     129.0488318067951
 3400.0     138.5012739437062
 3450.0     102.0861020011669
 3500.0     183.6577294087611
 3550.0      39.6239705428451
 3600.0     193.6303667420155
 3650.0     113.0123449663323
 3700.0      97.9629602742072
 3750.0     152.5077401514825
 3800.0     138.6016188972254
