# T (K)      C-ph_V_V (J K^-1 mol^-1)
# V = 157.405100 (a.u.^3)
    5.0      10.9197743318131
   50.0     118.3805467611629
  100.0     123.0814646113083
  150.0     123.9857286029492
  200.0     124.3048061411917
  250.0     124.4529511547242
  300.0     124.5335468014272
  350.0     124.5821849488651
  400.0     124.6137697075061
  450.0     124.6354317284956
  500.0     124.6509302462431
  550.0     124.6623994379904
  600.0     124.6711238616078
  650.0     124.6779142098989
  700.0     124.6833025764435
  750.0     124.6876499148946
  800.0     124.6912080784718
  850.0     124.6941571240089
  900.0     124.6966285412454
  950.0     124.6987201645278
 1000.0     124.7005060042561
 1050.0     124.7020428839181
 1100.0     124.7033750160780
 1150.0     124.7045372175895
 1200.0     124.7055572075822
 1250.0     124.7064572755164
 1300.0     124.7072555091801
 1350.0     124.7079667104883
 1400.0     124.7086030865888
 1450.0     124.7091747771490
 1500.0     124.7096902607407
 1550.0     124.7101566709953
 1600.0     124.7105800447254
 1650.0     124.7109655182369
 1700.0     124.7113174838385
 1750.0     124.7116397155160
 1800.0     124.7119354705144
 1850.0     124.7122075719746
 1900.0     124.7124584765510
 1950.0     124.7126903300534
 2000.0     124.7129050134801
 2050.0     124.7131041812825
 2100.0     124.7132892933398
 2150.0     124.7134616417843
 2200.0     124.7136223736094
 2250.0     124.7137725098045
 2300.0     124.7139129616059
 2350.0     124.7140445443565
 2400.0     124.7141679893655
 2450.0     124.7142839540914
 2500.0     124.7143930309145
 2550.0     124.7144957547131
 2600.0     124.7145926094392
 2650.0     124.7146840338228
 2700.0     124.7147704263542
 2750.0     124.7148521496291
 2800.0     124.7149295341618
 2850.0     124.7150028817314
 2900.0     124.7150724683284
 2950.0     124.7151385467559
 3000.0     124.7152013489265
 3050.0     124.7152610879022
 3100.0     124.7153179597006
 3150.0     124.7153721449104
 3200.0     124.7154238101197
 3250.0     124.7154731092051
 3300.0     124.7155201844728
 3350.0     124.7155651676909
 3400.0     124.7156081810084
 3450.0     124.7156493377900
 3500.0     124.7156887433606
 3550.0     124.7157264956792
 3600.0     124.7157626859520
 3650.0     124.7157973991797
 3700.0     124.7158307146606
 3750.0     124.7158627064404
 3800.0     124.7158934437253
 3850.0     124.7159229912594
 3900.0     124.7159514096618
 3950.0     124.7159787557391
 4000.0     124.7160050827701
 4050.0     124.7160304407674
 4100.0     124.7160548767089
 4150.0     124.7160784347632
 4200.0     124.7161011564829
 4250.0     124.7161230809929
 4300.0     124.7161442451559
 4350.0     124.7161646837280
 4400.0     124.7161844295027
 4450.0     124.7162035134404
 4500.0     124.7162219647927
 4550.0     124.7162398112108
 4600.0     124.7162570788534
 4650.0     124.7162737924786
 4700.0     124.7162899755365
 4750.0     124.7163056502485
 4800.0     124.7163208376845
 4850.0     124.7163355578343
 4900.0     124.7163498296730
 4950.0     124.7163636712223
 5000.0     124.7163770996071
# V = 155.178150 (a.u.^3)
    5.0      10.4778053722136
   50.0     118.1772289609055
  100.0     123.0270911955340
  150.0     123.9612542308625
  200.0     124.2909777270487
  250.0     124.4440825468812
  300.0     124.5273810081119
  350.0     124.5776518007472
  400.0     124.6102973916706
  450.0     124.6326872542750
  500.0     124.6487066617570
  550.0     124.6605613974236
  600.0     124.6695791410789
  650.0     124.6765978105282
  700.0     124.6821673735678
  750.0     124.6866609118719
  800.0     124.6903387424514
  850.0     124.6933869740347
  900.0     124.6959415163984
  950.0     124.6981034929304
 1000.0     124.6999494023565
 1050.0     124.7015379787804
 1100.0     124.7029149214489
 1150.0     124.7041162180208
 1200.0     124.7051705197960
 1250.0     124.7061008658366
 1300.0     124.7069259522550
 1350.0     124.7076610787934
 1400.0     124.7083188631710
 1450.0     124.7089097860962
 1500.0     124.7094426113189
 1550.0     124.7099247124175
 1600.0     124.7103623292610
 1650.0     124.7107607709258
 1700.0     124.7111245774669
 1750.0     124.7114576498185
 1800.0     124.7117633547948
 1850.0     124.7120446105029
 1900.0     124.7123039562377
 1950.0     124.7125436099925
 2000.0     124.7127655160412
 2050.0     124.7129713844922
 2100.0     124.7131627243354
 2150.0     124.7133408711697
 2200.0     124.7135070105754
 2250.0     124.7136621978891
 2300.0     124.7138073749999
 2350.0     124.7139433846820
 2400.0     124.7140709828470
 2450.0     124.7141908490709
 2500.0     124.7143035956619
 2550.0     124.7144097754940
 2600.0     124.7145098887987
 2650.0     124.7146043890678
 2700.0     124.7146936881964
 2750.0     124.7147781609783
 2800.0     124.7148581490487
 2850.0     124.7149339643378
 2900.0     124.7150058921223
 2950.0     124.7150741937100
 3000.0     124.7151391088152
 3050.0     124.7152008576677
 3100.0     124.7152596428814
 3150.0     124.7153156511180
 3200.0     124.7153690545736
 3250.0     124.7154200122983
 3300.0     124.7154686713877
 3350.0     124.7155151680427
 3400.0     124.7155596285219
 3450.0     124.7156021700036
 3500.0     124.7156429013556
 3550.0     124.7156819238349
 3600.0     124.7157193317141
 3650.0     124.7157552128543
 3700.0     124.7157896492212
 3750.0     124.7158227173523
 3800.0     124.7158544887829
 3850.0     124.7158850304332
 3900.0     124.7159144049636
 3950.0     124.7159426710906
 4000.0     124.7159698838877
 4050.0     124.7159960950468
 4100.0     124.7160213531287
 4150.0     124.7160457037870
 4200.0     124.7160691899732
 4250.0     124.7160918521281
 4300.0     124.7161137283544
 4350.0     124.7161348545778
 4400.0     124.7161552646942
 4450.0     124.7161749907074
 4500.0     124.7161940628518
 4550.0     124.7162125097091
 4600.0     124.7162303583184
 4650.0     124.7162476342711
 4700.0     124.7162643618055
 4750.0     124.7162805638907
 4800.0     124.7162962623061
 4850.0     124.7163114777129
 4900.0     124.7163262297262
 4950.0     124.7163405369722
 5000.0     124.7163544171539
# V = 153.052400 (a.u.^3)
    5.0      10.0811135555595
   50.0     117.9792954873561
  100.0     122.9740257490980
  150.0     123.9373571340392
  200.0     124.2774731159031
  250.0     124.4354208400175
  300.0     124.5213587269321
  350.0     124.5732239822917
  400.0     124.6069056393947
  450.0     124.6300063712644
  500.0     124.6465345318660
  550.0     124.6587658336681
  600.0     124.6680700701269
  650.0     124.6753117482026
  700.0     124.6810582928185
  750.0     124.6856946308582
  800.0     124.6894893458722
  850.0     124.6926344574972
  900.0     124.6952701926195
  950.0     124.6975008870967
 1000.0     124.6994054700680
 1050.0     124.7010445417949
 1100.0     124.7024652536179
 1150.0     124.7037047367675
 1200.0     124.7047925530320
 1250.0     124.7057524736475
 1300.0     124.7066037889015
 1350.0     124.7073622847909
 1400.0     124.7080409800579
 1450.0     124.7086506885271
 1500.0     124.7092004524979
 1550.0     124.7096978799156
 1600.0     124.7101494089875
 1650.0     124.7105605175444
 1700.0     124.7109358899539
 1750.0     124.7112795511493
 1800.0     124.7115949749672
 1850.0     124.7118851722750
 1900.0     124.7121527630863
 1950.0     124.7124000359022
 2000.0     124.7126289968002
 2050.0     124.7128414102538
 2100.0     124.7130388332206
 2150.0     124.7132226437591
 2200.0     124.7133940651382
 2250.0     124.7135541862421
 2300.0     124.7137039789057
 2350.0     124.7138443126930
 2400.0     124.7139759675469
 2450.0     124.7140996446471
 2500.0     124.7142159757675
 2550.0     124.7143255313596
 2600.0     124.7144288275563
 2650.0     124.7145263322672
 2700.0     124.7146184704818
 2750.0     124.7147056289091
 2800.0     124.7147881600447
 2850.0     124.7148663857377
 2900.0     124.7149406003320
 2950.0     124.7150110734436
 3000.0     124.7150780524078
 3050.0     124.7151417644553
 3100.0     124.7152024186425
 3150.0     124.7152602075654
 3200.0     124.7153153088934
 3250.0     124.7153678867341
 3300.0     124.7154180928598
 3350.0     124.7154660677998
 3400.0     124.7155119418286
