# P (GPa)      H (Ry.)
   600.00       6.8333861820348
   602.00       6.8541786896565
   604.00       6.8749493729187
   606.00       6.8956983000173
   608.00       6.9164255387338
   610.00       6.9371311564435
   612.00       6.9578152201264
   614.00       6.9784777963695
   616.00       6.9991189513583
   618.00       7.0197387508866
   620.00       7.0403372603672
   622.00       7.0609145448325
   624.00       7.0814706689238
   626.00       7.1020056969076
   628.00       7.1225196926831
   630.00       7.1430127197771
   632.00       7.1634848413388
   634.00       7.1839361201594
   636.00       7.2043666186746
   638.00       7.2247763989513
   640.00       7.2451655226991
   642.00       7.2655340512839
   644.00       7.2858820457204
   646.00       7.3062095666653
   648.00       7.3265166744385
   650.00       7.3468034290255
   652.00       7.3670698900596
   654.00       7.3873161168405
   656.00       7.4075421683449
   658.00       7.4277481032106
   660.00       7.4479339797418
   662.00       7.4680998559293
   664.00       7.4882457894390
   666.00       7.5083718376048
   668.00       7.5284780574545
   670.00       7.5485645057038
   672.00       7.5686312387405
   674.00       7.5886783126523
   676.00       7.6087057832262
   678.00       7.6287137059266
   680.00       7.6487021359236
   682.00       7.6686711280961
   684.00       7.6886207370068
   686.00       7.7085510169303
   688.00       7.7284620218581
   690.00       7.7483538054714
   692.00       7.7682264211711
   694.00       7.7880799220809
   696.00       7.8079143610204
   698.00       7.8277297905377
   700.00       7.8475262629080
   702.00       7.8673038301087
   704.00       7.8870625438554
   706.00       7.9068024555929
   708.00       7.9265236164757
   710.00       7.9462260774071
   712.00       7.9659098890175
   714.00       7.9855751016591
   716.00       8.0052217654407
   718.00       8.0248499301951
   720.00       8.0444596454923
   722.00       8.0640509606629
   724.00       8.0836239247591
   726.00       8.1031785865890
   728.00       8.1227149947174
   730.00       8.1422331974364
   732.00       8.1617332428104
   734.00       8.1812151786494
   736.00       8.2006790525082
   738.00       8.2201249117210
   740.00       8.2395528033573
   742.00       8.2589627742571
   744.00       8.2783548710311
   746.00       8.2977291400309
   748.00       8.3170856273982
   750.00       8.3364243790269
   752.00       8.3557454405775
   754.00       8.3750488574999
   756.00       8.3943346749887
   758.00       8.4136029380347
   760.00       8.4328536913957
   762.00       8.4520869795973
   764.00       8.4713028469668
   766.00       8.4905013375827
   768.00       8.5096824953276
   770.00       8.5288463638591
   772.00       8.5479929866103
   774.00       8.5671224068240
   776.00       8.5862346675003
   778.00       8.6053298114544
   780.00       8.6244078812782
   782.00       8.6434689193534
   784.00       8.6625129678730
   786.00       8.6815400687961
   788.00       8.7005502639091
   790.00       8.7195435947709
   792.00       8.7385201027518
   794.00       8.7574798290260
   796.00       8.7764228145511
   798.00       8.7953491001168
   800.00       8.8142587262841
   802.00       8.8331517334489
   804.00       8.8520281617950
   806.00       8.8708880513201
   808.00       8.8897314418406
   810.00       8.9085583729619
   812.00       8.9273688841325
   814.00       8.9461630145798
   816.00       8.9649408033775
   818.00       8.9837022893915
   820.00       9.0024475113173
   822.00       9.0211765076690
   824.00       9.0398893167674
   826.00       9.0585859767779
   828.00       9.0772665256555
   830.00       9.0959310012145
   832.00       9.1145794410590
   834.00       9.1332118826471
   836.00       9.1518283632379
   838.00       9.1704289199398
   840.00       9.1890135896969
   842.00       9.2075824092283
   844.00       9.2261354150960
   846.00       9.2446726438584
   848.00       9.2631941320741
   850.00       9.2816999163015
   852.00       9.3001900330991
   854.00       9.3186645190254
   856.00       9.3371234106388
   858.00       9.3555667444979
   860.00       9.3739945571611
   862.00       9.3924068851869
   864.00       9.4108037651337
   866.00       9.4291852335599
   868.00       9.4475513270245
   870.00       9.4659020820853
   872.00       9.4842375353012
   874.00       9.5025577232306
   876.00       9.5208626824319
