# T (K)      Entropy-ph (J K^-1 mol^-1)
# V = 157.405100 (a.u.^3)
    5.0       3.3372336706558
   50.0     170.5264342503016
  100.0     254.5593108849121
  150.0     304.6720235805849
  200.0     340.3907364866502
  250.0     368.1463011830849
  300.0     390.8445483773399
  350.0     410.0454200019440
  400.0     426.6832550378372
  450.0     441.3619688065438
  500.0     454.4944672540285
  550.0     466.3755337340730
  600.0     477.2229713259665
  650.0     487.2022646511064
  700.0     496.4420966339925
  750.0     505.0445091192720
  800.0     513.0917829367125
  850.0     520.6512314681266
  900.0     527.7786236806324
  950.0     534.5206814503625
 1000.0     540.9169361970876
 1050.0     547.0011324588799
 1100.0     552.8023049092709
 1150.0     558.3456159408454
 1200.0     563.6530149741253
 1250.0     568.7437631683042
 1300.0     573.6348552157145
 1350.0     578.3413615297512
 1400.0     582.8767082003507
 1450.0     587.2529078224800
 1500.0     591.4807511921859
 1550.0     595.5699675704691
 1600.0     599.5293595032763
 1650.0     603.3669168961997
 1700.0     607.0899140600548
 1750.0     610.7049926896036
 1800.0     614.2182331532982
 1850.0     617.6352160158945
 1900.0     620.9610753569152
 1950.0     624.2005451637127
 2000.0     627.3579998512846
 2050.0     630.4374897790262
 2100.0     633.4427724879064
 2150.0     636.3773402622672
 2200.0     639.2444445232728
 2250.0     642.0471174812981
 2300.0     644.7881914086340
 2350.0     647.4703158397585
 2400.0     650.0959729608563
 2450.0     652.6674914126501
 2500.0     655.1870586989351
 2550.0     657.6567323664058
 2600.0     660.0784500990524
 2650.0     662.4540388510279
 2700.0     664.7852231260202
 2750.0     667.0736324969071
 2800.0     669.3208084479909
 2850.0     671.5282106116665
 2900.0     673.6972224627239
 2950.0     675.8291565259384
 3000.0     677.9252591460562
 3050.0     679.9867148634986
 3100.0     682.0146504343371
 3150.0     684.0101385286249
 3200.0     685.9742011375337
 3250.0     687.9078127163435
 3300.0     689.8119030875050
 3350.0     691.6873601254148
 3400.0     693.5350322423126
 3450.0     695.3557306927179
 3500.0     697.1502317120668
 3550.0     698.9192785036759
 3600.0     700.6635830867638
 3650.0     702.3838280169792
 3700.0     704.0806679899172
 3750.0     705.7547313370139
 3800.0     707.4066214223433
 3850.0     709.0369179481521
 3900.0     710.6461781761276
 3950.0     712.2349380709123
 4000.0     713.8037133716739
 4050.0     715.3530005971094
 4100.0     716.8832779888298
 4150.0     718.3950063975180
 4200.0     719.8886301160541
 4250.0     721.3645776633325
 4300.0     722.8232625222533
 4350.0     724.2650838350133
 4400.0     725.6904270587369
 4450.0     727.0996645839834
 4500.0     728.4931563187607
 4550.0     729.8712502402462
 4600.0     731.2342829163557
 4650.0     732.5825799991349
 4700.0     733.9164566917593
 4750.0     735.2362181908097
 4800.0     736.5421601054076
 4850.0     737.8345688546412
 4900.0     739.1137220445801
 4950.0     740.3798888261886
 5000.0     741.6333302352158
# V = 155.178150 (a.u.^3)
    5.0       3.1818399948231
   50.0     168.6803261445211
  100.0     252.6343419164134
  150.0     302.7318548078497
  200.0     338.4452019903242
  250.0     366.1982749859483
  300.0     388.8951664817868
  350.0     408.0952199092733
  400.0     424.7325235932623
  450.0     439.4108729227910
  500.0     452.5431106127003
  550.0     464.4239841180233
  600.0     475.2712749099867
  650.0     485.2504539726473
  700.0     494.4901952795227
  750.0     503.0925346031179
  800.0     511.1397485363171
  850.0     518.6991474318233
  900.0     525.8264980446551
  950.0     532.5685206050130
 1000.0     538.9647452875336
 1050.0     545.0489156742714
 1100.0     550.8500656949111
 1150.0     556.3933571562613
 1200.0     561.7007390124649
 1250.0     566.7914720476880
 1300.0     571.6825506499333
 1350.0     576.3890449835338
 1400.0     580.9243809330319
 1450.0     585.3005709227698
 1500.0     589.5284056061477
 1550.0     593.6176141241089
 1600.0     597.5769989210260
 1650.0     601.4145498160551
 1700.0     605.1375410460990
 1750.0     608.7526142424085
 1800.0     612.2658497186156
 1850.0     615.6828279919706
 1900.0     619.0086831006524
 1950.0     622.2481489958951
 2000.0     625.4056000610368
 2050.0     628.4850866276345
 2100.0     631.4903662120749
 2150.0     634.4249310769584
 2200.0     637.2920326241423
 2250.0     640.0947030468092
 2300.0     642.8357746019170
 2350.0     645.5178968102224
 2400.0     648.1435518455891
 2450.0     650.7150683376775
 2500.0     653.2346337803066
 2550.0     655.7043057111687
 2600.0     658.1260218061053
 2650.0     660.5016090118895
 2700.0     662.8327918254820
 2750.0     665.1211998136666
 2800.0     667.3683744551894
 2850.0     669.5757753773462
 2900.0     671.7447860502810
 2950.0     673.8767189945236
 3000.0     675.9728205509090
 3050.0     678.0342752562684
 3100.0     680.0622098633738
 3150.0     682.0576970392347
 3200.0     684.0217587722185
 3250.0     685.9553695150125
 3300.0     687.8594590876689
 3350.0     689.7349153623708
 3400.0     691.5825867492914
 3450.0     693.4032845010439
 3500.0     695.1977848512876
 3550.0     696.9668310017014
 3600.0     698.7111349699506
 3650.0     700.4313793102550
 3700.0     702.1282187168842
 3750.0     703.8022815200146
 3800.0     705.4541710825600
 3850.0     707.0844671056703
 3900.0     708.6937268500169
 3950.0     710.2824862792851
 4000.0     711.8512611317370
 4050.0     713.4005479252359
 4100.0     714.9308249005945
 4150.0     716.4425529077553
 4200.0     717.9361762388947
 4250.0     719.4121234122508
 4300.0     720.8708079100923
 4350.0     722.3126288740469
 4400.0     723.7379717606747
 4450.0     725.1472089600110
 4500.0     726.5407003795766
 4550.0     727.9187939960799
 4600.0     729.2818263769989
 4650.0     730.6301231739544
 4700.0     731.9639995897313
 4750.0     733.2837608205313
 4800.0     734.5897024751313
 4850.0     735.8821109722652
 4900.0     737.1612639176998
 4950.0     738.4274304620809
 5000.0     739.6808716408833
# V = 153.052400 (a.u.^3)
    5.0       3.0447764432250
   50.0     166.9506590275932
  100.0     250.8278064491849
  150.0     300.9104816226203
  200.0     336.6185891873495
  250.0     364.3692287218269
  300.0     387.0647961115516
  350.0     406.2640503701334
  400.0     422.9008350398538
  450.0     437.5788283804333
  500.0     450.7108113509478
  550.0     462.5914963442635
  600.0     473.4386437266211
  650.0     483.4177111619994
  700.0     492.6573638810459
  750.0     501.2596317252074
  800.0     509.3067871488876
  850.0     516.8661375459947
  900.0     523.9934475107742
  950.0     530.7354356656714
 1000.0     537.1316309690386
 1050.0     543.2157760690937
 1100.0     549.0169041688857
 1150.0     554.5601765030076
 1200.0     559.8675415700200
 1250.0     564.9582597877421
 1300.0     569.8493252468766
 1350.0     574.5558078684571
 1400.0     579.0911333363679
 1450.0     583.4673139082818
 1500.0     587.6951400982173
 1550.0     591.7843409298533
 1600.0     595.7437187483184
 1650.0     599.5812632883276
 1700.0     603.3042487145691
 1750.0     606.9193165962465
 1800.0     610.4325471934360
 1850.0     613.8495209769731
 1900.0     617.1753719446364
 1950.0     620.4148340123720
 2000.0     623.5722815325921
 2050.0     626.6517648096417
 2100.0     629.6570413359093
 2150.0     632.5916033527278
 2200.0     635.4587022431041
 2250.0     638.2613701834144
 2300.0     641.0024394156405
