# T (K)    Entropy (J K^-1 mol^-1)
# P = 600.000000 (GPa)
    0.0      -8.2228362651482
   50.0     161.0313169039926
  100.0     252.7892166773761
  150.0     300.4479200163750
  200.0     336.7658526047114
  250.0     364.3707219143596
  300.0     387.0874759011979
  350.0     406.3704280690449
  400.0     423.0916123577582
  450.0     437.6222661481532
  500.0     450.8269003814948
  550.0     462.8253157047587
  600.0     473.6551919523809
  650.0     483.6768878009621
  700.0     492.9840118793238
  750.0     501.4504018548495
  800.0     509.5235828516149
  850.0     517.2643045200213
  900.0     524.3754147473210
  950.0     531.1868176811012
 1000.0     537.6099930161541
 1050.0     543.6991276967894
 1100.0     549.5376908606951
 1150.0     555.1159496700515
 1200.0     560.4334192354057
 1250.0     565.6391489948202
 1300.0     570.5204136008406
 1350.0     575.3337813935717
 1400.0     580.0886140769254
 1450.0     583.6974590915923
 1500.0     588.3568458286046
 1550.0     592.9249475641327
 1600.0     596.4434515738708
 1650.0     600.4896259198756
 1700.0     604.1985639086158
 1750.0     607.8561349230596
 1800.0     611.3982250211012
 1850.0     614.8510205306598
 1900.0     618.1976831367689
 1950.0     621.5123202927398
 2000.0     624.8486309973538
 2050.0     627.8632782139114
 2100.0     630.8333906051538
 2150.0     633.7456420857191
 2200.0     636.6828093336856
 2250.0     639.5698662455549
 2300.0     642.2007429474420
 2350.0     645.0274859561359
 2400.0     647.6693699189906
 2450.0     650.2368609345336
 2500.0     652.8446706531540
 2550.0     655.4008416279689
 2600.0     657.7091898641382
 2650.0     660.0172683688301
 2700.0     662.6114865151425
 2750.0     664.9062468222318
 2800.0     667.3445826335839
 2850.0     669.5530786252414
 2900.0     671.5351566480982
 2950.0     673.5730023896253
 3000.0     675.7213984306327
 3050.0     677.9958764855270
 3100.0     680.0964968468334
 3150.0     682.1074472045144
 3200.0     684.0134867012084
 3250.0     686.0837243486221
 3300.0     688.0191128442578
 3350.0     689.8523731873779
 3400.0     691.7650516062789
 3450.0     693.5878833852929
 3500.0     695.5786717970202
 3550.0     697.2079794342668
 3600.0     698.8978485963222
 3650.0     700.9258403911145
 3700.0     702.4619617222151
 3750.0     704.1142238117719
 3800.0     705.9815459450172
 3850.0     707.6431958403347
 3900.0     709.2053554432456
 3950.0     710.8030380509783
 4000.0     712.3829087249135
 4050.0     714.0418376327034
 4100.0     715.5223109805158
 4150.0     716.9514542597685
 4200.0     718.5464375971114
 4250.0     720.2334863086941
 4300.0     721.7311996660457
 4350.0     722.9950671856036
 4400.0     724.5546249958492
 4450.0     726.0900474633039
 4500.0     727.4638606651998
 4550.0     728.8053860397474
 4600.0     730.1831405481108
 4650.0     731.6692331387771
 4700.0     733.0013295465966
 4750.0     734.3459171240467
 4800.0     735.7016786148783
 4850.0     736.9890427779699
 4900.0     738.3134663820298
 4950.0     739.6553084962181
 5000.0     740.9930428765924
# P = 602.000000 (GPa)
    0.0      -8.2691888168754
   50.0     160.9110824969432
  100.0     252.6505748131912
  150.0     300.3111465573294
  200.0     336.6274679624425
  250.0     364.2336203809748
  300.0     386.9473429515166
  350.0     406.2303880128123
  400.0     422.9553925238808
  450.0     437.4802746104732
  500.0     450.6851059376247
  550.0     462.6882500457340
  600.0     473.5167174050200
  650.0     483.5388396883905
  700.0     492.8457313695464
  750.0     501.3122489111255
  800.0     509.3851008352154
  850.0     517.1253178651885
  900.0     524.2364018190831
  950.0     531.0476382147884
 1000.0     537.4708891633361
 1050.0     543.5599120036335
 1100.0     549.3982264016348
 1150.0     554.9767111646490
 1200.0     560.2937877327752
 1250.0     565.5006053736231
 1300.0     570.3839708013589
 1350.0     575.1880478473440
 1400.0     579.9438332419296
 1450.0     583.5556872349140
 1500.0     588.2236127645724
 1550.0     592.7916494911973
 1600.0     596.2992897234569
 1650.0     600.3525682387884
 1700.0     604.0603593946191
 1750.0     607.7157141728399
 1800.0     611.2582977709865
 1850.0     614.7109153844141
 1900.0     618.0583454517413
 1950.0     621.3698983879760
 2000.0     624.7180928844335
 2050.0     627.7327966659263
 2100.0     630.6912376298696
 2150.0     633.6043348105894
 2200.0     636.5358482871234
 2250.0     639.4315918077274
 2300.0     642.0687003983777
 2350.0     644.8881688682419
 2400.0     647.5284137043483
 2450.0     650.0976592975005
 2500.0     652.7021500685496
 2550.0     655.2492868878441
 2600.0     657.5716338054904
 2650.0     659.8984145265972
 2700.0     662.4132784349298
 2750.0     664.9719677373462
 2800.0     667.4147503612753
 2850.0     669.3488296589522
 2900.0     671.4700447705845
 2950.0     673.2201277782455
 3000.0     675.3724405355795
 3050.0     677.9093382880641
 3100.0     679.9384834871738
 3150.0     681.9709019846410
 3200.0     683.8696798291700
 3250.0     685.9442991453577
 3300.0     687.8806396347295
 3350.0     689.7120543562153
 3400.0     691.6187693883932
 3450.0     693.4472917752266
 3500.0     695.4323111907755
 3550.0     697.0653078613412
 3600.0     698.7610554078220
 3650.0     700.7805140074144
 3700.0     702.3265639809965
 3750.0     703.9760573617693
 3800.0     705.8369961879268
 3850.0     707.4922469278143
 3900.0     709.0597324089293
 3950.0     710.6666818941547
 4000.0     712.2455102457740
 4050.0     713.8957450092500
 4100.0     715.3831328902189
 4150.0     716.8191777414153
 4200.0     718.4000465337016
 4250.0     720.0919215562934
 4300.0     721.5892364215156
 4350.0     722.8494916994024
 4400.0     724.4144909411290
 4450.0     725.9426435345564
 4500.0     727.3138295040472
 4550.0     728.6697615765573
 4600.0     730.0456328997880
 4650.0     731.5214641890057
 4700.0     732.8711880031977
 4750.0     734.2006889823396
 4800.0     735.5514074821631
 4850.0     736.8611895278702
 4900.0     738.1728743640082
 4950.0     739.5010071261606
 5000.0     740.8271508697197
# P = 604.000000 (GPa)
    0.0      -8.3152299098674
   50.0     160.7912049986451
  100.0     252.5122382044429
  150.0     300.1747496823248
  200.0     336.4894735418148
  250.0     364.0967766251276
  300.0     386.8077413069509
  350.0     406.0908769939935
  400.0     422.8193247756241
  450.0     437.3389346511071
  500.0     450.5439443947458
  550.0     462.5513792573875
  600.0     473.3785549269285
  650.0     483.4010624792022
  700.0     492.7077496103541
  750.0     501.1743323681512
  800.0     509.2468789352235
  850.0     516.9866736637925
  900.0     524.0977146484975
  950.0     530.9088040488424
 1000.0     537.3321181687577
 1050.0     543.4210262816692
 1100.0     549.2591083190980
 1150.0     554.8377975299799
 1200.0     560.1545011958142
 1250.0     565.3623403334216
 1300.0     570.2476396552623
 1350.0     575.0431220657194
 1400.0     579.7998251562396
 1450.0     583.4142634837008
 1500.0     588.0902211800664
 1550.0     592.6582993497900
 1600.0     596.1557287996944
 1650.0     600.2156538754966
 1700.0     603.9223661131574
 1750.0     607.5756537078254
 1800.0     611.1186927485167
 1850.0     614.5711410022319
 1900.0     617.9192843338972
 1950.0     621.2279516595737
 2000.0     624.5873128984501
 2050.0     627.6020530029784
 2100.0     630.5495398248944
 2150.0     633.4634114947714
 2200.0     636.3896134696786
 2250.0     639.2935271462529
 2300.0     641.9364696205470
 2350.0     644.7491181187340
 2400.0     647.3878125310323
 2450.0     649.9587018879722
 2500.0     652.5600702082689
 2550.0     655.0986845353150
 2600.0     657.4342054811535
 2650.0     659.7786661318411
 2700.0     662.2184837597433
 2750.0     665.0269730159772
 2800.0     667.4741110912794
 2850.0     669.1484647329004
 2900.0     671.4014553084947
 2950.0     672.8786249295382
 3000.0     675.0345487521967
 3050.0     677.8203000951354
 3100.0     679.7816761487145
 3150.0     681.8344451221715
 3200.0     683.7263173490902
 3250.0     685.8051105089678
 3300.0     687.7423553528967
 3350.0     689.5720020392258
 3400.0     691.4730445848149
 3450.0     693.3069756667935
 3500.0     695.2865205885347
 3550.0     696.9230033170977
 3600.0     698.6243319019555
 3650.0     700.6357011985334
 3700.0     702.1911849678481
 3750.0     703.8380297562234
 3800.0     705.6929052777897
 3850.0     707.3420394789557
 3900.0     708.9145934549466
 3950.0     710.5303857836475
 4000.0     712.1082186717526
 4050.0     713.7501504028669
 4100.0     715.2441371994627
 4150.0     716.6867645312800
 4200.0     718.2541418847167
 4250.0     719.9506572498874
 4300.0     721.4475883398134
 4350.0     722.7043531460748
 4400.0     724.2745755034339
 4450.0     725.7957725555164
 4500.0     727.1644281812727
 4550.0     728.5341588895049
 4600.0     729.9082227083840
 4650.0     731.3742233867913
 4700.0     732.7408565866740
 4750.0     734.0558746387661
 4800.0     735.4017543616646
 4850.0     736.7330525781103
 4900.0     738.0325085931008
 4950.0     739.3474719983498
 5000.0     740.6624749632124
# P = 606.000000 (GPa)
    0.0      -8.3609638355685
   50.0     160.6716827519215
  100.0     252.3742073169052
  150.0     300.0387276284206
  200.0     336.3518672300151
  250.0     363.9601919478313
  300.0     386.6686653340163
  350.0     405.9518896059532
  400.0     422.6834132439841
  450.0     437.1982375518466
  500.0     450.4034075311709
  550.0     462.4147062848574
  600.0     473.2407046365722
  650.0     483.2635573304308
  700.0     492.5700668735044
  750.0     501.0366539885991
  800.0     509.1089183057709
  850.0     516.8483711180431
  900.0     523.9593529866976
  950.0     530.7703143345968
 1000.0     537.1936793602276
 1050.0     543.2824699213187
 1100.0     549.1203356296699
 1150.0     554.6992084570001
 1200.0     560.0155588452762
 1250.0     565.2243544992493
 1300.0     570.1114246655294
 1350.0     574.8989921489562
 1400.0     579.6565788820940
 1450.0     583.2731871134168
 1500.0     587.9566819150824
 1550.0     592.5249053532062
 1600.0     596.0127618626548
 1650.0     600.0788864788231
 1700.0     603.7845862766624
 1750.0     607.4359523144769
 1800.0     610.9794094534761
 1850.0     614.4316966612791
 1900.0     617.7805002581135
 1950.0     621.0864762657427
 2000.0     624.4563032242722
 2050.0     627.4710596901211
 2100.0     630.4082935885750
 2150.0     633.3228701433000
 2200.0     636.2440954290028
 2250.0     639.1556742599198
 2300.0     641.8040612494162
 2350.0     644.6103342553938
 2400.0     647.2475650123740
 2450.0     649.8199896832557
 2500.0     652.4184279581588
 2550.0     654.9490205978749
 2600.0     657.2969086380659
 2650.0     659.6580475438445
 2700.0     662.0270391830825
 2750.0     665.0714849228067
 2800.0     667.5228877214007
 2850.0     668.9519100699379
 2900.0     671.3294621941105
 2950.0     672.5482723950507
 3000.0     674.7075085119352
 3050.0     677.7288173799361
 3100.0     679.6260565850102
 3150.0     681.6980805776060
 3200.0     683.5833960290486
 3250.0     685.6661593918751
 3300.0     687.6042619472076
 3350.0     689.4322167339094
 3400.0     691.3278718131063
 3450.0     693.1669351956631
 3500.0     695.1412942820904
 3550.0     696.7810641193093
 3600.0     698.4876824500184
 3650.0     700.4913975372652
 3700.0     702.0558298749105
 3750.0     703.7001437804879
 3800.0     705.5492697046691
 3850.0     707.1925646083187
 3900.0     708.7699348053609
 3950.0     710.3941540734556
 4000.0     711.9710373275927
 4050.0     713.6050496269497
 4100.0     715.1053257699211
 4150.0     716.5542227058822
 4200.0     718.1087197960704
 4250.0     719.8096929480030
 4300.0     721.3062546986995
 4350.0     722.5596485060859
 4400.0     724.1348798720709
 4450.0     725.6494298775472
 4500.0     727.0156501527069
 4550.0     728.3985827359717
 4600.0     729.7709132876751
 4650.0     731.2275061108763
 4700.0     732.6103439695556
 4750.0     733.9114715837741
 4800.0     735.2527128936257
 4850.0     736.6046420727820
 4900.0     737.8923698928563
 4950.0     739.1946942794303
 5000.0     740.4989984606449
# P = 608.000000 (GPa)
    0.0      -8.4063945608663
   50.0     160.5525139682241
  100.0     252.2364824163527
  150.0     299.9030785877910
  200.0     336.2146469482176
  250.0     363.8238678270631
  300.0     386.5301095804352
  350.0     405.8134203005828
  400.0     422.5476618847991
  450.0     437.0581746560008
  500.0     450.2634872784348
  550.0     462.2782342655034
  600.0     473.1031666084644
  650.0     483.1263251813051
  700.0     492.4326833815463
  750.0     500.8992155294076
  800.0     508.9712202632790
  850.0     516.7104095670663
  900.0     523.8213164125033
  950.0     530.6321681000944
 1000.0     537.0555720622092
 1050.0     543.1442423894974
 1100.0     548.9819075622629
 1150.0     554.5609436018284
 1200.0     559.8769597131904
 1250.0     565.0866484521522
 1300.0     569.9753303024336
 1350.0     574.7556464647225
 1400.0     579.5140836794881
 1450.0     583.1324572285644
 1500.0     587.8230056187128
 1550.0     592.3914756422446
 1600.0     595.8703821006649
 1650.0     599.9422698562672
 1700.0     603.6470220297083
 1750.0     607.2966086115340
 1800.0     610.8404473613241
 1850.0     614.2925816510763
 1900.0     617.6419938542608
 1950.0     620.9454684871100
 2000.0     624.3250757903606
 2050.0     627.3398290015963
 2100.0     630.2674953365198
 2150.0     633.1827088422267
 2200.0     636.0992849625585
 2250.0     639.0180350862317
 2300.0     641.6714856735441
 2350.0     644.4718177978664
 2400.0     647.1076697750735
 2450.0     649.6815238006513
 2500.0     652.2772203142317
 2550.0     654.8002810571641
 2600.0     657.1597469136630
 2650.0     659.5365829319990
 2700.0     661.8388819491535
 2750.0     665.1057241890949
 2800.0     667.5613015875243
 2850.0     668.7590926075104
 2900.0     671.2541388387630
 2950.0     672.2288500509569
 3000.0     674.3911067932812
 3050.0     677.6349453160589
 3100.0     679.4716065200581
 3150.0     681.5618122273044
 3200.0     683.4409126563920
 3250.0     685.5274468197215
 3300.0     687.4663614904626
 3350.0     689.2926988461546
 3400.0     691.1832456123290
 3450.0     693.0271704901377
 3500.0     694.9966266334940
 3550.0     696.6394887517112
 3600.0     698.3511113870815
 3650.0     700.3475984852334
 3700.0     701.9205038309883
 3750.0     703.5624021892173
 3800.0     705.4060860958710
 3850.0     707.0438135875776
 3900.0     708.6257525914461
 3950.0     710.2579910156047
 4000.0     711.8339695068139
 4050.0     713.4604385747581
 4100.0     714.9667005897644
 4150.0     716.4215602338583
 4200.0     717.9637763212253
 4250.0     719.6690282085502
 4300.0     721.1652347841277
 4350.0     722.4153749106638
 4400.0     723.9954052682955
 4450.0     725.5036107468102
 4500.0     726.8674888729216
 4550.0     728.2630378173582
 4600.0     729.6337079962059
 4650.0     731.0813078862667
 4700.0     732.4796586946723
 4750.0     733.7674772882073
 4800.0     735.1042768186771
 4850.0     736.4759681291347
 4900.0     737.7524591968348
 4950.0     739.0426651915697
 5000.0     740.3367042437587
# P = 610.000000 (GPa)
    0.0      -8.4515262081434
   50.0     160.4336967799007
  100.0     252.0990637306760
  150.0     299.7678008443354
  200.0     336.0778108681412
  250.0     363.6878057365226
  300.0     386.3920684090515
  350.0     405.6754634958450
  400.0     422.4120746253164
  450.0     436.9187375424464
  500.0     450.1241758086517
  550.0     462.1419661528443
  600.0     472.9659407485572
  650.0     482.9893669452721
  700.0     492.2955994097223
  750.0     500.7620189516942
  800.0     508.8337861334119
  850.0     516.5727881406333
  900.0     523.6836044343355
  950.0     530.4943643824228
 1000.0     536.9177957458611
 1050.0     543.0063433278129
 1100.0     548.8438232145260
 1150.0     554.4230024621045
 1200.0     559.7387028248137
 1250.0     564.9492228102057
 1300.0     569.8393612051240
 1350.0     574.6130734911919
 1400.0     579.3723286941481
 1450.0     582.9920728848679
 1500.0     587.6892028505007
 1550.0     592.2580184235571
 1600.0     595.7285829129801
 1650.0     599.8058076522115
 1700.0     603.5096753563857
 1750.0     607.1576212161973
 1800.0     610.7018059925568
 1850.0     614.1537954590877
 1900.0     617.5037657580724
 1950.0     620.8049244458238
 2000.0     624.1936423790988
 2050.0     627.2083731092420
 2100.0     630.1271416271742
 2150.0     633.0429258462106
 2200.0     635.9551728207551
