# T (K)      Entropy (J K^-1 mol^-1)
# V = 157.405100 (a.u.^3)
    0.0      -6.8789252314496
   50.0     164.2829847499907
  100.0     256.4642457468311
  150.0     304.0694959813593
  200.0     340.3998601087796
  250.0     367.8839738507743
  300.0     390.7496967796606
  350.0     409.9917177186467
  400.0     426.4401552817128
  450.0     441.2605125727722
  500.0     454.4157544461659
  550.0     466.1049322530410
  600.0     476.9784522336142
  650.0     486.9416995165990
  700.0     496.2300985344627
  750.0     504.6402123609514
  800.0     512.6950265725428
  850.0     520.4395657723999
  900.0     527.5113036690691
  950.0     534.2978039291195
 1000.0     540.6811054846850
 1050.0     546.7373869782240
 1100.0     552.5512033918906
 1150.0     558.0845163704890
 1200.0     563.3807009170388
 1250.0     568.5127140720997
 1300.0     573.2790918517499
 1350.0     578.4097930507520
 1400.0     583.0993789191155
 1450.0     586.5047925095943
 1500.0     590.8603563753313
 1550.0     595.4212680081555
 1600.0     599.2567161539195
 1650.0     603.0367397605419
 1700.0     606.7494887874495
 1750.0     610.4438318187240
 1800.0     613.9346826383543
 1850.0     617.3578172735045
 1900.0     620.6481793406113
 1950.0     624.0136052212425
 2000.0     626.9972867191236
 2050.0     629.9787218918614
 2100.0     633.2331316931362
 2150.0     636.0822126692944
 2200.0     639.1242767609667
 2250.0     641.7615502834706
 2300.0     644.2066254007109
 2350.0     647.1808865936063
 2400.0     649.8251400285353
 2450.0     652.3181235215311
 2500.0     654.9655824130126
 2550.0     657.6728731091509
 2600.0     659.6486252831733
 2650.0     661.5532456789914
 2700.0     665.6843606291333
 2750.0     662.7719128254496
 2800.0     665.2043771388520
 2850.0     672.7874807522405
 2900.0     672.1273119566894
 2950.0     679.2545485552259
 3000.0     681.1954463857709
 3050.0     678.7258969475939
 3100.0     682.0742651359934
 3150.0     683.6686225872213
 3200.0     685.6642818602594
 3250.0     687.6317299329095
 3300.0     689.5222911652925
 3350.0     691.3478400933077
 3400.0     693.3046102418141
 3450.0     695.0191030549427
 3500.0     697.0447390600735
 3550.0     698.5953881528517
 3600.0     700.1768041757315
 3650.0     702.2750768535732
 3700.0     703.6640094726746
 3750.0     705.3147161885526
 3800.0     707.2184237771025
 3850.0     708.9040898497527
 3900.0     710.3773223859074
 3950.0     711.8512949810882
 4000.0     713.4126071048458
 4050.0     715.1112493307465
 4100.0     716.5017588232329
 4150.0     717.8415599443744
 4200.0     719.5163927378927
 4250.0     721.1327589349553
 4300.0     722.5984286485342
 4350.0     723.8524799272533
 4400.0     725.3421209367634
 4450.0     726.8877592510606
 4500.0     728.2396256066385
 4550.0     729.4656918132457
 4600.0     730.8226595654639
 4650.0     732.3262541660479
 4700.0     733.5448659534961
 4750.0     734.9213618389431
 4800.0     736.2667999099473
 4850.0     737.4299507793918
 4900.0     738.7739865031716
 4950.0     740.1254003538514
 5000.0     741.4555364624321
# V = 157.191743 (a.u.^3)
    0.0      -6.9472832637321
   50.0     164.1243639606922
  100.0     256.2858277639102
  150.0     303.8903102600949
  200.0     340.2182467570671
  250.0     367.7094730401969
  300.0     390.5604089889109
  350.0     409.8028544556651
  400.0     426.2711045214353
  450.0     441.0649243021398
  500.0     454.2213484960302
  550.0     465.9334239484151
  600.0     476.8006525308772
  650.0     486.7660103254053
  700.0     496.0531097057297
  750.0     504.4656208952330
  800.0     512.5191797938746
  850.0     520.2601759375485
  900.0     527.3325418475240
  950.0     534.1182206452644
 1000.0     540.5021023192886
 1050.0     546.5583985749913
 1100.0     552.3714300135024
 1150.0     557.9057710664232
 1200.0     563.2009011200120
 1250.0     568.3363972916808
 1300.0     573.1103930889008
 1350.0     578.2087072575683
 1400.0     582.9007657126264
 1450.0     586.3230509541352
 1500.0     590.7034487561000
 1550.0     595.2611375105006
 1600.0     599.0645345969991
 1650.0     602.8662716584674
 1700.0     606.5756506982125
 1750.0     610.2632298315467
 1800.0     613.7557922918755
 1850.0     617.1785420957360
 1900.0     620.4712389540224
 1950.0     623.8280343904498
 2000.0     626.8439751688336
 2050.0     629.8257858014833
 2100.0     633.0481349753160
 2150.0     635.9001771934873
 2200.0     638.9275367081733
 2250.0     641.5874799122354
 2300.0     644.0491311213851
 2350.0     647.0041029344176
 2400.0     649.6444632402374
 2450.0     652.1420251720104
 2500.0     654.7812877045183
 2550.0     657.4673759372710
 2600.0     659.4770331980015
 2650.0     661.4252546532316
 2700.0     665.3721441739714
 2750.0     663.0683535205965
 2800.0     665.5038943924824
 2850.0     672.4525518244641
 2900.0     672.1068100359856
 2950.0     678.6017657896274
 3000.0     680.5574568875902
 3050.0     678.6668211134314
 3100.0     681.8575262246329
 3150.0     683.4991805084264
 3200.0     685.4794906227074
 3250.0     687.4558744309282
 3300.0     689.3482386016707
 3350.0     691.1703551670765
 3400.0     693.1157593408730
 3450.0     694.8412343529609
 3500.0     696.8560582322990
 3550.0     698.4138880208416
 3600.0     700.0065987104086
 3650.0     702.0886574264869
 3700.0     703.4959761641595
 3750.0     705.1417558614995
 3800.0     707.0338321691954
 3850.0     708.7087849530203
 3900.0     710.1915472159282
 3950.0     711.6815672806326
 4000.0     713.2408997563330
 4050.0     714.9251192655299
 4100.0     716.3271105005476
 4150.0     717.6783748419998
 4200.0     719.3301073312064
 4250.0     720.9541466915787
 4300.0     722.4193009647133
 4350.0     723.6679634475380
 4400.0     725.1660714703291
 4450.0     726.7005506044746
 4500.0     728.0487051345984
 4550.0     729.2966723635312
 4600.0     730.6507444040350
 4650.0     732.1391385574203
 4700.0     733.3835076229502
 4750.0     734.7382155137855
 4800.0     736.0763186865821
 4850.0     737.2716741121724
 4900.0     738.5974082035907
 4950.0     739.9297843073770
 5000.0     741.2443504912445
# V = 156.978387 (a.u.^3)
    0.0      -7.0152775054939
   50.0     163.9656972195004
  100.0     256.1071122065798
  150.0     303.7110182204567
  200.0     340.0365499119452
  250.0     367.5345784727930
  300.0     390.3713656132164
  350.0     409.6142279565331
  400.0     426.1014179464318
  450.0     440.8698436177198
  500.0     454.0274048879635
  550.0     465.7613773040308
  600.0     476.6225842976141
  650.0     486.5899609264293
  700.0     495.8758253040917
  750.0     504.2905949141763
  800.0     512.3429531093609
  850.0     520.0805925633915
  900.0     527.1535492617052
  950.0     533.9384503802155
 1000.0     540.3228855434115
 1050.0     546.3791906430566
 1100.0     552.1914729939886
 1150.0     557.7267972155325
 1200.0     563.0209152006187
 1250.0     568.1597565063387
 1300.0     572.9410255474677
 1350.0     578.0083986177807
 1400.0     582.7028563874671
 1450.0     586.1411124556123
 1500.0     590.5453253898472
 1550.0     595.1000200366497
 1600.0     598.8726897363682
 1650.0     602.6952160555566
 1700.0     606.4013650480675
 1750.0     610.0824806002823
 1800.0     613.5766785446314
 1850.0     616.9990611305504
 1900.0     620.2939878314428
 1950.0     623.6425406839527
 2000.0     626.6893505596565
 2050.0     629.6715017413384
 2100.0     632.8631873685698
 2150.0     635.7180496643657
 2200.0     638.7313574652119
 2250.0     641.4129849903934
 2300.0     643.8904572859096
 2350.0     646.8270083452431
 2400.0     649.4636430625393
 2450.0     651.9655756163741
 2500.0     654.5970116807491
 2550.0     657.2628358304294
 2600.0     659.3048847865266
 2650.0     661.2947837547769
 2700.0     665.0655397519084
 2750.0     663.3438220472344
 2800.0     665.7823532543223
 2850.0     672.1242643261943
 2900.0     672.0791858993308
 2950.0     677.9693874272326
 3000.0     679.9392197034646
 3050.0     678.6023046448595
 3100.0     681.6422250472823
 3150.0     683.3291116093185
 3200.0     685.2947236083298
 3250.0     687.2796743870861
 3300.0     689.1737631108547
 3350.0     690.9925820234057
 3400.0     692.9271194938092
 3450.0     694.6630944131555
 3500.0     696.6676057907912
 3550.0     698.2322720703469
 3600.0     699.8357709777779
 3650.0     701.9023710098671
 3700.0     703.3272430395323
 3750.0     704.9682985597702
 3800.0     706.8492815844917
 3850.0     708.5139824576758
 3900.0     710.0058475002097
 3950.0     711.5112179992420
 4000.0     713.0686527335261
 4050.0     714.7390850980485
 4100.0     716.1520483323059
 4150.0     717.5142606577778
 4200.0     719.1438995613493
 4250.0     720.7753164399689
 4300.0     722.2399783971748
 4350.0     723.4834427621917
 4400.0     724.9896740975511
 4450.0     726.5134898216536
 4500.0     727.8580807236405
 4550.0     729.1269985362522
 4600.0     730.4782956204422
 4650.0     731.9521587080187
 4700.0     733.2211794362433
 4750.0     734.5550269056162
 4800.0     735.8861114018786
 4850.0     737.1122918172200
 4900.0     738.4205068196467
 4950.0     739.7346625714159
 5000.0     741.0343285663478
# V = 156.765030 (a.u.^3)
    0.0      -7.0829107608655
   50.0     163.8069850372714
  100.0     255.9281020798446
  150.0     303.5316205272313
  200.0     339.8547699192384
  250.0     367.3592942214570
  300.0     390.1825630234735
  350.0     409.4258346925026
  400.0     425.9311025433515
  450.0     440.6752637016568
  500.0     453.8339173554735
  550.0     465.5887981201446
  600.0     476.4442500752937
  650.0     486.4135549673107
  700.0     495.6982482052318
  750.0     504.1151389350475
  800.0     512.1663503774669
  850.0     519.9008172918408
  900.0     526.9743279932877
  950.0     533.7584946951870
 1000.0     540.1434570375437
 1050.0     546.1997651299102
 1100.0     552.0113338493907
 1150.0     557.5475968750803
 1200.0     562.8407447010682
 1250.0     567.9827949345183
 1300.0     572.7709965920878
 1350.0     577.8088570908707
 1400.0     582.5056418208435
 1450.0     585.9589785922025
 1500.0     590.3860002055276
 1550.0     594.9379268440920
 1600.0     598.6811767919789
 1650.0     602.5235793403334
 1700.0     606.2266365308078
 1750.0     609.9015852022860
 1800.0     613.3973433906949
 1850.0     616.8193761605718
 1900.0     620.1164290180241
 1950.0     623.4571224811191
 2000.0     626.5334280486144
 2050.0     629.5158852718549
 2100.0     632.6782875874587
 2150.0     635.5358304870897
 2200.0     638.5357315759805
 2250.0     641.2380699456662
 2300.0     643.7306173950714
 2350.0     646.6496058794415
