# V (a.u.^3)  Helmholtz Free Energy (Ry.)
# T= 0.000000 K
 157.4051      0.420423074
 155.1781      0.506414126
 153.0524      0.591266351
 151.0279      0.675692559
 149.0709      0.759470299
 147.2489      0.842569862
 145.4942      0.925026067
 143.7734      1.006899091
 142.1539      1.088162131
 140.6017      1.168849777
 139.1171      1.248949055
 137.6662      1.328613302
 136.2828      1.407550670
# T= 50.000000 K
 157.4051      0.417175466
 155.1781      0.503214080
 153.0524      0.588110634
 151.0279      0.672578693
 149.0709      0.756396065
 147.2489      0.839533455
 145.4942      0.922025888
 143.7734      1.003933690
 142.1539      1.085229971
 140.6017      1.165949308
 139.1171      1.246078910
 137.6662      1.325772353
 136.2828      1.404737771
# T= 100.000000 K
 157.4051      0.408906626
 155.1781      0.495017542
 153.0524      0.579981912
 151.0279      0.664514385
 149.0709      0.748393095
 147.2489      0.831589312
 145.4942      0.914138348
 143.7734      0.996100732
 142.1539      1.077449442
 140.6017      1.158219025
 139.1171      1.238396941
 137.6662      1.318137108
 136.2828      1.397147606
# T= 150.000000 K
 157.4051      0.398193538
 155.1781      0.484378118
 153.0524      0.569411634
 151.0279      0.654009832
 149.0709      0.737951169
 147.2489      0.821207487
 145.4942      0.903814385
 143.7734      0.985832598
 142.1539      1.067234968
 140.6017      1.148056010
 139.1171      1.228283438
 137.6662      1.308071517
 136.2828      1.387128268
# T= 200.000000 K
 157.4051      0.385876782
 155.1781      0.472135375
 153.0524      0.557238377
 151.0279      0.641902636
 149.0709      0.725906931
 147.2489      0.809223677
 145.4942      0.891888761
 143.7734      0.973963123
 142.1539      1.055419470
 140.6017      1.136292285
 139.1171      1.216569533
 137.6662      1.296405830
 136.2828      1.375509136
# T= 250.000000 K
 157.4051      0.372363976
 155.1781      0.458696723
 153.0524      0.543869347
 151.0279      0.628599802
 149.0709      0.712667189
 147.2489      0.796044494
 145.4942      0.878767895
 143.7734      0.960898535
 142.1539      1.042408987
 140.6017      1.123333700
 139.1171      1.203660894
 137.6662      1.283545532
 136.2828      1.362695514
# T= 300.000000 K
 157.4051      0.357896791
 155.1781      0.444303761
 153.0524      0.529546077
 151.0279      0.614342797
 149.0709      0.698473342
 147.2489      0.781911273
 145.4942      0.864693055
 143.7734      0.946880039
 142.1539      1.028444659
 140.6017      1.109421333
 139.1171      1.189798535
 137.6662      1.269731576
