# T (K)               Helmholtz Free Energy (Ry.)
# V= 157.4051000000000
    0.00       0.4211975171582
   50.00       0.4179480769670
  100.00       0.4096817497442
  150.00       0.3989708616648
  200.00       0.3866539289154
  250.00       0.3731437120291
  300.00       0.3586787105232
  350.00       0.3434134231666
  400.00       0.3274715783944
  450.00       0.3109380677428
  500.00       0.2938673371725
  550.00       0.2763288291486
  600.00       0.2583590872981
  650.00       0.2399931857381
  700.00       0.2212612242252
  750.00       0.2021901022480
  800.00       0.1828106223796
  850.00       0.1631251273008
  900.00       0.1431600943298
  950.00       0.1229307891262
 1000.00       0.1024501024228
 1050.00       0.0817334027783
 1100.00       0.0607901351705
 1150.00       0.0396308881932
 1200.00       0.0182654144741
 1250.00      -0.0032983444158
 1300.00      -0.0250523344040
 1350.00      -0.0469885765787
 1400.00      -0.0691233120762
 1450.00      -0.0914062076643
 1500.00      -0.1138288230287
 1550.00      -0.1364341664220
 1600.00      -0.1591925153088
 1650.00      -0.1820986413137
 1700.00      -0.2051448889595
 1750.00      -0.2283345583536
 1800.00      -0.2516599754518
 1850.00      -0.2751173826873
 1900.00      -0.2987028267751
 1950.00      -0.3224136092041
 2000.00      -0.3462497072537
 2050.00      -0.3701926750769
 2100.00      -0.3942594629720
 2150.00      -0.4184418118933
 2200.00      -0.4427333072617
 2250.00      -0.4671398786629
 2300.00      -0.4916350422982
 2350.00      -0.5162370977847
 2400.00      -0.5409479969454
 2450.00      -0.5657538226220
 2500.00      -0.5906585778044
 2550.00      -0.6156649458546
 2600.00      -0.6407659539938
 2650.00      -0.6659312678499
 2700.00      -0.6912065948539
 2750.00      -0.7165689777828
 2800.00      -0.7417797073247
 2850.00      -0.7673249840470
 2900.00      -0.7929434596300
 2950.00      -0.8186420271976
 3000.00      -0.8446388467130
 3050.00      -0.8704951707946
 3100.00      -0.8964337085579
 3150.00      -0.9224490211315
 3200.00      -0.9485364273257
 3250.00      -0.9746983601545
 3300.00      -1.0009350736522
 3350.00      -1.0272412237921
 3400.00      -1.0536195419184
 3450.00      -1.0800700602564
 3500.00      -1.1065860566540
 3550.00      -1.1331809503480
 3600.00      -1.1598215342378
 3650.00      -1.1865431102130
 3700.00      -1.2133280155251
 3750.00      -1.2401677660179
 3800.00      -1.2670783487626
 3850.00      -1.2940571850696
 3900.00      -1.3210962919044
 3950.00      -1.3481901004101
 4000.00      -1.3753426282831
 4050.00      -1.4025560484123
 4100.00      -1.4298323603702
 4150.00      -1.4571550109586
 4200.00      -1.4845383189179
 4250.00      -1.5119835992166
 4300.00      -1.5394889078150
 4350.00      -1.5670451028504
 4400.00      -1.5946516537285
 4450.00      -1.6223190830111
 4500.00      -1.6500402440195
 4550.00      -1.6778115528938
 4600.00      -1.7056294041060
 4650.00      -1.7335043177568
 4700.00      -1.7614312657759
 4750.00      -1.7894046659736
 4800.00      -1.8174341074951
 4850.00      -1.8455081134637
 4900.00      -1.8736308030770
 4950.00      -1.9018050250199
 5000.00      -1.9300303325223
# V= 157.1917434343434
    0.00       0.4291593903255
   50.00       0.4259144979900
  100.00       0.4176548153483
  150.00       0.4069506369954
  200.00       0.3946406700963
  250.00       0.3811372056828
  300.00       0.3666790273300
  350.00       0.3514211479300
  400.00       0.3354860409174
  450.00       0.3189592633554
  500.00       0.3018963520589
  550.00       0.2843645632885
  600.00       0.2664015423529
  650.00       0.2480423620459
  700.00       0.2293171106398
  750.00       0.2102527186874
  800.00       0.1908798595840
  850.00       0.1712011728534
  900.00       0.1512429486089
  950.00       0.1310204752807
 1000.00       0.1105466236919
 1050.00       0.0898367366971
 1100.00       0.0689003060557
 1150.00       0.0477478983619
 1200.00       0.0263892327431
 1250.00       0.0048323094139
 1300.00      -0.0169151327783
 1350.00      -0.0388445593074
 1400.00      -0.0609712298380
 1450.00      -0.0832472383398
 1500.00      -0.1056629926580
 1550.00      -0.1282628839254
 1600.00      -0.1510141163762
 1650.00      -0.1739133968363
 1700.00      -0.1969531812683
 1750.00      -0.2201360237823
 1800.00      -0.2434546129851
 1850.00      -0.2669051895029
 1900.00      -0.2904838375369
 1950.00      -0.3141877933617
 2000.00      -0.3380170962756
 2050.00      -0.3619547714889
 2100.00      -0.3860147858454
 2150.00      -0.4101902557899
 2200.00      -0.4344745341150
 2250.00      -0.4588738050429
 2300.00      -0.4833629270698
 2350.00      -0.5079585671134
 2400.00      -0.5326626058063
 2450.00      -0.5574616314248
 2500.00      -0.5823596051907
 2550.00      -0.6073585456577
 2600.00      -0.6324520217663
 2650.00      -0.6576119149595
 2700.00      -0.6828800158106
 2750.00      -0.7082359030614
 2800.00      -0.7334680267817
 2850.00      -0.7590066365875
 2900.00      -0.7846183076561
