# P (GPa)             V (a.u.^3)
# T= 0.000000 K
547.7378852998946     157.4051000000000
550.1760051942057     157.1917434343434
552.6242263147362     156.9783868686869
555.0825949789570     156.7650303030303
557.5511567693994     156.5516737373737
560.0299579218741     156.3383171717172
562.5190448355116     156.1249606060606
565.0184639257740     155.9116040404041
567.5282620654187     155.6982474747475
570.0484864211787     155.4848909090909
572.5791839964672     155.2715343434344
575.1204023336525     155.0581777777778
577.6721888281152     154.8448212121212
580.2345913488629     154.6314646464647
582.8076581405386     154.4181080808081
585.3914371048141     154.2047515151515
587.9859771396112     153.9913949494949
590.5913265875648     153.7780383838384
593.2075343465968     153.5646818181818
595.8346500495678     153.3513252525253
598.4727220881085     153.1379686868687
601.1218009606739     152.9246121212121
603.7819357938338     152.7112555555556
606.4531766940756     152.4978989898990
609.1355735065758     152.2845424242424
611.8291773667363     152.0711858585859
614.5340386750202     151.8578292929293
617.2502079135506     151.6444727272727
619.9777364953733     151.4311161616162
622.7166753925701     151.2177595959596
625.4670762468342     151.0044030303030
628.2289908141826     150.7910464646465
631.0024709812877     150.5776898989899
633.7875686511544     150.3643333333333
636.5843368373612     150.1509767676768
639.3928273612527     149.9376202020202
642.2130937100347     149.7242636363636
645.0451884563230     149.5109070707071
647.8891651853148     149.2975505050505
650.7450763879658     149.0841939393939
653.6129774623226     148.8708373737374
656.4929212259801     148.6574808080808
659.3849616887670     148.4441242424242
662.2891538240988     148.2307676767677
665.2055518541197     148.0174111111111
668.1342104582696     147.8040545454546
671.0751848386113     147.5906979797980
674.0285305075151     147.3773414141414
676.9943026670436     147.1639848484849
679.9725566662474     146.9506282828283
682.9633492750585     146.7372717171717
685.9667356465438     146.5239151515152
688.9827729262710     146.3105585858586
692.0115174432083     146.0972020202020
695.0530256406486     145.8838454545455
698.1073553664340     145.6704888888889
701.1745628842056     145.4571323232323
704.2547061071332     145.2437757575758
707.3478432913581     145.0304191919192
710.4540311088208     144.8170626262626
713.5733290078964     144.6037060606061
716.7057944607919     144.3903494949495
719.8514861319478     144.1769929292929
723.0104634370755     143.9636363636364
726.1827847139764     143.7502797979798
729.3685093783615     143.5369232323232
732.5676970092622     143.3235666666667
735.7804070550540     143.1102101010101
739.0066994214070     142.8968535353536
742.2466345692789     142.6834969696970
745.5002726656518     142.4701404040404
748.7676741061550     142.2567838383839
752.0488994497384     142.0434272727273
755.3440100066217     141.8300707070707
758.6530669563692     141.6167141414141
761.9761316092009     141.4033575757576
765.3132652100091     141.1900010101010
768.6645307675386     140.9766444444444
772.0299888734030     140.7632878787879
775.4097024056913     140.5499313131313
778.8037335892141     140.3365747474747
782.2121454327163     140.1232181818182
785.6350003569921     139.9098616161616
789.0723619914014     139.6965050505051
792.5242930507137     139.4831484848485
795.9908571316251     139.2697919191919
799.4721182227988     139.0564353535354
802.9681401495786     138.8430787878788
806.4789865739882     138.6297222222222
810.0047222359616     138.4163656565657
813.5454111894902     138.2030090909091
817.1011183378273     137.9896525252525
820.6719082902516     137.7762959595960
824.2578466686234     137.5629393939394
827.8589980495568     137.3495828282828
831.4754282508959     137.1362262626263
835.1072024045421     136.9228696969697
838.7543870796103     136.7095131313131
842.4170477999689     136.4961565656566
