#T (K)      V (a.u.^3)
# P= 600.000000 GPa
    0.0     153.0148534309782
   50.0     153.0395399698217
  100.0     153.0771577256788
  150.0     153.1154451069544
  200.0     153.1542464934060
  250.0     153.1928411899355
  300.0     153.2315853284717
  350.0     153.2712298601170
  400.0     153.3098602404935
  450.0     153.3485596932348
  500.0     153.3890475609469
  550.0     153.4277702025802
  600.0     153.4665258071165
  650.0     153.5052928364303
  700.0     153.5440414225024
  750.0     153.5828438735488
  800.0     153.6215878602880
  850.0     153.6605540317263
  900.0     153.6995357831173
  950.0     153.7385760785119
 1000.0     153.7776177306992
 1050.0     153.8166542075208
 1100.0     153.8557535329425
 1150.0     153.8948742862878
 1200.0     153.9339467648888
 1250.0     153.9730912280226
 1300.0     154.0115780642164
 1350.0     154.0507020516278
 1400.0     154.0924978261153
 1450.0     154.1318588677253
 1500.0     154.1715373036847
 1550.0     154.2073214393960
 1600.0     154.2472685325062
 1650.0     154.2865617944213
 1700.0     154.3249236863842
 1750.0     154.3641871120998
 1800.0     154.4034678115835
 1850.0     154.4427707050939
 1900.0     154.4819973530195
 1950.0     154.5213177966384
 2000.0     154.5605161949510
 2050.0     154.5955514059747
 2100.0     154.6347049894408
 2150.0     154.6741487301505
 2200.0     154.7146415215676
 2250.0     154.7553444608632
 2300.0     154.7924368493965
 2350.0     154.8306008437089
 2400.0     154.8700538703659
 2450.0     154.9093791580527
 2500.0     154.9486322759985
 2550.0     154.9899340031860
 2600.0     155.0316323509428
 2650.0     155.0666196286660
 2700.0     155.1074062134961
 2750.0     155.1457416376761
 2800.0     155.0924295518560
 2850.0     155.1300925292425
 2900.0     155.1683358483023
 2950.0     155.2065292988350
 3000.0     155.3413835536421
 3050.0     155.3804836528952
 3100.0     155.4211851453455
 3150.0     155.4604798816128
 3200.0     155.5004954208984
 3250.0     155.5400934842272
 3300.0     155.5790364370565
 3350.0     155.6180266647025
 3400.0     155.6581536313804
 3450.0     155.6990583597497
 3500.0     155.7381292341485
 3550.0     155.7803462819805
 3600.0     155.8179899415556
 3650.0     155.8584180765623
 3700.0     155.8978201748549
 3750.0     155.9355271037591
 3800.0     155.9756470523405
 3850.0     156.0166752821173
 3900.0     156.0593415895532
 3950.0     156.0980564125088
 4000.0     156.1367696499564
 4050.0     156.1758277552632
 4100.0     156.2173024556247
 4150.0     156.2538880264118
 4200.0     156.2934106114584
 4250.0     156.3342686649627
 4300.0     156.3733385574494
 4350.0     156.4142318523165
 4400.0     156.4541938555811
 4450.0     156.4940498127031
 4500.0     156.5365190849840
 4550.0     156.5766944518706
 4600.0     156.6140950030379
 4650.0     156.6545927360393
 4700.0     156.6944078648336
 4750.0     156.7305998939070
 4800.0     156.7749665841006
 4850.0     156.8123826629689
 4900.0     156.8498969867547
 4950.0     156.8913389402492
 5000.0     156.9363961822659
# P= 602.000000 GPa
    0.0     152.8540777030745
   50.0     152.8786678643705
  100.0     152.9161904404377
  150.0     152.9543902991668
  200.0     152.9930731703450
  250.0     153.0315809750228
  300.0     153.0702295160226
  350.0     153.1096963212368
  400.0     153.1482417208691
  450.0     153.1868591346056
  500.0     153.2271104944793
  550.0     153.2657523193655
  600.0     153.3044277918946
  650.0     153.3431149805648
  700.0     153.3817853130004
  750.0     153.4205072290018
  800.0     153.4591916794460
  850.0     153.4980663842856
  900.0     153.5369567784452
  950.0     153.5759022925815
 1000.0     153.6148479626316
 1050.0     153.6537928176966
 1100.0     153.6927968608737
 1150.0     153.7318220757693
 1200.0     153.7708039025235
 1250.0     153.8098535747839
 1300.0     153.8482888074924
 1350.0     153.8873215623605
 1400.0     153.9288215856706
 1450.0     153.9680789509287
 1500.0     154.0076734211799
 1550.0     154.0435755233123
 1600.0     154.0833845584204
 1650.0     154.1225820785899
 1700.0     154.1609107402174
 1750.0     154.2000819015892
 1800.0     154.2392702193950
 1850.0     154.2784803739275
 1900.0     154.3176201668907
 1950.0     154.3568487281319
 2000.0     154.3959580337258
 2050.0     154.4311554506399
 2100.0     154.4702276014476
 2150.0     154.5095712033659
 2200.0     154.5499093419936
 2250.0     154.5904383184059
 2300.0     154.6275763757866
 2350.0     154.6657226414423
 2400.0     154.7050789048608
 2450.0     154.7443204371677
 2500.0     154.7834916820733
 2550.0     154.8245975778017
 2600.0     154.8660801244398
 2650.0     154.9012312893625
 2700.0     154.9418592995230
 2750.0     154.9801621195552
 2800.0     154.9316265543030
 2850.0     154.9692381707683
 2900.0     155.0074160039055
 2950.0     155.0455492146950
 3000.0     155.1754574633742
 3050.0     155.2144918146861
 3100.0     155.2550462578215
 3150.0     155.2942620009539
 3200.0     155.3341690892621
 3250.0     155.3736788493038
 3300.0     155.4125626813237
 3350.0     155.4514948733853
 3400.0     155.4915104331510
 3450.0     155.5322666599762
 3500.0     155.5712773543091
 3550.0     155.6132804621751
 3600.0     155.6509407743628
 3650.0     155.6912444341704
 3700.0     155.7305704161572
 3750.0     155.7682864513991
 3800.0     155.8083014434658
 3850.0     155.8491800003478
 3900.0     155.8916288029863
 3950.0     155.9303044097932
 4000.0     155.9689800219853
 4050.0     156.0079843631960
 4100.0     156.0492992071887
 4150.0     156.0859432307349
 4200.0     156.1253973190150
 4250.0     156.1661264264018
 4300.0     156.2051378541912
 4350.0     156.2459027221267
 4400.0     156.2857794998141
 4450.0     156.3255481839840
 4500.0     156.3678251574145
 4550.0     156.4079044724672
 4600.0     156.4453257627384
 4650.0     156.4857156038112
 4700.0     156.5254495939495
 4750.0     156.5617069972733
 4800.0     156.6058133680089
 4850.0     156.6432458910146
 4900.0     156.6807726099772
 4950.0     156.7220727711039
 5000.0     156.7668482693256
# P= 604.000000 GPa
    0.0     152.6938050321058
   50.0     152.7182996526692
  100.0     152.7557272859713
  150.0     152.7938396136244
  200.0     152.8324047477658
  250.0     152.8708256540635
  300.0     152.9093788102435
  350.0     152.9486701735869
  400.0     152.9871305505468
  450.0     153.0256657918964
  500.0     153.0656843765265
  550.0     153.1042452171918
  600.0     153.1428403971554
  650.0     153.1814475212033
  700.0     153.2200394080276
  750.0     153.2586806045320
  800.0     153.2973048460583
  850.0     153.3360882016331
  900.0     153.3748873258209
  950.0     153.4137382429451
 1000.0     153.4525881975238
 1050.0     153.4914415472795
 1100.0     153.5303504989816
 1150.0     153.5692803888711
 1200.0     153.6081717288262
 1250.0     153.6471267669105
 1300.0     153.6855096049704
 1350.0     153.7244512475031
 1400.0     153.7656604394721
 1450.0     153.8048145216297
 1500.0     153.8443249754121
 1550.0     153.8803403184711
 1600.0     153.9200125266267
 1650.0     153.9591145376351
 1700.0     153.9974087996890
 1750.0     154.0364878516715
 1800.0     154.0755840034001
 1850.0     154.1147015864860
 1900.0     154.1537545598442
 1950.0     154.1928914149420
 2000.0     154.2319117257557
 2050.0     154.2672659187958
 2100.0     154.3062565763954
 2150.0     154.3455004265486
 2200.0     154.3856854687010
 2250.0     154.4260424534037
 2300.0     154.4632234370175
 2350.0     154.5013505385186
 2400.0     154.5406103479336
 2450.0     154.5797681658870
 2500.0     154.6188575272152
 2550.0     154.6597699899646
 2600.0     154.7010396132285
 2650.0     154.7363494201079
