# T (K)               Helmholtz Free Energy (Ry.)
# V= 314.8102000000000
    0.00       0.4204230740887
   50.00       0.4171754656000
  100.00       0.4089066260538
  150.00       0.3981935380848
  200.00       0.3858767820895
  250.00       0.3723639756042
  300.00       0.3578967905045
  350.00       0.3426353995142
  400.00       0.3266938326523
  450.00       0.3101574362432
  500.00       0.2930924999038
  550.00       0.2755520046382
  600.00       0.2575792684593
  650.00       0.2392103709472
  700.00       0.2204758287828
  750.00       0.2014017909181
  800.00       0.1820109140959
  850.00       0.1623230189294
  900.00       0.1423555912635
  950.00       0.1221241719013
 1000.00       0.1016426641371
 1050.00       0.0809235796860
 1100.00       0.0599782377018
 1150.00       0.0388169275639
 1200.00       0.0174490433193
 1250.00      -0.0041168043065
 1300.00      -0.0258726938382
 1350.00      -0.0478113134643
 1400.00      -0.0699258932527
 1450.00      -0.0922101470559
 1500.00      -0.1146582224361
 1550.00      -0.1372646572711
 1600.00      -0.1600243419628
 1650.00      -0.1829324863731
 1700.00      -0.2059845907689
 1750.00      -0.2291764201878
 1800.00      -0.2525039817345
 1850.00      -0.2759635044016
 1900.00      -0.2995514210718
 1950.00      -0.3232643524165
 2000.00      -0.3470990924459
 2050.00      -0.3710525955049
 2100.00      -0.3951219645374
 2150.00      -0.4193044404701
 2200.00      -0.4435973925828
 2250.00      -0.4679983097549
 2300.00      -0.4925047924906
 2350.00      -0.5171145456371
 2400.00      -0.5418253717230
 2450.00      -0.5666351648521
 2500.00      -0.5915419050958
 2550.00      -0.6165436533336
 2600.00      -0.6416385464993
 2650.00      -0.6668247931921
 2700.00      -0.6921006696200
 2750.00      -0.7174645158422
 2800.00      -0.7429147322869
 2850.00      -0.7684497765156
 2900.00      -0.7940681602168
 2950.00      -0.8197684464049
 3000.00      -0.8455492468109
 3050.00      -0.8714092194456
 3100.00      -0.8973470663237
 3150.00      -0.9233615313342
 3200.00      -0.9494513982461
 3250.00      -0.9756154888386
 3300.00      -1.0018526611473
 3350.00      -1.0281618078149
 3400.00      -1.0545418545428
 3450.00      -1.0809917586311
 3500.00      -1.1075105076059
 3550.00      -1.1340971179226
 3600.00      -1.1607506337444
 3650.00      -1.1874701257871
 3700.00      -1.2142546902281
 3750.00      -1.2411034476739
 3800.00      -1.2680155421829
 3850.00      -1.2949901403396
 3900.00      -1.3220264303772
 3950.00      -1.3491236213443
 4000.00      -1.3762809423148
 4050.00      -1.4034976416369
 4100.00      -1.4307729862188
 4150.00      -1.4581062608502
 4200.00      -1.4854967675555
 4250.00      -1.5129438249784
 4300.00      -1.5404467677953
 4350.00      -1.5680049461559
 4400.00      -1.5956177251498
 4450.00      -1.6232844842969
 4500.00      -1.6510046170611
 4550.00      -1.6787775303856
 4600.00      -1.7066026442481
 4650.00      -1.7344793912361
 4700.00      -1.7624072161402
 4750.00      -1.7903855755641
 4800.00      -1.8184139375521
 4850.00      -1.8464917812313
 4900.00      -1.8746185964686
 4950.00      -1.9027938835425
 5000.00      -1.9310171528271
# V= 310.3563000000000
    0.00       0.5064141262648
   50.00       0.5032140799489
  100.00       0.4950175417711
  150.00       0.4843781181893
  200.00       0.4721353754461
  250.00       0.4586967225813
  300.00       0.4443037614575
  350.00       0.4291166346971
  400.00       0.4132493572426
  450.00       0.3967872670342
  500.00       0.3797966486551
  550.00       0.3623304799043
  600.00       0.3444320766573
  650.00       0.3261375170143
  700.00       0.3074773165989
  750.00       0.2884776235873
  800.00       0.2691610941406
  850.00       0.2495475484271
  900.00       0.2296544719458
  950.00       0.2094974052263
 1000.00       0.1890902513446
 1050.00       0.1684455218384
 1100.00       0.1475745357171
 1150.00       0.1264875822403
 1200.00       0.1051940553552
 1250.00       0.0837025657036
 1300.00       0.0620210346901
 1350.00       0.0401567740656
 1400.00       0.0181165537105
 1450.00      -0.0040933402722
 1500.00      -0.0264670554835
 1550.00      -0.0489991298348
 1600.00      -0.0716844537576
 1650.00      -0.0945182371396
 1700.00      -0.1174959802705
 1750.00      -0.1406134482082
 1800.00      -0.1638666480755
 1850.00      -0.1872518088808
 1900.00      -0.2107653635214
 1950.00      -0.2344039326816
 2000.00      -0.2581643103832
 2050.00      -0.2820434509812
 2100.00      -0.3060384574295
 2150.00      -0.3301465706631
 2200.00      -0.3543651599696
