# T (K)      B_S (GPa)
# P = 600.000000 (GPa)
    1.0    2085.6672185239804
   50.0    2085.3879012373045
  100.0    2085.6525711976333
  150.0    2085.3101354500341
  200.0    2085.3345798268692
  250.0    2085.1838634201299
  300.0    2085.1358024947885
  350.0    2085.0316700006256
  400.0    2084.9411593855789
  450.0    2084.8930776955181
  500.0    2084.7354150985948
  550.0    2085.4653975301730
  600.0    2085.6726652472539
  650.0    2085.8076988285256
  700.0    2085.1042638337381
  750.0    2085.2742183742648
  800.0    2085.1001112319268
  850.0    2085.2140270410141
  900.0    2084.7476681739877
  950.0    2085.0466975243116
 1000.0    2084.0955010118951
 1050.0    2085.1882948674142
 1100.0    2084.4111469365671
 1150.0    2084.4888076619709
 1200.0    2084.4472671008693
 1250.0    2084.0198561560942
 1300.0    2084.7371909335498
 1350.0    2084.3339931833966
 1400.0    2085.7114985231142
 1450.0    2083.9380381144119
 1500.0    2085.9916631945080
 1550.0    2082.6246936922435
 1600.0    2086.0186474041452
 1650.0    2083.4954615932975
 1700.0    2085.2370718053535
 1750.0    2084.9586489911030
 1800.0    2085.5002160827412
 1850.0    2085.6485124792753
 1900.0    2085.2234759758467
 1950.0    2084.3448768004105
 2000.0    2086.2231984431760
 2050.0    2085.6065388132938
 2100.0    2085.9813942404594
 2150.0    2084.8440291734396
 2200.0    2087.4514034514159
 2250.0    2083.6741662034083
 2300.0    2092.1407771024501
 2350.0    2080.1824978629102
 2400.0    2089.4628244454661
 2450.0    2081.0486288840798
 2500.0    2090.5494867973880
 2550.0    2084.5713826527585
 2600.0    2090.0374535056931
 2650.0    2083.0495944396948
 2700.0    2086.7235191583591
 2750.0    2085.4595809395441
 2800.0    2087.4310111717123
 2850.0    2087.7561649573954
 2900.0    2085.8832234414681
 2950.0    2090.3861913580754
 3000.0    2084.5523525144449
 3050.0    2088.0877630438481
 3100.0    2086.8401268267630
 3150.0    2102.9922646542104
 3200.0    2074.5533250795193
 3250.0    2097.2301375499796
 3300.0    2085.8581193845062
 3350.0    2079.7822935281101
 3400.0    2109.5232048740613
 3450.0    2084.5909783658831
 3500.0    2079.7763576356087
 3550.0    2090.4715277939363
 3600.0    2086.6066515274924
 3650.0    2087.6291161073714
 3700.0    2083.6746412652733
 3750.0    2089.3061191495499
 3800.0    2087.9389577012403
 3850.0    2092.6410297146458
 3900.0    2083.5324458452096
 3950.0    2085.9213143789516
 4000.0    2099.5712489969587
 4050.0    2095.8585457330969
 4100.0    2077.9184934831342
 4150.0    2087.3971590122646
 4200.0    2110.4611550783243
 4250.0    2079.1280205144949
 4300.0    2086.2065627545035
 4350.0    2089.8190578330455
 4400.0    2090.4185022155320
 4450.0    2097.5231786700892
 4500.0    2081.9351390085048
 4550.0    2091.3553529127075
 4600.0    2097.7487912815150
 4650.0    2091.6169611414703
 4700.0    2091.8258363537793
 4750.0    2090.1598662801666
 4800.0    2089.7279885897860
 4850.0    2091.1990149406784
 4900.0    2095.4872458605942
 4950.0    2088.0812064410979
 5000.0    2089.1425110201649
# P = 602.000000 (GPa)
    1.0    2089.6997950946829
   50.0    2089.4200581149335
  100.0    2089.6820929050477
  150.0    2089.3361301386967
  200.0    2089.3576786111857
  250.0    2089.2045130663278
  300.0    2089.1531527329930
  350.0    2089.0460957746618
  400.0    2088.9539144976907
  450.0    2088.8991412118785
  500.0    2088.7534365671868
  550.0    2089.4643823211541
  600.0    2089.6516105361734
  650.0    2089.7835106351808
  700.0    2089.0802437426109
  750.0    2089.2553618620591
  800.0    2089.0764552106812
  850.0    2089.1818096490038
  900.0    2088.7140821944931
  950.0    2089.0266866464799
 1000.0    2088.0639332341866
 1050.0    2089.1489177409212
 1100.0    2088.3744256935393
 1150.0    2088.4503643186663
 1200.0    2088.4036091593284
 1250.0    2087.9960379019403
 1300.0    2088.7069658606456
 1350.0    2088.2601566869821
 1400.0    2089.6527033207890
 1450.0    2087.8567960942378
 1500.0    2089.9135489246310
 1550.0    2086.5962227491168
 1600.0    2089.9839620409357
 1650.0    2087.4215826375212
 1700.0    2089.1665462860583
 1750.0    2088.8902630569601
 1800.0    2089.4047502612520
 1850.0    2089.5367059547862
 1900.0    2089.1262292397359
 1950.0    2088.2819075905068
 2000.0    2090.1112102780089
 2050.0    2089.4919155889124
 2100.0    2089.8668174695777
 2150.0    2088.7098126762367
 2200.0    2091.3130195206022
 2250.0    2087.5429185217540
 2300.0    2096.0602712694108
 2350.0    2084.0916939447948
 2400.0    2093.2969289972680
 2450.0    2084.9351562569082
 2500.0    2094.4683686125240
 2550.0    2088.3987124566443
 2600.0    2093.9172936300529
 2650.0    2086.9129510558123
 2700.0    2090.5954456388490
 2750.0    2089.3596041304090
 2800.0    2091.2447913937326
 2850.0    2091.5967432960347
 2900.0    2089.7186065048099
 2950.0    2094.1984942189915
 3000.0    2088.3576393179392
 3050.0    2091.8528280800606
 3100.0    2090.5260039799932
 3150.0    2106.9164172851024
 3200.0    2078.4646840774876
 3250.0    2101.0353380451293
 3300.0    2089.6974812840126
 3350.0    2083.5579432247555
 3400.0    2113.0378727778725
 3450.0    2088.5449498326238
 3500.0    2083.6757633605334
 3550.0    2094.2179460784191
 3600.0    2090.4197419512070
 3650.0    2091.4794804807793
 3700.0    2087.4895667588203
 3750.0    2093.1964024915451
 3800.0    2091.6518766842723
 3850.0    2096.4704295751071
 3900.0    2087.4177924890582
 3950.0    2089.5904676590553
 4000.0    2103.1208238825989
 4050.0    2099.7322562916547
 4100.0    2081.8291948542346
 4150.0    2091.0742015130568
 4200.0    2114.1728154943253
 4250.0    2082.9134264019572
 4300.0    2090.2443606810439
 4350.0    2093.5059064094216
 4400.0    2094.1310823114250
 4450.0    2101.3043179708066
 4500.0    2085.7826747586514
 4550.0    2095.0000222105409
 4600.0    2101.4624035129609
 4650.0    2095.2528607595536
 4700.0    2095.6149524747175
 4750.0    2093.9011089733640
 4800.0    2093.4059654281541
 4850.0    2095.0026269317409
 4900.0    2099.1113154350714
 4950.0    2091.8797547072363
 5000.0    2092.8241230303288
# P = 604.000000 (GPa)
    1.0    2093.7277010846892
   50.0    2093.4473307589114
  100.0    2093.7068578658523
  150.0    2093.3573620609382
  200.0    2093.3759966840757
  250.0    2093.2202084353853
  300.0    2093.1656270239550
  350.0    2093.0556552802209
  400.0    2092.9619469012987
  450.0    2092.9004680880948
  500.0    2092.7662049432834
  550.0    2093.4581194360358
  600.0    2093.6256157327084
  650.0    2093.7542650435876
  700.0    2093.0514103130336
  750.0    2093.2313886428678
  800.0    2093.0477723380100
  850.0    2093.1444598256271
  900.0    2092.6753443148446
  950.0    2093.0014363502355
 1000.0    2092.0272169378122
 1050.0    2093.1044124891323
 1100.0    2092.3326571648399
 1150.0    2092.4066933792578
 1200.0    2092.3549327908972
 1250.0    2091.9665137634374
 1300.0    2092.6709586110051
 1350.0    2092.1812752150936
 1400.0    2093.5887022430825
 1450.0    2091.7706278280430
 1500.0    2093.8304903136700
 1550.0    2090.5619002970752
 1600.0    2093.9432583252697
 1650.0    2091.3423363292040
 1700.0    2093.0903631490760
 1750.0    2092.8160713452944
 1800.0    2093.3037770434157
 1850.0    2093.4197510164299
 1900.0    2093.0231849026327
 1950.0    2092.2127755148990
 2000.0    2093.9935730291199
 2050.0    2093.3717130093801
 2100.0    2093.7468026337115
 2150.0    2092.5702441038347
 2200.0    2095.1692320984475
 2250.0    2091.4063020278968
 2300.0    2099.9733359136167
 2350.0    2087.9946634778303
 2400.0    2097.1258911755867
 2450.0    2088.8156506220353
 2500.0    2098.3807003813763
 2550.0    2092.2209492049788
 2600.0    2097.7909880759134
 2650.0    2090.7703105318606
 2700.0    2094.4610147653079
 2750.0    2093.2529716297699
 2800.0    2095.0530290580759
 2850.0    2095.4312804990932
 2900.0    2093.5478093962238
 2950.0    2098.0052788401731
 3000.0    2092.1573255661724
 3050.0    2095.6130283540074
 3100.0    2094.2084571049309
 3150.0    2110.8327977020554
 3200.0    2082.3690418102747
 3250.0    2104.8348519747533
 3300.0    2093.5302434048854
 3350.0    2087.3284701248963
 3400.0    2116.5516151015404
 3450.0    2092.4909287830556
 3500.0    2087.5681534097871
 3550.0    2097.9590720946239
 3600.0    2094.2264295518230
 3650.0    2095.3230305429765
 3700.0    2091.2978806981537
 3750.0    2097.0794366792575
 3800.0    2095.3596746638209
 3850.0    2100.2925365600531
 3900.0    2091.2958185263460
 3950.0    2093.2550027850239
 4000.0    2106.6677360770204
 4050.0    2103.5980113041978
 4100.0    2085.7326124500410
 4150.0    2094.7461026474803
 4200.0    2117.8792448111681
 4250.0    2086.6919220031741
 4300.0    2094.2739365693269
 4350.0    2097.1868854410704
 4400.0    2097.8378187944390
 4450.0    2105.0780840893340
 4500.0    2089.6226642097704
 4550.0    2098.6391270530371
 4600.0    2105.1696699275203
 4650.0    2098.8838804543816
 4700.0    2099.3967616910409
 4750.0    2097.6359343995950
 4800.0    2097.0777714653186
 4850.0    2098.7990915715036
 4900.0    2102.7300090045496
 4950.0    2095.6707783776228
 5000.0    2096.4995374761929
# P = 606.000000 (GPa)
    1.0    2097.7509566901385
   50.0    2097.4697498514997
  100.0    2097.7267843535265
  150.0    2097.3737245363550
  200.0    2097.3895212834882
  250.0    2097.2310980407560
  300.0    2097.1732418151464
  350.0    2097.0602856025857
  400.0    2096.9650280034821
  450.0    2096.8970282605196
  500.0    2096.7738122479673
  550.0    2097.4466062015440
  600.0    2097.5948366837501
  650.0    2097.7200907125143
  700.0    2097.0176454518983
  750.0    2097.2024433334082
  800.0    2097.0140333553773
  850.0    2097.1021579211160
  900.0    2096.6316649546816
  950.0    2096.9708942173975
 1000.0    2095.9854156375800
 1050.0    2097.0548039300656
 1100.0    2096.2859234511084
 1150.0    2096.3577983686250
