# T (K)      B_T_P (GPa)
# P = 600.000000 (GPa)
    1.0    2085.5855445406009
   50.0    2084.9622548459233
  100.0    2084.2624596064575
  150.0    2083.5987301945083
  200.0    2082.9086509170693
  250.0    2082.2222677536010
  300.0    2081.5627679150898
  350.0    2080.8678044850180
  400.0    2080.1941684960084
  450.0    2079.5331005916464
  500.0    2078.8622494301426
  550.0    2079.1843940155768
  600.0    2078.5307155939317
  650.0    2077.8853148767480
  700.0    2076.9206717898765
  750.0    2076.3035853195638
  800.0    2075.6672512601531
  850.0    2075.0148438839074
  900.0    2074.0754157044080
  950.0    2073.4118812924717
 1000.0    2072.9554647161872
 1050.0    2072.1862462326917
 1100.0    2071.4994172860638
 1150.0    2070.8168333786875
 1200.0    2070.1535760565062
 1250.0    2069.5586899316936
 1300.0    2069.5958506171041
 1350.0    2068.9499165796174
 1400.0    2068.1396921956061
 1450.0    2067.4946071495333
 1500.0    2066.2295406927274
 1550.0    2065.9027371304228
 1600.0    2065.8099740272260
 1650.0    2065.5494495341550
 1700.0    2064.9311005775803
 1750.0    2064.7626411767524
 1800.0    2064.1751821271714
 1850.0    2063.5953902719843
 1900.0    2062.6560206219915
 1950.0    2062.6023681582483
 2000.0    2062.1632727561096
 2050.0    2061.5519247168427
 2100.0    2060.9544837624649
 2150.0    2060.3027744306241
 2200.0    2059.3911661501274
 2250.0    2058.6761387953820
 2300.0    2057.9945691154312
 2350.0    2058.1301789923377
 2400.0    2057.4482886651876
 2450.0    2056.7630493458091
 2500.0    2056.7511184970995
 2550.0    2056.0709153295065
 2600.0    2055.4256232049838
 2650.0    2055.1891977852106
 2700.0    2054.6087560632395
 2750.0    2054.7546610483041
 2800.0    2054.1980879515982
 2850.0    2053.6589843595375
 2900.0    2053.1859592100373
 2950.0    2052.6453874319791
 3000.0    2051.8450782918426
 3050.0    2051.1477725511872
 3100.0    2049.4190984010816
 3150.0    2048.5694373419465
 3200.0    2049.1537286122248
 3250.0    2048.8917399255743
 3300.0    2048.1830587838449
 3350.0    2048.0531745079097
 3400.0    2046.0846552789474
 3450.0    2045.7012936746530
 3500.0    2046.2864862283334
 3550.0    2045.7161774099368
 3600.0    2044.9669364064255
 3650.0    2044.8717464957811
 3700.0    2044.3471395196591
 3750.0    2044.5367762255678
 3800.0    2043.8513105101565
 3850.0    2043.1930813031001
 3900.0    2043.5408084668275
 3950.0    2042.9370337841724
 4000.0    2041.2642989606729
 4050.0    2040.4264384587111
 4100.0    2041.3631546074455
 4150.0    2040.6822310017105
 4200.0    2039.9024002315589
 4250.0    2038.8681607513240
 4300.0    2040.0061476220176
 4350.0    2039.6417097532938
