# T (K)      C_P (J K^-1 mol^-1)
# P = 600.000000 (GPa)
    1.0       1.0000391611764
   50.0      76.1092916458995
  100.0      64.2355573642976
  150.0      75.6922414478681
  200.0      72.9003382228885
  250.0      74.5073978524657
  300.0      74.3709317866976
  350.0      74.6180969307442
  400.0      74.6264679038951
  450.0      75.0501194719394
  500.0      73.7688711874985
  550.0      75.9964589536278
  600.0      74.9076754956122
  650.0      73.7413161557406
  700.0      76.8508061442541
  750.0      74.0124886497254
  800.0      75.4081860182445
  850.0      74.8526983096318
  900.0      75.8839265289655
  950.0      72.3754366485125
 1000.0      79.8034011153796
 1050.0      72.1509734681340
 1100.0      76.1054107927267
 1150.0      75.0142166371609
 1200.0      75.2423921667565
 1250.0      75.2049408244702
 1300.0      74.8103477016284
 1350.0      79.0804328613532
 1400.0      70.7915532928316
 1450.0      80.3417618091140
 1500.0      68.8585839158950
 1550.0      80.1239686854805
 1600.0      68.9403399763229
 1650.0      82.0460789386098
 1700.0      73.5190323772600
 1750.0      76.0680832044849
 1800.0      75.2152929487559
 1850.0      76.1747658771872
 1900.0      74.7125675379549
 1950.0      77.4004531045208
 2000.0      74.2341876915087
 2050.0      76.1760492699963
 2100.0      74.9000869239763
 2150.0      79.2453234089445
 2200.0      71.0572011463833
 2250.0      81.3443125475527
 2300.0      59.1964348482546
 2350.0      92.8389383184190
 2400.0      68.7007285538850
 2450.0      87.2357807064615
 2500.0      64.3661220472716
 2550.0      81.5290954694323
 2600.0      66.3155801111746
 2650.0      84.7736353396588
 2700.0      72.9564426869547
 2750.0      77.2932775182016
 2800.0      75.9849040315412
 2850.0      74.3612908735657
 2900.0      78.6718225343995
 2950.0      71.1405865206335
 3000.0      82.4692435465100
 3050.0      77.6559042462682
 3100.0      80.0309488212616
 3150.0      49.8349901453506
 3200.0     104.2061012720757
 3250.0      61.4834963866258
 3300.0      76.2968817334925
 3350.0      98.0971852409281
 3400.0      52.5534193321771
 3450.0      73.2100098193917
 3500.0      88.5815259344424
 3550.0      73.5079975793843
 3600.0      75.9358123337825
 3650.0      75.3943046040530
 3700.0      81.1477999395476
 3750.0      72.1318046646707
 3800.0      80.2513659144406
 3850.0      66.9586381296585
 3900.0      82.3664941352951
 3950.0      87.9057041287235
 4000.0      67.9174177121541
 4050.0      60.6176999525758
 4100.0      93.1623285376547
 4150.0      81.7597896232513
 4200.0      57.5334993914137
 4250.0      88.4477798075948
 4300.0      74.0149722910174
 4350.0      79.3381584044086
 4400.0      78.7913981980729
 4450.0      64.2227537562806
 4500.0      89.0735322339544
 4550.0      78.6309274025480
 4600.0      70.6096260145585
 4650.0      78.7008880383966
 4700.0      72.9321164841180
 4750.0      79.9053096037974
 4800.0      78.0959590561466
 4850.0      76.6723707427018
 4900.0      73.7461148730458
 4950.0      78.4654557056440
 5000.0      83.6110528490697
# P = 602.000000 (GPa)
    1.0       1.0000389608421
   50.0      76.1065828567132
  100.0      64.2364575001176
  150.0      75.6914731882058
  200.0      72.9003355999100
  250.0      74.5072892833090
  300.0      74.3705218497551
  350.0      74.6178661783090
  400.0      74.6269287574583
  450.0      75.0469470427728
  500.0      73.7801944128040
  550.0      75.9841693105905
  600.0      74.9121639776926
  650.0      73.7343768364984
  700.0      76.8567795139950
  750.0      74.0095659640810
  800.0      75.4094736718698
  850.0      74.8466918811837
  900.0      75.8877613104219
  950.0      72.3774701010136
 1000.0      79.7981204510380
 1050.0      72.1523282828246
 1100.0      76.1039275455013
 1150.0      75.0148046743829
 1200.0      75.2383899549066
 1250.0      75.2216547840861
 1300.0      74.7929744799560
 1350.0      79.0795466273193
 1400.0      70.7980902274070
 1450.0      80.3199488994578
 1500.0      68.8813163760480
 1550.0      80.1244826121728
 1600.0      68.9378876361539
 1650.0      82.0347600296629
 1700.0      73.5365402466761
 1750.0      76.0503915790873
 1800.0      75.2238957163054
 1850.0      76.1531449370105
 1900.0      74.7451861873387
 1950.0      77.3821564409579
 2000.0      74.2326390326429
 2050.0      76.1752235199829
 2100.0      74.8997704964039
 2150.0      79.2338358442360
 2200.0      71.0651975762405
 2250.0      81.3332710666854
 2300.0      59.2285180817694
 2350.0      92.8086192649241
 2400.0      68.6976979217011
 2450.0      87.2695311022480
 2500.0      64.3305124873704
 2550.0      81.5330165357747
 2600.0      66.3320762717259
 2650.0      84.7475404651420
 2700.0      72.9989812471113
 2750.0      77.2544072132301
 2800.0      75.9939783633868
 2850.0      74.3590261267976
 2900.0      78.6731909816632
 2950.0      71.1206410532549
 3000.0      82.4916267476255
 3050.0      77.5957402939606
 3100.0      80.0607602760137
 3150.0      49.8895182975245
 3200.0     104.1725285728801
 3250.0      61.4534403488111
 3300.0      76.3572444095552
 3350.0      97.9814066081605
 3400.0      52.6301697133510
 3450.0      73.2478698216322
 3500.0      88.5264469640810
 3550.0      73.4998508232675
 3600.0      75.9780192343377
 3650.0      75.3471295301925
 3700.0      81.2101491520701
 3750.0      72.0729564453490
 3800.0      80.2489577021165
 3850.0      67.0190704758640
 3900.0      82.3185019604924
 3950.0      87.8552729757815
 4000.0      67.9318707921685
 4050.0      60.7323211773037
 4100.0      93.0459374883577
 4150.0      81.8001871618799
 4200.0      57.4547250166080
 4250.0      88.6218082372623
 4300.0      73.8878754382866
 4350.0      79.3629491035308
 4400.0      78.7556929874457
 4450.0      64.3175889207356
 4500.0      88.9761517603691
 4550.0      78.6701988210281
 4600.0      70.5612902771197
 4650.0      78.7321488453683
 4700.0      72.9558706879339
 4750.0      79.8356104330586
 4800.0      78.1816154158298
 4850.0      76.5849780245261
 4900.0      73.7991274379416
 4950.0      78.4641208368337
 5000.0      83.5425973630248
# P = 604.000000 (GPa)
    1.0       1.0000387620006
   50.0      76.1038663119004
  100.0      64.2373597057523
  150.0      75.6907029221718
  200.0      72.9003327829058
  250.0      74.5071794361950
  300.0      74.3701111965531
  350.0      74.6176346751321
  400.0      74.6273868411076
  450.0      75.0437791451617
  500.0      73.7914914417312
  550.0      75.9718844513379
  600.0      74.9166458960297
  650.0      73.7274470459363
  700.0      76.8627468079665
  750.0      74.0066421313315
  800.0      75.4107554882122
  850.0      74.8406975272417
  900.0      75.8915918822274
  950.0      72.3794865198981
 1000.0      79.7928520299504
 1050.0      72.1536755562985
 1100.0      76.1024450264513
 1150.0      75.0153862196437
 1200.0      75.2343961994407
 1250.0      75.2383026480576
 1300.0      74.7756286374614
 1350.0      79.0786714356751
 1400.0      70.8045938234797
 1450.0      80.2982214565511
 1500.0      68.9039707600874
 1550.0      80.1249717662398
 1600.0      68.9354089396602
 1650.0      82.0234781190525
 1700.0      73.5539623279147
 1750.0      76.0327468236836
 1800.0      75.2324543694954
 1850.0      76.1316138601753
 1900.0      74.7776547405614
 1950.0      77.3639069132796
 2000.0      74.2310855033685
 2050.0      76.1743915735209
 2100.0      74.8994430992605
 2150.0      79.2224053134821
 2200.0      71.0731487192878
 2250.0      81.3222878330688
 2300.0      59.2603900233808
 2350.0      92.7784398739771
 2400.0      68.6946795839369
 2450.0      87.3030865424159
 2500.0      64.2950491249547
 2550.0      81.5369226944231
 2600.0      66.3484407373492
 2650.0      84.7215852846649
 2700.0      73.0412349191195
 2750.0      77.2157278311781
 2800.0      76.0029878016319
 2850.0      74.3567513047400
 2900.0      78.6745311968513
 2950.0      71.1008076350033
 3000.0      82.5138590145046
 3050.0      77.5359919649247
 3100.0      80.0904291039239
 3150.0      49.9435964651328
 3200.0     104.1391561370401
 3250.0      61.4235678340503
 3300.0      76.4171415966360
 3350.0      97.8664948235699
 3400.0      52.7063802726340
 3450.0      73.2853801533372
 3500.0      88.4717399965509
 3550.0      73.4917627582826
 3600.0      76.0198668822996
 3650.0      75.3002849207301
 3700.0      81.2719713835445
 3750.0      72.0145250230245
 3800.0      80.2465753990744
 3850.0      67.0789499014643
 3900.0      82.2708556317692
 3950.0      87.8052984830439
 4000.0      67.9462360958398
 4050.0      60.8458808707243
 4100.0      92.9305113819547
 4150.0      81.8402280490501
 4200.0      57.3766338919430
 4250.0      88.7942358675558
 4300.0      73.7618556946069
 4350.0      79.3874967117650
 4400.0      78.7203014462319
 4450.0      64.4114747423847
 4500.0      88.8796470485032
 4550.0      78.7090828069403
 4600.0      70.5133921920573
 4650.0      78.7630956478994
 4700.0      72.9793402681089
 4750.0      79.7665749979854
 4800.0      78.2663847029004
 4850.0      76.4984248309239
 4900.0      73.8515731721015
 4950.0      78.4627525906273
 5000.0      83.4748374329928
# P = 606.000000 (GPa)
    1.0       1.0000385643202
   50.0      76.1011413507121
  100.0      64.2382642388690
  150.0      75.6899304646041
  200.0      72.9003297954554
  250.0      74.5070683381053
  300.0      74.3696998251815
  350.0      74.6174023817548
  400.0      74.6278423330357
  450.0      75.0406150214801
  500.0      73.8027656407017
  550.0      75.9596003022997
  600.0      74.9211230133157
  650.0      73.7205241628680
  700.0      76.8687106948102
  750.0      74.0037162889300
  800.0      75.4120319266958
  850.0      74.8347127730058
  900.0      75.8954203313052
  950.0      72.3814873407013
 1000.0      79.7875936896489
 1050.0      72.1550162709713
 1100.0      76.1009629425166
 1150.0      75.0159620045297
 1200.0      75.2304095015284
 1250.0      75.2548904523262
 1300.0      74.7583034757021
 1350.0      79.0778075554102
 1400.0      70.8110674980131
 1450.0      80.2765709972109
 1500.0      68.9265570478710
 1550.0      80.1254359807041
 1600.0      68.9329022510336
 1650.0      82.0122295162730
 1700.0      73.5713061695208
 1750.0      76.0151416928966
 1800.0      75.2409727944531
 1850.0      76.1101640292376
 1900.0      74.8099875986241
 1950.0      77.3456967790648
 2000.0      74.2295267090124
