# T (K)      C-ph_V_V (J K^-1 mol^-1)
# V = 83.611950 (a.u.^3)
    5.0       5.7377680981171
   50.0      69.8699794041259
  100.0      73.5305518875960
  150.0      74.2473815043707
  200.0      74.5013239072761
  250.0      74.6194061191963
  300.0      74.6836943991615
  350.0      74.7225076241157
  400.0      74.7477188281266
  450.0      74.7650126200220
  500.0      74.7773872987729
  550.0      74.7865455951686
  600.0      74.7935126169359
  650.0      74.7989354271218
  700.0      74.8032387774098
  750.0      74.8067108338992
  800.0      74.8095526790845
  850.0      74.8119080818644
  900.0      74.8138820377316
  950.0      74.8155526716167
 1000.0      74.8169790862328
 1050.0      74.8182066607413
 1100.0      74.8192707042014
 1150.0      74.8201990227244
 1200.0      74.8210137543537
 1250.0      74.8217327010124
 1300.0      74.8223703091048
 1350.0      74.8229384008285
 1400.0      74.8234467260772
 1450.0      74.8239033835297
 1500.0      74.8243151451949
 1550.0      74.8246877089002
 1600.0      74.8250258964530
 1650.0      74.8253338104247
 1700.0      74.8256149591506
 1750.0      74.8258723571005
 1800.0      74.8261086060133
 1850.0      74.8263259608957
 1900.0      74.8265263840301
 1950.0      74.8267115894164
 2000.0      74.8268830795338
 2050.0      74.8270421759142
 2100.0      74.8271900446696
 2150.0      74.8273277179254
 2200.0      74.8274561118765
 2250.0      74.8275760420692
 2300.0      74.8276882363836
 2350.0      74.8277933461041
 2400.0      74.8278919553913
 2450.0      74.8279845894146
 2500.0      74.8280717213610
 2550.0      74.8281537784888
 2600.0      74.8282311473733
 2650.0      74.8283041784717
 2700.0      74.8283731900937
 2750.0      74.8284384718811
 2800.0      74.8285002878476
 2850.0      74.8285588790541
 2900.0      74.8286144659621
 2950.0      74.8286672505099
 3000.0      74.8287174179503
 3050.0      74.8287651384771
 3100.0      74.8288105686714
 3150.0      74.8288538527863
 3200.0      74.8288951238946
 3250.0      74.8289345049125
 3300.0      74.8289721095160
 3350.0      74.8290080429616
 3400.0      74.8290424028236
 3450.0      74.8290752796578
 3500.0      74.8291067575990
 3550.0      74.8291369148981
 3600.0      74.8291658244109
 3650.0      74.8291935540374
 3700.0      74.8292201671208
 3750.0      74.8292457228101
 3800.0      74.8292702763891
 3850.0      74.8292938795741
 3900.0      74.8293165807903
 3950.0      74.8293384254142
 4000.0      74.8293594560065
 4050.0      74.8293797125169
 4100.0      74.8293992324729
 4150.0      74.8294180511562
 4200.0      74.8294362017609
 4250.0      74.8294537155393
 4300.0      74.8294706219382
 4350.0      74.8294869487216
 4400.0      74.8295027220846
 4450.0      74.8295179667599
 4500.0      74.8295327061134
 4550.0      74.8295469622336
 4600.0      74.8295607560165
 4650.0      74.8295741072398
 4700.0      74.8295870346353
 4750.0      74.8295995559532
 4800.0      74.8296116880250
 4850.0      74.8296234468195
 4900.0      74.8296348474939
 4950.0      74.8296459044438
 5000.0      74.8296566313495
# V = 82.532250 (a.u.^3)
    5.0       5.5475166776996
   50.0      69.7345271428169
  100.0      73.4933253263662
  150.0      74.2305355796838
  200.0      74.4917879712024
  250.0      74.6132853350825
  300.0      74.6794372287046
  350.0      74.7193770473122
  400.0      74.7453206216010
  450.0      74.7631170560588
  500.0      74.7758515377967
  550.0      74.7852761904596
  600.0      74.7924458793407
  650.0      74.7980264608392
  700.0      74.8024550281371
  750.0      74.8060281228671
  800.0      74.8089526734402
  850.0      74.8113766292863
  900.0      74.8134080394777
  950.0      74.8151273013644
 1000.0      74.8165952369781
 1050.0      74.8178585457074
 1100.0      74.8189535639526
 1150.0      74.8199089069220
 1200.0      74.8207473568672
 1250.0      74.8214872337703
 1300.0      74.8221434044641
 1350.0      74.8227280352184
 1400.0      74.8232511596969
 1450.0      74.8237211123001
 1500.0      74.8241448621475
 1550.0      74.8245282729181
 1600.0      74.8248763067738
 1650.0      74.8251931857078
 1700.0      74.8254825201826
 1750.0      74.8257474124196
 1800.0      74.8259905398952
 1850.0      74.8262142232632
 1900.0      74.8264204819306
 1950.0      74.8266110797941
 2000.0      74.8267875630757
 2050.0      74.8269512917784
 2100.0      74.8271034659650
 2150.0      74.8272451478071
 2200.0      74.8273772801755
 2250.0      74.8275007023585
 2300.0      74.8276161634285
 2350.0      74.8277243336315
 2400.0      74.8278258141346
 2450.0      74.8279211453981
 2500.0      74.8280108143864
 2550.0      74.8280952607952
 2600.0      74.8281748824574
 2650.0      74.8282500400315
 2700.0      74.8283210610967
 2750.0      74.8283882437274
 2800.0      74.8284518596236
 2850.0      74.8285121568654
 2900.0      74.8285693623330
 2950.0      74.8286236838445
 3000.0      74.8286753120460
 3050.0      74.8287244220879
 3100.0      74.8287711751086
 3150.0      74.8288157195626
 3200.0      74.8288581923970
 3250.0      74.8288987201068
 3300.0      74.8289374196777
 3350.0      74.8289743994311
 3400.0      74.8290097597823
 3450.0      74.8290435939235
 3500.0      74.8290759884396
 3550.0      74.8291070238598
 3600.0      74.8291367751613
 3650.0      74.8291653122212
 3700.0      74.8291927002268
 3750.0      74.8292190000496
 3800.0      74.8292442685825
 3850.0      74.8292685590492
 3900.0      74.8292919212827
 3950.0      74.8293144019827
 4000.0      74.8293360449480
 4050.0      74.8293568912919
 4100.0      74.8293769796343
 4150.0      74.8293963462847
 4200.0      74.8294150254032
 4250.0      74.8294330491524
 4300.0      74.8294504478368
 4350.0      74.8294672500279
 4400.0      74.8294834826845
 4450.0      74.8294991712594
 4500.0      74.8295143397980
 4550.0      74.8295290110330
 4600.0      74.8295432064679
 4650.0      74.8295569464567
 4700.0      74.8295702502765
 4750.0      74.8295831361952
 4800.0      74.8295956215335
 4850.0      74.8296077227251
 4900.0      74.8296194553686
 4950.0      74.8296308342797
 5000.0      74.8296418735361
# V = 81.452500 (a.u.^3)
    5.0       5.3592745021450
   50.0      69.5971778321655
  100.0      73.4554895119583
  150.0      74.2134062613621
  200.0      74.4820901541881
  250.0      74.6070602674593
  300.0      74.6751074262912
  350.0      74.7161930481393
  400.0      74.7428815108655
  450.0      74.7611891932765
  500.0      74.7742896448735
  550.0      74.7839852227654
  600.0      74.7913610573501
  650.0      74.7971021194264
  700.0      74.8016580547650
  750.0      74.8053339239237
  800.0      74.8083426013899
  850.0      74.8108362887943
  900.0      74.8129261411667
  950.0      74.8146948672679
 1000.0      74.8162050379638
 1050.0      74.8175046955373
 1100.0      74.8186312213761
 1150.0      74.8196140536841
 1200.0      74.8204766299902
 1250.0      74.8212377972382
 1300.0      74.8219128499152
 1350.0      74.8225143042778
 1400.0      74.8230524826395
 1450.0      74.8235359591726
 1500.0      74.8239719034991
 1550.0      74.8243663479999
 1600.0      74.8247243976064
 1650.0      74.8250503957877
 1700.0      74.8253480568889
 1750.0      74.8256205723926
 1800.0      74.8258706968173
 1850.0      74.8261008175907
 1900.0      74.8263130122284
 1950.0      74.8265090953829
 2000.0      74.8266906577697
 2050.0      74.8268590985269
 2100.0      74.8270156522495
 2150.0      74.8271614116769
 2200.0      74.8272973468095
 2250.0      74.8274243210902
 2300.0      74.8275431051461
 2350.0      74.8276543885115
 2400.0      74.8277587896535
 2450.0      74.8278568645865
 2500.0      74.8279491142867
 2550.0      74.8280359911052
 2600.0      74.8281179043229
 2650.0      74.8281952249778
 2700.0      74.8282682900768
 2750.0      74.8283374062710
 2800.0      74.8284028530813
 2850.0      74.8284648857263
 2900.0      74.8285237376157
 2950.0      74.8285796225485
 3000.0      74.8286327366575
 3050.0      74.8286832601333
 3100.0      74.8287313587529
 3150.0      74.8287771852418
 3200.0      74.8288208804892
 3250.0      74.8288625746307
 3300.0      74.8289023880182
 3350.0      74.8289404320911
 3400.0      74.8289768101546
 3450.0      74.8290116180831
 3500.0      74.8290449449529
 3550.0      74.8290768736109
 3600.0      74.8291074811924
 3650.0      74.8291368395852
 3700.0      74.8291650158534
 3750.0      74.8291920726198
 3800.0      74.8292180684152
 3850.0      74.8292430579945
 3900.0      74.8292670926254
 3950.0      74.8292902203512
 4000.0      74.8293124862315
 4050.0      74.8293339325626
 4100.0      74.8293545990768
 4150.0      74.8293745231272
 4200.0      74.8293937398582
 4250.0      74.8294122823578
 4300.0      74.8294301818019
 4350.0      74.8294474675855
 4400.0      74.8294641674427
 4450.0      74.8294803075584
 4500.0      74.8294959126707
 4550.0      74.8295110061670
 4600.0      74.8295256101688
 4650.0      74.8295397456162
 4700.0      74.8295534323408
 4750.0      74.8295666891365
 4800.0      74.8295795338228
 4850.0      74.8295919833065
 4900.0      74.8296040536343
 4950.0      74.8296157600486
 5000.0      74.8296271170328
# V = 80.440250 (a.u.^3)
    5.0       5.1765449709880
   50.0      69.4610444652919
  100.0      73.4179017701103
  150.0      74.1963816460536
  200.0      74.4724501794859
  250.0      74.6008719650377
  300.0      74.6708031055722
  350.0      74.7130277840354
  400.0      74.7404567794519
  450.0      74.7592727340612
  500.0      74.7727370322480
  550.0      74.7827019672228
  600.0      74.7902827564222
  650.0      74.7961833730967
  700.0      74.8008659423423
  750.0      74.8046439940565
  800.0      74.8077363142706
  850.0      74.8102993321617
  900.0      74.8124472907350
  950.0      74.8142651968000
 1000.0      74.8158173599523
 1050.0      74.8171531576206
 1100.0      74.8183110101519
 1150.0      74.8193211740026
 1200.0      74.8202077382054
 1250.0      74.8209900736301
 1300.0      74.8216838999586
 1350.0      74.8223020814201
 1400.0      74.8228552273170
 1450.0      74.8233521502176
 1500.0      74.8238002190910
 1550.0      74.8242056340530
 1600.0      74.8245736419824
 1650.0      74.8249087071273
 1700.0      74.8252146471184
 1750.0      74.8254947421877
 1800.0      74.8257518234524
 1850.0      74.8259883447320
 1900.0      74.8262064413157
 1950.0      74.8264079783225
 2000.0      74.8265945907047
 2050.0      74.8267677165106
 2100.0      74.8269286246718
 2150.0      74.8270784383157
 2200.0      74.8272181544218
