# T (K)      C_V_P (J K^-1 mol^-1)
# P = 600.000000 (GPa)
    1.0       1.0000000000000
   50.0      76.0937570562337
  100.0      64.1927436214476
  150.0      75.6301211437396
  200.0      72.8155311901275
  250.0      74.4015746728051
  300.0      74.2434916887048
  350.0      74.4690825416006
  400.0      74.4565584742376
  450.0      74.8571758019181
  500.0      73.5610477876938
  550.0      75.7675728611758
  600.0      74.6511698339370
  650.0      73.4612294439966
  700.0      76.5491830280219
  750.0      73.6940946124848
  800.0      75.0670441921979
  850.0      74.4865793549521
  900.0      75.4954610879611
  950.0      71.9715728376422
 1000.0      79.3768310352107
 1050.0      71.7010810203468
 1100.0      75.6339814921589
 1150.0      74.5222051487931
 1200.0      74.7264321211151
 1250.0      74.6830882389748
 1300.0      74.2670039465171
 1350.0      78.4967550817950
 1400.0      70.1951450815493
 1450.0      79.7078205931361
 1500.0      68.2062362605064
 1550.0      79.4806316848306
 1600.0      68.2724682797736
 1650.0      81.3393819722954
 1700.0      72.8031064154921
 1750.0      75.3312476784836
 1800.0      74.4461879332104
 1850.0      75.3693130835118
 1900.0      73.9039863226990
 1950.0      76.5930627156925
 2000.0      73.3780621146144
 2050.0      75.2974629046004
 2100.0      74.0014606105221
 2150.0      78.3125055857682
 2200.0      70.1020258916032
 2250.0      80.3684174735854
 2300.0      58.2302791294133
 2350.0      91.8547391563231
 2400.0      67.6481030145896
 2450.0      86.2177499591137
 2500.0      63.3255009508785
 2550.0      80.4144215654071
 2600.0      65.2173684014987
 2650.0      83.6398039067875
 2700.0      71.8336399525996
 2750.0      76.1552627055345
 2800.0      74.7751871747669
 2850.0      73.1468241619047
 2900.0      77.4386023137913
 2950.0      69.8561813049072
 3000.0      81.1752754864837
 3050.0      76.2821074091207
 3100.0      78.5958410847966
 3150.0      48.5453225092051
 3200.0     102.9302637750379
 3250.0      60.0663826219212
 3300.0      74.9187968022897
 3350.0      96.6006164530595
 3400.0      50.9730087962825
 3450.0      71.8442194904179
 3500.0      87.1551303021845
 3550.0      71.9342491958494
 3600.0      74.4204593606907
 3650.0      73.8501308216068
 3700.0      79.6162075399600
 3750.0      70.5861750084129
 3800.0      78.5568269558239
 3850.0      65.3764425992601
 3900.0      80.7855391700120
 3950.0      86.0942439235357
 4000.0      66.0312909693594
 4050.0      59.0144587160245
 4100.0      91.5233900995865
 4150.0      79.9300454991309
 4200.0      55.6099898924272
 4250.0      86.7350929618197
 4300.0      72.3758620960282
 4350.0      77.4332191345024
 4400.0      76.8541385287147
 4450.0      62.4115949432691
 4500.0      87.2299649034099
 4550.0      76.6299008361751
 4600.0      68.5826176437670
 4650.0      76.6283361367311
 4700.0      70.9878546675108
 4750.0      77.8297879177217
 4800.0      76.0511579020905
 4850.0      74.6101067574048
 4900.0      71.5851993931906
 4950.0      76.4254568133867
 5000.0      81.3815144827383
# P = 602.000000 (GPa)
    1.0       1.0000000000000
   50.0      76.0910766333928
  100.0      64.1937034556861
  150.0      75.6294393531242
  200.0      72.8156526431656
  250.0      74.4016098916330
  300.0      74.2432576768997
  350.0      74.4690733253409
  400.0      74.4572214041832
  450.0      74.8543761760725
  500.0      73.5722061001770
  550.0      75.7551103429578
  600.0      74.6560930846088
  650.0      73.4548084608645
  700.0      76.5557487944745
  750.0      73.6915130379412
  800.0      75.0687464090899
  850.0      74.4812690019194
  900.0      75.5001152211321
  950.0      71.9738897461815
 1000.0      79.3720598850488
 1050.0      71.7032258383122
 1100.0      75.6331584920436
 1150.0      74.5234671006595
 1200.0      74.7232646172432
 1250.0      74.6996708956252
 1300.0      74.2494920126913
 1350.0      78.4971450768959
 1400.0      70.2023976991555
 1450.0      79.6877306591210
 1500.0      68.2304406156497
 1550.0      79.4806896392369
 1600.0      68.2696879175717
 1650.0      81.3287507613518
 1700.0      72.8209119495410
 1750.0      75.3137536996869
 1800.0      74.4556524483136
 1850.0      75.3494020820929
 1900.0      73.9373150511513
 1950.0      76.5743085793697
 2000.0      73.3775937542144
 2050.0      75.2977334120385
 2100.0      74.0021738009681
 2150.0      78.3028741052579
 2200.0      70.1118871510139
 2250.0      80.3592385111374
 2300.0      58.2621133019845
 2350.0      91.8240168361951
 2400.0      67.6475729653651
 2450.0      86.2514308703286
 2500.0      63.2899141841016
 2550.0      80.4206743106716
 2600.0      65.2341839649727
 2650.0      83.6146684796098
 2700.0      71.8759337587210
 2750.0      76.1157921492221
 2800.0      74.7861130331908
 2850.0      73.1455591347714
 2900.0      77.4409174143224
 2950.0      69.8384468368295
 3000.0      81.1994100576229
 3050.0      76.2267011289704
 3100.0      78.6324761077358
 3150.0      48.5982207725282
 3200.0     102.8936573825214
 3250.0      60.0390809734504
 3300.0      74.9787081685825
 3350.0      96.4894777619332
 3400.0      51.0570917986126
 3450.0      71.8782502021259
 3500.0      87.0982420392965
 3550.0      71.9299538816916
 3600.0      74.4630702928188
 3650.0      73.8036067454720
 3700.0      79.6780443025552
 3750.0      70.5265526712662
 3800.0      78.5588003083948
 3850.0      65.4356951933961
 3900.0      80.7353799086542
 3950.0      86.0506349538957
 4000.0      66.0547911855080
 4050.0      59.1252848941361
 4100.0      91.4037707915128
 4150.0      79.9745760718610
 4200.0      55.5375691048275
 4250.0      86.9064420184369
 4300.0      72.2429884891410
 4350.0      77.4613123218446
 4400.0      76.8222683363553
 4450.0      62.5045189280095
 4500.0      87.1310599211489
 4550.0      76.6731772799634
 4600.0      68.5382607403298
 4650.0      76.6643123330123
 4700.0      71.0108742087175
 4750.0      77.7632303499002
 4800.0      76.1382897415793
 4850.0      74.5240574279247
 4900.0      71.6422097800202
 4950.0      76.4230808267685
 5000.0      81.3182353077962
# P = 604.000000 (GPa)
    1.0       1.0000000000000
   50.0      76.0883885077152
  100.0      64.1946657451707
  150.0      75.6287560349054
  200.0      72.8157743935561
  250.0      74.4016447006448
  300.0      74.2430238617935
  350.0      74.4690640098665
  400.0      74.4578835361053
  450.0      74.8515799095779
  500.0      73.5833496907627
  550.0      75.7426652193670
  600.0      74.6610094305956
  650.0      73.4483955001548
  700.0      76.5623063302045
  750.0      73.6889345519519
  800.0      75.0704459567860
  850.0      74.4759684486573
  900.0      75.5047608948405
  950.0      71.9761982656908
 1000.0      79.3673050736072
 1050.0      71.7053618476603
 1100.0      75.6323385596491
 1150.0      74.5247255416436
 1200.0      74.7201054203413
 1250.0      74.7162078438141
 1300.0      74.2320292915632
 1350.0      78.4975385137420
