# P (GPa)      H (Ry.)
   600.00       3.1711434405392
   602.00       3.1822027360295
   604.00       3.1932514515820
   606.00       3.2042896176447
   608.00       3.2153172644989
   610.00       3.2263344222533
   612.00       3.2373411208488
   614.00       3.2483373900644
   616.00       3.2593232595152
   618.00       3.2702987586484
   620.00       3.2812639167517
   622.00       3.2922187629560
   624.00       3.3031633262291
   626.00       3.3140976353792
   628.00       3.3250217190623
   630.00       3.3359356057790
   632.00       3.3468393238701
   634.00       3.3577329015271
   636.00       3.3686163667930
   638.00       3.3794897475537
   640.00       3.3903530715470
   642.00       3.4012063663673
   644.00       3.4120496594573
   646.00       3.4228829781116
   648.00       3.4337063494858
   650.00       3.4445198005892
   652.00       3.4553233582840
   654.00       3.4661170492967
   656.00       3.4769009002128
   658.00       3.4876749374722
   660.00       3.4984391873819
   662.00       3.5091936761129
   664.00       3.5199384296924
   666.00       3.5306734740178
   668.00       3.5413988348540
   670.00       3.5521145378250
   672.00       3.5628206084279
   674.00       3.5735170720305
   676.00       3.5842039538621
   678.00       3.5948812790289
   680.00       3.6055490725098
   682.00       3.6162073591484
   684.00       3.6268561636688
   686.00       3.6374955106690
   688.00       3.6481254246152
   690.00       3.6587459298583
   692.00       3.6693570506229
   694.00       3.6799588110068
   696.00       3.6905512349956
   698.00       3.7011343464477
   700.00       3.7117081691014
   702.00       3.7222727265842
   704.00       3.7328280423963
   706.00       3.7433741399249
   708.00       3.7539110424457
   710.00       3.7644387731089
   712.00       3.7749573549590
   714.00       3.7854668109250
   716.00       3.7959671638169
   718.00       3.8064584363428
   720.00       3.8169406510912
   722.00       3.8274138305413
   724.00       3.8378779970695
   726.00       3.8483331729320
   728.00       3.8587793802856
   730.00       3.8692166411777
   732.00       3.8796449775433
   734.00       3.8900644112219
   736.00       3.9004749639373
   738.00       3.9108766573135
   740.00       3.9212695128742
   742.00       3.9316535520299
   744.00       3.9420287961007
   746.00       3.9523952662960
   748.00       3.9627529837260
   750.00       3.9731019694069
   752.00       3.9834422442433
   754.00       3.9937738290533
   756.00       4.0040967445483
   758.00       4.0144110113432
   760.00       4.0247166499622
   762.00       4.0350136808217
   764.00       4.0453021242549
   766.00       4.0555820004901
   768.00       4.0658533296650
   770.00       4.0761161318270
   772.00       4.0863704269202
   774.00       4.0966162348099
   776.00       4.1068535752558
   778.00       4.1170824679354
   780.00       4.1273029324331
   782.00       4.1375149882382
   784.00       4.1477186547612
   786.00       4.1579139513095
   788.00       4.1681008971159
   790.00       4.1782795113146
   792.00       4.1884498129577
   794.00       4.1986118210121
   796.00       4.2087655543506
   798.00       4.2189110317730
   800.00       4.2290482719791
   802.00       4.2391772935984
   804.00       4.2492981151652
   806.00       4.2594107551366
   808.00       4.2695152318865
   810.00       4.2796115637006
   812.00       4.2896997687937
   814.00       4.2997798652846
   816.00       4.3098518712272
   818.00       4.3199158045801
   820.00       4.3299716832340
   822.00       4.3400195249925
   824.00       4.3500593475831
   826.00       4.3600911686574
   828.00       4.3701150057817
   830.00       4.3801308764567
   832.00       4.3901387980912
   834.00       4.4001387880340
   836.00       4.4101308635418
   838.00       4.4201150418106
   840.00       4.4300913399468
   842.00       4.4400597749954
   844.00       4.4500203639264
   846.00       4.4599731236196
   848.00       4.4699180708748
   850.00       4.4798552224887
   852.00       4.4897845952580
   854.00       4.4997062059794
   856.00       4.5096200714496
   858.00       4.5195262084653
   860.00       4.5294246338231
   862.00       4.5393153643199
   864.00       4.5491984167523
   866.00       4.5590738079169
   868.00       4.5689415546106
   870.00       4.5788016736299
   872.00       4.5886541817716
   874.00       4.5984990958323
   876.00       4.6083364326091
