# T (K)      Entropy-ph (J K^-1 mol^-1)
# V = 83.611950 (a.u.^3)
    5.0       1.7950029382708
   50.0      95.1524896509288
  100.0     145.1167642788339
  150.0     175.0951675283198
  200.0     196.4947811005817
  250.0     213.1334160702280
  300.0     226.7443567676495
  350.0     238.2600435703446
  400.0     248.2396019761682
  450.0     257.0446735421906
  500.0     264.9226285710862
  550.0     272.0501250801618
  600.0     278.5577172758581
  650.0     284.5446153535387
  700.0     290.0879761683138
  750.0     295.2489889335898
  800.0     300.0769970974172
  850.0     304.6123707763208
  900.0     308.8885582668687
  950.0     312.9335829578367
 1000.0     316.7711563337028
 1050.0     320.4215194595700
 1100.0     323.9020887364809
 1150.0     327.2279581318452
 1200.0     330.4122945361922
 1250.0     333.4666524237055
 1300.0     336.4012268067435
 1350.0     339.2250584574668
 1400.0     341.9462018123672
 1450.0     344.5718634168683
 1500.0     347.1085169025381
 1550.0     349.5619991138964
 1600.0     351.9375909757592
 1650.0     354.2400859184730
 1700.0     356.4738480896905
 1750.0     358.6428621290895
 1800.0     360.7507759321022
 1850.0     362.8009375552349
 1900.0     364.7964272004305
 1950.0     366.7400850453455
 2000.0     368.6345355506590
 2050.0     370.4822087663052
 2100.0     372.2853590705965
 2150.0     374.0460817046198
 2200.0     375.7663274060590
 2250.0     377.4479153987175
 2300.0     379.0925449545267
 2350.0     380.7018057123035
 2400.0     382.2771869103065
 2450.0     383.8200856668969
 2500.0     385.3318144247947
 2550.0     386.8136076582194
 2600.0     388.2666279288576
 2650.0     389.6919713650382
 2700.0     391.0906726288207
 2750.0     392.4637094273952
 2800.0     393.8120066180194
 2850.0     395.1364399496749
 2900.0     396.4378394793782
 2950.0     397.7169926964656
 3000.0     398.9746473843500
 3050.0     400.2115142457392
 3100.0     401.4282693144457
 3150.0     402.6255561742196
 3200.0     403.8039880028912
 3250.0     404.9641494580356
 3300.0     406.1065984186899
 3350.0     407.2318675961234
 3400.0     408.3404660252762
 3450.0     409.4328804473406
 3500.0     410.5095765928730
 3550.0     411.5710003739001
 3600.0     412.6175789926627
 3650.0     413.6497219738949
 3700.0     414.6678221268687
 3750.0     415.6722564428964
 3800.0     416.6633869333553
 3850.0     417.6415614129783
 3900.0     418.6071142325832
 3950.0     419.5603669651436
 4000.0     420.5016290487036
 4050.0     421.4311983893629
 4100.0     422.3493619272704
 4150.0     423.2563961683002
 4200.0     424.1525676839157
 4250.0     425.0381335814395
 4300.0     425.9133419468056
 4350.0     426.7784322617718
 4400.0     427.6336357972253
 4450.0     428.4791759843118
 4500.0     429.3152687648172
 4550.0     430.1421229221940
 4600.0     430.9599403944846
 4650.0     431.7689165703645
 4700.0     432.5692405693026
 4750.0     433.3610955069443
 4800.0     434.1446587465862
 4850.0     434.9201021375976
 4900.0     435.6875922416585
 4950.0     436.4472905474637
 5000.0     437.1993536746857
# V = 82.532250 (a.u.^3)
    5.0       1.7270498771767
   50.0      94.1889740614874
  100.0     144.0999908058095
  150.0     174.0679597427405
  200.0     195.4638765907004
  250.0     212.1007925880136
  300.0     225.7107974345397
  350.0     237.2259192509025
  400.0     247.2051106872972
  450.0     256.0099305435247
  500.0     263.8877054725856
  550.0     271.0150687032959
  600.0     277.5225595186077
  650.0     283.5093786940581
  700.0     289.0526769013811
  750.0     294.2136391590359
  800.0     299.0416059878800
  850.0     303.5769454116111
  900.0     307.8531041984226
  950.0     311.8981045998839
 1000.0     315.7356572401715
 1050.0     319.3860025238745
 1100.0     322.8665563381112
 1150.0     326.1924122455663
 1200.0     329.3767368145744
 1250.0     332.4310842602278
 1300.0     335.3656493846394
 1350.0     338.1894727879273
 1400.0     340.9106087646938
 1450.0     343.5362637425143
 1500.0     346.0729112544102
 1550.0     348.5263880619971
 1600.0     350.9019750199291
 1650.0     353.2044654988698
 1700.0     355.4382235954226
