# T (K)    Entropy (J K^-1 mol^-1)
# P = 600.000000 (GPa)
    0.0      -6.8338660923854
   50.0      90.1744714899710
  100.0     144.0030485370693
  150.0     172.7102332584670
  200.0     194.4145096566820
  250.0     210.9810900067409
  300.0     224.6258490456139
  350.0     236.1500492453660
  400.0     246.1497323935565
  450.0     254.9665282653373
  500.0     262.8831002698106
  550.0     270.0245983162989
  600.0     276.5477489166234
  650.0     282.4976451127894
  700.0     288.0770158488586
  750.0     293.3114898814554
  800.0     298.1294674614789
  850.0     302.6727716721791
  900.0     306.9786136752391
  950.0     311.0170179512531
 1000.0     314.9094437059326
 1050.0     318.6138103334735
 1100.0     322.0646376503391
 1150.0     325.4265509681771
 1200.0     328.6194623239866
 1250.0     331.7274773573714
 1300.0     334.6694002763256
 1350.0     337.5289001494573
 1400.0     340.2756414358536
 1450.0     342.8961615192210
 1500.0     345.4359339505630
 1550.0     347.9285595134303
 1600.0     350.2919066339441
 1650.0     352.5858415906961
 1700.0     354.9241165443361
 1750.0     357.0933135324271
 1800.0     359.2095264743100
 1850.0     361.2668045477646
 1900.0     363.2997796239856
 1950.0     365.2997428598041
 2000.0     367.1901160617653
 2050.0     369.0466615065753
 2100.0     370.8685872508043
 2150.0     372.6701268299523
 2200.0     374.3987833224472
 2250.0     376.1115236253029
 2300.0     377.6845995595545
 2350.0     379.3179807371201
 2400.0     380.9860112022675
 2450.0     382.6286364541476
 2500.0     384.1613887889552
 2550.0     385.5726558843046
 2600.0     387.0323369960910
 2650.0     388.4621934417295
 2700.0     389.9530738262541
 2750.0     391.3347296427515
 2800.0     392.6902528979674
 2850.0     394.0293525564761
 2900.0     395.3605549497111
 2950.0     396.6297486085778
 3000.0     397.9241940199026
 3050.0     399.2263946549744
 3100.0     400.4945931015012
 3150.0     401.5952020817874
 3200.0     402.8158794236780
 3250.0     404.0633940300135
 3300.0     405.1326179141941
 3350.0     406.4151237167562
 3400.0     407.5169258971220
 3450.0     408.4970351273669
 3500.0     409.6489056990642
 3550.0     410.7690870791513
 3600.0     411.8318499181527
 3650.0     412.8744950447231
 3700.0     413.9450206866071
 3750.0     414.9759231205726
 3800.0     415.9615191304765
 3850.0     416.9471624805742
 3900.0     417.9135359135976
 3950.0     418.9657796850874
 4000.0     419.9403729148688
 4050.0     420.7792783026024
 4100.0     421.7201004963272
 4150.0     422.7589370298905
 4200.0     423.5881099842942
 4250.0     424.4730643894183
 4300.0     425.4339749434531
 4350.0     426.2967796983274
 4400.0     427.2007497659528
 4450.0     428.0193048655296
 4500.0     428.8749151745880
 4550.0     429.7924262589261
 4600.0     430.6087529011164
 4650.0     431.4142242504646
 4700.0     432.2317795584265
 4750.0     433.0364543326759
 4800.0     433.8647432067370
 4850.0     434.6676489492585
 4900.0     435.4366292193185
 4950.0     436.2125517256795
 5000.0     437.0224472477247
# P = 602.000000 (GPa)
    0.0      -6.8559838747648
   50.0      90.1087609695456
  100.0     143.9258805646566
  150.0     172.6343155362086
  200.0     194.3376683555259
  250.0     210.9042911977531
  300.0     224.5488916830451
  350.0     236.0729843957007
  400.0     246.0727279953907
  450.0     254.8891548551912
  500.0     262.8068450379895
  550.0     269.9482929022552
  600.0     276.4704348118352
  650.0     282.4200054279832
  700.0     287.9993510911672
  750.0     293.2343618742808
  800.0     298.0521475882305
  850.0     302.5950537168560
  900.0     306.9007906140454
  950.0     310.9397338853052
 1000.0     314.8320186734666
 1050.0     318.5361994677738
 1100.0     321.9869872947968
 1150.0     325.3489435746507
 1200.0     328.5416439279334
 1250.0     331.6507398603327
 1300.0     334.5926096895612
 1350.0     337.4508234331901
 1400.0     340.1980952855793
 1450.0     342.8176102751466
 1500.0     345.3575463026127
 1550.0     347.8519077374384
 1600.0     350.2150292061930
 1650.0     352.5079818550676
 1700.0     354.8468784490877
 1750.0     357.0160669645153
 1800.0     359.1317055841249
 1850.0     361.1882478355145
 1900.0     363.2220606561270
 1950.0     365.2230443392917
 2000.0     367.1121472848131
 2050.0     368.9686235641580
 2100.0     370.7905858421234
 2150.0     372.5915785689081
 2200.0     374.3201791269270
 2250.0     376.0329342701000
 2300.0     377.6071927959293
 2350.0     379.2406794591284
 2400.0     380.9069365946792
 2450.0     382.5515993882436
 2500.0     384.0842759468759
 2550.0     385.4936501911878
 2600.0     386.9546168673233
 2650.0     388.3839675058920
 2700.0     389.8759116852408
 2750.0     391.2577426893241
 2800.0     392.6116090461944
 2850.0     393.9512141964005
 2900.0     395.2824768391116
 2950.0     396.5507428120890
 3000.0     397.8455251638017
 3050.0     399.1460208118110
 3100.0     400.4130914604150
 3150.0     401.5184141388104
 3200.0     402.7400831745784
 3250.0     403.9841985909732
 3300.0     405.0550465661759
 3350.0     406.3349477863066
 3400.0     407.4351238736394
 3450.0     408.4213849212167
 3500.0     409.5721800005286
 3550.0     410.6891179769152
 3600.0     411.7538579374136
 3650.0     412.7962969111324
 3700.0     413.8676348833858
 3750.0     414.8986938402318
 3800.0     415.8812268625322
 3850.0     416.8699956961227
 3900.0     417.8368800044068
 3950.0     418.8843286617520
 4000.0     419.8577575294943
 4050.0     420.7034195795081
 4100.0     421.6438862945250
 4150.0     422.6789558395957
 4200.0     423.5065895950730
 4250.0     424.3964716630175
 4300.0     425.3594572157397
 4350.0     426.2169967232193
 4400.0     427.1207333208768
 4450.0     427.9422912371008
 4500.0     428.7976519094901
 4550.0     429.7124066029361
 4600.0     430.5286309673096
 4650.0     431.3336197333697
 4700.0     432.1540549289792
 4750.0     432.9565962079532
 4800.0     433.7858492100545
 4850.0     434.5888152623157
 4900.0     435.3563409119397
 4950.0     436.1348753484536
 5000.0     436.9416891291925
# P = 604.000000 (GPa)
    0.0      -6.8780102356469
   50.0      90.0432052453107
  100.0     143.8488777590447
  150.0     172.5585601644115
  200.0     194.2609941404534
  250.0     210.8276554149918
  300.0     224.4720984036862
  350.0     235.9960878484728
  400.0     245.9958804372550
  450.0     254.8119675154549
  500.0     262.7306704825972
  550.0     269.8720691876889
  600.0     276.3932969872411
  650.0     282.3425487193407
  700.0     287.9218739170798
  750.0     293.1573860673928
  800.0     297.9749857073136
  850.0     302.5175208898818
  900.0     306.8231610281369
  950.0     310.8625882203950
 1000.0     314.7547510590288
 1050.0     318.4587679120075
 1100.0     321.9095026406099
 1150.0     325.2715006463114
 1200.0     328.4640000255255
 1250.0     331.5741034670954
 1300.0     334.5159198135890
 1350.0     337.3729433400867
 1400.0     340.1207066537914
 1450.0     342.7392776762975
 1500.0     345.2793591072091
 1550.0     347.7753393828724
 1600.0     350.1382434341666
 1650.0     352.4302712136437
 1700.0     354.7697670169881
 1750.0     356.9389412265986
 1800.0     359.0540391248819
 1850.0     361.1098859713660
 1900.0     363.1444867059487
 1950.0     365.1464339520842
 2000.0     367.0343385124020
 2050.0     368.8907451471333
 2100.0     370.7127398834356
 2150.0     372.5132197846347
 2200.0     374.2417632146509
 2250.0     375.9545314164234
 2300.0     377.5298866762583
 2350.0     379.1634726058689
 2400.0     380.8280676783180
 2450.0     382.4746695532090
 2500.0     384.0072736264520
 2550.0     385.4148386664809
 2600.0     386.8770184354984
 2650.0     388.3058854542799
 2700.0     389.7988508471499
 2750.0     391.1808447359571
 2800.0     392.5331361564393
 2850.0     393.8732182981172
 2900.0     395.2045389304696
 2950.0     396.4719161907389
 3000.0     397.7670204258711
 3050.0     399.0658987507067
 3100.0     400.3318978117594
