# T (K)      Entropy (J K^-1 mol^-1)
# V = 83.611950 (a.u.^3)
    0.0      -6.1852154281966
   50.0      92.0244132256161
  100.0     146.1497804115637
  150.0     174.7995120395099
  200.0     196.5091590352676
  250.0     213.0507374730728
  300.0     226.6782771392092
  350.0     238.1850072417676
  400.0     248.1566558273271
  450.0     256.9719626167912
  500.0     264.7981334783939
  550.0     271.9202408574644
  600.0     278.4842233807730
  650.0     284.4211137265775
  700.0     289.9808384082391
  750.0     295.1674364863152
  800.0     299.9705796806620
  850.0     304.5097128588796
  900.0     308.7982912383192
  950.0     312.7847744803990
 1000.0     316.6645571148194
 1050.0     320.3577869167772
 1100.0     323.7831314585143
 1150.0     327.1219449477118
 1200.0     330.2996495429285
 1250.0     333.3442398480132
 1300.0     336.2661299758057
 1350.0     339.1552191477985
 1400.0     341.8594281446973
 1450.0     344.4917072060245
 1500.0     347.0016674694548
 1550.0     349.4119964163665
 1600.0     351.7615498992200
 1650.0     354.0647964287131
 1700.0     356.3659366397085
 1750.0     358.5124216158204
 1800.0     360.6248814438122
 1850.0     362.6798972098088
 1900.0     364.6677822203836
 1950.0     366.6184528205276
 2000.0     368.5221046416166
 2050.0     370.3576363982078
 2100.0     372.1566630536998
 2150.0     373.9500011304590
 2200.0     375.6572560963697
 2250.0     377.3466555704645
 2300.0     378.8686676066098
 2350.0     380.4783819364973
 2400.0     382.1654876307221
 2450.0     383.7447984542400
 2500.0     385.2579118186526
 2550.0     386.6839448184691
 2600.0     388.0961965857286
 2650.0     389.5133515458277
 2700.0     390.9654872297810
 2750.0     392.3223810812774
 2800.0     393.6858821733916
 2850.0     394.9940141218821
 2900.0     396.3031196154175
 2950.0     397.5642886435162
 3000.0     398.8321871408320
 3050.0     400.1368151774886
 3100.0     401.3978664598702
 3150.0     402.4089570505458
 3200.0     403.5968183480329
 3250.0     404.8683181314340
 3300.0     405.8954946535827
 3350.0     407.1875750655491
 3400.0     408.2855690366508
 3450.0     409.1727141538761
 3500.0     410.3172453396819
 3550.0     411.4503141984136
 3600.0     412.4714564716217
 3650.0     413.4941906770187
 3700.0     414.5372694166085
 3750.0     415.5455207294704
 3800.0     416.5358556747043
 3850.0     417.4743885785244
 3900.0     418.4162321006898
 3950.0     419.4829635393403
 4000.0     420.4414429114478
 4050.0     421.2134777864713
 4100.0     422.1359087647965
 4150.0     423.1781625019314
 4200.0     423.9914259126722
 4250.0     424.8300198355195
 4300.0     425.7596958042853
 4350.0     426.6283048365768
 4400.0     427.5100264920604
 4450.0     428.2961271572757
 4500.0     429.1313188676314
 4550.0     430.0380992481241
 4600.0     430.8318167072306
 4650.0     431.6167187581287
 4700.0     432.4055243774296
 4750.0     433.1931704539837
 4800.0     433.9988225897363
 4850.0     434.7793734087473
 4900.0     435.5294939213867
 4950.0     436.2803848836255
 5000.0     437.0734852025903
# V = 83.505272 (a.u.^3)
    0.0      -6.2165685857265
   50.0      91.9360382119192
  100.0     146.0467059938454
  150.0     174.6981287951117
  200.0     196.4064407272342
  250.0     212.9482855234622
  300.0     226.5756060233711
  350.0     238.0820479593212
  400.0     248.0542883853537
  450.0     256.8679495503500
  500.0     264.6999295792978
  550.0     271.8219134388256
  600.0     278.3806739094813
  650.0     284.3169787489595
  700.0     289.8765174195242
  750.0     295.0652428712921
  800.0     299.8679206977711
  850.0     304.4055723392502
  900.0     308.6937591619733
  950.0     312.6829916561733
 1000.0     316.5619258064552
 1050.0     320.2541632629351
 1100.0     323.6799874116809
 1150.0     327.0189220696812
 1200.0     330.1960760700445
 1250.0     333.2444717188906
 1300.0     336.1662929032013
 1350.0     339.0506489253768
 1400.0     341.7568159183559
 1450.0     344.3859973023678
 1500.0     346.8967717561004
 1550.0     349.3128803102815
 1600.0     351.6618331622745
 1650.0     353.9621662082477
 1700.0     356.2647237820449
 1750.0     358.4113855395736
 1800.0     360.5221577021370
 1850.0     362.5752201387817
 1900.0     364.5655056815596
 1950.0     366.5189868592349
 2000.0     368.4191462017078
 2050.0     370.2546438932885
 2100.0     372.0538377358948
 2150.0     373.8457095397893
 2200.0     375.5529652363097
 2250.0     377.2425073911234
 2300.0     378.7679675637813
 2350.0     380.3779562863398
 2400.0     382.0603754453147
 2450.0     383.6444206939928
 2500.0     385.1573674159417
 2550.0     386.5792826455192
 2600.0     387.9946537577735
 2650.0     389.4107606937247
 2700.0     390.8650366311628
 2750.0     392.2223941608121
 2800.0     393.5822568473164
 2850.0     394.8915916015226
 2900.0     396.2008189037122
 2950.0     397.4601872941341
 3000.0     398.7287833365748
 3050.0     400.0299225313121
 3100.0     401.2887736762336
 3150.0     402.3097040562135
 3200.0     403.4994071916676
 3250.0     404.7641015742705
 3300.0     405.7946129814064
 3350.0     407.0815693925704
 3400.0     408.1766602807548
 3450.0     409.0755817669453
 3500.0     410.2179463976026
 3550.0     411.3450877500759
 3600.0     412.3698215334841
 3650.0     413.3922556779294
 3700.0     414.4366611824501
 3750.0     415.4451945759175
 3800.0     416.4303581043656
 3850.0     417.3742185895787
 3900.0     418.3169159797846
 3950.0     419.3756644748145
 4000.0     420.3324151114294
 4050.0     421.1154862749607
 4100.0     422.0373294961644
 4150.0     423.0734626557442
 4200.0     423.8845839572415
 4250.0     424.7307566676045
 4300.0     425.6635460669194
 4350.0     426.5241169622972
 4400.0     427.4055876514176
 4450.0     428.1961317334320
 4500.0     429.0309784190718
 4550.0     429.9336924480762
 4600.0     430.7273736547061
 4650.0     431.5116498589866
 4700.0     432.3045358098938
 4750.0     433.0892525499717
 4800.0     433.8962224551497
 4850.0     434.6769181981830
 4900.0     435.4250717129927
 4950.0     436.1795240499558
 5000.0     436.9684539585905
# V = 83.398593 (a.u.^3)
    0.0      -6.2478710642563
   50.0      91.8475813285595
  100.0     145.9435012742499
  150.0     174.5966190389295
  200.0     196.3036027401496
  250.0     212.8457043044604
  300.0     226.4728081663249
  350.0     237.9789728381636
  400.0     247.9517768360583
  450.0     256.7638644739323
  500.0     264.6013945408378
  550.0     271.7232589502209
  600.0     278.2770323757973
  650.0     284.2127656364552
  700.0     289.7721300411096
  750.0     294.9628981753855
  800.0     299.7651251084626
  850.0     304.3013593641342
  900.0     308.5891742659819
  950.0     312.5810261803495
 1000.0     316.4591574984698
 1050.0     320.1504546010231
 1100.0     323.5767259259532
 1150.0     326.9157796566899
 1200.0     330.0924052779632
 1250.0     333.1444421478294
 1300.0     336.0661947707201
 1350.0     338.9460338015274
 1400.0     341.6540718481237
 1450.0     344.2802891547402
 1500.0     346.7918373960610
 1550.0     349.2134700352349
 1600.0     351.5618422872138
 1650.0     353.8593863319524
 1700.0     356.1633158186150
 1750.0     358.3101420068878
 1800.0     360.4192995499707
 1850.0     362.4704931682299
 1900.0     364.4630754085283
 1950.0     366.4192490496277
 2000.0     368.3160669217219
 2050.0     370.1515294200095
 2100.0     371.9508825844304
 2150.0     373.7413578710742
 2200.0     375.4486115441131
 2250.0     377.1382920845487
