# V (a.u.^3)  Helmholtz Free Energy (Ry.)
# T= 0.000000 K
  83.6119     -0.235136532
  82.5323     -0.193577893
  81.4525     -0.151268710
  80.4403     -0.109218313
  79.4955     -0.067395428
  78.5507     -0.025853199
  77.6734      0.015481775
  76.8299      0.056570632
  76.0201      0.097445447
  75.2440      0.138153208
  74.4680      0.178409526
  73.7594      0.218849056
  73.0508      0.258884085
# T= 50.000000 K
  83.6119     -0.236911630
  82.5323     -0.195328930
  81.4525     -0.152995845
  80.4403     -0.110922205
  79.4955     -0.069075599
  78.5507     -0.027513008
  77.6734      0.013841596
  76.8299      0.054949421
  76.0201      0.095842628
  75.2440      0.136568188
  74.4680      0.176841574
  73.7594      0.217297781
  73.0508      0.257348847
# T= 100.000000 K
  83.6119     -0.241588655
  82.5323     -0.199967919
  81.4525     -0.157596933
  80.4403     -0.115486336
  79.4955     -0.073601809
  78.5507     -0.032006257
  77.6734      0.009380240
  76.8299      0.050518979
  76.0201      0.091442243
  75.2440      0.132196973
  74.4680      0.172498441
  73.7594      0.212982171
  73.0508      0.253059795
# T= 150.000000 K
  83.6119     -0.247724291
  82.5323     -0.206064590
  81.4525     -0.163654760
  80.4403     -0.121506270
  79.4955     -0.079582841
  78.5507     -0.037953420
  77.6734      0.003465867
  76.8299      0.044636408
  76.0201      0.085590606
  75.2440      0.126375371
  74.4680      0.166705772
  73.7594      0.207217873
  73.0508      0.247322888
# T= 200.000000 K
  83.6119     -0.254820075
  82.5323     -0.213121170
  81.4525     -0.170672252
  80.4403     -0.128485626
  79.4955     -0.086523042
  78.5507     -0.044859515
  77.6734     -0.003407205
  76.8299      0.037795367
  76.0201      0.078780727
  75.2440      0.119595753
  74.4680      0.159955308
  73.7594      0.200496001
  73.0508      0.240628624
# T= 250.000000 K
  83.6119     -0.262632662
  82.5323     -0.220894456
  81.4525     -0.178406352
  80.4403     -0.136181492
  79.4955     -0.094179650
  78.5507     -0.052481923
  77.6734     -0.010996496
  76.8299      0.030238201
  76.0201      0.071254816
  75.2440      0.112100193
  74.4680      0.152488993
  73.7594      0.193058367
  73.0508      0.233218686
# T= 300.000000 K
  83.6119     -0.271017461
  82.5323     -0.229239905
  81.4525     -0.186712566
  80.4403     -0.144449423
  79.4955     -0.102408272
  78.5507     -0.060676297
  77.6734     -0.019157705
  76.8299      0.022109164
  76.0201      0.063157079
  75.2440      0.104032854
  74.4680      0.144450942
  73.7594      0.185049042
  73.0508      0.225237103
# T= 350.000000 K
  83.6119     -0.279878546
  82.5323     -0.238061612
  81.4525     -0.195495009
  80.4403     -0.153193555
  79.4955     -0.111113066
  78.5507     -0.069346815
  77.6734     -0.027795031
  76.8299      0.013504036
  76.0201      0.054583278
  75.2440      0.095489476
  74.4680      0.135936879
  73.7594      0.176563731
  73.0508      0.216779557
# T= 400.000000 K
  83.6119     -0.289147587
  82.5323     -0.247291259
  81.4525     -0.204685374
  80.4403     -0.162345592
  79.4955     -0.120225745
  78.5507     -0.078425201
  77.6734     -0.036840209
  76.8299      0.004491073
  76.0201      0.045601658
  75.2440      0.086538296
  74.4680      0.127015030
  73.7594      0.167670651
  73.0508      0.207914258
# T= 450.000000 K
  83.6119     -0.298773427
  82.5323     -0.256877692
  81.4525     -0.214232514
  80.4403     -0.171854391
  79.4955     -0.129695175
  78.5507     -0.087860328
  77.6734     -0.046242116
  76.8299     -0.004878606
  76.0201      0.036263333
  75.2440      0.077230422
  74.4680      0.117736497
  73.7594      0.158420896
  73.0508      0.198692296
# T= 500.000000 K
  83.6119     -0.308716321
