# T (K)               Helmholtz Free Energy (Ry.)
# V=  83.6119500000000
    0.00      -0.2349352108745
   50.00      -0.2367104857618
  100.00      -0.2413878577957
  150.00      -0.2475239887323
  200.00      -0.2546199680506
  250.00      -0.2624329454150
  300.00      -0.2708180704843
  350.00      -0.2796795821039
  400.00      -0.2889489939395
  450.00      -0.2985751856027
  500.00      -0.3085184741441
  550.00      -0.3187446643212
  600.00      -0.3292325325345
  650.00      -0.3399580421632
  700.00      -0.3509014936155
  750.00      -0.3620507224209
  800.00      -0.3733892771989
  850.00      -0.3849060370899
  900.00      -0.3965906584675
  950.00      -0.4084335664462
 1000.00      -0.4204244515438
 1050.00      -0.4325619965598
 1100.00      -0.4448332840038
 1150.00      -0.4572341539502
 1200.00      -0.4697589219296
 1250.00      -0.4824022981470
 1300.00      -0.4951592054038
 1350.00      -0.5080263802742
 1400.00      -0.5210015134031
 1450.00      -0.5340761917237
 1500.00      -0.5472512725346
 1550.00      -0.5605175055804
 1600.00      -0.5738767542545
 1650.00      -0.5873222141573
 1700.00      -0.6008575385711
 1750.00      -0.6144764148870
 1800.00      -0.6281768400276
 1850.00      -0.6419563947557
 1900.00      -0.6558132953029
 1950.00      -0.6697447128491
 2000.00      -0.6837501358903
 2050.00      -0.6978263494804
 2100.00      -0.7119720471332
 2150.00      -0.7261857433948
 2200.00      -0.7404670777954
 2250.00      -0.7548117385873
 2300.00      -0.7692199112192
 2350.00      -0.7836837937117
 2400.00      -0.7982145005024
 2450.00      -0.8128045936056
 2500.00      -0.8274561769779
 2550.00      -0.8421613086841
 2600.00      -0.8569224910309
 2650.00      -0.8717354779055
 2700.00      -0.8866050337572
 2750.00      -0.9015270238818
 2800.00      -0.9165012726940
 2850.00      -0.9315263786047
 2900.00      -0.9466010266185
 2950.00      -0.9617252691554
 3000.00      -0.9768967163581
 3050.00      -0.9921179576211
 3100.00      -1.0073878015055
 3150.00      -1.0227025175196
 3200.00      -1.0380548292772
 3250.00      -1.0534588810977
 3300.00      -1.0689039197143
 3350.00      -1.0843927129424
 3400.00      -1.0999303825951
 3450.00      -1.1155026334020
 3500.00      -1.1311138530227
 3550.00      -1.1467699060659
 3600.00      -1.1624661930224
 3650.00      -1.1782015019456
 3700.00      -1.1939759625171
 3750.00      -1.2097900564913
 3800.00      -1.2256415636491
 3850.00      -1.2415306937837
 3900.00      -1.2574544199532
 3950.00      -1.2734168655132
 4000.00      -1.2894189188572
 4050.00      -1.3054534103682
 4100.00      -1.3215185731564
 4150.00      -1.3376229684080
 4200.00      -1.3537631239889
 4250.00      -1.3699327223815
 4300.00      -1.3861376164397
 4350.00      -1.4023761265911
 4400.00      -1.4186481534092
 4450.00      -1.4349524724524
 4500.00      -1.4512862404408
 4550.00      -1.4676544893560
 4600.00      -1.4840550115903
 4650.00      -1.5004850681787
 4700.00      -1.5169455638667
 4750.00      -1.5334356655309
 4800.00      -1.5499564256510
 4850.00      -1.5665073729654
 4900.00      -1.5830875457439
 4950.00      -1.5996960507812
 5000.00      -1.6163339700228
# V=  83.5052717171717
    0.00      -0.2309725669635
   50.00      -0.2327454265592
  100.00      -0.2374190169572
  150.00      -0.2435512831152
  200.00      -0.2506433630668
  250.00      -0.2584524326902
  300.00      -0.2668336521849
  350.00      -0.2756912446524
  400.00      -0.2849567410070
  450.00      -0.2945790190249
  500.00      -0.3045183897802
  550.00      -0.3147409389604
  600.00      -0.3252248905693
  650.00      -0.3359464849051
  700.00      -0.3468859213229
  750.00      -0.3580312449684
  800.00      -0.3693658845140
  850.00      -0.3808787238057
  900.00      -0.3925593438025
  950.00      -0.4043983273907
 1000.00      -0.4163853350259
 1050.00      -0.4285189348603
 1100.00      -0.4407862897438
 1150.00      -0.4531832278092
 1200.00      -0.4657040684821
 1250.00      -0.4783435347160
 1300.00      -0.4910967001170
 1350.00      -0.5039599497177
 1400.00      -0.5169311245292
 1450.00      -0.5300018775949
 1500.00      -0.5431728779282
 1550.00      -0.5564352611434
 1600.00      -0.5697907256680
 1650.00      -0.5832323416282
 1700.00      -0.5967637442546
 1750.00      -0.6103788138753
 1800.00      -0.6240753227764
