# T (K)      fittedE (Ry.)      P (GPa)
# V = 83.611950 (a.u.^3)
    0.0      -0.2349352108745     545.1732113530849
   50.0      -0.2332042161016     545.5062107659427
  100.0      -0.2302508013792     546.0273855182211
  150.0      -0.2275436094768     546.5599804422184
  200.0      -0.2246707805204     547.0973667501121
  250.0      -0.2218451649181     547.6359051397550
  300.0      -0.2189973543579     548.1741218467264
  350.0      -0.2161531129223     548.7142438741264
  400.0      -0.2133078354435     549.2538424128524
  450.0      -0.2104559933143     549.7931785621283
  500.0      -0.2076263707411     550.3330959009329
  550.0      -0.2047783566011     550.8339867695635
  600.0      -0.2019044791574     551.3737342803651
  650.0      -0.1990786588728     551.9132955005367
  700.0      -0.1962195595364     552.4668832218915
  750.0      -0.1933558200138     553.0050261491829
  800.0      -0.1905199353623     553.5445754878453
  850.0      -0.1876672478404     554.0848804333233
  900.0      -0.1848083634120     554.6365660108178
  950.0      -0.1819996582806     555.1774051097470
 1000.0      -0.1791164572556     555.7116019061475
 1050.0      -0.1762335318089     556.2554007094027
 1100.0      -0.1734274638409     556.7973905508595
 1150.0      -0.1705657869137     557.3392845644751
 1200.0      -0.1677209041426     557.8805336530444
 1250.0      -0.1648792752907     558.4193398216877
 1300.0      -0.1620407220975     558.9344560822473
 1350.0      -0.1591235233163     559.4754175893009
 1400.0      -0.1562913634577     560.0210700386278
 1450.0      -0.1534321584139     560.5620311128844
 1500.0      -0.1506125841637     561.1248887059608
 1550.0      -0.1478105747962     561.6551986075301
 1600.0      -0.1449920070771     562.1762730406753
 1650.0      -0.1421388315363     562.7057261996973
 1700.0      -0.1392027347707     563.2461976822859
 1750.0      -0.1363810770079     563.7704529546476
 1800.0      -0.1335240701563     564.3101402494711
 1850.0      -0.1306661991645     564.8496512733292
 1900.0      -0.1278262713345     565.4020450867565
 1950.0      -0.1249646767309     565.9228419498845
 2000.0      -0.1221001000785     566.4570832835705
 2050.0      -0.1192676645211     566.9979117095565
 2100.0      -0.1164232577282     567.5383379444189
 2150.0      -0.1135190782274     568.0806555767044
 2200.0      -0.1106901945359     568.6312965449865
 2250.0      -0.1078251536895     569.1759751515324
 2300.0      -0.1051882622178     569.7194057341641
 2350.0      -0.1023340439281     570.2385719969515
 2400.0      -0.0992824458646     570.7822534304954
 2450.0      -0.0963629217962     571.3260887112083
 2500.0      -0.0935106509010     571.8446228858789
 2550.0      -0.0907658371028     572.3885454854761
 2600.0      -0.0879957103711     572.9312146471107
 2650.0      -0.0851598688891     573.4620141158498
 2700.0      -0.0822006326741     574.0027700442156
 2750.0      -0.0793827607914     574.5193358733804
 2800.0      -0.0764996504009     575.0594555408106
 2850.0      -0.0736837441455     575.5990822930169
 2900.0      -0.0708155449466     576.1368782802431
 2950.0      -0.0680049431314     576.6767028697830
 3000.0      -0.0651300568993     577.2259084946066
 3050.0      -0.0621229804982     577.7702221142592
 3100.0      -0.0591680312115     578.3471444498296
 3150.0      -0.0567618626457     578.8958517290488
 3200.0      -0.0538851868113     579.4028712107170
 3250.0      -0.0507625934546     579.9329632111260
 3300.0      -0.0481984944751     580.4794854522452
 3350.0      -0.0449236290739     581.0070207642166
 3400.0      -0.0421020388120     581.5895405971195
 3450.0      -0.0397856818432     582.1259345499427
 3500.0      -0.0367542145802     582.6331085157268
 3550.0      -0.0337113719677     583.1745690706597
 3600.0      -0.0309294692129     583.7216736608774
 3650.0      -0.0281043464702     584.2485672733668
 3700.0      -0.0251830782661     584.7890134332341
 3750.0      -0.0223214810338     585.3064629200348
 3800.0      -0.0194723458764     585.8517763829667
 3850.0      -0.0167373448663     586.3961901992628
 3900.0      -0.0139555819509     586.9110694747536
 3950.0      -0.0107648519962     587.4541197837671
 4000.0      -0.0078624070836     588.0277748186651
 4050.0      -0.0054947705620     588.5777386144235
 4100.0      -0.0026290877162     589.0764478828340
 4150.0       0.0006465852918     589.6218230316213
 4200.0       0.0032330310629     590.1693021466034
 4250.0       0.0059340432878     590.7273528159129
 4300.0       0.0089621145540     591.2188192960419
 4350.0       0.0118249872257     591.7554443299263
 4400.0       0.0147644996252     592.2993301335923
 4450.0       0.0174146555452     592.8441917562078
 4500.0       0.0202636056663     593.3573068195016
 4550.0       0.0233899339562     593.9039666248144
 4600.0       0.0261567644195     594.4469180927379
 4650.0       0.0289233073270     595.0022243212684
 4700.0       0.0317332038473     595.5423955323998
 4750.0       0.0345694066393     596.0748494788214
 4800.0       0.0375008335776     596.6263252068175
 4850.0       0.0403706958295     597.1543469175564
 4900.0       0.0431571877573     597.7059520764244
 4950.0       0.0459754150584     598.2414060916390
 5000.0       0.0489822723716     598.7785037074431
# V = 83.505272 (a.u.^3)
    0.0      -0.2309725669635     547.6956729929211
   50.0      -0.2292425241211     548.0287923477755
  100.0      -0.2262898151239     548.5505636089715
  150.0      -0.2235824924256     549.0838444512630
  200.0      -0.2207098304296     549.6218734957188
  250.0      -0.2178841700664     550.1610596766689
  300.0      -0.2150364076094     550.6999701086166
  350.0      -0.2121922358041     551.2407200513148
  400.0      -0.2093467853489     551.7809807616487
